random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.40826890043214237
0,0,0.10,0.7048518969385102
0,0,0.15,0.9429014264229179
0,0,0.20,0.9267768368473375
0,0,0.25,0.8871685834178538
0,0,0.30,0.9274081341363066
0,0,0.35,0.9520637012389486
0,0,0.40,0.9590705356612635
0,0,0.45,0.9449903931631866
0,0,0.50,0.8712820184592337
0,0,0.55,0.9715867280905114
0,0,0.60,0.9262378448581761
0,0,0.65,0.9801640876233119
0,0,0.70,0.9347617697648555
0,0,0.75,0.9378635066256433
0,0,0.80,0.9464639991600097
0,0,0.85,0.9781772565103153
0,0,0.90,0.9445634311294451
0,0,0.95,0.9795596328939721
0,1,0.05,0.825613989633015
0,1,0.10,0.9393299520482135
0,1,0.15,0.8552573040235915
0,1,0.20,0.9276770135493156
0,1,0.25,0.9211285405461691
0,1,0.30,0.949689260506712
0,1,0.35,0.9432320802817483
0,1,0.40,0.9816943781745588
0,1,0.45,0.9740816586033937
0,1,0.50,0.948353651125932
0,1,0.55,0.9044106615514272
0,1,0.60,0.9570529748034645
0,1,0.65,0.9677988881919948
0,1,0.70,0.954055888546848
0,1,0.75,0.9697042553192304
0,1,0.80,0.9292781153784946
0,1,0.85,0.931804957517989
0,1,0.90,0.9705319239687492
0,1,0.95,0.9822669169815686
0,2,0.05,0.8943164215371646
0,2,0.10,0.868160321793632
0,2,0.15,0.4207226601569083
0,2,0.20,0.896055470593213
0,2,0.25,0.8583942193230258
0,2,0.30,0.9249773726529554
0,2,0.35,0.9196661399226105
0,2,0.40,0.9544056913858111
0,2,0.45,0.9675064400164779
0,2,0.50,0.9496631397512629
0,2,0.55,0.962390804530248
0,2,0.60,0.9715642850133508
0,2,0.65,0.969948031934852
0,2,0.70,0.9728710167313661
0,2,0.75,0.950041706269805
0,2,0.80,0.9505233140010576
0,2,0.85,0.9628689887282661
0,2,0.90,0.9614095584697442
0,2,0.95,0.9518952548170913
0,3,0.05,0.7189669652294214
0,3,0.10,0.5527576838844744
0,3,0.15,0.29685589008307267
0,3,0.20,0.8885218035988641
0,3,0.25,0.8915437620459279
0,3,0.30,0.9399460320482184
0,3,0.35,0.8081449924470762
0,3,0.40,0.9445176640877746
0,3,0.45,0.944736407936683
0,3,0.50,0.9371467885661049
0,3,0.55,0.9336060054913117
0,3,0.60,0.9495386431193943
0,3,0.65,0.9596363099891809
0,3,0.70,0.9667977526365574
0,3,0.75,0.946181438649989
0,3,0.80,0.9677423539942104
0,3,0.85,0.9634325912950061
0,3,0.90,0.9724633889365562
0,3,0.95,0.9693903579199215
0,4,0.05,0.8052795858443647
0,4,0.10,0.7745483159171173
0,4,0.15,0.9364764239198162
0,4,0.20,0.9319211893948638
0,4,0.25,0.8052987562585249
0,4,0.30,0.8877649145000666
0,4,0.35,0.9164453743495281
0,4,0.40,0.9727624042529773
0,4,0.45,0.9013803409574496
0,4,0.50,0.9678312415402799
0,4,0.55,0.9465728609122566
0,4,0.60,0.9647551708023125
0,4,0.65,0.9594685824691955
0,4,0.70,0.9823702978822899
0,4,0.75,0.9710440129444401
0,4,0.80,0.9421293365427069
0,4,0.85,0.9675554443988402
0,4,0.90,0.9664663300171303
0,4,0.95,0.9852059041969383
0,5,0.05,0.7177188692880473
0,5,0.10,0.7739059340807102
0,5,0.15,0.9301918791411061
0,5,0.20,0.9564093832796313
0,5,0.25,0.9300806827383212
0,5,0.30,0.8845767450256669
0,5,0.35,0.9712064519138662
0,5,0.40,0.9478711578548966
0,5,0.45,0.8537024255461609
0,5,0.50,0.9690972183115714
0,5,0.55,0.9716424897637385
0,5,0.60,0.9585041585531044
0,5,0.65,0.9621436700990034
0,5,0.70,0.9620029847205971
0,5,0.75,0.9651347400055681
0,5,0.80,0.9718146131762949
0,5,0.85,0.9814913063540144
0,5,0.90,0.9624104344109223
0,5,0.95,0.9687660366999967
0,6,0.05,0.9390557644657944
0,6,0.10,0.8832248924281295
0,6,0.15,0.7580672222475029
0,6,0.20,0.8585378849377195
0,6,0.25,0.8547136154842726
0,6,0.30,0.9162242746043661
0,6,0.35,0.9664000848055282
0,6,0.40,0.963888810553489
0,6,0.45,0.9072200585380992
0,6,0.50,0.9757014034745791
0,6,0.55,0.9731898267707707
0,6,0.60,0.9609987930212676
0,6,0.65,0.9852454176398882
0,6,0.70,0.9716736826886524
0,6,0.75,0.9726996854655039
0,6,0.80,0.9505115672631905
0,6,0.85,0.9646581744401134
0,6,0.90,0.9545408572801453
0,6,0.95,0.9675374872494154
0,7,0.05,-0.8766665224090096
0,7,0.10,0.7118962640803578
0,7,0.15,0.8708615223440064
0,7,0.20,0.9597361675094144
0,7,0.25,0.4842986686428862
0,7,0.30,0.8914195152107737
0,7,0.35,0.9388035379916954
0,7,0.40,0.8944163820775982
0,7,0.45,0.9516811436547006
0,7,0.50,0.9430050084486864
0,7,0.55,0.9519336040743799
0,7,0.60,0.9280896083788118
0,7,0.65,0.9713422535675802
0,7,0.70,0.9679517558335347
0,7,0.75,0.9679735536721614
0,7,0.80,0.9626559659469922
0,7,0.85,0.9567621208716186
0,7,0.90,0.9778485145765478
0,7,0.95,0.9858653162082701
0,8,0.05,0.8898209666886098
0,8,0.10,0.7735245155338544
0,8,0.15,0.9333034179360765
0,8,0.20,0.9524238110454349
0,8,0.25,0.8713413419815472
0,8,0.30,0.9123472750831664
0,8,0.35,0.9440010465105342
0,8,0.40,0.9599888499150926
0,8,0.45,0.8919796689989662
0,8,0.50,0.9308081458678731
0,8,0.55,0.9677722673883575
0,8,0.60,0.9498107161877533
0,8,0.65,0.9692922309877975
0,8,0.70,0.9090180452606811
0,8,0.75,0.966915805017388
0,8,0.80,0.9774516678434869
0,8,0.85,0.9535534659165373
0,8,0.90,0.9501400121532684
0,8,0.95,0.9791733709082666
0,9,0.05,0.9470624753782294
0,9,0.10,0.8794737393954375
0,9,0.15,0.9254038818525508
0,9,0.20,0.8306129785690453
0,9,0.25,0.9536963346044599
0,9,0.30,0.899926691285673
0,9,0.35,0.9507601008438151
0,9,0.40,0.9516766860815329
0,9,0.45,0.9299267631566049
0,9,0.50,0.9285161442724924
0,9,0.55,0.9606038855281491
0,9,0.60,0.9156850811795504
0,9,0.65,0.9772596024769789
0,9,0.70,0.9746053629439675
0,9,0.75,0.9677979613960742
0,9,0.80,0.9559400669303288
0,9,0.85,0.9763760189140133
0,9,0.90,0.9529274305724078
