ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.777,0.906,0.765,0.952,0.946,0.924,0.848,0.912,0.94,0.813,0.944,0.928,0.79,0.947,0.723,0.892,0.917,0.921,0.926,0.909,0.954,0.938,0.873,0.906,0.835,0.895,0.888,0.917,0.943,0.94,0.83,0.919,0.818,0.897,0.96,0.958,0.297,0.928,0.922,0.927,0.841,0.91,0.947,0.872,0.93,0.918,0.789,0.925,0.954,0.872,0.932,0.955,0.973,0.859,0.403,0.928,0.857,0.792,0.866,0.92,0.919,0.76,0.874,0.909,0.925,0.798,-1.644,0.939,0.928,0.775,0.887,0.207,0.921,0.954,0.923,0.891,0.899,0.936,0.837,0.619,0.875,0.804,0.901,0.947,0.96,0.882,0.854,0.538,0.943,0.07,0.649,0.936,0.83,0.878,0.944,0.873,0.755,0.948,0.923,0.939
0.10,0.978,0.979,0.971,0.958,0.961,0.946,0.951,0.978,0.943,0.949,0.952,0.953,0.947,0.96,0.954,0.948,0.809,0.971,0.967,0.948,0.941,0.96,0.952,0.948,0.953,0.98,0.943,0.778,0.977,0.927,0.964,0.957,0.963,0.98,0.962,0.959,0.922,0.976,0.95,0.968,0.916,0.946,0.966,0.954,0.956,0.963,0.928,0.969,0.968,0.953,0.954,0.968,0.967,0.962,0.935,0.947,0.968,0.954,0.96,0.958,0.956,0.96,0.953,0.955,0.979,0.966,0.962,0.965,0.913,0.973,0.976,0.903,0.944,0.965,0.973,0.958,0.975,0.963,0.98,0.863,0.941,0.936,0.959,0.964,0.971,0.863,0.889,0.912,0.972,0.88,0.974,0.952,0.883,0.942,0.961,0.879,0.966,0.948,0.95,0.952
0.15,0.98,0.965,0.972,0.982,0.969,0.962,0.944,0.97,0.931,0.989,0.972,0.96,0.971,0.971,0.959,0.944,0.981,0.982,0.974,0.963,0.801,0.986,0.968,0.964,0.971,0.962,0.988,0.903,0.988,0.981,0.974,0.983,0.969,0.968,0.968,0.944,0.96,0.969,0.962,0.974,0.974,0.968,0.97,0.959,0.966,0.98,0.964,0.968,0.985,0.974,0.962,0.965,0.982,0.98,0.968,0.951,0.981,0.965,0.973,0.969,0.97,0.909,0.957,0.956,0.986,0.969,0.971,0.959,0.969,0.977,0.964,0.966,0.987,0.958,0.983,0.907,0.969,0.974,0.985,0.976,0.965,0.971,0.962,0.983,0.964,0.956,0.984,0.958,0.975,0.95,0.952,0.965,0.964,0.288,0.979,0.974,0.953,0.979,0.967,0.985
0.20,0.971,0.989,0.954,0.984,0.969,0.985,0.978,0.985,0.979,0.972,0.918,0.977,0.985,0.986,0.971,0.979,0.971,0.965,0.968,0.983,0.988,0.983,0.972,0.987,0.971,0.991,0.969,0.974,0.987,0.984,0.99,0.988,0.991,0.97,0.983,0.971,0.969,0.969,0.986,0.974,0.983,0.966,0.994,0.99,0.986,0.98,0.952,0.981,0.985,0.965,0.955,0.971,0.971,0.991,0.967,0.973,0.992,0.986,0.988,0.972,0.977,0.981,0.985,0.973,0.965,0.981,0.973,0.986,0.987,0.99,0.977,0.985,0.978,0.985,0.982,0.971,0.984,0.973,0.972,0.99,0.965,0.984,0.935,0.991,0.966,0.953,0.984,0.969,0.96,0.969,0.958,0.968,0.988,0.984,0.982,0.98,0.97,0.964,0.987,0.968
0.25,0.987,0.975,0.972,0.984,0.987,0.989,0.992,0.984,0.987,0.971,0.99,0.984,0.976,0.989,0.969,0.974,0.985,0.987,0.988,0.994,0.974,0.983,0.991,-0.095,0.994,0.973,0.987,0.984,0.973,0.99,0.985,0.99,0.991,0.986,0.968,0.984,0.976,0.97,0.972,0.989,0.967,0.987,0.994,0.981,0.983,0.987,0.974,0.975,0.987,0.992,0.949,0.989,0.991,0.971,0.974,0.987,0.984,0.979,0.976,0.985,0.989,0.978,0.973,0.972,0.986,0.969,0.987,0.972,0.983,0.974,0.987,0.986,0.985,0.988,0.988,0.99,0.986,0.991,0.969,0.987,0.972,0.987,0.972,0.992,0.98,0.986,0.974,0.974,0.974,0.971,0.989,0.971,0.974,0.993,0.989,0.982,0.99,0.986,0.993,0.983
0.30,0.971,0.975,0.992,0.996,0.977,0.993,0.991,0.989,0.972,0.971,0.99,0.982,0.99,0.988,0.992,0.993,0.992,0.969,0.994,0.991,0.99,0.995,0.973,0.973,0.993,0.973,0.972,0.972,0.994,0.989,0.989,0.987,0.976,0.141,0.97,0.992,0.975,0.976,0.975,0.989,0.973,0.975,0.99,0.972,0.971,0.986,0.993,0.995,0.973,0.986,0.962,0.972,0.878,0.974,0.993,0.988,0.975,0.987,0.995,0.987,0.989,0.977,0.991,0.987,0.974,0.995,0.987,0.976,0.976,0.991,0.977,0.992,0.985,0.994,0.988,0.972,0.985,0.987,0.976,0.994,0.989,0.989,0.971,0.971,0.973,0.994,0.986,0.968,0.971,0.985,0.984,0.993,0.99,0.991,0.987,0.987,0.971,0.994,0.994,0.978
0.35,0.97,0.974,0.977,0.977,0.988,0.992,0.99,0.975,0.971,0.975,0.991,0.988,0.991,0.993,0.989,0.971,0.993,0.986,0.99,0.99,0.99,0.975,0.995,0.989,0.994,0.99,0.973,0.993,0.994,0.99,0.977,0.989,0.992,0.988,0.972,0.99,0.977,0.975,0.977,0.977,0.989,0.97,0.996,0.982,0.969,0.99,0.993,0.977,0.976,0.995,0.971,0.985,0.988,0.971,0.975,0.99,0.995,0.989,0.977,0.988,0.99,0.974,0.993,0.988,0.971,0.994,0.988,0.989,0.977,0.992,0.995,0.989,0.996,0.995,0.993,0.976,0.972,0.978,0.992,0.99,0.969,0.995,0.993,0.988,0.99,0.972,0.989,0.987,0.974,0.996,0.972,0.971,0.985,0.973,0.993,0.989,0.991,0.973,0.978,0.976
0.40,0.971,0.974,0.973,0.974,0.974,0.977,0.977,0.99,0.976,0.994,0.995,0.985,0.989,0.995,0.996,0.973,0.977,0.987,0.996,0.992,0.974,0.99,0.973,0.974,0.974,0.977,0.975,0.989,0.976,0.995,0.977,0.975,0.994,0.976,0.99,0.994,0.98,0.991,0.979,0.997,0.977,0.993,0.996,0.987,0.983,0.98,0.996,0.995,0.976,0.987,0.993,0.993,0.99,0.994,0.992,0.977,0.977,0.994,0.978,0.976,0.97,0.99,0.996,0.997,0.989,0.995,0.997,0.996,0.993,0.991,0.096,0.977,0.972,0.973,0.976,0.994,0.991,0.972,0.99,0.99,0.991,0.989,0.992,0.991,0.988,0.993,0.99,0.996,0.99,0.99,0.994,0.995,0.992,0.976,0.994,0.97,0.991,0.995,0.975,0.977
0.45,0.996,0.98,0.977,0.991,0.99,0.976,0.992,0.991,0.991,0.991,0.987,0.974,0.974,0.995,0.995,0.987,0.975,0.994,0.99,0.974,0.997,0.99,0.995,0.975,0.994,0.996,0.975,0.989,0.979,0.992,0.996,0.995,0.996,0.976,0.973,0.994,0.997,0.979,0.974,0.99,0.994,0.989,0.976,0.99,0.996,0.99,0.996,0.991,0.993,0.995,0.992,0.995,0.949,0.996,0.988,0.976,0.975,0.975,0.973,0.989,0.993,0.996,0.996,0.976,0.972,0.992,0.996,0.994,0.993,0.99,0.976,0.979,0.974,0.997,0.99,0.994,0.975,0.975,0.982,0.975,0.994,0.995,0.99,0.987,0.969,0.988,0.975,0.988,0.991,0.973,0.971,0.976,0.978,0.994,0.976,0.99,0.99,0.995,0.994,0.975
0.50,0.97,0.976,0.976,0.996,0.995,0.975,0.979,0.996,0.996,0.994,0.99,0.986,0.975,0.997,0.996,0.988,0.994,0.997,0.977,0.993,0.994,0.976,0.995,0.996,0.976,0.992,0.996,0.99,0.996,0.991,0.995,0.974,0.996,0.995,0.997,0.997,0.977,0.978,0.989,0.991,0.976,0.971,0.977,0.99,0.989,0.975,0.976,0.995,0.972,0.995,0.996,0.996,0.989,0.976,0.995,0.995,0.975,0.993,0.976,0.973,0.974,0.995,0.979,0.98,0.976,0.996,0.997,0.99,0.996,0.994,0.976,0.996,0.973,0.996,0.996,0.989,0.991,0.996,0.997,0.993,0.974,0.99,0.991,0.993,0.987,0.994,0.989,0.996,0.974,0.977,0.995,0.976,0.995,0.979,0.993,0.99,0.995,0.972,0.978,0.993
