ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-2.564,0.512,-2.328,0.74,0.078,0.911,0.574,-1.129,0.079,-0.192,0.744,0.631,-6.564,0.417,0.828,0.235,-0.344,0.839,-6.624,-0.223,-0.606,-11.27,0.667,0.707,0.834,-0.474,-37.308,0.865,-447.636,0.882,-1.223,0.202,-5.868,-1.174,-44760.551,0.781,0.53,0.77,0.324,0.809,0.373,0.336,0.494,-2.525,-4.413,0.023,0.804,-0.033,0.029,0.709,-4.676,0.408,0.656,0.48,-67.368,-0.268,-0.517,-1.258,-22.543,-0.139,-1.67,0.557,-6.178,0.891,-2.221,0.756,-10.308,-0.088,-15.531,-1.521,0.556,-2.325,-11.142,0.567,0.805,0.105,0.301,0.415,-0.022,0.908,0.898,-37.689,0.679,0.582,-14.309,-0.748,0.649,-5.984,0.842,0.552,-0.159,0.738,-0.44,0.685,0.616,0.601,0.798,-2.613,0.614,-1.546
0.10,0.422,-0.076,0.5,0.732,0.259,0.883,0.097,-0.556,0.702,0.841,0.815,0.894,0.733,0.803,0.692,-2.897,0.851,0.615,0.714,0.472,0.463,0.784,0.242,0.811,0.825,0.413,0.545,-0.086,0.749,0.684,-0.087,-0.278,0.584,0.948,0.903,0.647,0.306,0.958,0.706,-11.026,-0.176,0.941,0.872,0.862,0.644,-1.28,0.654,0.87,0.494,0.959,0.365,0.241,0.864,0.084,-1.365,0.679,0.965,0.74,0.863,0.834,0.878,0.32,0.785,0.759,0.297,-0.453,-1.393,-0.052,0.694,0.508,0.589,0.814,0.671,-5.732,0.609,0.079,0.554,0.734,0.594,0.825,0.932,0.703,0.173,0.729,0.883,0.368,0.933,-1.14,0.931,0.924,0.686,0.82,0.692,0.857,-28.543,-3.672,0.693,0.815,-27.031,0.926
0.15,0.912,0.854,0.797,0.778,0.864,0.691,0.579,0.815,-1.646,0.908,0.775,0.62,0.733,0.658,0.875,0.959,0.687,0.745,0.863,0.718,-0.407,0.56,0.783,0.879,0.814,0.254,-0.812,0.631,0.447,0.857,0.26,-0.148,0.762,0.801,0.471,0.813,0.888,0.378,0.157,0.736,-13.261,0.887,0.768,0.841,0.808,0.804,0.961,0.843,0.801,0.866,0.771,0.568,0.447,0.651,0.868,0.625,0.019,0.675,0.613,0.962,0.414,0.485,0.607,-1.075,0.858,0.082,0.749,0.614,0.727,0.784,0.566,-1.997,0.822,0.587,0.645,0.835,0.418,0.548,0.714,0.693,0.732,0.895,0.226,0.744,0.902,0.786,0.908,0.903,0.768,0.872,0.873,-3.785,0.891,0.768,0.696,0.448,0.746,0.918,0.753,0.687
0.20,0.908,0.747,0.733,0.938,-0.091,0.717,-0.025,0.934,0.824,0.811,0.629,0.804,0.763,0.838,0.918,0.712,0.417,0.954,-0.005,0.817,0.178,0.874,0.684,0.938,0.723,0.706,0.837,0.959,0.579,0.698,0.839,0.956,0.439,0.496,0.329,0.844,0.901,0.917,0.941,0.597,0.838,0.774,0.198,0.719,0.748,0.929,0.537,0.824,0.877,0.882,-3.057,0.97,0.775,0.556,0.545,0.272,0.86,0.943,0.837,0.915,0.77,0.378,0.722,0.911,0.884,0.783,0.657,0.716,0.883,0.722,0.826,0.741,0.738,0.913,0.898,0.947,0.567,0.639,0.303,0.821,0.828,0.95,0.767,0.049,0.813,0.733,0.397,0.796,0.895,0.879,0.443,0.396,0.606,0.843,0.732,0.814,0.682,0.892,0.594,0.204
0.25,0.706,0.508,0.795,0.954,-0.068,0.88,0.825,0.78,0.56,0.802,0.912,0.579,0.862,0.833,0.916,0.821,0.921,0.878,0.93,0.845,-1.257,0.888,0.676,0.836,0.106,0.661,0.582,0.723,0.947,0.749,0.867,0.712,0.804,0.417,0.926,0.957,0.809,0.809,0.876,0.874,0.777,0.613,0.802,0.711,0.806,0.877,0.782,0.856,0.709,0.965,0.777,0.661,0.69,0.816,0.739,0.743,-0.201,0.905,0.652,0.852,0.911,0.652,0.929,0.912,0.764,0.847,0.859,0.898,0.934,0.761,0.783,0.582,0.922,0.739,0.561,0.874,0.813,0.934,0.722,0.865,0.783,0.967,0.914,0.797,0.762,0.822,0.95,0.957,0.823,0.87,0.856,0.754,0.809,0.66,0.872,0.92,0.751,0.9,0.763,0.7
0.30,0.925,0.87,0.707,0.853,0.752,0.716,0.922,0.873,0.875,0.473,0.915,0.965,0.919,0.72,0.818,0.891,0.767,0.938,0.939,0.704,0.608,0.884,0.851,-40.84,0.867,0.846,0.898,0.627,0.858,0.595,0.7,0.897,0.862,0.83,0.731,0.813,0.92,0.773,0.898,0.639,0.869,0.555,0.371,0.874,0.802,0.693,0.899,0.902,0.644,0.96,0.907,0.859,0.85,0.89,0.81,0.873,0.904,0.536,0.572,0.832,0.86,0.844,0.884,0.574,0.898,0.857,0.561,0.888,0.885,-0.209,0.878,0.524,0.088,0.904,0.876,0.918,0.928,0.93,0.943,0.906,0.787,0.892,0.944,0.757,0.932,0.934,0.923,0.946,0.888,0.25,0.788,0.74,0.895,0.78,0.936,0.738,0.887,0.689,0.117,0.963
0.35,0.065,0.805,0.914,0.893,0.861,0.651,0.872,0.88,0.801,0.909,0.857,0.947,0.915,0.669,0.257,0.864,0.877,0.786,0.895,0.959,0.587,0.744,0.855,0.914,0.818,0.898,0.766,0.864,0.878,0.829,0.779,0.861,0.839,0.956,0.885,0.933,0.787,0.864,0.972,-0.238,0.895,0.935,0.895,0.749,0.875,0.826,0.897,0.869,0.806,0.574,0.867,0.865,0.872,0.721,0.683,0.656,0.846,0.723,0.71,0.854,0.703,0.653,0.886,0.824,0.394,0.933,0.966,0.851,0.848,0.914,0.939,0.838,0.915,0.836,0.932,0.915,0.808,0.82,0.723,0.948,0.821,0.959,0.902,0.812,0.768,0.835,0.7,0.943,0.779,0.721,0.814,0.852,0.758,0.76,0.798,0.894,0.907,0.858,0.836,0.865
0.40,0.902,0.919,0.841,0.901,0.793,0.881,0.955,0.829,0.721,0.852,0.772,0.945,0.793,0.856,0.843,0.867,0.903,0.907,0.936,0.897,0.795,0.725,0.889,0.926,0.892,0.948,0.834,0.922,0.717,0.835,0.862,0.833,0.805,0.87,0.611,0.769,0.886,0.756,0.887,0.854,0.931,0.938,0.655,0.95,0.83,0.928,0.844,0.797,0.713,0.88,0.921,0.932,0.881,0.374,0.889,0.865,0.663,0.9,0.925,0.939,0.815,0.694,0.83,0.919,0.852,0.91,0.944,0.865,0.794,0.947,0.859,0.96,0.815,0.707,0.769,0.694,0.85,0.715,0.935,0.779,0.922,0.924,0.874,0.774,0.9,0.682,0.788,0.841,0.777,0.963,0.912,0.753,0.941,0.774,0.902,0.853,0.84,0.918,0.796,0.742
0.45,0.919,0.884,0.889,0.881,0.88,0.837,0.866,0.896,0.926,0.919,0.889,0.897,0.86,0.929,0.523,0.917,0.924,0.593,0.878,0.81,0.343,0.932,0.746,0.68,0.798,0.832,0.885,0.77,0.975,0.789,0.854,0.865,0.853,0.89,0.829,0.955,0.77,0.817,0.845,0.915,0.97,0.832,0.798,0.955,0.813,0.921,0.852,0.717,0.836,0.741,0.874,0.935,0.912,0.847,0.955,0.852,0.894,0.889,0.782,0.942,0.946,0.847,0.812,0.93,0.527,0.934,0.884,0.812,0.889,0.859,0.974,0.745,0.859,0.947,0.826,0.916,0.809,0.895,0.89,0.889,0.807,0.945,0.889,0.822,0.906,0.796,0.958,0.942,0.915,0.864,0.884,0.934,0.683,0.844,0.901,0.948,0.932,0.791,0.879,0.907
0.50,0.841,0.938,0.829,0.92,0.888,0.9,0.924,0.899,0.799,0.911,0.931,0.873,0.35,0.931,0.955,0.872,0.903,0.899,0.812,0.83,0.705,0.92,0.822,0.901,0.905,0.741,0.892,0.87,0.8,0.531,0.923,0.621,0.731,0.93,0.811,0.796,0.851,0.926,0.76,0.891,0.865,0.857,0.93,0.908,0.831,0.948,0.786,0.844,0.818,0.919,0.925,0.957,0.777,0.627,0.926,0.726,0.736,0.918,0.882,0.826,0.971,0.771,0.87,0.903,0.906,0.928,0.833,0.891,0.943,0.74,0.832,0.871,0.847,0.945,0.789,0.812,0.884,0.704,0.856,0.873,0.785,0.851,0.921,0.808,0.789,0.889,0.878,0.923,0.854,0.96,0.868,0.969,0.951,0.706,0.895,0.947,0.794,0.861,0.838,0.807
