ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.149,-0.115,0.126,-0.241,0.284,0.886,0.898,-2.268,0.917,0.71,-8.425,0.765,-4.954,0.679,0.479,0.861,0.955,-1.782,-0.572,-76.79,-0.032,-7.967,0.851,-0.171,0.826,-0.187,0.114,0.763,0.109,0.079,-2.314,-0.087,-2.389,0.773,0.791,0.692,0.276,-0.094,0.316,0.493,0.55,0.479,0.721,0.219,0.44,-0.358,-3.3,-64.721,0.473,-0.988,0.584,0.178,0.632,-0.228,0.815,0.226,0.177,0.312,0.376,-2.297,0.795,-3.069,0.797,0.747,0.293,-0.982,0.637,-3.939,-48.779,-2.138,0.973,0.042,0.58,0.801,0.892,-20.754,-0.149,0.787,-7.732,-0.362,0.333,-0.331,0.391,-66.167,0.903,0.788,-2.014,-4.654,-1.079,0.401,-3.461,-0.55,0.354,-13.596,-0.661,0.104,-1.873,-0.614,-0.891,0.638
0.10,-8.932,0.922,0.764,0.687,-0.059,0.358,0.901,0.582,0.958,0.379,-0.11,-0.364,0.411,0.553,0.84,0.879,0.687,0.87,-0.123,0.38,0.931,0.728,-0.314,0.907,0.795,0.563,0.821,0.771,0.885,0.823,0.525,0.767,0.893,0.907,0.871,0.827,0.865,-1.328,0.852,0.178,-0.064,-3.209,-16.592,0.358,0.597,0.713,-11.72,0.844,0.706,0.951,-0.039,-1.637,-0.377,0.945,0.585,0.669,0.967,-1.198,0.863,0.707,-1.084,0.335,0.654,0.377,0.639,0.47,0.565,-0.932,0.882,0.911,0.837,0.136,0.837,0.708,0.038,0.746,0.577,0.881,-12.379,-0.508,0.92,0.575,0.409,0.608,0.824,-0.764,-5.426,0.218,0.462,-1.737,-6.043,0.858,0.679,0.743,0.734,0.808,0.785,0.052,0.636,-37.445
0.15,0.89,0.776,0.961,-0.695,0.724,0.901,0.556,0.152,0.804,0.64,0.978,0.368,0.928,0.808,0.727,0.742,0.697,0.932,0.319,-0.377,0.836,0.868,0.944,0.204,0.959,0.825,0.815,0.691,-0.229,0.787,0.378,0.674,0.838,0.691,0.921,0.783,0.757,0.182,0.59,0.87,-4.1,0.656,0.608,0.9,0.709,-2.664,0.826,0.874,-1.641,0.87,0.699,0.953,0.827,0.893,0.833,0.222,0.879,0.489,0.763,0.724,0.721,0.778,0.839,0.167,0.863,0.898,0.6,0.007,0.843,-0.246,-0.047,0.412,0.754,0.843,0.633,0.153,0.932,0.818,0.786,0.825,0.905,0.757,0.656,0.62,0.768,0.662,0.78,0.511,0.887,0.89,-0.428,0.825,0.921,0.826,0.769,0.921,0.898,0.873,0.824,0.894
0.20,0.617,0.815,0.764,0.93,0.79,0.675,0.686,0.694,0.764,0.766,0.91,0.804,0.303,0.758,0.932,0.916,0.817,0.713,-0.77,0.63,0.861,0.965,0.711,0.956,0.751,-0.117,0.771,0.135,0.64,0.923,0.593,0.873,0.947,0.921,0.691,0.824,0.896,0.566,0.904,0.959,-0.251,0.933,0.879,0.822,0.873,0.926,0.228,0.766,0.69,0.923,0.894,0.775,0.378,0.725,0.468,0.92,0.597,0.851,0.836,0.639,-0.084,0.876,0.965,0.632,0.384,0.524,0.703,0.789,0.596,0.17,0.186,0.687,0.845,0.83,0.885,0.486,0.825,0.933,0.847,0.627,0.837,0.721,-2.435,0.859,0.723,0.709,-0.106,0.708,0.74,-0.057,0.755,0.956,0.661,0.784,0.923,0.894,0.852,0.877,0.899,0.733
0.25,0.428,0.577,0.787,0.805,0.805,0.974,0.884,0.516,0.899,0.592,0.939,0.814,0.539,0.659,0.745,0.923,0.7,0.948,0.724,0.498,0.85,0.892,0.803,0.744,0.658,0.866,0.781,0.874,0.862,0.614,0.907,0.658,0.655,0.824,0.9,0.87,0.819,0.911,0.376,0.92,0.598,0.891,0.751,0.701,0.814,0.826,0.867,0.159,0.791,0.703,0.685,0.829,0.526,0.869,0.811,0.612,0.757,0.68,0.944,0.473,0.941,0.766,0.543,0.502,0.852,0.912,0.879,0.821,0.537,0.195,0.651,0.922,0.919,0.756,0.843,0.354,0.95,0.874,0.555,0.935,0.289,0.898,0.861,0.517,0.824,0.809,0.624,0.927,0.914,0.824,0.938,0.914,0.656,0.78,0.931,0.934,0.82,0.776,0.818,0.898
0.30,0.914,0.618,0.9,0.831,0.845,0.826,0.927,0.733,0.824,0.864,0.866,0.642,0.904,0.867,0.845,0.871,0.759,0.9,0.783,0.607,0.807,0.878,0.787,0.495,0.745,0.783,0.865,0.838,0.727,0.803,0.879,0.905,0.913,0.911,0.834,0.887,0.921,0.584,0.953,0.87,0.543,0.944,0.795,0.734,0.617,0.829,0.641,0.876,0.669,0.672,0.886,0.895,-8.053,0.978,0.955,0.759,0.786,0.871,0.719,0.795,0.968,0.918,0.873,0.91,0.695,0.904,0.883,0.723,0.728,0.878,0.807,0.795,0.906,0.582,0.738,0.736,0.601,0.932,0.782,0.91,0.528,0.87,0.896,0.583,0.846,0.841,0.765,0.758,0.833,0.883,0.886,0.873,0.864,0.762,0.583,0.92,0.558,0.874,0.701,0.877
0.35,0.907,0.935,0.949,0.946,0.686,0.949,0.814,-0.542,0.829,0.816,0.809,0.929,0.768,0.864,0.651,0.811,0.606,0.807,0.63,-0.884,0.796,0.901,0.782,0.876,0.665,0.787,0.864,0.772,0.93,0.825,0.837,0.903,0.959,0.881,0.761,0.88,0.729,0.784,0.874,0.931,0.682,0.693,0.903,0.665,0.859,0.945,0.706,0.917,0.963,0.75,0.881,0.865,0.714,0.87,0.8,0.893,0.765,0.657,0.839,0.925,0.947,0.82,0.821,0.739,0.857,0.834,0.434,0.842,0.571,0.901,0.774,0.834,0.77,0.775,0.861,0.918,0.905,0.85,-0.141,0.78,0.883,0.722,0.809,0.764,0.565,0.938,0.816,0.87,0.847,0.922,0.874,0.885,0.896,0.277,0.768,0.937,0.917,0.93,0.794,0.725
0.40,0.892,0.925,0.722,0.897,0.65,0.925,0.904,0.632,0.913,0.895,0.905,0.881,0.879,0.878,0.895,0.928,0.815,0.893,0.876,0.905,0.784,0.901,0.891,0.923,0.727,0.905,0.872,0.808,0.958,0.898,0.787,0.818,0.841,0.766,0.887,0.842,0.744,0.836,0.952,0.956,0.806,0.935,0.766,0.88,0.874,0.944,0.781,0.786,0.725,0.858,0.219,0.926,0.859,0.849,0.731,0.853,0.904,0.802,0.884,0.833,0.829,0.796,0.044,0.912,0.921,0.946,0.769,0.835,0.935,0.895,0.797,0.887,0.872,0.933,0.844,0.936,0.828,0.701,0.966,0.76,0.921,0.583,0.872,0.87,0.838,0.939,0.819,0.8,0.93,0.809,0.883,0.832,0.837,0.825,0.821,0.902,0.911,0.939,0.887,0.849
0.45,0.788,0.855,0.877,0.706,0.809,0.791,0.844,0.699,0.761,0.912,0.942,-0.311,0.682,0.974,0.828,0.902,0.851,0.821,0.91,0.82,0.938,0.792,0.893,0.906,0.903,0.918,0.842,0.928,0.894,0.866,0.787,0.89,0.785,0.502,0.815,0.789,0.768,0.936,0.887,0.942,0.485,0.811,0.676,0.827,0.878,0.875,0.751,0.873,0.965,0.849,0.828,0.828,0.824,0.845,0.842,0.915,0.874,0.893,0.903,0.917,0.89,0.901,0.723,0.906,0.884,0.957,0.869,0.959,0.903,0.876,0.869,0.881,0.901,0.855,0.897,0.815,0.738,0.801,0.937,0.759,0.78,0.916,0.786,0.855,0.843,0.935,0.783,0.796,0.902,0.837,0.929,0.928,0.861,0.913,0.888,0.9,0.914,0.677,0.815,0.882
0.50,0.915,0.817,0.911,0.886,0.848,0.878,0.812,0.62,0.9,0.802,0.904,0.853,0.843,0.837,0.922,0.903,0.978,0.74,0.854,0.928,0.903,0.765,0.925,0.925,0.426,0.712,0.881,0.927,0.859,0.772,0.874,0.928,0.838,0.92,0.765,0.966,0.867,0.89,0.859,0.905,0.944,0.892,0.862,0.75,0.923,0.906,0.793,0.895,0.877,0.777,0.934,0.9,0.788,0.884,0.989,0.837,0.882,0.922,0.87,0.771,0.855,0.925,0.856,0.873,0.902,0.842,0.766,0.877,0.957,0.875,0.918,0.869,0.884,0.949,0.884,0.867,0.788,0.898,0.686,0.577,0.837,0.904,0.84,0.952,0.93,0.763,0.474,0.669,0.836,0.899,0.874,0.818,0.852,0.891,0.871,0.942,0.813,0.848,0.883,0.829
