random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9898940149450245
0,0,0.10,0.99340571167683
0,0,0.15,0.9927017439396462
0,0,0.20,0.9951126880067771
0,0,0.25,0.9922021374832108
0,0,0.30,0.9968566893870192
0,0,0.35,0.9970655996263313
0,0,0.40,0.9944537296304651
0,0,0.45,0.9963664125024445
0,0,0.50,0.9976328115341766
0,0,0.55,0.9913237017720169
0,0,0.60,0.997099045604487
0,0,0.65,0.9972932637450791
0,0,0.70,0.9973493085798587
0,0,0.75,0.9948757771416037
0,0,0.80,0.9975005976478223
0,0,0.85,0.9931375319114056
0,0,0.90,0.9901555686922341
0,0,0.95,0.9979235857623977
0,1,0.05,0.9910778917932281
0,1,0.10,0.9935845800408433
0,1,0.15,0.9930369051686039
0,1,0.20,0.9947159438497897
0,1,0.25,0.9952167519546539
0,1,0.30,0.991440761116042
0,1,0.35,0.997761047530701
0,1,0.40,0.9958672277503631
0,1,0.45,0.994787565799735
0,1,0.50,0.9949949286355496
0,1,0.55,0.9978822966778627
0,1,0.60,0.9911369848391424
0,1,0.65,0.9976579471204204
0,1,0.70,0.9923118896190866
0,1,0.75,0.9954578945320889
0,1,0.80,0.9974732797227519
0,1,0.85,0.9974503491703813
0,1,0.90,0.9975299739011169
0,1,0.95,0.9919534481468342
0,2,0.05,0.9869552474172824
0,2,0.10,0.9923273992129114
0,2,0.15,0.9892774440431399
0,2,0.20,0.994538655641397
0,2,0.25,0.993013255139531
0,2,0.30,0.9963301375011918
0,2,0.35,0.9966540351892068
0,2,0.40,0.9971809969285791
0,2,0.45,0.9974054060922152
0,2,0.50,0.997161007764475
0,2,0.55,0.9975766533583834
0,2,0.60,0.9939015936480834
0,2,0.65,0.9919884855181967
0,2,0.70,0.9944640458820689
0,2,0.75,0.9974339200237016
0,2,0.80,0.9947103413164028
0,2,0.85,0.9977841380161339
0,2,0.90,0.9956781860345364
0,2,0.95,0.9979580147603092
0,3,0.05,0.9877268576459521
0,3,0.10,0.9913336097933878
0,3,0.15,0.9940498424152279
0,3,0.20,0.9943011161786117
0,3,0.25,0.9935885211348567
0,3,0.30,0.9942733318097224
0,3,0.35,0.9980158566838274
0,3,0.40,0.9961731709547258
0,3,0.45,0.9960308750575293
0,3,0.50,0.9971834550125502
0,3,0.55,0.9956097583595955
0,3,0.60,0.995665712794463
0,3,0.65,0.9974229207986534
0,3,0.70,0.9957644827741474
0,3,0.75,0.9978542036316338
0,3,0.80,0.9977780183204678
0,3,0.85,0.9980654871506376
0,3,0.90,0.9976803811739509
0,3,0.95,0.9919022147284071
0,4,0.05,0.9869304424482469
0,4,0.10,0.9865342353596604
0,4,0.15,0.9862748319682144
0,4,0.20,0.9954632196742139
0,4,0.25,0.9971934453198789
0,4,0.30,0.9950464747944414
0,4,0.35,0.996628349805151
0,4,0.40,0.9934090382314708
0,4,0.45,0.9938457219529846
0,4,0.50,0.9970784953940747
0,4,0.55,0.9948398926004561
0,4,0.60,0.9945628703648729
