random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.7128153602955737
0,0,0.10,0.2555098877828722
0,0,0.15,0.6307257397415642
0,0,0.20,0.9231094196553777
0,0,0.25,0.8342915863205926
0,0,0.30,0.8034861902323813
0,0,0.35,0.9185379043275252
0,0,0.40,0.8145912253169838
0,0,0.45,0.88541858416681
0,0,0.50,0.9040102205714288
0,0,0.55,0.976618471743162
0,0,0.60,0.9334477118022231
0,0,0.65,0.9529204461017194
0,0,0.70,0.8855638515146688
0,0,0.75,0.9469589868761505
0,0,0.80,0.9605945486931261
0,0,0.85,0.9277000242764644
0,0,0.90,0.9389001734274534
0,0,0.95,0.9567997622811061
0,1,0.05,-0.17536640160993744
0,1,0.10,0.7929890953945324
0,1,0.15,0.5531909825165612
0,1,0.20,0.6678213456792039
0,1,0.25,0.7401991110696031
0,1,0.30,0.6547285684419609
0,1,0.35,0.8175811063167122
0,1,0.40,0.9405069736711571
0,1,0.45,0.7592368068649304
0,1,0.50,0.9323126769746475
0,1,0.55,0.7837282200334135
0,1,0.60,0.9236162906900975
0,1,0.65,0.9545518919949949
0,1,0.70,0.9183943552007089
0,1,0.75,0.9624916624873692
0,1,0.80,0.9412395424565763
0,1,0.85,0.8491775569443074
0,1,0.90,0.8804753460751318
0,1,0.95,0.9279383663699308
0,2,0.05,-2.300005045793665
0,2,0.10,0.577566408625831
0,2,0.15,0.5140058056848388
0,2,0.20,0.8190800243955219
0,2,0.25,0.8758606169631666
0,2,0.30,0.9184963912667998
0,2,0.35,0.8692423523496904
0,2,0.40,0.9216333251786741
0,2,0.45,0.8012703758357838
0,2,0.50,0.9499275315990916
0,2,0.55,0.958121228927242
0,2,0.60,0.9020984389379259
0,2,0.65,0.9487685950290977
0,2,0.70,0.9672842780651109
0,2,0.75,0.9252222170671269
0,2,0.80,0.9564827403499138
0,2,0.85,0.9259615909434588
0,2,0.90,0.8998423152015257
0,2,0.95,0.9478222372298795
0,3,0.05,-0.23872460544712304
0,3,0.10,0.6499887463338909
0,3,0.15,0.5852348917543395
0,3,0.20,0.5727009253478723
0,3,0.25,0.7670451147223947
0,3,0.30,0.9288228948009407
0,3,0.35,0.8695188272499029
0,3,0.40,0.9553230988360529
0,3,0.45,0.9537016115878768
0,3,0.50,0.8296386207358234
0,3,0.55,0.9402588762861204
0,3,0.60,0.9327075520035252
