ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,-0.585,-5.707,-3.849,-23.347,-17.827,-1.557,-5860.157,0.061,-2.824,-1.54,0.584,-1.548,-7704.811,-16.619,-8.129,0.734,-27.963,-40.846,-4.372,-0.965,-5.483,-3.772,0.787,-1470.835,-0.466,0.572,-213.458,-4.631,-10.654,-682.722,-38.998,-15.509,-3.373,-0.454,-80369.014,-628.143,-514446.113,0.27,-93.566,-1.024,-822.286,-6.921,-1.34,-1.661,-0.05,-2.466,-133.339,-237.231,-1.764,0.58,-79.142,-5.514,-0.796,-19.02,-21.271,0.946,0.312,-1873.171,-129.287,-5.729,-5.941,-50.85,0.375,-4.766,0.392,-0.114,-2.841,-1114.947,0.29,-6.201,-1.356,-2.688,0.505,-99.533,-4.021,-1.806,-28.545,0.248,0.805,-563.836,-20.671,-1.412,-0.315,-2.548,0.9,-0.283,-0.732,-0.206,-0.526,0.241,-571.284,-1.008,-2.489,-7.757,0.951,-2.01,0.784,-31.894,-3.282,-59.182
0.10,0.788,-3.736,-15.207,0.207,-21.579,0.658,-2.589,-78.159,0.429,-0.67,-212.659,-0.283,0.639,-10.123,0.666,0.958,-1.614,-20.086,0.872,0.35,0.461,-5.246,-0.293,0.114,-8.219,0.907,-2469.875,0.611,-49.943,0.382,0.173,0.391,0.905,0.708,0.731,-14.003,0.455,-7.613,-3.826,0.673,-17.332,0.509,-0.932,0.456,-1.444,-0.93,-9.252,0.495,0.893,0.433,-1.334,0.546,0.689,0.099,-31.97,0.64,-0.935,0.642,-70.535,-0.316,-0.232,0.393,-0.412,-1.382,0.418,-1.812,0.215,-0.458,0.133,0.358,0.697,-0.956,-3.778,0.728,-57.36,-0.673,0.457,-10.596,0.048,0.989,0.241,-5.926,0.922,-0.604,-18.103,0.757,-11.595,-35.645,0.331,0.209,-11.672,0.36,-0.204,-11.056,0.805,0.933,-7.218,0.104,-138.513,-5.525
0.15,-0.091,0.078,-0.417,-0.815,-0.848,0.785,0.788,0.581,0.547,0.597,0.799,0.472,-7.391,-2.24,-36.457,-0.386,-4.318,0.82,-1.942,-25.745,-0.721,0.716,-0.052,0.201,-0.244,0.743,-88.259,-0.125,0.806,-1.752,0.563,0.06,0.926,-2.226,-1.043,0.26,0.718,-1.005,-2.054,0.555,0.513,0.593,0.662,0.405,0.663,0.215,0.367,0.629,0.935,-0.029,0.725,0.509,0.645,0.968,-0.149,0.625,0.422,0.121,-0.414,-8.216,-4.779,0.627,0.579,-0.918,0.788,0.305,-14.752,0.735,0.625,0.668,-0.228,0.609,-11.084,-0.148,0.807,-41.89,0.244,-13.34,0.325,0.86,-0.539,0.798,0.63,0.22,-20.426,-0.592,-1.397,0.689,0.462,0.852,0.635,-2.66,0.813,0.487,0.833,-1.821,-1.111,-2.667,0.287,-0.254
0.20,0.302,0.28,-1.927,0.114,0.506,0.89,0.595,0.927,0.565,0.423,0.809,-0.065,0.22,-12.919,0.625,0.072,0.838,0.725,0.365,-16.674,-4.871,0.351,0.582,0.853,0.838,0.802,0.505,0.631,0.318,0.488,-5.783,0.043,0.744,0.559,0.699,0.558,-1.918,0.658,0.582,-1.574,0.284,0.721,0.562,-0.323,0.435,0.776,-10.112,0.804,0.796,0.898,0.658,-5.609,0.726,-0.358,-0.28,-1.629,0.757,0.339,0.388,0.659,0.598,0.787,0.788,0.758,-0.991,-12.381,-2.934,0.752,-14.92,0.603,-0.35,0.344,0.278,0.246,0.659,-11.628,0.824,-0.654,0.678,0.49,-0.796,0.849,0.593,-3.047,-0.081,-6.156,0.916,0.918,0.864,0.959,0.949,0.893,-0.247,0.566,0.838,0.733,0.239,-1.972,0.864,0.778
0.25,-1.662,0.627,0.829,-0.14,0.602,0.558,0.768,0.615,0.967,0.138,0.069,0.854,0.285,0.714,0.455,0.805,0.257,0.63,0.842,0.445,-1.258,0.623,0.486,0.23,-1.301,0.748,0.599,0.695,0.858,0.748,0.539,0.793,-0.389,0.758,0.994,-0.821,0.38,0.737,0.474,0.525,0.854,0.27,0.468,0.687,0.572,0.964,0.826,0.277,0.875,0.724,0.544,0.434,0.756,0.959,0.39,0.846,0.069,0.687,0.88,-1.288,0.698,0.812,-0.059,0.146,0.721,0.895,0.506,0.825,-0.76,0.678,0.545,0.641,0.913,0.515,-0.536,0.79,0.941,0.965,0.959,0.364,0.877,0.901,0.646,0.624,0.957,0.24,0.804,0.901,0.26,0.82,0.69,0.839,0.467,0.952,0.913,0.316,0.977,0.894,-0.784,0.744
0.30,0.981,-2.477,0.68,-0.93,0.954,0.097,0.769,0.549,0.67,0.972,0.981,0.623,0.115,0.606,0.692,0.927,0.963,0.415,0.639,0.933,0.878,0.828,0.975,0.946,0.844,0.507,0.699,-2.151,0.462,0.393,0.8,0.95,0.956,0.954,0.833,0.875,0.95,0.87,0.889,0.808,-0.056,0.784,0.711,0.968,0.82,0.815,0.865,0.941,0.935,0.861,0.561,0.76,0.909,0.578,0.837,0.922,0.9,0.795,0.685,0.672,0.698,0.838,0.727,0.981,-0.782,-0.214,0.943,0.736,0.878,0.971,0.879,0.884,0.344,0.702,0.791,0.86,0.963,0.535,0.95,0.793,0.066,0.952,0.91,0.044,0.762,0.912,-0.927,0.879,0.901,0.944,0.68,0.218,0.9,0.368,0.924,0.205,0.399,0.908,0.925,-0.16
0.35,0.339,0.895,0.543,-46.229,0.67,0.676,0.979,0.707,0.823,0.545,0.949,0.872,0.668,0.857,0.835,0.713,0.988,0.919,0.968,0.756,0.973,0.793,0.787,0.003,0.91,0.964,0.784,0.903,0.916,0.909,0.822,0.753,0.916,0.951,0.56,0.928,0.644,0.799,0.893,0.867,0.823,0.835,0.841,0.926,0.939,0.723,0.89,0.869,0.895,0.925,0.377,0.861,0.98,0.827,-2.245,0.729,0.201,0.847,0.993,0.687,0.785,0.883,0.966,0.981,0.778,0.457,0.523,0.973,0.956,0.88,0.738,0.866,0.849,0.878,0.9,0.825,0.668,0.814,0.787,0.954,-0.16,0.929,0.876,0.85,0.709,0.92,0.949,0.71,0.89,0.956,0.468,0.876,0.933,0.818,0.863,0.917,0.808,-0.25,0.939,-2.535
0.40,0.863,0.764,0.955,0.803,0.833,0.79,0.95,0.407,0.846,0.945,0.871,0.869,0.875,0.789,0.344,0.526,0.963,0.903,0.171,0.753,0.175,0.87,0.816,0.911,0.929,0.785,0.901,0.924,0.894,0.918,0.868,0.972,0.959,0.867,0.924,0.844,0.711,0.941,0.957,0.743,0.263,0.986,0.765,0.944,0.732,-0.181,0.749,0.791,0.873,0.983,0.863,0.933,0.927,0.865,0.279,0.927,0.901,0.659,0.866,0.823,0.973,0.359,0.915,0.956,0.917,0.751,0.961,0.921,0.9,0.852,0.809,0.922,0.957,0.966,0.873,0.801,0.938,0.931,0.953,0.771,0.537,0.864,0.905,0.501,0.979,0.937,0.94,0.966,0.936,0.768,0.945,0.542,0.684,0.958,0.789,0.981,0.906,0.862,0.898,0.73
0.45,0.953,0.89,0.967,0.775,0.915,0.936,0.882,0.531,0.942,0.913,0.973,0.769,0.899,0.908,0.855,0.924,0.295,0.949,0.659,0.984,0.949,0.957,0.941,0.92,0.782,-0.441,0.957,0.903,0.825,0.759,0.829,0.828,0.926,0.477,0.962,0.759,0.91,0.926,0.843,0.941,0.86,0.885,0.887,0.784,0.886,0.918,0.89,0.946,0.769,0.902,0.878,0.958,0.951,0.912,0.892,0.964,0.821,0.963,0.699,0.906,0.938,0.978,0.892,0.783,0.944,0.857,0.973,0.922,0.949,0.935,0.921,0.812,0.955,0.956,0.889,0.961,0.94,0.935,0.99,0.714,0.95,0.943,0.852,0.931,0.921,0.935,0.96,0.901,0.973,0.918,0.906,0.962,0.717,0.892,0.848,0.944,-3.98,-0.239,0.817,0.866
0.50,0.741,0.928,0.959,0.93,0.887,0.863,0.977,0.883,0.952,0.589,0.673,0.957,0.831,0.935,0.902,0.917,0.963,0.964,0.957,0.977,0.913,0.244,0.71,0.893,0.972,0.576,0.964,0.923,0.826,0.982,0.755,0.972,0.621,0.968,0.914,0.209,0.957,-0.319,0.874,0.949,0.974,0.545,0.966,0.755,0.86,0.698,0.903,0.914,0.855,0.861,0.897,0.868,0.805,0.881,0.969,0.937,0.44,0.879,0.931,0.976,0.875,0.674,0.977,0.974,0.842,0.76,0.871,0.817,0.849,0.961,0.958,0.898,0.916,0.911,0.897,0.933,0.977,0.94,0.204,0.723,0.817,0.957,0.847,0.924,0.897,0.906,0.797,0.965,0.938,0.903,0.914,0.912,0.925,0.946,0.625,0.972,0.983,0.949,0.863,0.875
