ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.716,-5.249,-12.879,-649.861,0.814,-0.383,0.94,-0.043,-241.874,0.039,0.475,-1.76,-22.942,0.499,-653.389,-52.561,-12.082,-6.423,0.247,-132.85,-28.127,-9.902,-1.84,-110.31,0.7,-2.256,-7.703,0.941,-10.356,-33.384,-1.549,-25.932,-0.729,-39.955,0.974,-16961.7,-905.953,0.908,-5374.447,-8.703,-18.546,-0.864,-58.781,0.74,-5.34,-0.421,-19.296,-0.504,-4.161,-778.92,0.297,-0.236,-168.285,-253.612,-0.831,0.266,-6.84,-101.815,-1.284,-109.809,-188490.923,-16.821,-0.752,-0.805,-1.203,-558.141,0.455,-88.558,-54.724,-0.582,0.487,-17.798,-1.146,-257.902,-3.315,0.455,-4.806,0.943,0.96,-2.368,-12.821,0.027,0.279,-4.082,0.233,0.777,-0.195,0.928,-0.078,0.3,-12.748,0.183,-3.72,-18.446,-0.109,-19.712,0.533,0.57,0.349,-56.475
0.10,0.951,-10.201,0.873,-0.128,-11.597,-0.41,-6.123,-8.449,-2.325,0.913,-1.332,0.75,0.338,0.68,0.443,-0.224,-6.67,-2.596,-2.329,-11.519,-1.356,0.158,-21.784,0.675,-3.398,0.664,-7.193,0.266,-0.341,0.743,-6.006,-2.44,0.636,0.788,-0.022,0.887,-0.054,0.846,0.572,0.207,0.456,0.411,-990.992,0.871,-8.456,0.193,0.377,0.148,-4.183,-0.702,-711.718,-23.524,-1.103,-103.799,-99.891,0.226,0.829,0.327,0.736,-23.463,-2.296,0.48,-4.78,-2.059,0.385,-7.968,-790.627,-165.402,-2.514,-10.919,-12.921,-0.028,-0.501,-7.294,-1.24,-0.637,-7.145,0.984,0.069,-4.62,-6.311,-0.056,-2.721,-0.644,-64.279,-0.341,-0.117,-20.565,-2.804,0.443,-4.317,0.889,-6.649,-0.854,0.674,0.982,0.665,0.537,0.468,0.53
0.15,-0.337,-0.847,0.267,0.686,0.816,-9.489,-5.796,0.476,0.06,0.437,0.597,0.439,0.477,0.87,-6.91,0.743,-0.209,0.066,-0.864,-245.885,-2.258,0.589,0.257,-0.443,0.611,0.393,0.033,-0.901,0.227,-10.135,0.75,0.531,-1.915,0.653,0.395,-1.191,-1.377,-0.673,-0.908,-2.188,0.918,0.263,0.409,0.911,0.713,-2.979,-10.818,0.446,0.924,-0.341,0.838,-2.634,-0.752,0.946,-18.094,0.348,-0.041,0.224,0.05,0.953,-5.394,0.633,0.803,-0.739,-0.208,0.776,-356.994,-0.971,-7.172,-0.347,0.887,0.434,0.781,0.485,0.326,-8.701,-0.737,0.422,0.812,-1.62,0.137,0.805,0.299,0.161,0.183,0.496,0.667,0.17,0.004,-0.082,0.106,-39.172,0.672,-84.804,0.955,-0.373,-2.163,0.501,-0.591,0.847
0.20,0.779,0.919,0.293,-5.819,0.311,-0.195,0.879,0.642,-0.705,0.354,0.71,0.687,-1.519,0.856,0.141,0.81,-0.043,-0.304,-2.5,-0.385,-1.841,0.476,0.466,0.607,0.264,0.05,0.741,0.711,-1.442,0.522,0.037,-0.224,0.653,0.796,-0.375,0.107,0.543,0.222,-0.254,-1.389,0.544,0.869,0.619,-8.695,0.193,0.928,-0.522,0.787,0.79,0.733,0.873,0.811,0.795,0.706,0.757,0.881,0.876,-0.661,0.714,0.875,-0.398,0.976,0.493,0.778,0.653,-0.258,-1.253,0.382,-0.182,0.917,-1.892,0.833,0.343,0.641,-0.054,0.184,0.211,0.694,-3.948,-3.186,0.594,0.562,0.377,-0.408,-7.43,0.746,0.977,-1.025,0.891,0.53,0.802,0.963,0.516,0.956,0.603,0.465,0.915,0.538,0.414,-0.242
0.25,0.833,0.506,0.812,0.805,0.6,0.891,0.53,0.827,-0.343,0.913,-0.93,0.371,0.688,0.674,0.802,0.53,0.726,-0.814,0.852,-0.938,0.594,0.947,0.866,0.511,0.74,-0.01,0.527,0.522,0.868,0.619,0.302,0.642,-0.01,0.905,0.852,0.053,0.943,0.912,0.179,-76.271,-5.073,0.816,-0.963,0.831,0.88,0.936,0.941,0.673,0.691,0.712,0.653,0.173,0.619,-0.38,0.782,0.237,0.511,0.388,0.825,0.691,0.942,0.246,0.794,0.744,0.819,0.602,-0.83,0.51,0.36,0.838,0.695,-0.361,0.91,0.825,-0.134,0.738,0.748,-2.723,0.593,0.675,0.731,0.863,0.386,0.739,0.605,0.765,0.592,0.694,0.899,0.848,0.519,0.718,0.837,0.693,0.796,-8.082,0.419,0.911,0.603,-1.373
0.30,0.764,0.906,0.801,0.831,0.938,-0.778,0.932,0.352,0.886,0.892,0.899,0.437,0.062,0.907,0.808,0.912,0.675,0.832,0.472,-1.097,0.937,0.768,0.934,0.776,0.965,0.734,0.932,-9.009,0.94,0.26,0.134,0.799,-288.921,0.787,0.766,0.535,0.913,0.898,0.815,0.477,0.5,0.928,0.549,0.221,0.935,0.84,0.824,0.727,0.894,0.81,0.27,0.954,0.898,0.892,0.348,0.842,0.909,0.781,0.9,0.102,0.838,0.916,0.596,0.377,-3.695,0.739,0.712,0.862,0.934,0.881,0.943,0.631,0.756,0.352,-0.151,0.705,0.814,0.949,0.907,0.797,0.445,0.858,-0.559,0.947,0.863,0.268,0.496,0.889,-1.126,0.571,0.95,0.907,0.698,-1.403,0.077,0.788,0.681,-1.907,-2.521,0.308
0.35,0.818,0.872,0.948,0.682,0.812,0.77,0.851,0.814,0.873,0.541,0.826,0.674,0.861,0.887,0.921,0.994,0.504,-0.884,0.805,0.964,0.818,-2.075,0.564,0.876,0.901,0.432,0.619,0.843,0.295,0.754,0.676,0.276,0.469,0.737,0.907,0.925,0.957,0.961,0.903,0.856,0.872,0.938,0.758,0.951,0.705,0.81,0.2,0.731,-0.211,0.822,0.785,0.843,0.897,0.942,-2.635,0.921,0.878,0.953,0.878,0.594,0.956,0.843,0.87,0.984,0.928,0.95,0.934,0.833,0.967,0.631,0.23,0.796,0.662,0.643,0.807,0.84,0.669,0.268,0.848,0.795,0.925,0.854,0.665,0.901,0.397,0.683,0.948,0.7,0.786,0.799,0.894,0.899,0.9,0.182,0.861,0.944,0.681,0.856,-9.784,0.955
0.40,0.723,0.805,0.879,0.187,0.898,0.71,0.964,0.956,0.864,0.963,0.725,0.775,0.921,0.949,0.761,0.845,0.985,0.635,0.276,0.921,0.838,0.85,0.951,0.712,-2.575,0.895,0.918,0.853,0.493,0.782,0.865,0.042,0.95,0.663,0.798,0.886,0.881,0.955,0.864,0.958,0.844,0.938,0.909,0.967,-0.045,0.802,0.605,0.755,0.847,0.966,0.971,0.861,0.791,0.905,0.91,0.627,0.754,0.947,0.913,0.963,0.99,0.774,0.92,0.797,0.629,0.95,0.958,0.958,0.549,0.975,0.965,0.984,0.934,0.596,0.7,0.904,0.954,0.284,0.573,0.872,0.911,0.945,0.928,0.661,0.47,0.974,0.807,0.862,0.912,0.762,0.586,0.084,0.654,0.853,0.494,0.943,0.821,0.981,0.916,0.953
0.45,0.946,0.896,0.882,0.951,0.907,0.759,0.636,0.743,0.949,0.897,0.936,0.879,0.928,0.764,0.641,0.889,0.914,0.939,0.596,0.897,0.869,0.698,0.956,0.735,0.709,0.964,0.912,0.755,0.979,0.83,0.721,0.975,0.536,0.892,0.811,0.656,0.935,0.921,0.915,0.924,0.913,0.973,0.899,0.539,0.861,0.841,0.965,0.878,0.893,0.633,0.774,0.959,0.941,0.788,0.865,0.946,0.953,0.915,0.874,0.88,0.935,0.887,0.868,0.86,0.9,0.44,0.926,0.909,0.931,0.874,0.586,0.941,0.979,0.828,0.906,0.918,0.982,0.95,0.823,0.796,0.974,0.906,0.771,0.703,0.79,0.687,0.948,0.785,0.974,0.96,0.941,0.879,0.94,0.65,0.857,0.73,0.889,0.943,0.952,0.836
0.50,0.88,0.881,0.937,0.975,0.575,0.919,0.961,0.74,0.982,0.935,0.523,0.954,0.708,0.968,0.953,0.89,0.931,0.915,0.96,0.822,0.985,0.595,0.614,0.884,0.858,0.867,0.95,0.966,0.668,0.571,0.8,0.978,0.734,0.809,0.942,0.933,0.98,0.825,0.927,0.811,0.583,0.968,0.95,0.958,0.889,0.91,0.173,0.939,0.983,0.974,0.822,0.949,0.752,0.629,0.858,0.943,0.835,0.891,0.928,0.868,0.943,0.921,0.952,0.885,0.938,0.9,0.977,0.841,0.978,0.912,0.898,0.85,0.8,0.971,0.952,0.936,0.765,0.96,0.983,0.914,0.626,0.916,0.789,0.883,0.928,0.95,0.922,0.937,0.91,0.94,0.936,0.757,0.885,0.95,0.911,0.901,0.808,-0.04,0.888,0.683
