random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9638348825874467
0,0,0.10,0.9611077633806554
0,0,0.15,0.9880797049298354
0,0,0.20,0.9895248961460557
0,0,0.25,0.9882230188529569
0,0,0.30,0.971232078367818
0,0,0.35,0.992757802535561
0,0,0.40,0.9965261460446162
0,0,0.45,0.9878495754993655
0,0,0.50,0.9904840376530487
0,0,0.55,0.9960589042623572
0,0,0.60,0.9866303145612687
0,0,0.65,0.9922249835386496
0,0,0.70,0.9943925084092904
0,0,0.75,0.9926454107980558
0,0,0.80,0.9950198806270941
0,0,0.85,0.995458802052373
0,0,0.90,0.993636839184077
0,0,0.95,0.9968634008360059
0,1,0.05,0.9078383832820507
0,1,0.10,0.8976028766759735
0,1,0.15,0.941998309457913
0,1,0.20,0.9888798114687021
0,1,0.25,0.974232204829335
0,1,0.30,0.9886389141793163
0,1,0.35,0.9923525111578942
0,1,0.40,0.9894764946542818
0,1,0.45,0.9894378605197575
0,1,0.50,0.99317496639215
0,1,0.55,0.9913418311245804
0,1,0.60,0.9924856119667617
0,1,0.65,0.9938728475607804
0,1,0.70,0.9946932786422656
0,1,0.75,0.9921195354010512
0,1,0.80,0.9945005558248566
0,1,0.85,0.9924553250299595
0,1,0.90,0.9959210057416552
0,1,0.95,0.9943094402519368
0,2,0.05,0.8820670327915014
0,2,0.10,0.9698293333110081
0,2,0.15,0.97196044685004
0,2,0.20,0.974191767970407
0,2,0.25,0.9876535663456568
0,2,0.30,0.9822082601462928
0,2,0.35,0.9851597215978078
0,2,0.40,0.986944795235524
0,2,0.45,0.9798363427588864
0,2,0.50,0.9947771890999506
0,2,0.55,0.9961547570613204
0,2,0.60,0.9930209363522994
0,2,0.65,0.9933806326746168
0,2,0.70,0.9920011941878701
0,2,0.75,0.9967399894467931
0,2,0.80,0.9950651984420036
0,2,0.85,0.9921036940836611
0,2,0.90,0.9962922069089327
0,2,0.95,0.9902658892176781
0,3,0.05,0.721146823193068
0,3,0.10,0.9859081576508621
0,3,0.15,0.9670016179719484
0,3,0.20,0.9814853556091959
0,3,0.25,0.9885112057608959
0,3,0.30,0.9855511502631232
0,3,0.35,0.9899218489535968
0,3,0.40,0.9945136362169581
0,3,0.45,0.989455521122363
0,3,0.50,0.9942071654150096
0,3,0.55,0.9943512799030081
0,3,0.60,0.9948843649903883
0,3,0.65,0.9900184012977357
0,3,0.70,0.9960212577997948
0,3,0.75,0.9956401695490216
0,3,0.80,0.9941014110133785
0,3,0.85,0.992357797426297
0,3,0.90,0.9951016420224943
0,3,0.95,0.994008840174128
0,4,0.05,0.851671500539109
0,4,0.10,0.983604155366238
0,4,0.15,0.9721061231488984
0,4,0.20,0.9748348377584313
0,4,0.25,0.9840116582115251
0,4,0.30,0.9948308391080907
0,4,0.35,0.9910762069889564
0,4,0.40,0.9912126845752585
0,4,0.45,0.9898754029358456
0,4,0.50,0.9908110674168302
0,4,0.55,0.9930808693732488
0,4,0.60,0.9884489233796929
0,4,0.65,0.9930481272199698
0,4,0.70,0.994281391590411
0,4,0.75,0.9937708574468782
0,4,0.80,0.9935296681600183
0,4,0.85,0.9947594477282091
0,4,0.90,0.9938990776747221
0,4,0.95,0.9936494661159094
0,5,0.05,0.934697279373464
0,5,0.10,0.9799822920634687
0,5,0.15,0.96311649338908
0,5,0.20,0.9857756350714559
0,5,0.25,0.989645278334471
0,5,0.30,0.9871195059070067
0,5,0.35,0.9916894309003496
0,5,0.40,0.9910761079190473
0,5,0.45,0.9914714500562307
0,5,0.50,0.9903693748724105
0,5,0.55,0.9939971381733866
0,5,0.60,0.9881912838819926
0,5,0.65,0.989825534387224
0,5,0.70,0.9960548560080834
0,5,0.75,0.9940813168135592
0,5,0.80,0.9942573304224752
0,5,0.85,0.9929198541324379
0,5,0.90,0.9927105809346842
0,5,0.95,0.9929566821298957
0,6,0.05,0.13740710301344083
0,6,0.10,0.9651958228654857
0,6,0.15,0.9723109863581735
0,6,0.20,0.9854988085891168
0,6,0.25,0.9888528318808243
0,6,0.30,0.9906365584269069
0,6,0.35,0.9502004369334107
0,6,0.40,0.9915098985531082
0,6,0.45,0.9868733904549071
0,6,0.50,0.992000613407616
0,6,0.55,0.9889835980778864
0,6,0.60,0.9949418331219976
0,6,0.65,0.9897511921105013
0,6,0.70,0.9920747079692561
0,6,0.75,0.9932562070235744
0,6,0.80,0.9929004585198351
0,6,0.85,0.9934620642737796
0,6,0.90,0.9933304271317274
0,6,0.95,0.9949293134807496
0,7,0.05,0.8757917881635494
0,7,0.10,0.9812702930391884
0,7,0.15,0.9856273011289706
0,7,0.20,0.9778896561256167
0,7,0.25,0.9906197492738815
0,7,0.30,0.9887638157335723
0,7,0.35,0.9900878212973404
0,7,0.40,0.9949521507459127
0,7,0.45,0.9904066942823616
0,7,0.50,0.9904943127552865
0,7,0.55,0.9886183366515198
0,7,0.60,0.9926361849880799
0,7,0.65,0.9877135006728222
0,7,0.70,0.9939131882220993
0,7,0.75,0.9945673794965216
0,7,0.80,0.9932312275743035
0,7,0.85,0.9927092024380713
0,7,0.90,0.9956107591495065
0,7,0.95,0.9958139148955688
0,8,0.05,0.9234382375842748
0,8,0.10,0.9293608632935977
0,8,0.15,0.9849881844846914
0,8,0.20,0.9835014506726591
0,8,0.25,0.9914230578290943
0,8,0.30,0.9856215485598392
0,8,0.35,0.9855505410192344
