ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.744,0.98,0.703,0.989,0.963,0.111,0.953,0.585,0.98,0.91,0.725,0.798,0.929,0.599,0.932,0.963,-5.695,0.917,0.91,0.938,0.349,0.92,0.981,0.882,0.298,0.881,0.914,0.828,0.915,0.944,0.918,0.856,0.883,0.991,0.944,0.987,0.912,0.853,0.962,0.947,0.982,0.538,0.902,-0.598,0.835,0.718,-0.574,0.785,0.956,0.882,0.94,0.909,0.974,0.664,0.945,0.707,0.892,0.954,0.883,0.871,0.942,0.976,0.797,0.468,0.904,0.973,0.952,0.947,0.928,0.846,0.892,0.992,0.885,0.973,0.101,0.826,0.887,0.605,0.809,0.939,0.934,0.953,0.927,0.746,0.397,0.979,0.971,0.89,0.809,0.949,0.817,0.974,0.895,0.855,0.921,0.981,0.869,0.986,0.924,0.682
0.10,0.916,0.939,0.906,0.954,0.757,0.989,0.959,0.98,0.964,0.993,0.977,0.963,0.965,0.949,0.954,0.971,0.992,0.974,0.966,0.879,0.933,0.932,0.981,0.988,0.978,0.968,0.951,0.925,0.991,0.973,0.943,0.985,0.954,0.949,0.92,0.955,0.9,0.88,0.979,0.959,0.913,0.976,0.987,0.92,0.961,0.968,0.953,0.968,0.986,0.855,0.941,0.961,0.915,0.93,0.988,0.903,0.844,0.961,0.94,0.914,0.943,0.935,0.9,0.988,0.955,0.968,0.945,0.814,0.977,0.907,0.969,0.936,0.942,0.983,0.966,0.948,0.973,0.968,0.985,0.853,0.985,0.96,0.726,0.975,0.975,0.983,0.79,0.991,0.961,0.981,0.98,0.997,0.774,0.946,0.961,0.963,0.979,0.976,0.966,0.986
0.15,0.957,0.947,0.967,0.965,0.987,0.961,0.977,0.951,0.984,0.967,0.983,0.795,0.99,0.955,0.969,0.971,0.979,0.865,0.988,0.978,0.658,0.965,0.984,0.982,0.963,0.985,0.971,0.982,0.964,0.978,0.97,0.991,0.972,0.962,0.948,0.982,0.899,0.97,0.976,0.934,0.984,0.961,0.964,0.95,0.945,0.971,0.955,0.993,0.989,0.977,0.974,0.948,0.963,0.964,0.965,0.988,0.842,0.96,0.97,0.958,0.972,0.927,0.924,0.985,0.949,0.985,0.933,0.936,0.968,0.98,0.97,0.975,0.989,0.984,0.946,0.954,0.974,0.914,0.972,0.985,0.977,0.959,0.927,0.981,0.879,0.956,0.991,0.93,0.986,0.972,0.971,0.991,0.972,0.842,0.966,0.979,0.99,0.99,0.971,0.988
0.20,0.975,0.979,0.992,0.961,0.949,0.984,0.976,0.989,0.961,0.987,0.991,0.984,0.987,0.987,0.963,0.941,0.992,0.947,0.983,0.992,0.98,0.986,0.986,0.99,0.965,0.987,0.984,0.982,0.991,0.985,0.978,0.991,0.869,0.99,0.987,0.98,0.99,0.97,0.982,0.958,0.986,0.994,0.963,0.982,0.989,0.972,0.987,0.946,0.992,0.981,0.983,0.972,0.96,0.99,0.97,0.988,0.978,0.965,0.977,0.961,0.982,0.98,0.976,0.984,0.994,0.985,0.99,0.956,0.97,0.992,0.971,0.99,0.989,0.989,0.986,0.973,0.972,0.982,0.989,0.986,0.979,0.983,0.974,0.981,0.938,0.965,0.97,0.982,0.98,0.993,0.991,0.991,0.962,0.947,0.99,0.984,0.948,0.981,0.982,0.964
0.25,0.973,0.984,0.989,0.979,0.987,0.981,0.988,0.977,0.952,0.983,0.975,0.982,0.989,0.986,0.988,0.987,0.977,0.984,0.986,0.975,0.982,0.976,0.986,0.99,0.978,0.991,0.99,0.989,0.976,0.985,0.991,0.993,0.981,0.985,0.985,0.992,0.99,0.988,0.983,0.977,0.992,0.992,0.986,0.982,0.987,0.994,0.985,0.98,0.976,0.982,0.983,0.99,0.99,0.987,0.979,0.988,0.985,0.988,0.985,0.984,0.983,0.972,0.985,0.989,0.982,0.991,0.987,0.989,0.971,0.98,0.987,0.987,0.989,0.988,0.99,0.984,0.993,0.989,0.989,0.991,0.982,0.983,0.981,0.969,0.991,0.984,0.97,0.983,0.944,0.993,0.989,0.971,0.992,0.992,0.979,0.991,0.966,0.984,0.951,0.949
0.30,0.99,0.979,0.98,0.983,0.982,0.994,0.985,0.968,0.992,0.994,0.991,0.986,0.987,0.98,0.991,0.991,0.98,0.992,0.988,0.958,0.987,0.982,0.985,0.987,0.987,0.93,0.988,0.984,0.976,0.973,0.97,0.99,0.984,0.99,0.973,0.972,0.993,0.986,0.983,0.988,0.992,0.991,0.991,0.988,0.993,0.991,0.992,0.984,0.994,0.987,0.986,0.982,0.992,0.981,0.989,0.982,0.934,0.985,0.975,0.99,0.987,0.971,0.983,0.992,0.988,0.975,0.97,0.994,0.992,0.986,0.991,0.993,0.987,0.979,0.993,0.991,0.978,0.983,0.987,0.99,0.995,0.994,0.99,0.988,0.989,0.982,0.996,0.985,0.99,0.979,0.99,0.987,0.96,0.987,0.993,0.991,0.985,0.985,0.991,0.985
0.35,0.994,0.988,0.981,0.989,0.992,0.99,0.989,0.984,0.982,0.991,0.99,0.983,0.992,0.987,0.99,0.989,0.986,0.987,0.987,0.985,0.991,0.989,0.992,0.993,0.99,0.991,0.99,0.986,0.99,0.993,0.989,0.994,0.98,0.992,0.99,0.991,0.99,0.986,0.989,0.988,0.989,0.991,0.994,0.996,0.991,0.991,0.991,0.992,0.99,0.979,0.991,0.989,0.994,0.991,0.99,0.985,0.991,0.984,0.989,0.988,0.985,0.982,0.993,0.989,0.983,0.988,0.992,0.991,0.987,0.989,0.99,0.982,0.994,0.984,0.991,0.987,0.99,0.98,0.995,0.992,0.988,0.968,0.992,0.99,0.989,0.989,0.99,0.982,0.992,0.987,0.992,0.988,0.989,0.987,0.989,0.995,0.988,0.992,0.983,0.987
0.40,0.992,0.986,0.983,0.982,0.991,0.992,0.993,0.991,0.994,0.984,0.987,0.994,0.992,0.989,0.994,0.99,0.989,0.993,0.989,0.992,0.995,0.993,0.989,0.986,0.98,0.991,0.986,0.993,0.992,0.992,0.995,0.991,0.995,0.989,0.985,0.992,0.992,0.993,0.993,0.99,0.993,0.99,0.995,0.992,0.994,0.989,0.99,0.99,0.992,0.988,0.989,0.988,0.991,0.984,0.989,0.992,0.983,0.989,0.988,0.994,0.991,0.987,0.992,0.99,0.993,0.986,0.993,0.996,0.995,0.992,0.986,0.993,0.994,0.985,0.989,0.99,0.989,0.979,0.988,0.988,0.991,0.99,0.987,0.993,0.989,0.992,0.991,0.99,0.987,0.995,0.995,0.991,0.995,0.99,0.993,0.996,0.992,0.99,0.992,0.992
0.45,0.99,0.99,0.991,0.992,0.986,0.99,0.991,0.988,0.995,0.99,0.992,0.994,0.994,0.984,0.994,0.991,0.993,0.986,0.983,0.983,0.991,0.991,0.987,0.988,0.991,0.989,0.992,0.995,0.992,0.994,0.993,0.99,0.992,0.993,0.991,0.991,0.988,0.993,0.994,0.991,0.988,0.991,0.994,0.99,0.994,0.986,0.991,0.989,0.992,0.993,0.99,0.994,0.988,0.993,0.99,0.988,0.994,0.985,0.989,0.992,0.995,0.993,0.992,0.994,0.992,0.994,0.993,0.986,0.991,0.995,0.99,0.992,0.993,0.992,0.992,0.992,0.995,0.993,0.991,0.993,0.992,0.993,0.987,0.986,0.99,0.995,0.993,0.989,0.994,0.993,0.994,0.994,0.99,0.987,0.989,0.993,0.992,0.991,0.994,0.985
0.50,0.995,0.993,0.99,0.989,0.993,0.99,0.991,0.99,0.988,0.992,0.989,0.994,0.988,0.992,0.988,0.989,0.987,0.993,0.993,0.993,0.993,0.974,0.993,0.99,0.989,0.993,0.989,0.989,0.993,0.993,0.994,0.988,0.993,0.991,0.994,0.992,0.99,0.988,0.994,0.992,0.991,0.992,0.991,0.989,0.992,0.994,0.989,0.994,0.987,0.991,0.993,0.992,0.996,0.992,0.993,0.993,0.99,0.987,0.991,0.995,0.989,0.975,0.989,0.993,0.99,0.992,0.992,0.987,0.991,0.992,0.992,0.995,0.995,0.996,0.99,0.985,0.99,0.99,0.994,0.992,0.986,0.992,0.993,0.978,0.99,0.992,0.994,0.989,0.988,0.986,0.997,0.996,0.994,0.994,0.973,0.996,0.992,0.985,0.998,0.994
