random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8540985988969402
0,0,0.10,0.9710887685761289
0,0,0.15,0.8274878708632878
0,0,0.20,0.944764924198095
0,0,0.25,0.9858208399051364
0,0,0.30,0.9915679699090636
0,0,0.35,0.990532042801842
0,0,0.40,0.9933785521847417
0,0,0.45,0.9915555471665448
0,0,0.50,0.9930502451383073
0,0,0.55,0.9882381991753304
0,0,0.60,0.9934801368218197
0,0,0.65,0.9883140796336431
0,0,0.70,0.9937050174548876
0,0,0.75,0.9934889112001348
0,0,0.80,0.9882460874016031
0,0,0.85,0.9952866979193862
0,0,0.90,0.9963355628393553
0,0,0.95,0.9944909345014666
0,1,0.05,0.8347174300300153
0,1,0.10,0.9190601232767837
0,1,0.15,0.9137818298375762
0,1,0.20,0.9868801610530314
0,1,0.25,0.9669460303216658
0,1,0.30,0.9907747424617814
0,1,0.35,0.9780412621306253
0,1,0.40,0.9794079129400056
0,1,0.45,0.9903129892216649
0,1,0.50,0.9933870499297545
0,1,0.55,0.9922946596180191
0,1,0.60,0.9908662193063801
0,1,0.65,0.9936956253709416
0,1,0.70,0.9931565513589125
0,1,0.75,0.9930757100887969
0,1,0.80,0.9957945344318189
0,1,0.85,0.9941341866414702
0,1,0.90,0.9947642955215042
0,1,0.95,0.9953388624546269
0,2,0.05,0.8771368973555643
0,2,0.10,0.9630070734861602
0,2,0.15,0.9542963281356106
0,2,0.20,0.982178992815061
0,2,0.25,0.9834095535310585
0,2,0.30,0.9886290413585612
0,2,0.35,0.9942216740921354
0,2,0.40,0.994918395675218
0,2,0.45,0.993814588928209
0,2,0.50,0.9960562483388379
0,2,0.55,0.9852829517816284
0,2,0.60,0.9932202897874511
0,2,0.65,0.9895832387036065
0,2,0.70,0.99457052064626
0,2,0.75,0.9758647575013378
0,2,0.80,0.9941732210416123
0,2,0.85,0.9947120028917519
0,2,0.90,0.9940415583174208
0,2,0.95,0.997416290009957
0,3,0.05,0.9693396653251247
0,3,0.10,0.8410309110202838
0,3,0.15,0.9465357563245786
0,3,0.20,0.9738808581872024
0,3,0.25,0.9845742361904125
0,3,0.30,0.9887522606890556
0,3,0.35,0.984733748512998
0,3,0.40,0.992437745577833
0,3,0.45,0.9907524615213794
0,3,0.50,0.9904827263084846
0,3,0.55,0.9932595854194883
0,3,0.60,0.9934924693699391
0,3,0.65,0.9933503642100247
0,3,0.70,0.9948225628576823
