random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9961717625583046
0,0,0.10,0.9953810866959566
0,0,0.15,0.9989911347765839
0,0,0.20,0.9999796957062763
0,0,0.25,0.9999090281238426
0,0,0.30,0.9996496748277155
0,0,0.35,0.9999705781392264
0,0,0.40,0.9999511349613304
0,0,0.45,0.9998817222964457
0,0,0.50,0.9999570921666111
0,0,0.55,0.9999768790654863
0,0,0.60,0.9999811463465326
0,0,0.65,0.9999687941838301
0,0,0.70,0.9999699296724384
0,0,0.75,0.9999754619606145
0,0,0.80,0.9999758840451208
0,0,0.85,0.999968210585548
0,0,0.90,0.9999736612500981
0,0,0.95,0.999978756143148
0,1,0.05,0.9983839141182179
0,1,0.10,0.9978432508554173
0,1,0.15,0.9968717672035242
0,1,0.20,0.9999315668378559
0,1,0.25,0.9999751370248454
0,1,0.30,0.9999716994318973
0,1,0.35,0.9999813976465899
0,1,0.40,0.9999487692607993
0,1,0.45,0.9999589494926944
0,1,0.50,0.9999688259673516
0,1,0.55,0.9999592086837809
0,1,0.60,0.9999728894388299
0,1,0.65,0.9999709985346643
0,1,0.70,0.999956216996857
0,1,0.75,0.9999556082869184
0,1,0.80,0.9999672595745814
0,1,0.85,0.999953405578267
0,1,0.90,0.9999703257645415
0,1,0.95,0.9999805293904567
0,2,0.05,0.9943388825013536
0,2,0.10,0.9982589937634329
0,2,0.15,0.9986655557927469
0,2,0.20,0.9999633097497621
0,2,0.25,0.9999424403893462
0,2,0.30,0.9999101319131601
0,2,0.35,0.9999584808757681
0,2,0.40,0.9999302774258978
0,2,0.45,0.9999551529821482
0,2,0.50,0.9999720185767241
0,2,0.55,0.9999695187529328
0,2,0.60,0.999978021491733
0,2,0.65,0.9999747065702616
0,2,0.70,0.9999786350243348
0,2,0.75,0.9999687247831313
0,2,0.80,0.9999746592520959
0,2,0.85,0.9999733718234101
0,2,0.90,0.9999797457953418
0,2,0.95,0.9999807346769981
0,3,0.05,0.978329158567249
0,3,0.10,0.9935096395627645
0,3,0.15,0.996404508354244
0,3,0.20,0.9996512215377003
0,3,0.25,0.9998741734313908
0,3,0.30,0.999347329849345
0,3,0.35,0.9993724399882873
0,3,0.40,0.9999651161001252
0,3,0.45,0.9999557884214009
0,3,0.50,0.9999656103161124
0,3,0.55,0.9999736984926233
0,3,0.60,0.9999769188495106
0,3,0.65,0.9999746358401799
0,3,0.70,0.9999656804620576
0,3,0.75,0.9999803042152048
0,3,0.80,0.9999756501448924
0,3,0.85,0.999983183066796
0,3,0.90,0.999976975636188
0,3,0.95,0.999972708253429
0,4,0.05,0.9781701112171114
0,4,0.10,0.9962304330195333
0,4,0.15,0.9988054491949964
0,4,0.20,0.9999289670478283
0,4,0.25,0.9999266790515495
0,4,0.30,0.9999134416309797
0,4,0.35,0.9998635953720554
0,4,0.40,0.9999516756642003
0,4,0.45,0.9999691279372069
0,4,0.50,0.9995416988909874
0,4,0.55,0.9999602354846209
0,4,0.60,0.9999595564139799
0,4,0.65,0.9999652510899346
0,4,0.70,0.9999745851793905
0,4,0.75,0.9999649370694339
0,4,0.80,0.9999770852658967
0,4,0.85,0.9999826951277405
0,4,0.90,0.9999720237395424
0,4,0.95,0.9999792463156716
0,5,0.05,0.989046819764372
0,5,0.10,0.9953953386589955
0,5,0.15,0.9995824293107645
0,5,0.20,0.9995977836096428
0,5,0.25,0.999945284007022
0,5,0.30,0.9991302621049233
0,5,0.35,0.9994837092280401
0,5,0.40,0.999981544990312
0,5,0.45,0.9999861312549622
0,5,0.50,0.9999704571074736
0,5,0.55,0.9999815407793565
0,5,0.60,0.9999707302689321
0,5,0.65,0.9999593141512085
0,5,0.70,0.999966785208915
0,5,0.75,0.9999692325846399
0,5,0.80,0.9999747640267099
0,5,0.85,0.9999751281338648
0,5,0.90,0.9999810975293023
0,5,0.95,0.9999734818500081
0,6,0.05,0.9652057539761989
0,6,0.10,0.9992806911165129
0,6,0.15,0.9990494363763572
0,6,0.20,0.9997664668757063
0,6,0.25,0.9998998677427665
0,6,0.30,0.9999362638074871
0,6,0.35,0.9999638965465014
0,6,0.40,0.9999691970691651
0,6,0.45,0.9999736821623265
0,6,0.50,0.9999393014719752
0,6,0.55,0.9999768573573822
0,6,0.60,0.9999704038029787
0,6,0.65,0.9999674346303334
0,6,0.70,0.9999779783810521
0,6,0.75,0.9999825134669053
0,6,0.80,0.9999766117619476
0,6,0.85,0.9999763436491133
0,6,0.90,0.9999816084599659
0,6,0.95,0.9999720961116169
0,7,0.05,0.9634626016495933
0,7,0.10,0.9986512160774894
0,7,0.15,0.9990067409705496
0,7,0.20,0.999389322414112
0,7,0.25,0.9998262517979079
0,7,0.30,0.99988218743738
0,7,0.35,0.9994786921641268
0,7,0.40,0.9999771765902252
0,7,0.45,0.9999134985183092
0,7,0.50,0.9999677890597813
0,7,0.55,0.9999815882608027
0,7,0.60,0.9999815770798065
0,7,0.65,0.9999744626652465
0,7,0.70,0.9999719532223194
0,7,0.75,0.9999820110276691
0,7,0.80,0.9999819244091548
0,7,0.85,0.999963487161449
0,7,0.90,0.999990178308077
0,7,0.95,0.9999842269096181
0,8,0.05,0.8920908016200195
0,8,0.10,0.9965553787059841
0,8,0.15,0.9990143889425559
0,8,0.20,0.998772605851922
0,8,0.25,0.9999000493679091
0,8,0.30,0.9999505509489964
0,8,0.35,0.9999638853402925
0,8,0.40,0.9999561458914946
0,8,0.45,0.9999742722197468
0,8,0.50,0.9999706091441386
0,8,0.55,0.9999723784785811
0,8,0.60,0.999976028035159
0,8,0.65,0.9999687895779525
0,8,0.70,0.9999734273719879
0,8,0.75,0.9999852344794273
0,8,0.80,0.9999830200859218
0,8,0.85,0.9999799934746608
0,8,0.90,0.999968500856945
0,8,0.95,0.9999798879461741
0,9,0.05,0.9914821907689357
0,9,0.10,0.9954810349358728
0,9,0.15,0.9986601368920266
0,9,0.20,0.9997881418146992
0,9,0.25,0.9999595789988189
0,9,0.30,0.9999522260813374
0,9,0.35,0.9999656809285687
0,9,0.40,0.9999823126278383
0,9,0.45,0.9999723100973524
0,9,0.50,0.9999787850765335
0,9,0.55,0.9999650698376584
0,9,0.60,0.999959653006348
0,9,0.65,0.9999823884481531
0,9,0.70,0.9999647136368712
0,9,0.75,0.9999808189673585
0,9,0.80,0.9999817412966683
0,9,0.85,0.9999738137089349
0,9,0.90,0.9999592471698809
0,9,0.95,0.9999752226092049
1,0,0.05,0.9986452720240548
1,0,0.10,0.9971266936176912
1,0,0.15,0.996779208331843
1,0,0.20,0.9998384500121797
1,0,0.25,0.9996247970555894
1,0,0.30,0.9999660141797205
1,0,0.35,0.9999782693400538
1,0,0.40,0.99994342946662
1,0,0.45,0.9999577313688824
1,0,0.50,0.9999556238754628
1,0,0.55,0.9999792407199907
1,0,0.60,0.9999885931178892
1,0,0.65,0.9999525640777535
1,0,0.70,0.9999570803714223
1,0,0.75,0.9999749183652499
1,0,0.80,0.999972216242549
1,0,0.85,0.9999739184387536
1,0,0.90,0.9999795297026518
1,0,0.95,0.9999675094849229
1,1,0.05,0.9072774094641728
1,1,0.10,0.9968263537586858
1,1,0.15,0.9977023312426091
1,1,0.20,0.9978830248503193
1,1,0.25,0.999938452559821
1,1,0.30,0.9999367690914052
1,1,0.35,0.9997073275829051
1,1,0.40,0.9999557547933708
1,1,0.45,0.9999712888611171
1,1,0.50,0.9999839156895327
1,1,0.55,0.9999725214324473
1,1,0.60,0.9999817734843378
1,1,0.65,0.999974482642927
1,1,0.70,0.9999731995181554
1,1,0.75,0.9999722281039156
1,1,0.80,0.9999748382004134
1,1,0.85,0.9999756301269912
1,1,0.90,0.9999715925899967
1,1,0.95,0.9999766634551328
1,2,0.05,0.982186628519524
1,2,0.10,0.9984148582666798
1,2,0.15,0.9992022951361634
1,2,0.20,0.9989946917018521
1,2,0.25,0.9999427903858573
1,2,0.30,0.9998637917274564
1,2,0.35,0.9998802268005312
1,2,0.40,0.9999596161909711
1,2,0.45,0.9999586969187002
1,2,0.50,0.999980826148274
1,2,0.55,0.9999727503105565
1,2,0.60,0.9999745493081819
1,2,0.65,0.9999845149873916
1,2,0.70,0.9999856235746062
1,2,0.75,0.9999636448462632
1,2,0.80,0.9999796854669379
1,2,0.85,0.9999694214102649
1,2,0.90,0.9999817689963924
1,2,0.95,0.9999703335175602
1,3,0.05,0.9895636245975283
1,3,0.10,0.998652672748585
1,3,0.15,0.9945513031700531
1,3,0.20,0.9995706205348592
1,3,0.25,0.9993811376086275
1,3,0.30,0.9998096420771404
1,3,0.35,0.9999534570689149
1,3,0.40,0.9999608310641112
1,3,0.45,0.9999531994219761
1,3,0.50,0.9999341673453619
1,3,0.55,0.9999436951255369
1,3,0.60,0.9999680253766305
1,3,0.65,0.9999749147680815
1,3,0.70,0.9999589076081213
1,3,0.75,0.9999692658680777
1,3,0.80,0.9999593648500584
1,3,0.85,0.9999781781914617
1,3,0.90,0.9999668541499787
1,3,0.95,0.9999766523783747
1,4,0.05,0.9829943570250218
1,4,0.10,0.9981253755763262
1,4,0.15,0.9970617836219825
1,4,0.20,0.9982604904667524
1,4,0.25,0.9988102130979986
1,4,0.30,0.9999529842618754
1,4,0.35,0.9999158889760066
1,4,0.40,0.9993388218891567
1,4,0.45,0.9999664708931928
1,4,0.50,0.9999477089049763
1,4,0.55,0.9999500834931508
1,4,0.60,0.9999579903261994
1,4,0.65,0.9999533196477794
1,4,0.70,0.9999448401917813
1,4,0.75,0.9999720939369878
1,4,0.80,0.9999595068843828
1,4,0.85,0.9999709316401209
1,4,0.90,0.9999671074554259
1,4,0.95,0.9999690615967898
1,5,0.05,0.9911522453047805
1,5,0.10,0.9915722653689876
1,5,0.15,0.9998113789969038
1,5,0.20,0.9996939470330913
