random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.872830469633027
0,0,0.10,0.9636714574832633
0,0,0.15,0.9558709259806601
0,0,0.20,0.9795103255706165
0,0,0.25,0.9670427625232926
0,0,0.30,0.9798170694590844
0,0,0.35,0.9811641409107535
0,0,0.40,0.9825646368407964
0,0,0.45,0.9851852382700392
0,0,0.50,0.9859568569808175
0,0,0.55,0.984371950609959
0,0,0.60,0.9840505632755732
0,0,0.65,0.9852695874668876
0,0,0.70,0.9848380546814576
0,0,0.75,0.9903876061315534
0,0,0.80,0.9867224161835799
0,0,0.85,0.9895979109837243
0,0,0.90,0.9896095341239316
0,0,0.95,0.9892209414475752
0,1,0.05,0.8029727478002898
0,1,0.10,0.9546500928106014
0,1,0.15,0.9142445842845236
0,1,0.20,0.9632661170448498
0,1,0.25,0.9757527046307366
0,1,0.30,0.9660190541798348
0,1,0.35,0.98304589653945
0,1,0.40,0.9786128677001895
0,1,0.45,0.9814467203519112
0,1,0.50,0.9832439451078622
0,1,0.55,0.9839534545984135
0,1,0.60,0.9881898002797319
0,1,0.65,0.9878834409991563
0,1,0.70,0.9863142983592735
0,1,0.75,0.9908934263482798
0,1,0.80,0.9869450745618811
0,1,0.85,0.9870798017919193
0,1,0.90,0.9894313287932609
0,1,0.95,0.9886051477332927
0,2,0.05,0.8650206867160013
0,2,0.10,0.92501708619847
0,2,0.15,0.961928828713008
0,2,0.20,0.9622115059698838
0,2,0.25,0.9764528602562308
0,2,0.30,0.9698665917542812
0,2,0.35,0.9805415358485079
0,2,0.40,0.9844658555788557
0,2,0.45,0.9840704490522906
0,2,0.50,0.9741538903125044
0,2,0.55,0.9820191552109173
0,2,0.60,0.9868116140107956
0,2,0.65,0.98307432591722
0,2,0.70,0.9835956657111897
0,2,0.75,0.9887924089946716
0,2,0.80,0.9881424851248778
0,2,0.85,0.9862834356108204
0,2,0.90,0.9881501454860071
0,2,0.95,0.9875253679434368
0,3,0.05,0.8322610813436137
0,3,0.10,0.939269103661988
0,3,0.15,0.9560556781565901
0,3,0.20,0.9672570032091904
0,3,0.25,0.970394234920286
