random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.7266834327286393
0,0,0.10,0.7702857182035401
0,0,0.15,0.9300040955780005
0,0,0.20,0.8923134447881833
0,0,0.25,0.9212364200608147
0,0,0.30,0.9364707435171364
0,0,0.35,0.9611715218897716
0,0,0.40,0.9824829439834547
0,0,0.45,0.9852919474292187
0,0,0.50,0.9591149490332744
0,0,0.55,0.9606533497786991
0,0,0.60,0.9723113472498591
0,0,0.65,0.9905814446910444
0,0,0.70,0.9893850518727488
0,0,0.75,0.9890641161837771
0,0,0.80,0.9955869204825302
0,0,0.85,0.9942975775864004
0,0,0.90,0.993114881738428
0,0,0.95,0.9970495200433825
0,1,0.05,0.41916795022133124
0,1,0.10,0.6761817915880315
0,1,0.15,0.9526351192142969
0,1,0.20,0.578956223872056
0,1,0.25,0.9500571979904544
0,1,0.30,0.9330508828765899
0,1,0.35,0.8966063214285709
0,1,0.40,0.9480143283404302
0,1,0.45,0.981973707039498
0,1,0.50,0.9481218582338169
0,1,0.55,0.9786046066189757
0,1,0.60,0.9927950285046724
0,1,0.65,0.9938133589551253
0,1,0.70,0.9865450563102075
0,1,0.75,0.9904600331746357
0,1,0.80,0.9940829621054861
0,1,0.85,0.9812672317571607
0,1,0.90,0.9893255031618082
0,1,0.95,0.989808537297283
0,2,0.05,0.6798245494651183
0,2,0.10,0.7876332419083862
0,2,0.15,0.8755518684188129
0,2,0.20,0.9412802061799708
0,2,0.25,0.9215900986148065
0,2,0.30,0.9487668127883506
0,2,0.35,0.7760967969936982
0,2,0.40,0.9685309573903398
0,2,0.45,0.9803471768998848
0,2,0.50,0.9439277415367224
0,2,0.55,0.9731112308153238
0,2,0.60,0.9795701049953969
0,2,0.65,0.9850456811322074
0,2,0.70,0.9856575904396976
0,2,0.75,0.9932282297190573
0,2,0.80,0.9684137345028682
0,2,0.85,0.9919160890159614
0,2,0.90,0.9962124908377831
0,2,0.95,0.9827363415591585
0,3,0.05,0.6364624768423839
0,3,0.10,0.8565383108579057
0,3,0.15,0.9119076964701888
0,3,0.20,0.8708216211443051
0,3,0.25,0.9017671127485866
0,3,0.30,0.9125126090678034
0,3,0.35,0.9605022262592813
0,3,0.40,0.9675752176897343
0,3,0.45,0.94685928675133
0,3,0.50,0.9292752900792851
0,3,0.55,0.9912229221139904
0,3,0.60,0.9925474241105946
0,3,0.65,0.9850750145024062
0,3,0.70,0.9923152499860994
0,3,0.75,0.9909817261265234
0,3,0.80,0.9827030699195254
0,3,0.85,0.9905380176783966
0,3,0.90,0.9944653615082427
0,3,0.95,0.9922590382115151
0,4,0.05,-0.19734781027148873
0,4,0.10,0.7377390641196127
0,4,0.15,0.9349943554451754
0,4,0.20,0.8496249757297009
0,4,0.25,0.6798511004711056
0,4,0.30,0.9463103516859992
0,4,0.35,0.9527865674503703
0,4,0.40,0.9716530363623518
0,4,0.45,0.9741556426337273
0,4,0.50,0.9075125868219082
