random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9888968066477117
0,0,0.10,0.9736515316034774
0,0,0.15,0.9998613442225884
0,0,0.20,0.9998607139343254
0,0,0.25,0.9998387940810824
0,0,0.30,0.9996712648174066
0,0,0.35,0.9999261392522605
0,0,0.40,0.9999382901740771
0,0,0.45,0.9998992185396656
0,0,0.50,0.9996915336973301
0,0,0.55,0.9999693295622425
0,0,0.60,0.9997268403073353
0,0,0.65,0.999978907764736
0,0,0.70,0.9998271871124321
0,0,0.75,0.9999244380473745
0,0,0.80,0.9996961783023657
0,0,0.85,0.9999694080105318
0,0,0.90,0.999979988141492
0,0,0.95,0.9999802393730987
0,1,0.05,0.5905378337651372
0,1,0.10,0.9946648445189263
0,1,0.15,0.9951912078387423
0,1,0.20,0.9973328521375217
0,1,0.25,0.9997061963309325
0,1,0.30,0.9998509369819812
0,1,0.35,0.999846777368965
0,1,0.40,0.9988303979137375
0,1,0.45,0.999964151975647
0,1,0.50,0.9997569605222405
0,1,0.55,0.9999613502093544
0,1,0.60,0.9999664492231136
0,1,0.65,0.9999763916622703
0,1,0.70,0.9996325986031422
0,1,0.75,0.9998009456631607
0,1,0.80,0.9999307979811156
0,1,0.85,0.9997139046147167
0,1,0.90,0.9999773681050665
0,1,0.95,0.9999810935671894
0,2,0.05,0.9807400601945152
0,2,0.10,0.9971548542658801
0,2,0.15,0.9812705151219376
0,2,0.20,0.999801183520424
0,2,0.25,0.9990859276206264
0,2,0.30,0.9997573545484759
0,2,0.35,0.9999602779730067
0,2,0.40,0.9998820039769025
0,2,0.45,0.9999735339842746
0,2,0.50,0.9998376591703412
0,2,0.55,0.9997740951192285
0,2,0.60,0.9997830461504553
0,2,0.65,0.9999686958636019
0,2,0.70,0.9999425753740526
0,2,0.75,0.9999647339208453
0,2,0.80,0.9999667771223661
0,2,0.85,0.9999646912723434
0,2,0.90,0.9999763322377223
0,2,0.95,0.9999737158513017
0,3,0.05,0.988778504679568
0,3,0.10,0.9980713168140429
0,3,0.15,0.9986888270328124
0,3,0.20,0.9983721975350242
0,3,0.25,0.9996476041591044
0,3,0.30,0.9998743534574133
0,3,0.35,0.9999398379076446
0,3,0.40,0.9999735107181723
0,3,0.45,0.9997652549829529
0,3,0.50,0.9999717246440123
0,3,0.55,0.999893530614116
0,3,0.60,0.9999628183492858
0,3,0.65,0.9999263274677876
0,3,0.70,0.9999315308813358
0,3,0.75,0.9999779011933284
0,3,0.80,0.9999607021470697
0,3,0.85,0.9999557318217416
0,3,0.90,0.9999806046307197
0,3,0.95,0.9999840524583674
0,4,0.05,0.9725384257895873
0,4,0.10,0.9953519958415523
0,4,0.15,0.9997148803696392
0,4,0.20,0.9985388638716753
0,4,0.25,0.999891415428461
0,4,0.30,0.9997769423685126
0,4,0.35,0.9996514566871657
0,4,0.40,0.9996102378919116
0,4,0.45,0.999394159390523
0,4,0.50,0.9993286053485503
0,4,0.55,0.9999465119598382
0,4,0.60,0.9999592913879075
0,4,0.65,0.9999654139018189
0,4,0.70,0.9999767583698342
0,4,0.75,0.9997897479776465
0,4,0.80,0.9998009465000885
0,4,0.85,0.999973529782031
0,4,0.90,0.9999762113571806
0,4,0.95,0.9999761206183471
0,5,0.05,0.9697817373821529
0,5,0.10,0.9975847962535642
0,5,0.15,0.9999615909041544
0,5,0.20,0.9996027507584393
0,5,0.25,0.9985719052166236
0,5,0.30,0.9998372985536232
0,5,0.35,0.9992236667666144
0,5,0.40,0.999815019097239
0,5,0.45,0.9999519250017911
0,5,0.50,0.9999567570922037
0,5,0.55,0.9999172751043776
0,5,0.60,0.9999795015178732
0,5,0.65,0.9999538618079659
0,5,0.70,0.9999588095515493
0,5,0.75,0.9998664898489502
0,5,0.80,0.999905080123207
