random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9887816922402267
0,0,0.10,0.9968582211389437
0,0,0.15,0.9951303030454959
0,0,0.20,0.9968771917922551
0,0,0.25,0.99682231211951
0,0,0.30,0.9975080511932766
0,0,0.35,0.9982149934807436
0,0,0.40,0.9977216024458723
0,0,0.45,0.9969479288650475
0,0,0.50,0.9978071661844663
0,0,0.55,0.9977660992064242
0,0,0.60,0.9984498075648865
0,0,0.65,0.9980577572340645
0,0,0.70,0.9980990272063816
0,0,0.75,0.9982293214977167
0,0,0.80,0.9982322848727642
0,0,0.85,0.998257794954653
0,0,0.90,0.9982680903094683
0,0,0.95,0.9983550066196487
0,1,0.05,0.9872798263400755
0,1,0.10,0.9950171518517786
0,1,0.15,0.9967590347841649
0,1,0.20,0.9973400291059604
0,1,0.25,0.9975841433685216
0,1,0.30,0.9970414228990903
0,1,0.35,0.9973244672500836
0,1,0.40,0.9980385313580826
0,1,0.45,0.997326237807079
0,1,0.50,0.9971206016152898
0,1,0.55,0.9978310552772834
0,1,0.60,0.9981785288151515
0,1,0.65,0.9982607279317489
0,1,0.70,0.9978237840467566
0,1,0.75,0.99819016428916
0,1,0.80,0.9983885838301251
0,1,0.85,0.9980630671415714
0,1,0.90,0.9977214566066278
0,1,0.95,0.9982154279689623
0,2,0.05,0.9857769799836134
0,2,0.10,0.9946185014831219
0,2,0.15,0.995257550188743
0,2,0.20,0.9971783592163461
0,2,0.25,0.9973135501353233
0,2,0.30,0.9973622820942101
0,2,0.35,0.9979543678951535
0,2,0.40,0.997262598474444
0,2,0.45,0.9978561609710167
0,2,0.50,0.997553035549025
0,2,0.55,0.9982950715355812
0,2,0.60,0.9978662481071394
0,2,0.65,0.9982373419868523
0,2,0.70,0.9980577453423305
0,2,0.75,0.9979978133796468
0,2,0.80,0.9985918729208962
0,2,0.85,0.9981832477699132
0,2,0.90,0.9986272799875627
0,2,0.95,0.9982881841186788
0,3,0.05,0.996612119861259
0,3,0.10,0.9960262251781272
0,3,0.15,0.9970867384668117
0,3,0.20,0.995439341169602
0,3,0.25,0.9969762158339922
0,3,0.30,0.9969253934362072
0,3,0.35,0.9982559143484366
0,3,0.40,0.9971615066831263
0,3,0.45,0.998097107830058
0,3,0.50,0.9982253862291409
0,3,0.55,0.9978053814876462
0,3,0.60,0.9981312658921875
0,3,0.65,0.9979274454455134
0,3,0.70,0.9980917126155823
0,3,0.75,0.9979028398223788
0,3,0.80,0.9976515718465327
0,3,0.85,0.9981248985222623
0,3,0.90,0.9985782885402332
0,3,0.95,0.9985101457291544
0,4,0.05,0.992606571400822
0,4,0.10,0.9949948473025212
0,4,0.15,0.9965254533303833
0,4,0.20,0.9952093630055704
0,4,0.25,0.996956324566172
0,4,0.30,0.9971381679697346
0,4,0.35,0.9968856151476645
0,4,0.40,0.9967671976754147
0,4,0.45,0.9980921314983857
0,4,0.50,0.9980389571503201
0,4,0.55,0.997873933788423
0,4,0.60,0.9983088771773766
0,4,0.65,0.9984733646523818
0,4,0.70,0.9982700434243489
0,4,0.75,0.9981733059670927
0,4,0.80,0.9982771775241874
0,4,0.85,0.9983118206686932
0,4,0.90,0.9979553325784446
0,4,0.95,0.9985656155161
0,5,0.05,0.9888332435996011
0,5,0.10,0.9974148195334986
0,5,0.15,0.996931483351014
0,5,0.20,0.9972968770279865
0,5,0.25,0.9967956353333659
0,5,0.30,0.9974723393734786
0,5,0.35,0.9969429032931191
0,5,0.40,0.9980194848459099
0,5,0.45,0.9975722886298626
0,5,0.50,0.9973036007503194
0,5,0.55,0.9981005210367228
0,5,0.60,0.9977136766121404
0,5,0.65,0.9980574964274573
0,5,0.70,0.998601180696154
0,5,0.75,0.99809540871145
0,5,0.80,0.9984480135473756
0,5,0.85,0.9985131051999208
0,5,0.90,0.9982902485758098
