random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9132446119673372
0,0,0.10,0.9547206779103182
0,0,0.15,0.9801458145694745
0,0,0.20,0.995602703431457
0,0,0.25,0.9968107444955554
0,0,0.30,0.9976024488227551
0,0,0.35,0.9973285702277414
0,0,0.40,0.9981642925882477
0,0,0.45,0.9987380066962505
0,0,0.50,0.9989969233789676
0,0,0.55,0.9989682546164129
0,0,0.60,0.9984881059367888
0,0,0.65,0.99827364128672
0,0,0.70,0.9992053655997545
0,0,0.75,0.9988317561263396
0,0,0.80,0.9985860345185348
0,0,0.85,0.9991759380068739
0,0,0.90,0.9991454436524272
0,0,0.95,0.9989761266231673
0,1,0.05,0.8368525240186806
0,1,0.10,0.9786402971697281
0,1,0.15,0.9929531067066343
0,1,0.20,0.9938811875054343
0,1,0.25,0.9948485817675393
0,1,0.30,0.9971790744071783
0,1,0.35,0.9984473213184112
0,1,0.40,0.99818122994146
0,1,0.45,0.9991926325975601
0,1,0.50,0.9986253458306987
0,1,0.55,0.9980970448094179
0,1,0.60,0.9988124639450728
0,1,0.65,0.9989746048335185
0,1,0.70,0.9989285359254487
0,1,0.75,0.9985539208230627
0,1,0.80,0.9987301885727873
0,1,0.85,0.9988246606971968
0,1,0.90,0.9990915039971024
0,1,0.95,0.999382036753432
0,2,0.05,0.9191332950293609
0,2,0.10,0.9521954832861294
0,2,0.15,0.9777764737425859
0,2,0.20,0.9898470390095732
0,2,0.25,0.9936582907932507
0,2,0.30,0.9967204327303679
0,2,0.35,0.9981848807142749
0,2,0.40,0.9983554764775832
0,2,0.45,0.9989365603835365
0,2,0.50,0.9979559971532503
0,2,0.55,0.9991848828100599
0,2,0.60,0.998760093470467
0,2,0.65,0.9987021493483388
0,2,0.70,0.9993116671188254
0,2,0.75,0.9991366513165265
0,2,0.80,0.9990180993159494
0,2,0.85,0.9993398557636899
0,2,0.90,0.9992972752200294
0,2,0.95,0.9990804983370838
0,3,0.05,0.8041520909402409
0,3,0.10,0.9585609673038541
0,3,0.15,0.974748893422366
0,3,0.20,0.9932406895403504
0,3,0.25,0.9912230596942234
0,3,0.30,0.9977499288266888
0,3,0.35,0.9963178328602493
0,3,0.40,0.9968914594189975
0,3,0.45,0.9984557547793781
0,3,0.50,0.9988033723077838
0,3,0.55,0.9991364555118806
0,3,0.60,0.9988080101618443
0,3,0.65,0.9989137243230318
0,3,0.70,0.9990883832050717
0,3,0.75,0.9987925648104862
0,3,0.80,0.9988150103623352
0,3,0.85,0.9993750474998854
0,3,0.90,0.9991494045399019
0,3,0.95,0.9987815869342502
0,4,0.05,0.8858793609144309
0,4,0.10,0.9189215623250483
0,4,0.15,0.9835034248227746
0,4,0.20,0.9872671930864304
0,4,0.25,0.9922468389577548
0,4,0.30,0.9955452052438687
0,4,0.35,0.9981673942149716
0,4,0.40,0.9974521265554566
0,4,0.45,0.9987657935441216
0,4,0.50,0.9985810467038276
0,4,0.55,0.9984586950637987
0,4,0.60,0.9990753621458613
0,4,0.65,0.9990916230194499
0,4,0.70,0.9992199154529754
0,4,0.75,0.9988548614352308
0,4,0.80,0.9991843253499041
0,4,0.85,0.9992437241999468
0,4,0.90,0.9988974530215143
0,4,0.95,0.9989758897702811
0,5,0.05,0.565239679536674
0,5,0.10,0.9522233844559228
0,5,0.15,0.9740358874035314
0,5,0.20,0.9871563547422757
0,5,0.25,0.9945660891225183
0,5,0.30,0.9973723237532469
0,5,0.35,0.998633404529818
0,5,0.40,0.9978507111413024
0,5,0.45,0.997353435595575
0,5,0.50,0.9989040421384439
0,5,0.55,0.9987979138685341
0,5,0.60,0.998594319619046
0,5,0.65,0.9991946076685524
0,5,0.70,0.9980799087631956
0,5,0.75,0.9987823257419953
0,5,0.80,0.998998847204604
0,5,0.85,0.9991587372153655
0,5,0.90,0.9984983664593943
0,5,0.95,0.9992199902065736
0,6,0.05,0.8357003712133187
0,6,0.10,0.963060384159707
0,6,0.15,0.9799496037312322
0,6,0.20,0.9924809723948607
0,6,0.25,0.9918931594486802
0,6,0.30,0.995207207934975
0,6,0.35,0.9986509666780357
0,6,0.40,0.9972628799486793
0,6,0.45,0.9985528975201702
0,6,0.50,0.9989177730902147
0,6,0.55,0.9990542813385347
0,6,0.60,0.9990218693135663
0,6,0.65,0.9990316245973517
0,6,0.70,0.9985831151213401
0,6,0.75,0.9989731069780075
0,6,0.80,0.9992454344178151
0,6,0.85,0.9987440966133008
0,6,0.90,0.9991854936192952
0,6,0.95,0.9993424276581749
0,7,0.05,0.814833927964186
0,7,0.10,0.9685737117813465
0,7,0.15,0.9820233587373914
0,7,0.20,0.9947917803747984
0,7,0.25,0.9960782559599713
0,7,0.30,0.9975610263605595
0,7,0.35,0.9979877764680282
0,7,0.40,0.9984228318719819
