random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9755429842435016
0,0,0.10,0.99786815912721
0,0,0.15,0.9996858018517027
0,0,0.20,0.9999392902287317
0,0,0.25,0.9995899952657329
0,0,0.30,0.9999324701999817
0,0,0.35,0.9999551166314307
0,0,0.40,0.9999202846755192
0,0,0.45,0.9999388527115056
0,0,0.50,0.9999259773037584
0,0,0.55,0.9999387057548017
0,0,0.60,0.9999239307602873
0,0,0.65,0.9999326076949547
0,0,0.70,0.999927942649919
0,0,0.75,0.9999357781398499
0,0,0.80,0.9999367344618593
0,0,0.85,0.9999391240730705
0,0,0.90,0.9999194286726169
0,0,0.95,0.9999374554865949
0,1,0.05,0.9969005676059968
0,1,0.10,0.9998392758605612
0,1,0.15,0.9986761637240855
0,1,0.20,0.9965088060038199
0,1,0.25,0.9998920106911596
0,1,0.30,0.9995620654545672
0,1,0.35,0.9998121168052179
0,1,0.40,0.9998973330785944
0,1,0.45,0.999901159684697
0,1,0.50,0.9999153391686795
0,1,0.55,0.9998789346677852
0,1,0.60,0.9999059729465531
0,1,0.65,0.9999316103953909
0,1,0.70,0.9999099744053495
0,1,0.75,0.9999308252277153
0,1,0.80,0.999923541035445
0,1,0.85,0.9999250731106286
0,1,0.90,0.9999290551960682
0,1,0.95,0.9999414095478528
0,2,0.05,0.9590731793257627
0,2,0.10,0.9753790291624876
0,2,0.15,0.9986170701218045
0,2,0.20,0.9994193166098777
0,2,0.25,0.9999103847784543
0,2,0.30,0.9998753584839604
0,2,0.35,0.9996557572049471
0,2,0.40,0.9997347147824912
0,2,0.45,0.9999022938595521
0,2,0.50,0.9999003232009706
0,2,0.55,0.9999196054808753
0,2,0.60,0.9999551094431608
0,2,0.65,0.9999364795954212
0,2,0.70,0.9999507167226
0,2,0.75,0.9999538431332705
0,2,0.80,0.9999377402155508
0,2,0.85,0.9999443719786438
0,2,0.90,0.999941119248965
0,2,0.95,0.9999518592159188
0,3,0.05,0.9784675648757305
0,3,0.10,0.994556554243899
0,3,0.15,0.9983364972840862
0,3,0.20,0.9996124303306942
0,3,0.25,0.9998760535339177
0,3,0.30,0.9994049851686186
0,3,0.35,0.9999293192155589
0,3,0.40,0.9999460942878468
0,3,0.45,0.9998893813807879
0,3,0.50,0.9999518217533293
0,3,0.55,0.9999031498059224
0,3,0.60,0.999927212140809
0,3,0.65,0.9999180438802814
0,3,0.70,0.9999486622152542
0,3,0.75,0.9999472956060766
0,3,0.80,0.9998967494060448
0,3,0.85,0.9999396733076793
0,3,0.90,0.9999405623517335
0,3,0.95,0.9999252939091967
0,4,0.05,0.9400419169293927
0,4,0.10,0.999409402479887
0,4,0.15,0.9978817675544265
0,4,0.20,0.9998377306348434
0,4,0.25,0.9998722466749309
0,4,0.30,0.9999130551934666
0,4,0.35,0.9999266189080828
0,4,0.40,0.9999502973017457
0,4,0.45,0.9999041288104941
0,4,0.50,0.9999363574766338
0,4,0.55,0.9999393208999074
0,4,0.60,0.999942874298971
0,4,0.65,0.9999408538488208
0,4,0.70,0.9999475493598127
0,4,0.75,0.9999577475642177
0,4,0.80,0.9999523969609455
0,4,0.85,0.9999509452120442
0,4,0.90,0.9999269486841219
0,4,0.95,0.9999500420516964
0,5,0.05,0.8687193196355095
0,5,0.10,0.9922333956042461
0,5,0.15,0.9966347211043574
0,5,0.20,0.9968241947581773
0,5,0.25,0.9998123537315804
0,5,0.30,0.9998940792170387
0,5,0.35,0.9998607653258516
0,5,0.40,0.9998918951939232
0,5,0.45,0.9999035231628585
0,5,0.50,0.9999219822722673
0,5,0.55,0.9999045957618969
0,5,0.60,0.9999013299613385
0,5,0.65,0.9999128216261433
0,5,0.70,0.9999370599529223
0,5,0.75,0.9999308883993302
0,5,0.80,0.9999541617627548
0,5,0.85,0.9999409533215965
0,5,0.90,0.9999290245443804
0,5,0.95,0.9999518887012158
0,6,0.05,0.9941966944728874
0,6,0.10,0.9910206862990257
0,6,0.15,0.997845297771211
0,6,0.20,0.9993211744846979
0,6,0.25,0.9995626527106749
0,6,0.30,0.999645478087189
0,6,0.35,0.9998647903195819
0,6,0.40,0.999918043926385
0,6,0.45,0.9999058766898711
0,6,0.50,0.9998739496510946
0,6,0.55,0.999866597781372
0,6,0.60,0.9998978742177252
0,6,0.65,0.9999118086313931
0,6,0.70,0.9998808367389241
0,6,0.75,0.999943855977163
0,6,0.80,0.9999116342958099
0,6,0.85,0.9999536070741672
0,6,0.90,0.9999637660113584
0,6,0.95,0.9999281148671507
0,7,0.05,0.9845958763393772
0,7,0.10,0.9688389867113238
0,7,0.15,0.9992018303575854
0,7,0.20,0.999880371164404
0,7,0.25,0.9978832050977063
0,7,0.30,0.9998435928271137
0,7,0.35,0.9998501185316873
0,7,0.40,0.9999410138374769
0,7,0.45,0.9999237278995968
0,7,0.50,0.9999152948292559
0,7,0.55,0.9999247491692181
0,7,0.60,0.9999364739537776
0,7,0.65,0.9999326155264465
0,7,0.70,0.9999206669993317
0,7,0.75,0.9999061775780683
0,7,0.80,0.9999176037210901
0,7,0.85,0.9999289993978324
0,7,0.90,0.9999386658036187
0,7,0.95,0.9999471067453561
0,8,0.05,0.9930605807824769
0,8,0.10,0.9962879121074574
0,8,0.15,0.9990604317483924
0,8,0.20,0.9957460209372583
0,8,0.25,0.9997352379371925
0,8,0.30,0.9998179978002824
0,8,0.35,0.9991659167650913
0,8,0.40,0.999898882304722
0,8,0.45,0.9998915882286018
0,8,0.50,0.9999157767063515
0,8,0.55,0.9998873871508901
0,8,0.60,0.9998875316708852
0,8,0.65,0.9998939983469082
0,8,0.70,0.9998738585017932
0,8,0.75,0.9998777889858754
0,8,0.80,0.9998787212970845
0,8,0.85,0.999916493628114
0,8,0.90,0.9998891931380894
0,8,0.95,0.9999459338812285
0,9,0.05,0.942130937476877
0,9,0.10,0.9974114483897203
0,9,0.15,0.9975797750056374
0,9,0.20,0.9997419031796231
0,9,0.25,0.9991101200343148
0,9,0.30,0.9997434572103783
0,9,0.35,0.9999217322451888
0,9,0.40,0.9999284068179628
0,9,0.45,0.9999022853230232
0,9,0.50,0.9999102594571354
0,9,0.55,0.9999317800279787
0,9,0.60,0.9999369571818014
