random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.19613425981752508
0,0,0.10,0.9939724916061035
0,0,0.15,0.7957556617652863
0,0,0.20,0.47156452327010623
0,0,0.25,0.8334191488481553
0,0,0.30,0.9229230737598839
0,0,0.35,0.7562590610430675
0,0,0.40,0.9299462894700998
0,0,0.45,0.5836958267734855
0,0,0.50,0.7884920695274098
0,0,0.55,0.8993574774924218
0,0,0.60,0.8999621743197257
0,0,0.65,0.9060320653430133
0,0,0.70,0.9457599523799771
0,0,0.75,0.9056883042992484
0,0,0.80,0.9178199057500749
0,0,0.85,0.9063906460346605
0,0,0.90,0.8953928174673422
0,0,0.95,0.8666380604953479
0,1,0.05,-0.8679719271115169
0,1,0.10,0.26899482265360586
0,1,0.15,0.9265340118068977
0,1,0.20,0.8336992785970607
0,1,0.25,0.5933711706718038
0,1,0.30,0.9409696163380047
0,1,0.35,0.9491959589596402
0,1,0.40,0.7869154884973951
0,1,0.45,0.8417899768741367
0,1,0.50,0.807055355932676
0,1,0.55,0.9069634137849979
0,1,0.60,0.8008417057716933
0,1,0.65,0.8540111838684615
0,1,0.70,0.8514332632604845
0,1,0.75,0.8003172843480071
0,1,0.80,0.9000374451281046
0,1,0.85,0.8638496666759246
0,1,0.90,0.8406681631805071
0,1,0.95,0.9072517265471056
0,2,0.05,0.5739626205393726
0,2,0.10,0.9000398673842661
0,2,0.15,0.7756687638457298
0,2,0.20,0.8365969483655173
0,2,0.25,0.7868275682796821
0,2,0.30,0.5898876115471632
0,2,0.35,0.7413836070261818
0,2,0.40,0.8770407210187541
0,2,0.45,0.7348478223354832
0,2,0.50,0.7269024236185373
0,2,0.55,0.9006116849059254
0,2,0.60,0.9051104527611136
0,2,0.65,0.8451971048981506
0,2,0.70,0.8448943921416877
0,2,0.75,0.8839006240184216
0,2,0.80,0.8838779269510324
0,2,0.85,0.8138479198603381
0,2,0.90,0.903468738115245
0,2,0.95,0.886997456454977
0,3,0.05,-9.345685723265307
0,3,0.10,0.856212401727183
0,3,0.15,0.8226546884906422
0,3,0.20,0.38603568301155267
