random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8960608909182763
0,0,0.10,0.9043874815770039
0,0,0.15,0.9660673704383473
0,0,0.20,0.9731005979458347
0,0,0.25,0.9687073041654372
0,0,0.30,0.9747870868304402
0,0,0.35,0.980392541134054
0,0,0.40,0.9839929487713617
0,0,0.45,0.987284278640922
0,0,0.50,0.985060239124197
0,0,0.55,0.9857249745111479
0,0,0.60,0.9882542196560187
0,0,0.65,0.9909117621583586
0,0,0.70,0.9872118557918961
0,0,0.75,0.9863305638365317
0,0,0.80,0.9874716783504645
0,0,0.85,0.9891922613401515
0,0,0.90,0.9880300093153483
0,0,0.95,0.9882883790608317
0,1,0.05,0.8649068423866743
0,1,0.10,0.9489788855487401
0,1,0.15,0.9666078502263113
0,1,0.20,0.971559724995313
0,1,0.25,0.9779524990018386
0,1,0.30,0.9741026687498235
0,1,0.35,0.9849074473310604
0,1,0.40,0.9834869736500916
0,1,0.45,0.9807822042570725
0,1,0.50,0.9841904724773144
0,1,0.55,0.9886525382239404
0,1,0.60,0.9850964677038997
0,1,0.65,0.9883988882211778
0,1,0.70,0.9869208085123733
0,1,0.75,0.9889021139142027
0,1,0.80,0.9885280087857578
0,1,0.85,0.9881818097101859
0,1,0.90,0.988086980256314
0,1,0.95,0.9896176904841872
0,2,0.05,0.6925438385993867
0,2,0.10,0.8960479026506929
0,2,0.15,0.9361137755083687
0,2,0.20,0.9640256199894286
0,2,0.25,0.9658669355465745
0,2,0.30,0.9764582139893836
0,2,0.35,0.9807493283454222
0,2,0.40,0.9813923837668261
0,2,0.45,0.978963523800931
0,2,0.50,0.9831650646594944
0,2,0.55,0.9879856931753436
0,2,0.60,0.9883370522527429
0,2,0.65,0.9861109726323986
0,2,0.70,0.9831302525920473
0,2,0.75,0.9881750221478199
0,2,0.80,0.9899738862062734
0,2,0.85,0.988444254932568
0,2,0.90,0.989393116023341
0,2,0.95,0.9873976533466737
0,3,0.05,0.8238661845434734
0,3,0.10,0.9640063886759617
0,3,0.15,0.9582219134036634
0,3,0.20,0.9668238801690373
0,3,0.25,0.9797688673746432
0,3,0.30,0.9750889045564228
0,3,0.35,0.9768661284153843
0,3,0.40,0.9813959033903751
0,3,0.45,0.9872217972702931
0,3,0.50,0.9886785729225233
0,3,0.55,0.9850036884625945
0,3,0.60,0.987243525944503
0,3,0.65,0.9898477863038814
0,3,0.70,0.98675762243557
0,3,0.75,0.9853196764127108
0,3,0.80,0.9893860847162721
0,3,0.85,0.9873885558020171
0,3,0.90,0.9898510230030139
0,3,0.95,0.9877341715911113
0,4,0.05,0.8944610078812183
0,4,0.10,0.9417362283905935
0,4,0.15,0.9705523296725874
0,4,0.20,0.950630582071303
0,4,0.25,0.9755051968652075
0,4,0.30,0.9811297776230803
0,4,0.35,0.9745495053991889
0,4,0.40,0.979205052721321
0,4,0.45,0.982250767818039
0,4,0.50,0.9874271618867935
0,4,0.55,0.9839304540659453
0,4,0.60,0.9901272677082317
0,4,0.65,0.9865695601910434
0,4,0.70,0.9886854987061574
0,4,0.75,0.9874053991246527
0,4,0.80,0.9891499814599446
0,4,0.85,0.9859977186016041
0,4,0.90,0.9893702541128918
0,4,0.95,0.9846439897434994
0,5,0.05,0.885427192479796
0,5,0.10,0.9364719581277621
0,5,0.15,0.9635172133576078
0,5,0.20,0.9794520247470455
0,5,0.25,0.9659510876811843
0,5,0.30,0.9731703093966153
0,5,0.35,0.9805468949905433
0,5,0.40,0.9842276009118563
0,5,0.45,0.9799075854822986
0,5,0.50,0.9864836223908602
0,5,0.55,0.9851928357986561
0,5,0.60,0.9847553640297486
