random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8329905262769202
0,0,0.10,0.929426034368411
0,0,0.15,0.9757220371093352
0,0,0.20,0.9468416749036783
0,0,0.25,0.9478948452748257
0,0,0.30,0.9548485737228225
0,0,0.35,0.9393885653910157
0,0,0.40,0.9474034268649044
0,0,0.45,0.965208953586009
0,0,0.50,0.9301501291349791
0,0,0.55,0.9836937142286823
0,0,0.60,0.9815170902994627
0,0,0.65,0.9876297889860933
0,0,0.70,0.9927501524737903
0,0,0.75,0.9906664985168251
0,0,0.80,0.9881216763914357
0,0,0.85,0.9946366435294264
0,0,0.90,0.9944780933184071
0,0,0.95,0.9902911462861793
0,1,0.05,0.7562624001598002
0,1,0.10,0.9081329819640825
0,1,0.15,0.9183462739856911
0,1,0.20,0.968012999209866
0,1,0.25,0.9523819728356894
0,1,0.30,0.9682209775929641
0,1,0.35,0.9876264682617008
0,1,0.40,0.9752197090671758
0,1,0.45,0.9630763852728181
0,1,0.50,0.9770915573467671
0,1,0.55,0.9799051098269843
0,1,0.60,0.9819205840721986
0,1,0.65,0.9872391379174598
0,1,0.70,0.9950971095696215
0,1,0.75,0.9804588777761876
0,1,0.80,0.989681541284735
0,1,0.85,0.9955077354321579
0,1,0.90,0.997573099640223
0,1,0.95,0.9980227222554012
0,2,0.05,0.8656298935855998
0,2,0.10,0.7261091490061726
0,2,0.15,0.9110441335831415
0,2,0.20,0.8670053702620025
0,2,0.25,0.9480795173938237
0,2,0.30,0.9388962420105225
0,2,0.35,0.9570571515552464
0,2,0.40,0.975783126038568
0,2,0.45,0.9904982107377379
0,2,0.50,0.9832105104727544
0,2,0.55,0.9730767784201728
0,2,0.60,0.9926310168668011
0,2,0.65,0.9820063572042659
0,2,0.70,0.9958936794340457
0,2,0.75,0.9944448711923068
0,2,0.80,0.9968313200799213
0,2,0.85,0.9942049794352685
0,2,0.90,0.9920008862641784
0,2,0.95,0.9936347104747562
0,3,0.05,0.7445187161519333
0,3,0.10,0.3124133022104596
0,3,0.15,0.7604966613179256
0,3,0.20,0.9432378011578881
0,3,0.25,0.9237659933524619
0,3,0.30,0.9704849806176901
0,3,0.35,0.9722112624087836
0,3,0.40,0.9721113437057626
0,3,0.45,0.9925377678783929
0,3,0.50,0.9890126811605667
0,3,0.55,0.9885932462912421
0,3,0.60,0.9869070437108632
0,3,0.65,0.9904314237005232
0,3,0.70,0.9927275066685961
0,3,0.75,0.9882628705369316
0,3,0.80,0.9958954471558971
0,3,0.85,0.9732186482814879
0,3,0.90,0.9956099310610247
0,3,0.95,0.9951965858017832
0,4,0.05,0.9243276429426686
0,4,0.10,0.8269023855789686
0,4,0.15,0.8853675819904258
0,4,0.20,0.8809553268824943
0,4,0.25,0.8201088012961828
0,4,0.30,0.9677549840838732
0,4,0.35,0.9864194905318105
0,4,0.40,0.9896822137459992
0,4,0.45,0.9793224694384753
0,4,0.50,0.9858791185434069
0,4,0.55,0.9777825078429601
0,4,0.60,0.9855458205397298
0,4,0.65,0.9844249139952835
0,4,0.70,0.9927999509931582
0,4,0.75,0.9958273973933187
0,4,0.80,0.9944107649595076
0,4,0.85,0.9968635585072341
0,4,0.90,0.9901839574619801
0,4,0.95,0.9552329035680989
0,5,0.05,0.9393143684223175
0,5,0.10,0.7673894369150723
0,5,0.15,0.8634916477810053
0,5,0.20,0.9284391374566416
0,5,0.25,0.9709862553493954
0,5,0.30,0.9275828468850803
0,5,0.35,0.9743025832318581
0,5,0.40,0.9639664388181757
0,5,0.45,0.9770342815858993
0,5,0.50,0.986837628403492
0,5,0.55,0.9850095184913763
0,5,0.60,0.988788353872768
0,5,0.65,0.994415700214979
0,5,0.70,0.9953641473031357
0,5,0.75,0.9936481161715612
0,5,0.80,0.9929639762272936
0,5,0.85,0.9931489081868442
0,5,0.90,0.9945088170206698
0,5,0.95,0.9893883525942387
0,6,0.05,0.7450122842281492
0,6,0.10,0.866626662267727
0,6,0.15,0.8136530763846384
0,6,0.20,0.9381320079201723
0,6,0.25,0.9759234762185339
0,6,0.30,0.933611619315067
0,6,0.35,0.9355584290420473
0,6,0.40,0.9904143353118761
0,6,0.45,0.9719397784411525
0,6,0.50,0.9796915943086537
0,6,0.55,0.970340513164386
0,6,0.60,0.9946032994182228
0,6,0.65,0.9884031514178948
0,6,0.70,0.99509073077026
0,6,0.75,0.9944462190690354
0,6,0.80,0.9911193859129791
0,6,0.85,0.994200686595332
0,6,0.90,0.9952873463513076
0,6,0.95,0.996238620600669
0,7,0.05,0.8178132535983667
0,7,0.10,0.9062306310386203
0,7,0.15,0.9531701150160589
0,7,0.20,0.912560239585119
0,7,0.25,0.9793486814950189
0,7,0.30,0.9666015557103322
0,7,0.35,0.9770836021889979
0,7,0.40,0.9778992018608413
0,7,0.45,0.9917640871088916
0,7,0.50,0.99078789054113
0,7,0.55,0.9899953524928705
0,7,0.60,0.9763870786744444
0,7,0.65,0.9908829808750316
0,7,0.70,0.9902702767415746
0,7,0.75,0.993247426645641
0,7,0.80,0.9951761944809597
0,7,0.85,0.9898152912425452
0,7,0.90,0.9969710447948017
0,7,0.95,0.9959723290328887
0,8,0.05,0.6031768035337336
0,8,0.10,0.6852493325004586
0,8,0.15,0.9354847791052701
0,8,0.20,0.8316752768416465
0,8,0.25,0.9718185894870655
