random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8621705197902703
0,0,0.10,0.9205359378943883
0,0,0.15,0.9733056739796121
0,0,0.20,0.5908916393705836
0,0,0.25,0.9385044542823704
0,0,0.30,0.959853561138964
0,0,0.35,0.8713561318871167
0,0,0.40,0.9473605146733766
0,0,0.45,0.938874556141244
0,0,0.50,0.9832873189729093
0,0,0.55,0.9891341400649352
0,0,0.60,0.9777779044723693
0,0,0.65,0.966914355178959
0,0,0.70,0.9716674699428327
0,0,0.75,0.9695071403137772
0,0,0.80,0.9738598274905372
0,0,0.85,0.9687923853688801
0,0,0.90,0.9685821389429715
0,0,0.95,0.9737333948994452
0,1,0.05,0.6807600723716567
0,1,0.10,0.7867476406185645
0,1,0.15,0.9112912833569848
0,1,0.20,0.9848411385696696
0,1,0.25,0.9058912654045072
0,1,0.30,0.9730826060821285
0,1,0.35,0.971414472340161
0,1,0.40,0.951562909271466
0,1,0.45,0.9691066491772837
0,1,0.50,0.9746515813181693
0,1,0.55,0.9677836179241569
0,1,0.60,0.9672242774253967
0,1,0.65,0.9705825423857659
0,1,0.70,0.9773031383073555
0,1,0.75,0.9674388802070375
0,1,0.80,0.9739913485934908
0,1,0.85,0.970576101021868
0,1,0.90,0.9732933951768631
0,1,0.95,0.9803416246194855
0,2,0.05,0.9019977086754686
0,2,0.10,0.8745552691602876
0,2,0.15,0.9341259451974906
0,2,0.20,0.8871269404908302
0,2,0.25,0.9321014898135493
0,2,0.30,0.9586358261702412
0,2,0.35,0.9523198169612306
0,2,0.40,0.9318314924859795
0,2,0.45,0.9644323694052654
0,2,0.50,0.9325163968588845
0,2,0.55,0.9279051417172571
0,2,0.60,0.947867635833168
0,2,0.65,0.9438804480068248
0,2,0.70,0.9701033258192475
0,2,0.75,0.9721136972771964
0,2,0.80,0.9791042788029443
0,2,0.85,0.9683175210985866
0,2,0.90,0.9771762871044408
0,2,0.95,0.9789926692534568
0,3,0.05,0.907046632055992
0,3,0.10,0.7581899481580849
0,3,0.15,0.7961437989821794
0,3,0.20,0.8633631502660184
0,3,0.25,0.9583451431288381
0,3,0.30,0.9020784572115119
0,3,0.35,0.9344792590656128
0,3,0.40,0.9708545533312113
0,3,0.45,0.9489797641419743
0,3,0.50,0.9767412708675981
0,3,0.55,0.9686151523780892
0,3,0.60,0.971833140218732
0,3,0.65,0.9807016713195623
0,3,0.70,0.9782558123757128
0,3,0.75,0.9735322343265427
0,3,0.80,0.9723623845119086
0,3,0.85,0.9761455856486954
0,3,0.90,0.9687498657706176
0,3,0.95,0.9760108461042639
0,4,0.05,0.8999253784975478
0,4,0.10,0.7031809970667295
0,4,0.15,0.9624305038394663
0,4,0.20,0.7882016846823688
0,4,0.25,0.9189000382521291
0,4,0.30,0.9599810596082138
0,4,0.35,0.9700012398692046
0,4,0.40,0.962171071435602
0,4,0.45,0.9502541992797767
0,4,0.50,0.9552280560920768
0,4,0.55,0.9800555287906082
0,4,0.60,0.9694249059210589
0,4,0.65,0.9794102171914253
0,4,0.70,0.9795183475554654
0,4,0.75,0.9723304779148727
0,4,0.80,0.9693550919217196
0,4,0.85,0.9745928557019611
0,4,0.90,0.9572253342816526
0,4,0.95,0.9684596768469015
0,5,0.05,0.8170485534080354
0,5,0.10,0.5140522705978234
0,5,0.15,0.870761352961931
0,5,0.20,0.945224239234548
0,5,0.25,0.9579238106834121
0,5,0.30,0.9194799165967285
0,5,0.35,0.9701404961520023
0,5,0.40,0.9739319861361546
0,5,0.45,0.9743536409464619
0,5,0.50,0.9775517181495478
0,5,0.55,0.9657848124481924
0,5,0.60,0.9686983597595034
0,5,0.65,0.9346728908186304
0,5,0.70,0.9557945369165834
0,5,0.75,0.9580931056363892
0,5,0.80,0.9440175492421007
0,5,0.85,0.951081534313607
0,5,0.90,0.975543126530986
0,5,0.95,0.9536615147365604
0,6,0.05,0.8871131146846581
0,6,0.10,0.862239900042436
0,6,0.15,0.9187560528235197
0,6,0.20,0.9148415240619802
0,6,0.25,0.9467391858748754
0,6,0.30,0.9566006442330346
0,6,0.35,0.9357136963543379
0,6,0.40,0.9347064232353239
0,6,0.45,0.9645282462991126
0,6,0.50,0.9680827763560473
0,6,0.55,0.9514799237741312
0,6,0.60,0.9634388875047325
0,6,0.65,0.9696053611121035
0,6,0.70,0.9660244915116629
0,6,0.75,0.9699209264914629
0,6,0.80,0.980196191083533
0,6,0.85,0.9735943654200508
0,6,0.90,0.9698146371450994
0,6,0.95,0.9770011275409092
0,7,0.05,0.7999985786873487
0,7,0.10,0.9503714488433144
0,7,0.15,0.8621460293870208
0,7,0.20,0.9016125674246447
0,7,0.25,0.9305349006788115
0,7,0.30,0.9674270458946309
0,7,0.35,0.8599432766354872
0,7,0.40,0.9455250289020445
0,7,0.45,0.9637975387389494
0,7,0.50,0.9636220718101675
0,7,0.55,0.9734537038932226
0,7,0.60,0.9379755967119695
0,7,0.65,0.9607236568282775
0,7,0.70,0.9581010090585582
0,7,0.75,0.9582935694283566
0,7,0.80,0.9734270587056137
0,7,0.85,0.9646166780690929
0,7,0.90,0.9730322609593666
0,7,0.95,0.9634643077055169
0,8,0.05,0.9263036675328485
0,8,0.10,0.7834238669494071
0,8,0.15,0.8751426320707242
0,8,0.20,0.9582998444377958
0,8,0.25,0.9083801520159519
0,8,0.30,0.9639207547472566
0,8,0.35,0.9520576406223273
0,8,0.40,0.9600758710687858
0,8,0.45,0.9515037683485116
0,8,0.50,0.9708140038678984
0,8,0.55,0.9726571835787162
0,8,0.60,0.9733029610262075
0,8,0.65,0.9777522450582129
0,8,0.70,0.9742393702841587
0,8,0.75,0.9724544203550006
0,8,0.80,0.9690650483114482
0,8,0.85,0.9805118223725782
0,8,0.90,0.9804584315071742
0,8,0.95,0.9751657206509138
0,9,0.05,0.8438999147325295
0,9,0.10,0.6996640316977243
0,9,0.15,0.8472215230362758
0,9,0.20,0.9280692048668046
0,9,0.25,0.9338548367684485
0,9,0.30,0.9684152508077034
0,9,0.35,0.9516474052446969
0,9,0.40,0.9297642182561586
0,9,0.45,0.9661188910775222
0,9,0.50,0.9663748268413117
0,9,0.55,0.9693212697096637
0,9,0.60,0.9659222434759449
0,9,0.65,0.9654504498783046
0,9,0.70,0.967934647380506
0,9,0.75,0.9680478104463074
0,9,0.80,0.9717474697715812
0,9,0.85,0.9821714459313523
0,9,0.90,0.970011920939382
0,9,0.95,0.9732411525016119
1,0,0.05,0.6230983880293274
1,0,0.10,0.6072732639973041
1,0,0.15,0.9741520049272441
1,0,0.20,0.7622341354603048
1,0,0.25,0.8946002164140625
1,0,0.30,0.9478557969765723
1,0,0.35,0.7566433742096774
1,0,0.40,0.8941063096963071
1,0,0.45,0.9184051200064972
1,0,0.50,0.9888825817850173
1,0,0.55,0.9625518548799066
1,0,0.60,0.9621501442539553
1,0,0.65,0.9572572290080681
1,0,0.70,0.960635581303883
1,0,0.75,0.9735054861981273
1,0,0.80,0.9649467115803477
1,0,0.85,0.9625599968273558
1,0,0.90,0.9622541575786911
1,0,0.95,0.9689527179654608
1,1,0.05,0.9310738704625388
1,1,0.10,0.6450731488923216
1,1,0.15,0.6758289502278934
1,1,0.20,0.9400771162104594
1,1,0.25,0.8799193917707016
1,1,0.30,0.9396060578150635
1,1,0.35,0.941680588700763
1,1,0.40,0.9491248507885732
1,1,0.45,0.9305881912405312
1,1,0.50,0.9561322921018277
1,1,0.55,0.9477327485643523
1,1,0.60,0.9782422873996417
1,1,0.65,0.9697533867774576
1,1,0.70,0.9777098913720662
1,1,0.75,0.9778642165867552
1,1,0.80,0.9817432593481783
1,1,0.85,0.9726380184474187
1,1,0.90,0.972304504872861
1,1,0.95,0.9648274099690015
1,2,0.05,0.5265600675966724
1,2,0.10,0.889816817085035
1,2,0.15,0.7805393141906526
1,2,0.20,0.7005382107199226
1,2,0.25,0.8979538081735753
1,2,0.30,0.7967024369424507
1,2,0.35,0.8471143631554201
1,2,0.40,0.9512495451957971
1,2,0.45,0.9230683465697845
1,2,0.50,0.9729206538756897
1,2,0.55,0.9561644896498146
1,2,0.60,0.9737557314184722
1,2,0.65,0.9834635334142181
1,2,0.70,0.9838280081033806
1,2,0.75,0.9736831641026283
1,2,0.80,0.976551071986263
1,2,0.85,0.9750371212435921
1,2,0.90,0.9771711671732547
1,2,0.95,0.9850356595771993
1,3,0.05,0.6334846152713425
1,3,0.10,0.6082353847948779
1,3,0.15,0.7699299371901991
1,3,0.20,0.9446963502304162
1,3,0.25,0.920877355769125
1,3,0.30,0.9144511229506909
1,3,0.35,0.938669714151722
1,3,0.40,0.9590226906160809
1,3,0.45,0.9510645777890281
1,3,0.50,0.9769694038357165
1,3,0.55,0.971693741863974
1,3,0.60,0.9772792025460895
1,3,0.65,0.9808506450093984
1,3,0.70,0.9660244469893122
1,3,0.75,0.9798033611719216
1,3,0.80,0.9781702872251452
1,3,0.85,0.9704212181513209
1,3,0.90,0.9720057943060264
1,3,0.95,0.9801726785791537
1,4,0.05,0.953321634336787
1,4,0.10,0.6625790741412643
1,4,0.15,0.7528050091522185
1,4,0.20,0.7464862418390412
1,4,0.25,0.8791958545358979
1,4,0.30,0.9022909140402898
1,4,0.35,0.9459190046952876
1,4,0.40,0.9523169993236982
1,4,0.45,0.9491345808228254
1,4,0.50,0.964896614630505
1,4,0.55,0.9624668870221813
1,4,0.60,0.9634924370194519
1,4,0.65,0.9758088757409902
1,4,0.70,0.9835787591833797
1,4,0.75,0.9768334310305703
1,4,0.80,0.9781995956337448
1,4,0.85,0.9767590284355264
1,4,0.90,0.9811645018019338
1,4,0.95,0.9737000559020109
1,5,0.05,0.4593135606048798
1,5,0.10,0.7667556629827681
1,5,0.15,0.9186936812389837
1,5,0.20,0.9354018460609483
1,5,0.25,0.9753459118549184
1,5,0.30,0.9319498558507238
1,5,0.35,0.9763244895612316
1,5,0.40,0.9522030167825019
1,5,0.45,0.9621025772212533
1,5,0.50,0.9673546562319122
1,5,0.55,0.9845951275851892
1,5,0.60,0.9733016527921258
1,5,0.65,0.9737000118002495
1,5,0.70,0.9902129500602458
1,5,0.75,0.9814445986032218
1,5,0.80,0.9767078870421599
1,5,0.85,0.9682463150998812
1,5,0.90,0.9706233611643811
1,5,0.95,0.9674696947267857
1,6,0.05,-1.3529898635829603
1,6,0.10,0.8690495672961087
1,6,0.15,0.6705245043631889
1,6,0.20,0.944797255658203
1,6,0.25,0.9186728523660099
1,6,0.30,0.8336529348455292
1,6,0.35,0.9635134946449635
1,6,0.40,0.9785746879896952
1,6,0.45,0.9707068534442542
1,6,0.50,0.9591020901482782
1,6,0.55,0.9491669117451063
1,6,0.60,0.9736417631396628
1,6,0.65,0.9833214600790094
1,6,0.70,0.9881366096565755
1,6,0.75,0.9887241453296582
1,6,0.80,0.9797755319171694
1,6,0.85,0.9775780536635069
1,6,0.90,0.9796018646373138
1,6,0.95,0.9758795697438233
1,7,0.05,-0.16112633712668312
1,7,0.10,0.9051747863401122
1,7,0.15,0.728773963713897
1,7,0.20,0.9477858017174889
1,7,0.25,0.9283151271887542
1,7,0.30,0.9836695308017235
1,7,0.35,0.9797513428852621
1,7,0.40,0.9388249677311513
1,7,0.45,0.9656597296274781
1,7,0.50,0.9705309991662935
1,7,0.55,0.9815977906419036
1,7,0.60,0.9829528634173077
1,7,0.65,0.9802760741753108
1,7,0.70,0.9758645947638331
1,7,0.75,0.9745405095145008
1,7,0.80,0.9722138303295906
1,7,0.85,0.9769291219854914
1,7,0.90,0.9775528422134154
1,7,0.95,0.9768001352540122
1,8,0.05,-0.9340924399701664
1,8,0.10,0.862665537750235
1,8,0.15,0.5637252715696326
1,8,0.20,0.9423786218762552
1,8,0.25,0.9378920633392407
1,8,0.30,0.8762202025693002
1,8,0.35,0.9741641437745152
1,8,0.40,0.9389429055930069
1,8,0.45,0.9568538232340466
1,8,0.50,0.95033591235116
1,8,0.55,0.971287970157168
1,8,0.60,0.9596296157049595
1,8,0.65,0.9821505515491273
1,8,0.70,0.9796607425814698
1,8,0.75,0.973854735880818
1,8,0.80,0.9734398591558943
1,8,0.85,0.9668755517685912
1,8,0.90,0.9799723579562649
1,8,0.95,0.9854888827595856
1,9,0.05,0.33489873209166887
1,9,0.10,0.6520129607711984
1,9,0.15,0.6978119240951092
1,9,0.20,0.8928825792502924
1,9,0.25,0.9603908936720595
1,9,0.30,0.7965884398685513
1,9,0.35,0.9833573324238232
1,9,0.40,0.9579055706859677
1,9,0.45,0.9557615310005625
1,9,0.50,0.956556882314692
1,9,0.55,0.9761678038755485
1,9,0.60,0.9608205708675621
1,9,0.65,0.9762588342626367
1,9,0.70,0.9791727537197783
1,9,0.75,0.981653272847685
1,9,0.80,0.9764172964268537
1,9,0.85,0.9803288583245001
1,9,0.90,0.9813808798300628
1,9,0.95,0.978846675857588
2,0,0.05,-0.620917051925012
2,0,0.10,0.8942847960002783
2,0,0.15,0.9595499290005405
2,0,0.20,0.9109675582835353
2,0,0.25,0.9456013461892849
2,0,0.30,0.9543256974567893
2,0,0.35,0.9639648996897738
2,0,0.40,0.9722179112578677
2,0,0.45,0.9678551913532598
2,0,0.50,0.9814507676341704
2,0,0.55,0.9754376438563723
2,0,0.60,0.9772492006014728
2,0,0.65,0.9784641504028905
2,0,0.70,0.9847330108034759
2,0,0.75,0.9826782249593962
2,0,0.80,0.9695752563493898
2,0,0.85,0.976770830199082
2,0,0.90,0.9816398746557948
2,0,0.95,0.9829388875969839
2,1,0.05,0.9917656439000496
2,1,0.10,0.9925441397757883
2,1,0.15,0.7322532093070622
2,1,0.20,0.9055839587530767
2,1,0.25,0.9854786240256667
2,1,0.30,0.9715142482723814
2,1,0.35,0.9674167571849945
2,1,0.40,0.9627483173303465
2,1,0.45,0.9347635728963108
2,1,0.50,0.9453504743995695
2,1,0.55,0.9746635520116916
2,1,0.60,0.9632464550254982
2,1,0.65,0.9449498650111516
2,1,0.70,0.9858427138590571
2,1,0.75,0.9811204022905462
2,1,0.80,0.9816327669022167
2,1,0.85,0.9749818115012566
2,1,0.90,0.9814361596426628
2,1,0.95,0.9748238364942639
2,2,0.05,0.7289579882536421
2,2,0.10,0.8790763326445157
2,2,0.15,0.9762057257557705
2,2,0.20,0.9051937873341465
2,2,0.25,0.9627829593701897
2,2,0.30,0.9746434885128883
2,2,0.35,0.9635776161538384
2,2,0.40,0.939220719282344
2,2,0.45,0.9559499933927739
2,2,0.50,0.9707466201957503
2,2,0.55,0.9520932353422225
2,2,0.60,0.9633390678450067
2,2,0.65,0.9631418608493453
2,2,0.70,0.9535628032469646
2,2,0.75,0.9797222930400649
2,2,0.80,0.9543225100554202
2,2,0.85,0.9765496507010366
2,2,0.90,0.9653034129747434
2,2,0.95,0.9743967060991495
2,3,0.05,0.9813919023783038
2,3,0.10,0.9539703124094928
2,3,0.15,0.9350078149141016
2,3,0.20,0.9548702575257096
2,3,0.25,0.9161963884291853
2,3,0.30,0.9575688749164204
2,3,0.35,0.9701765722932396
2,3,0.40,0.9858609971519275
2,3,0.45,0.9599013472236056
2,3,0.50,0.9728200168907726
2,3,0.55,0.9699971437556862
2,3,0.60,0.9671425806561397
2,3,0.65,0.9770622210993377
2,3,0.70,0.9529933643929043
2,3,0.75,0.9706564143663995
2,3,0.80,0.9592089105317654
2,3,0.85,0.9639609407718382
2,3,0.90,0.9616790247793777
2,3,0.95,0.9810144687193529
2,4,0.05,0.8647107655025095
2,4,0.10,0.9672941452808409
2,4,0.15,0.9426856839005786
2,4,0.20,0.9255850733838931
2,4,0.25,0.953107747034201
2,4,0.30,0.955905488950475
2,4,0.35,0.9765044289852512
2,4,0.40,0.9701470311370426
2,4,0.45,0.954711396253
2,4,0.50,0.9732624013838784
2,4,0.55,0.9730416297978184
2,4,0.60,0.9662436337125122
2,4,0.65,0.9754208053656205
