random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9915841870586126
0,0,0.10,0.9913008408576863
0,0,0.15,0.9964349173289646
0,0,0.20,0.9970593605991364
0,0,0.25,0.9933257578241643
0,0,0.30,0.997665312280549
0,0,0.35,0.9969696677625234
0,0,0.40,0.998177170602438
0,0,0.45,0.9981693288509452
0,0,0.50,0.9988275282661653
0,0,0.55,0.9991765669192546
0,0,0.60,0.9989123835563218
0,0,0.65,0.9991464732998199
0,0,0.70,0.9987276140167659
0,0,0.75,0.9986356193917678
0,0,0.80,0.9987836154550351
0,0,0.85,0.9988700591519514
0,0,0.90,0.9987308027884148
0,0,0.95,0.998335760425191
0,1,0.05,0.9900458837628373
0,1,0.10,0.9947952303566819
0,1,0.15,0.9774762083378405
0,1,0.20,0.9957222907148308
0,1,0.25,0.9961354060831872
0,1,0.30,0.9936497429131226
0,1,0.35,0.9976224912103702
0,1,0.40,0.9981139236714707
0,1,0.45,0.9985093061245656
0,1,0.50,0.9975162955895938
0,1,0.55,0.9984981725583822
0,1,0.60,0.9985965100674703
0,1,0.65,0.9986385510516522
0,1,0.70,0.9983248650465822
0,1,0.75,0.9984434937423576
0,1,0.80,0.9987243377416865
0,1,0.85,0.9982338068848955
0,1,0.90,0.9989647763025566
0,1,0.95,0.9988029794837979
0,2,0.05,0.9950776248591372
0,2,0.10,0.9916202451503836
0,2,0.15,0.9934980031887038
0,2,0.20,0.9957311712501737
0,2,0.25,0.9964544033330103
0,2,0.30,0.9961525141435951
0,2,0.35,0.9975906358886707
0,2,0.40,0.9976833266878632
0,2,0.45,0.9983585773413217
0,2,0.50,0.9974151034415442
0,2,0.55,0.9986687707533022
0,2,0.60,0.9984494812415964
0,2,0.65,0.9984113162746555
0,2,0.70,0.9984943558860975
0,2,0.75,0.99861232570192
0,2,0.80,0.9990032432668814
0,2,0.85,0.9987992757820647
0,2,0.90,0.9989405257630128
0,2,0.95,0.9990751106494139
0,3,0.05,0.989102616765006
0,3,0.10,0.9844589408667975
0,3,0.15,0.9922886226235351
0,3,0.20,0.9978871964939136
0,3,0.25,0.9888257135089333
0,3,0.30,0.9690543559260701
0,3,0.35,0.9896763337227998
0,3,0.40,0.9972942399133714
0,3,0.45,0.9984506650149967
0,3,0.50,0.9984162690422926
0,3,0.55,0.99746888838224
0,3,0.60,0.998292651564339
0,3,0.65,0.9987132859303566
0,3,0.70,0.9985715425439933
0,3,0.75,0.9985744673827474
0,3,0.80,0.9981378736677511
0,3,0.85,0.9988200758391091
0,3,0.90,0.9987631106459726
0,3,0.95,0.9994171981585054
0,4,0.05,0.9778474288830243
0,4,0.10,0.9865579860341224
0,4,0.15,0.9922936838132621
0,4,0.20,0.9954323444853143
0,4,0.25,0.9940274666638033
0,4,0.30,0.9955381779646327
0,4,0.35,0.9971692423799966
0,4,0.40,0.9971510947711082
0,4,0.45,0.9972859696964274
0,4,0.50,0.9987495773627134
0,4,0.55,0.9986857679990486
0,4,0.60,0.9984108776079869
0,4,0.65,0.9972039495398415
0,4,0.70,0.9984169315034059
0,4,0.75,0.9985897471376748
0,4,0.80,0.9985550591808956
0,4,0.85,0.9992133469040257
0,4,0.90,0.9987896599943457
0,4,0.95,0.998468371936524
0,5,0.05,0.9926431250919922
0,5,0.10,0.9907270788570646
0,5,0.15,0.9896838805613164
0,5,0.20,0.9770114528777629
0,5,0.25,0.9786850663142357
0,5,0.30,0.9944071713590991
0,5,0.35,0.9973722203985009
0,5,0.40,0.9978467805842011
0,5,0.45,0.9975588791192959
0,5,0.50,0.9986910101806097
0,5,0.55,0.998492212957676
0,5,0.60,0.9985228488879688
0,5,0.65,0.9977263443794229
0,5,0.70,0.9977776094303886
0,5,0.75,0.9988599914497975
0,5,0.80,0.9984979665614936
0,5,0.85,0.9987611394743473
0,5,0.90,0.998823968471995
0,5,0.95,0.9982985847491442
0,6,0.05,0.9910705011874356
0,6,0.10,0.9846957473023606
0,6,0.15,0.9925786487093992
0,6,0.20,0.9962903263782671
0,6,0.25,0.9823504410124938
0,6,0.30,0.9975336749855211
0,6,0.35,0.994287280973997
0,6,0.40,0.9983599897645065
0,6,0.45,0.9985451031010312
0,6,0.50,0.9990342655255363
0,6,0.55,0.9979225329240233
0,6,0.60,0.9992295210325783
0,6,0.65,0.9990198057217807
0,6,0.70,0.9984286799723733
0,6,0.75,0.9992957001640047
0,6,0.80,0.998799778124148
0,6,0.85,0.9989576408043843
0,6,0.90,0.99922674034566
0,6,0.95,0.9988996657116722
0,7,0.05,0.990356732618961
0,7,0.10,0.9926553967694794
0,7,0.15,0.9863658202657094
0,7,0.20,0.9867459735906452
0,7,0.25,0.9964020690293834
0,7,0.30,0.9971811418885482
0,7,0.35,0.9943321802332322
0,7,0.40,0.9978936067433359
0,7,0.45,0.9979253449589522
0,7,0.50,0.9984387688153546
0,7,0.55,0.9982751844539468
0,7,0.60,0.9980932175428874
0,7,0.65,0.9982622032532336
0,7,0.70,0.9980258009498697
0,7,0.75,0.9987793767680905
0,7,0.80,0.9989674069295581
0,7,0.85,0.9983608135271026
0,7,0.90,0.9987153646441929
0,7,0.95,0.9984788096865443
0,8,0.05,0.9925627194674308
0,8,0.10,0.9946442621984617
0,8,0.15,0.996302058931173
0,8,0.20,0.9901526863700812
0,8,0.25,0.9624109722701866
0,8,0.30,0.9956678193871716
0,8,0.35,0.9960304620651721
0,8,0.40,0.9966784887415953
0,8,0.45,0.9976153779427023
0,8,0.50,0.9983270919487638
0,8,0.55,0.9985325863561061
0,8,0.60,0.9987184279896791
0,8,0.65,0.9989994606062592
0,8,0.70,0.9988670384208677
0,8,0.75,0.9989140466049081
0,8,0.80,0.9989861947510765
0,8,0.85,0.9989066920343038
0,8,0.90,0.9990136987322932
0,8,0.95,0.999030436228202
0,9,0.05,0.987674250464211
0,9,0.10,0.9964056070996546
0,9,0.15,0.9896887565103654
0,9,0.20,0.9944694578512052
0,9,0.25,0.9935202945630318
0,9,0.30,0.9950260197252996
0,9,0.35,0.9975022899709024
0,9,0.40,0.9980239315017269
0,9,0.45,0.9981148826029455
0,9,0.50,0.9968254627458364
0,9,0.55,0.9990300329730857
0,9,0.60,0.998739648648056
0,9,0.65,0.9992567261481883
0,9,0.70,0.998581510448718
0,9,0.75,0.9989991769867265
0,9,0.80,0.999479207831349
0,9,0.85,0.9986816321471137
0,9,0.90,0.999124442228447
0,9,0.95,0.9991433129769051
1,0,0.05,0.9896692620387594
1,0,0.10,0.9963125396918779
1,0,0.15,0.9830805633969213
1,0,0.20,0.9702291669498193
1,0,0.25,0.9904262950331206
1,0,0.30,0.985885259042691
1,0,0.35,0.9969748437064095
1,0,0.40,0.9986929450748702
1,0,0.45,0.9989224647959113
1,0,0.50,0.997217063094138
1,0,0.55,0.9976992348526951
1,0,0.60,0.9980800513212024
