random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9684237776955427
0,0,0.10,0.9841241645383507
0,0,0.15,0.9927363603464082
0,0,0.20,0.9908765663490068
0,0,0.25,0.9908749260133789
0,0,0.30,0.9944016991900808
0,0,0.35,0.9941523589580742
0,0,0.40,0.995986194850851
0,0,0.45,0.9986062728812231
0,0,0.50,0.9907733433875321
0,0,0.55,0.9976860740930145
0,0,0.60,0.9974153783350482
0,0,0.65,0.9980473584191568
0,0,0.70,0.9987260245642545
0,0,0.75,0.9987097036508495
0,0,0.80,0.9988924746174548
0,0,0.85,0.9993729261121701
0,0,0.90,0.9985174442389857
0,0,0.95,0.9987062413763592
0,1,0.05,0.9115687666208184
0,1,0.10,0.9835882308890331
0,1,0.15,0.9933769150278708
0,1,0.20,0.9924724106161065
0,1,0.25,0.9920849137919946
0,1,0.30,0.9929298776933295
0,1,0.35,0.9964750875610597
0,1,0.40,0.9976142084573426
0,1,0.45,0.9969732060531683
0,1,0.50,0.9979883417330403
0,1,0.55,0.9990666619691994
0,1,0.60,0.9975562136261724
0,1,0.65,0.9988745380853531
0,1,0.70,0.9984773279617458
0,1,0.75,0.9985365660835633
0,1,0.80,0.9991000768254008
0,1,0.85,0.9984644916427456
0,1,0.90,0.998363072022956
0,1,0.95,0.9989385734346088
0,2,0.05,0.9542169238453105
0,2,0.10,0.9818445366838379
0,2,0.15,0.984011482839507
0,2,0.20,0.991320694535271
0,2,0.25,0.9907231935840022
0,2,0.30,0.9926749724451336
0,2,0.35,0.995517710050084
0,2,0.40,0.9964920952502417
0,2,0.45,0.9960774506608097
0,2,0.50,0.9973687114507147
0,2,0.55,0.9986588805553746
0,2,0.60,0.9975170213279094
0,2,0.65,0.9978837630681788
0,2,0.70,0.9983043179943408
0,2,0.75,0.9989464524562357
0,2,0.80,0.9980816409360345
0,2,0.85,0.9987878610777552
0,2,0.90,0.9989367186103708
0,2,0.95,0.998729571382808
0,3,0.05,0.8019320674034125
0,3,0.10,0.9896644690541028
0,3,0.15,0.9921907680082358
0,3,0.20,0.9916621577383514
0,3,0.25,0.9980079607361585
0,3,0.30,0.9938378580523923
0,3,0.35,0.9975148749711071
0,3,0.40,0.9975731004960848
0,3,0.45,0.9978080502613291
0,3,0.50,0.9976150024115998
0,3,0.55,0.9986616918229041
0,3,0.60,0.9985332944194115
0,3,0.65,0.997808301226535
0,3,0.70,0.997839711959067
0,3,0.75,0.9982639518699845
0,3,0.80,0.9983348498776701
0,3,0.85,0.9977248916332986
0,3,0.90,0.998536985890154
0,3,0.95,0.998621845248644
0,4,0.05,0.8067389928123324
0,4,0.10,0.9738433888225987
0,4,0.15,0.9915791076849141
0,4,0.20,0.9899154013082507
0,4,0.25,0.9880020522152279
0,4,0.30,0.994094014645215
0,4,0.35,0.9983243733396618
0,4,0.40,0.9980323920764529
0,4,0.45,0.996948248913893
0,4,0.50,0.997037350229489
0,4,0.55,0.9956580007436314
0,4,0.60,0.998356196526199
0,4,0.65,0.9983227119078151
0,4,0.70,0.9966040552671475
0,4,0.75,0.9984868379501276
0,4,0.80,0.999015613453345
0,4,0.85,0.9979468214528944
0,4,0.90,0.9987458803980387
0,4,0.95,0.9982282437934937
0,5,0.05,0.8184843006782299
0,5,0.10,0.978972645697892
0,5,0.15,0.9865896389564992
0,5,0.20,0.995405053980924
0,5,0.25,0.9980028507029837
0,5,0.30,0.9930269204683042
0,5,0.35,0.9972369744194298
0,5,0.40,0.9957881521647861
0,5,0.45,0.9973579912685139
0,5,0.50,0.9974840889029444
0,5,0.55,0.99764545122443
0,5,0.60,0.9986960601514188
0,5,0.65,0.9988104973084774
0,5,0.70,0.9981739619125903
0,5,0.75,0.9979446903590791
0,5,0.80,0.998083748052538
0,5,0.85,0.9993205068843282
0,5,0.90,0.9988893060615396
0,5,0.95,0.9991333948067115
0,6,0.05,0.9891980934706702
0,6,0.10,0.992936774150062
0,6,0.15,0.9789560397018792
0,6,0.20,0.9590818514704833
0,6,0.25,0.9957717232472005
0,6,0.30,0.9949015066166228
0,6,0.35,0.9938525531867605
0,6,0.40,0.9967126840641566
0,6,0.45,0.996236659570751
0,6,0.50,0.9974803854065368
0,6,0.55,0.9982557614133467
0,6,0.60,0.9984002651611252
0,6,0.65,0.9978029356622934
0,6,0.70,0.9963945403668076
0,6,0.75,0.9985395755736347
0,6,0.80,0.9983224426191294
0,6,0.85,0.9992171468263314
0,6,0.90,0.9987366084622217
0,6,0.95,0.9990264814650357
0,7,0.05,0.7960214091554006
0,7,0.10,0.9441589153407702
0,7,0.15,0.9945076419602424
0,7,0.20,0.9834227063655671
0,7,0.25,0.9966684995767134
0,7,0.30,0.9935149947251232
0,7,0.35,0.9967553476920239
0,7,0.40,0.9957039948126932
0,7,0.45,0.9979256193178854
0,7,0.50,0.9983817422004297
0,7,0.55,0.9980886912270017
0,7,0.60,0.9965173342488849
0,7,0.65,0.9984122475589984
0,7,0.70,0.9987509275541427
0,7,0.75,0.9981378215912339
0,7,0.80,0.998520795309625
0,7,0.85,0.9981835878959959
0,7,0.90,0.9993586922234191
0,7,0.95,0.998663051148802
0,8,0.05,0.8798163230835824
0,8,0.10,0.9912247939032822
0,8,0.15,0.9347246407691
0,8,0.20,0.9910751340663225
0,8,0.25,0.9941139065841702
0,8,0.30,0.9947341911234011
