random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.4866396397588594
0,0,0.10,0.8445370154991549
0,0,0.15,0.986741695472076
0,0,0.20,0.9494001139938675
0,0,0.25,0.9923497838375371
0,0,0.30,0.9131768480176248
0,0,0.35,0.9627688540323838
0,0,0.40,0.9929821748019927
0,0,0.45,0.9974625734859263
0,0,0.50,0.9915418151218973
0,0,0.55,0.9930014151730259
0,0,0.60,0.994445976060785
0,0,0.65,0.9984339602393816
0,0,0.70,0.9980220032265441
0,0,0.75,0.9964508343835021
0,0,0.80,0.9964986945127058
0,0,0.85,0.9973674515893386
0,0,0.90,0.9963194200356955
0,0,0.95,0.9973562194826446
0,1,0.05,-0.10242676400814532
0,1,0.10,0.6411947886206134
0,1,0.15,0.9792985520092296
0,1,0.20,0.9934505290904221
0,1,0.25,0.9455361428779223
0,1,0.30,0.9820280309521181
0,1,0.35,0.9882487137651388
0,1,0.40,0.9828990612499908
0,1,0.45,0.9854197184519508
0,1,0.50,0.9749027161816013
0,1,0.55,0.9695999960443189
0,1,0.60,0.9887538522979561
0,1,0.65,0.9975552032266037
0,1,0.70,0.9976897222953814
0,1,0.75,0.99695421612378
0,1,0.80,0.9938552770735003
0,1,0.85,0.995605322072773
0,1,0.90,0.9946412509411285
0,1,0.95,0.9960938323955415
0,2,0.05,0.7652731728179598
0,2,0.10,0.8895049607692768
0,2,0.15,0.9683028331624267
0,2,0.20,0.9886729793779226
0,2,0.25,0.9891836389980762
0,2,0.30,0.9236321615326014
0,2,0.35,0.9931769736018716
0,2,0.40,0.98995387137513
0,2,0.45,0.9972311498816291
0,2,0.50,0.9980805473744662
0,2,0.55,0.9975346453003854
0,2,0.60,0.9959641748258957
0,2,0.65,0.9951500937267697
0,2,0.70,0.9979576306679995
0,2,0.75,0.9954498038456012
0,2,0.80,0.9973560193970958
0,2,0.85,0.9985060611589964
0,2,0.90,0.9901198995913986
0,2,0.95,0.9975910043905477
0,3,0.05,0.11533815458452057
0,3,0.10,0.9508335591525172
0,3,0.15,0.7418756905684951
0,3,0.20,0.957771635126255
0,3,0.25,0.977534221498657
0,3,0.30,0.9839086036026687
0,3,0.35,0.9662420375622914
0,3,0.40,0.9932727460641494
0,3,0.45,0.9963444025545983
0,3,0.50,0.9968798275348826
0,3,0.55,0.9976794896928796
0,3,0.60,0.9902800020949394
0,3,0.65,0.9988425512120548
0,3,0.70,0.997384853438494
0,3,0.75,0.9977924368201668
0,3,0.80,0.9974814697773868
0,3,0.85,0.9981569404623087
0,3,0.90,0.9983577070519463
0,3,0.95,0.9977935004404667
0,4,0.05,0.7458298152776163
0,4,0.10,0.9471178865285739
0,4,0.15,0.9769759647842656
0,4,0.20,0.9661821712066394
0,4,0.25,0.9729346857814535
0,4,0.30,0.8721196907219321
0,4,0.35,0.9886828125158298
0,4,0.40,0.9885526370222201
0,4,0.45,0.9955571203751759
0,4,0.50,0.9971271462880281
0,4,0.55,0.9639006137487498
0,4,0.60,0.9974682156327689
0,4,0.65,0.997911684313499
0,4,0.70,0.9935745393255022
0,4,0.75,0.9947241685151563
0,4,0.80,0.9974772906324441
0,4,0.85,0.9966405647215743
0,4,0.90,0.9932404284909029
0,4,0.95,0.9965440591104187
0,5,0.05,0.6963121780615709
0,5,0.10,0.8371321476882281
0,5,0.15,0.9709289070924654
0,5,0.20,0.9696048688370299
0,5,0.25,0.9926652943123887
0,5,0.30,0.9775401597171022
0,5,0.35,0.9618796836390423
0,5,0.40,0.9904111889338565
0,5,0.45,0.9968775987486695
0,5,0.50,0.9978029862934821
0,5,0.55,0.99638622754901
0,5,0.60,0.9980941573040815
0,5,0.65,0.9972135503202214
0,5,0.70,0.9610961038735523
0,5,0.75,0.9952502455649962
0,5,0.80,0.9961362519091291
0,5,0.85,0.9963213678830661
0,5,0.90,0.9963335810733991
0,5,0.95,0.9969106654890287
