random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.4813269099955596
0,0,0.10,0.8429010582521517
0,0,0.15,0.8712241207130944
0,0,0.20,0.9668937494578637
0,0,0.25,0.9854586010843815
0,0,0.30,0.9905580841304189
0,0,0.35,0.9958690190597258
0,0,0.40,0.9887960450557153
0,0,0.45,0.9919153583097742
0,0,0.50,0.9973657605404828
0,0,0.55,0.9979661951780984
0,0,0.60,0.9963501009138646
0,0,0.65,0.9982013960929733
0,0,0.70,0.995627525574742
0,0,0.75,0.9949334747142362
0,0,0.80,0.9980876483114246
0,0,0.85,0.9956907226751002
0,0,0.90,0.9958564264582092
0,0,0.95,0.9982765994704471
0,1,0.05,0.31046751986451293
0,1,0.10,0.9747065157043006
0,1,0.15,0.9457359585004942
0,1,0.20,0.9313453742509727
0,1,0.25,0.9786398843511149
0,1,0.30,0.9909199703894392
0,1,0.35,0.9770913951268585
0,1,0.40,0.9826013682562088
0,1,0.45,0.9969143771132383
0,1,0.50,0.9977000151814828
0,1,0.55,0.9790184177362536
0,1,0.60,0.9984175843797763
0,1,0.65,0.997304944847566
0,1,0.70,0.9986561297660165
0,1,0.75,0.9991721489812619
0,1,0.80,0.99854952155761
0,1,0.85,0.9985341454380031
0,1,0.90,0.9988912865267665
0,1,0.95,0.9928703592208359
0,2,0.05,0.9118053035734653
0,2,0.10,0.8822820958069341
0,2,0.15,0.9854989798811326
0,2,0.20,0.9820340872180301
0,2,0.25,0.9746194614564622
0,2,0.30,0.9895578124595885
0,2,0.35,0.8808374077628189
0,2,0.40,0.9801823161060588
0,2,0.45,0.9913495926346476
0,2,0.50,0.9981825576255975
0,2,0.55,0.9990289713876925
0,2,0.60,0.9855184861510929
0,2,0.65,0.997564391401526
0,2,0.70,0.9989268622424246
0,2,0.75,0.9982219934932863
0,2,0.80,0.9977482423240437
0,2,0.85,0.997616761862509
0,2,0.90,0.9981572869851051
0,2,0.95,0.9979033853837926
0,3,0.05,0.744167668987209
0,3,0.10,0.6608970405971769
0,3,0.15,0.9108765628957197
0,3,0.20,0.96062853821415
0,3,0.25,0.9839195738493973
0,3,0.30,0.994322710452874
0,3,0.35,0.9673177087305909
0,3,0.40,0.9969357135041216
0,3,0.45,0.9969846888277334
0,3,0.50,0.9942704641411115
0,3,0.55,0.9971189642906686
0,3,0.60,0.9965525770851363
0,3,0.65,0.9952895567486137
0,3,0.70,0.9988807540338493
0,3,0.75,0.998108620375637
0,3,0.80,0.9987557295595297
0,3,0.85,0.9979617962735151
0,3,0.90,0.9953590622055316
0,3,0.95,0.9990847471102128
0,4,0.05,0.9232492819257412
0,4,0.10,0.8829364965238945
0,4,0.15,0.9647891924287544
0,4,0.20,0.9583218266466421
0,4,0.25,0.9071286572657165
0,4,0.30,0.9875675791515041
0,4,0.35,0.989255563469867
0,4,0.40,0.9941620983611341
0,4,0.45,0.9945282302249454
0,4,0.50,0.9820927310779989
0,4,0.55,0.9975581427293266
0,4,0.60,0.997940833157969
0,4,0.65,0.9963981771269171
0,4,0.70,0.9963521230280933
0,4,0.75,0.9980962351666401
0,4,0.80,0.9973579042171282
0,4,0.85,0.9979693752316015
0,4,0.90,0.9974124400415908
0,4,0.95,0.988758877894527
0,5,0.05,0.9048803867696128
0,5,0.10,0.9498676952640563
0,5,0.15,0.952227910760659
0,5,0.20,0.981733907795383
0,5,0.25,0.9870126213960283
0,5,0.30,0.9917287382130097
0,5,0.35,0.9860297552728471
0,5,0.40,0.9780591107968916
0,5,0.45,0.9830480090373325
0,5,0.50,0.9941803073014289
0,5,0.55,0.9964532446308019
0,5,0.60,0.9972324435806972
0,5,0.65,0.9962877065090846
0,5,0.70,0.9970400369047493
0,5,0.75,0.9956035467155527
0,5,0.80,0.9976263771907457
0,5,0.85,0.9984220405967376
0,5,0.90,0.9977438322699438
0,5,0.95,0.9984092941682815
0,6,0.05,0.5827173126269154
0,6,0.10,0.9616754662725016
0,6,0.15,0.9208224443792618
0,6,0.20,0.9779122706206157
0,6,0.25,0.9985776220989245
0,6,0.30,0.9957262679072608
0,6,0.35,0.9929262144944924
0,6,0.40,0.9817055535814248
0,6,0.45,0.9930456548889193
0,6,0.50,0.9922764615654925
0,6,0.55,0.9968683354521509
0,6,0.60,0.9979193240259819
0,6,0.65,0.9970028958709976
0,6,0.70,0.9912562054531158
0,6,0.75,0.9973249754058354
0,6,0.80,0.9989773413040722
0,6,0.85,0.9948786111853403
0,6,0.90,0.9972036024222029
0,6,0.95,0.9992859126223227
0,7,0.05,0.7789098947372394
0,7,0.10,0.9481601375716101
0,7,0.15,0.9665352973199156
0,7,0.20,0.901015051660139
0,7,0.25,0.9955264442754698
0,7,0.30,0.9938306757625215
0,7,0.35,0.9738518583373669
0,7,0.40,0.9974172338672422
0,7,0.45,0.9948105158747029
0,7,0.50,0.9953949833670915
0,7,0.55,0.9937317787045301
0,7,0.60,0.9936833174135236
0,7,0.65,0.9952370122711033
0,7,0.70,0.9940777823693013
0,7,0.75,0.9950247314953372
0,7,0.80,0.9960061744746975
0,7,0.85,0.9971755629476062
0,7,0.90,0.9966600840751583
0,7,0.95,0.9968935557349491
0,8,0.05,0.754576025542857
0,8,0.10,0.9309898134961438
0,8,0.15,0.9861075904846188
0,8,0.20,0.9910652513747701
0,8,0.25,0.9787940450457705
0,8,0.30,0.996749473695601
0,8,0.35,0.9949420997647989
0,8,0.40,0.99764462554757
0,8,0.45,0.9943980233173279
0,8,0.50,0.9881697470222763
0,8,0.55,0.9958345015655864
0,8,0.60,0.9960686152411852
0,8,0.65,0.9982332151610719
0,8,0.70,0.9982709281321998
0,8,0.75,0.9979187169938023
0,8,0.80,0.9929670323879598
0,8,0.85,0.9974088373909319
0,8,0.90,0.9982464066034124
0,8,0.95,0.997716761337953
0,9,0.05,0.6551792494056303
0,9,0.10,0.9641023493947055
0,9,0.15,0.9908574752269572
0,9,0.20,0.97280788651903
0,9,0.25,0.9972311434743215
0,9,0.30,0.9931712599307077
0,9,0.35,0.9931326357035614
0,9,0.40,0.9900455719912911
0,9,0.45,0.9977364900538094
0,9,0.50,0.9975627295699401
0,9,0.55,0.9928881821276813
0,9,0.60,0.9979849963226372
0,9,0.65,0.9955451939098057
0,9,0.70,0.9962972255813121
0,9,0.75,0.9980762722679941
0,9,0.80,0.9962348820847308
0,9,0.85,0.9986206944067281
0,9,0.90,0.9967842858846647
0,9,0.95,0.9989590712125298
1,0,0.05,0.3874380397328674
1,0,0.10,0.8043144617680023
1,0,0.15,0.8646121027776325
1,0,0.20,0.9895246870976426
1,0,0.25,0.9952971573186488
1,0,0.30,0.9886804448955614
1,0,0.35,0.9874938148242217
1,0,0.40,0.9926618405794491
1,0,0.45,0.9915922740116884
1,0,0.50,0.9949400024533236
1,0,0.55,0.9949496663425147
1,0,0.60,0.9954145786823468
1,0,0.65,0.99904345667654
1,0,0.70,0.9944910772285817
1,0,0.75,0.9944018067672155
1,0,0.80,0.9981104928727176
1,0,0.85,0.9929749905790899
1,0,0.90,0.995332920094831
1,0,0.95,0.9957297492139409
1,1,0.05,0.9043221911709703
1,1,0.10,0.6792560400590455
1,1,0.15,0.9783594860203757
1,1,0.20,0.9468350352662146
1,1,0.25,0.9875452419512394
1,1,0.30,0.987691129921922
1,1,0.35,0.9911025260995056
1,1,0.40,0.9892388152115018
1,1,0.45,0.9927885787352941
1,1,0.50,0.9961787710823385
1,1,0.55,0.9977596118228698
1,1,0.60,0.9965330120506685
1,1,0.65,0.9984720566385396
1,1,0.70,0.997355617940723
1,1,0.75,0.9968997322401585
1,1,0.80,0.9980072385529477
1,1,0.85,0.9978318772446377
1,1,0.90,0.9971256810218881
1,1,0.95,0.9982516233907774
1,2,0.05,0.833515237242821
1,2,0.10,0.9475464331339074
1,2,0.15,0.9790366562010957
1,2,0.20,0.9893087605681286
1,2,0.25,0.9689782200295052
1,2,0.30,0.989864887047161
1,2,0.35,0.9938957478926493
1,2,0.40,0.9977409409174485
1,2,0.45,0.9959083188745995
1,2,0.50,0.9981952558236363
1,2,0.55,0.9991051166993461
1,2,0.60,0.9983746352864888
1,2,0.65,0.9984867104800202
1,2,0.70,0.9991841445664169
1,2,0.75,0.9950680768346707
1,2,0.80,0.993489811705115
1,2,0.85,0.9920946275664081
1,2,0.90,0.9971151641421402
1,2,0.95,0.9985678354152664
1,3,0.05,0.634946897595315
1,3,0.10,0.4582293114463062
1,3,0.15,0.9828102690820523
1,3,0.20,0.7352089829367721
1,3,0.25,0.9892604481364751
1,3,0.30,0.9907602292551034
1,3,0.35,0.9824411542250807
1,3,0.40,0.9963898684540626
1,3,0.45,0.983188253537297
1,3,0.50,0.9920931393740973
1,3,0.55,0.9968777501063001
1,3,0.60,0.9960009660740147
1,3,0.65,0.9986494650212542
1,3,0.70,0.9987974359818972
1,3,0.75,0.9983075957445932
1,3,0.80,0.9989076248826151
1,3,0.85,0.9980474629537278
1,3,0.90,0.9985833334630743
1,3,0.95,0.998826521598172
1,4,0.05,0.7220771798116308
1,4,0.10,0.6551320912095595
1,4,0.15,0.7308634336426103
1,4,0.20,0.9213839707043613
1,4,0.25,0.9684955804310772
1,4,0.30,0.980035870290713
1,4,0.35,0.9720031213175243
1,4,0.40,0.9726291932731438
1,4,0.45,0.9926648425327002
1,4,0.50,0.9967362108131005
1,4,0.55,0.9934890133537873
1,4,0.60,0.9969191604063824
1,4,0.65,0.9969272117939715
1,4,0.70,0.9966151334530806
1,4,0.75,0.998281204991448
1,4,0.80,0.9925350799676153
1,4,0.85,0.9987387316883564
1,4,0.90,0.9986971300856545
1,4,0.95,0.997796750266395
1,5,0.05,0.7850036083644474
1,5,0.10,0.8203853404148509
1,5,0.15,0.9921561592832058
1,5,0.20,0.9141927624746905
1,5,0.25,0.9868495729433883
1,5,0.30,0.9855669423524874
1,5,0.35,0.9975907128601403
1,5,0.40,0.9957184493164126
1,5,0.45,0.9981314226862844
1,5,0.50,0.9960958189006445
1,5,0.55,0.9970814234705334
1,5,0.60,0.996625687628056
1,5,0.65,0.9961149536110536
1,5,0.70,0.9942935626920874
1,5,0.75,0.998058428835072
1,5,0.80,0.9936312756217083
1,5,0.85,0.9982757483895913
1,5,0.90,0.997989563719843
1,5,0.95,0.9991773671923257
1,6,0.05,-3.8204646507329656
1,6,0.10,0.8980373979233085
1,6,0.15,0.9375530978110682
1,6,0.20,0.9868907743478078
1,6,0.25,0.9826331940953896
1,6,0.30,0.9874132764443813
1,6,0.35,0.9913221583851212
1,6,0.40,0.9899745934537784
1,6,0.45,0.9968519496313255
1,6,0.50,0.9963483835207464
1,6,0.55,0.9986121064897795
1,6,0.60,0.9983054628450702
1,6,0.65,0.9961614303292371
1,6,0.70,0.9964593130604933
1,6,0.75,0.999210821229576
1,6,0.80,0.998913303873574
1,6,0.85,0.9976799876577708
1,6,0.90,0.9987992922472764
1,6,0.95,0.9988196330717481
1,7,0.05,0.6706678338113374
1,7,0.10,0.550931639859007
1,7,0.15,0.7564141959631047
1,7,0.20,0.8887433704645241
1,7,0.25,0.9903807139589339
1,7,0.30,0.9854750476146688
1,7,0.35,0.988863974995641
1,7,0.40,0.9908863709808355
1,7,0.45,0.9886234272950893
1,7,0.50,0.9955265013507086
