random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.5743268351961051
0,0,0.10,0.9874877228661606
0,0,0.15,0.9692572309795138
0,0,0.20,0.9955307294538459
0,0,0.25,0.9964380661049325
0,0,0.30,0.9963849794593618
0,0,0.35,0.9903978740227107
0,0,0.40,0.9978567225189404
0,0,0.45,0.9962324320363923
0,0,0.50,0.9962401144640012
0,0,0.55,0.9958835488745535
0,0,0.60,0.9980687841502619
0,0,0.65,0.9967671397888173
0,0,0.70,0.9984799749997946
0,0,0.75,0.9985704148104733
0,0,0.80,0.9982481776393458
0,0,0.85,0.9986524188990505
0,0,0.90,0.9975927408740176
0,0,0.95,0.9980535459286062
0,1,0.05,0.8109608690434422
0,1,0.10,0.9845595339834057
0,1,0.15,0.9868272960761538
0,1,0.20,0.9960726741452284
0,1,0.25,0.9934290397502704
0,1,0.30,0.9966324954241073
0,1,0.35,0.9893507863922318
0,1,0.40,0.9970079285538003
0,1,0.45,0.9968441189222564
0,1,0.50,0.9971236580576702
0,1,0.55,0.9980391181189961
0,1,0.60,0.997658294677816
0,1,0.65,0.9983353824827887
0,1,0.70,0.9974565857680849
0,1,0.75,0.9986893041225695
0,1,0.80,0.9958844189026929
0,1,0.85,0.9975110158086974
0,1,0.90,0.9982179413934248
0,1,0.95,0.9970008096395822
0,2,0.05,0.9877014283053922
0,2,0.10,0.9800492317011767
0,2,0.15,0.9932023604876672
0,2,0.20,0.9923205922851025
0,2,0.25,0.9965298074081745
0,2,0.30,0.9972777348184975
0,2,0.35,0.9923723223790553
0,2,0.40,0.99798756131067
0,2,0.45,0.9964490029638271
0,2,0.50,0.9963301131169036
0,2,0.55,0.9968635100965197
0,2,0.60,0.9984398942800259
0,2,0.65,0.9977729607457596
0,2,0.70,0.9980755434941868
0,2,0.75,0.998131287878767
0,2,0.80,0.997799735304619
0,2,0.85,0.9962191563430813
0,2,0.90,0.998507190576792
0,2,0.95,0.9978931310013679
0,3,0.05,0.4913294322977023
0,3,0.10,0.992247406149764
0,3,0.15,0.9951954851063145
0,3,0.20,0.9957064810930274
0,3,0.25,0.9971213715417282
0,3,0.30,0.9919539537021865
0,3,0.35,0.9970335631781513
0,3,0.40,0.9971809438836226
0,3,0.45,0.9968556889184584
0,3,0.50,0.9988134032649222
0,3,0.55,0.9981610258169759
0,3,0.60,0.9963194530837849
0,3,0.65,0.9976919125578756
0,3,0.70,0.9986815210437284
0,3,0.75,0.9974815957687214
0,3,0.80,0.9984745946652096
0,3,0.85,0.9982895579406781
0,3,0.90,0.9979672677864715
0,3,0.95,0.9962014836099755
0,4,0.05,0.656180381570279
0,4,0.10,0.9898218606244353
0,4,0.15,0.9935179450603923
0,4,0.20,0.9969467274897209
0,4,0.25,0.9971165073072543
0,4,0.30,0.9964254535616575
0,4,0.35,0.9950088082872821
0,4,0.40,0.9972861568455524
0,4,0.45,0.997964476589036
0,4,0.50,0.9971514829058499
0,4,0.55,0.9960993819842096
0,4,0.60,0.9958525762498435
0,4,0.65,0.998065021682563
0,4,0.70,0.9966319158400458
0,4,0.75,0.9984089651951239
0,4,0.80,0.9980252880769678
0,4,0.85,0.9982558924941182
0,4,0.90,0.9987510413578358
0,4,0.95,0.9981877378325535
0,5,0.05,0.7943094359197218
0,5,0.10,0.9922176966616904
0,5,0.15,0.9883741602056104
0,5,0.20,0.9951641244118341
0,5,0.25,0.9963102299461918
0,5,0.30,0.9973460218406376
0,5,0.35,0.9924105732801153
0,5,0.40,0.9977366890774899
0,5,0.45,0.99781310133176
0,5,0.50,0.9972738820375858
0,5,0.55,0.9968803705713686
0,5,0.60,0.9977675168996448
0,5,0.65,0.9964106913564917
0,5,0.70,0.9972289266118277
0,5,0.75,0.9957504926569112
0,5,0.80,0.9972852077288202
0,5,0.85,0.997605367938457
0,5,0.90,0.998161205625433
0,5,0.95,0.997935300402168
0,6,0.05,0.9312887887666932
0,6,0.10,0.9827914127046092
0,6,0.15,0.9933458436828922
0,6,0.20,0.9962457913468891
0,6,0.25,0.9962553580295748
0,6,0.30,0.9958806516987977
0,6,0.35,0.9947689575195469
0,6,0.40,0.9959288842888734
0,6,0.45,0.9987634227106944
0,6,0.50,0.9978995655812901
0,6,0.55,0.9964842228455647
0,6,0.60,0.9968475912501027
0,6,0.65,0.9983453240735382
0,6,0.70,0.998312706829359
0,6,0.75,0.9985867415757012
0,6,0.80,0.9971143461226867
0,6,0.85,0.9984384659370208
0,6,0.90,0.9981089389934942
0,6,0.95,0.9979077283598816
0,7,0.05,0.9948090881082903
0,7,0.10,0.9845150505464108
0,7,0.15,0.9844028992616768
0,7,0.20,0.9902068284168579
0,7,0.25,0.9978681968221228
0,7,0.30,0.9974742794635425
0,7,0.35,0.9951605674208616
0,7,0.40,0.9964275514318436
0,7,0.45,0.9956660739748616
0,7,0.50,0.995946569591296
0,7,0.55,0.9972479320825629
0,7,0.60,0.9984123389669066
0,7,0.65,0.9976949589090789
0,7,0.70,0.9978670535044019
0,7,0.75,0.9984598091539879
0,7,0.80,0.9981986366049812
0,7,0.85,0.9980341224466256
0,7,0.90,0.9978733674470855
0,7,0.95,0.9975402384083157
0,8,0.05,0.9931067032439638
0,8,0.10,0.9639020244135499
0,8,0.15,0.9914219528404901
0,8,0.20,0.9960092646543502
0,8,0.25,0.9813317576890502
0,8,0.30,0.9964144909121427
0,8,0.35,0.9940125317034634
0,8,0.40,0.9982039387416475
0,8,0.45,0.9959433525662073
0,8,0.50,0.9982342659783466
0,8,0.55,0.9977876416507725
0,8,0.60,0.9979280862621845
0,8,0.65,0.9982614912357234
0,8,0.70,0.9977500226740734
0,8,0.75,0.997352678079794
0,8,0.80,0.9983878084837743
0,8,0.85,0.9976575710957911
0,8,0.90,0.9983816827319237
0,8,0.95,0.9980816659668533
0,9,0.05,0.6179080852803767
0,9,0.10,0.7995021487324083
0,9,0.15,0.9952339694641652
0,9,0.20,0.9969071826209966
0,9,0.25,0.9960411099095132
0,9,0.30,0.9962508305673662
0,9,0.35,0.996131675891764
0,9,0.40,0.9967079109993037
0,9,0.45,0.9973940507638348
0,9,0.50,0.9960861512454285
0,9,0.55,0.9954679242513872
0,9,0.60,0.997191760720899
0,9,0.65,0.9966870446199533
0,9,0.70,0.9984522757239127
0,9,0.75,0.9985538735164892
0,9,0.80,0.99818703615796
0,9,0.85,0.9984890682297743
0,9,0.90,0.9981789543351609
0,9,0.95,0.997986622539744
1,0,0.05,0.7785768487464385
1,0,0.10,0.9857649471550302
1,0,0.15,0.9675836881237511
1,0,0.20,0.9886221415113666
1,0,0.25,0.9935770967144917
1,0,0.30,0.9930352613302657
1,0,0.35,0.996553514088051
1,0,0.40,0.9960551933239369
1,0,0.45,0.9980665482679714
1,0,0.50,0.9965947901563293
1,0,0.55,0.9979295826739155
1,0,0.60,0.9970792391590375
1,0,0.65,0.997117375355965
1,0,0.70,0.9978058552864211
1,0,0.75,0.9973598946354206
1,0,0.80,0.9980586682989679
1,0,0.85,0.9983189332195626
1,0,0.90,0.9983629519246371
1,0,0.95,0.9985644850041021
1,1,0.05,-1.4837576985719934
1,1,0.10,0.5944248361594642
1,1,0.15,0.9681240441642815
1,1,0.20,0.9962844203789297
1,1,0.25,0.9945349863001873
1,1,0.30,0.9964665577522968
1,1,0.35,0.9967631499304634
1,1,0.40,0.9921557097825168
1,1,0.45,0.9979508728301107
1,1,0.50,0.9970305554786195
1,1,0.55,0.9958272856738121
1,1,0.60,0.9940206870626859
1,1,0.65,0.9980393438006153
1,1,0.70,0.9970567592415892
1,1,0.75,0.9984093187539226
1,1,0.80,0.9972110458258224
1,1,0.85,0.9985890789711319
1,1,0.90,0.9983484620535662
1,1,0.95,0.9977847419321466
1,2,0.05,0.8554067019555969
1,2,0.10,0.9731484613696435
1,2,0.15,0.9934892108542255
1,2,0.20,0.9959065334650196
1,2,0.25,0.994479625168581
1,2,0.30,0.9944905391655956
1,2,0.35,0.9982289006857626
1,2,0.40,0.9974452031975694
1,2,0.45,0.9977221306145037
1,2,0.50,0.9960455918517485
1,2,0.55,0.9970793614531387
1,2,0.60,0.9977757074092247
1,2,0.65,0.9969512088841573
1,2,0.70,0.9986337828719629
1,2,0.75,0.9969514456117028
1,2,0.80,0.9979907978387381
1,2,0.85,0.998303580778359
1,2,0.90,0.9977937046792834
1,2,0.95,0.9985307228231272
1,3,0.05,0.8987107274447065
1,3,0.10,0.9834228742160992
1,3,0.15,0.9902574159933535
1,3,0.20,0.9487679469928519
1,3,0.25,0.9924000531325334
1,3,0.30,0.9974345940938405
1,3,0.35,0.9963973191766677
1,3,0.40,0.997930096854907
1,3,0.45,0.9970953814806506
1,3,0.50,0.9965116409155181
1,3,0.55,0.9983099953100217
1,3,0.60,0.9977567110572675
1,3,0.65,0.9976396765013144
1,3,0.70,0.9978041606617298
1,3,0.75,0.9982457266261482
1,3,0.80,0.9981386337294249
1,3,0.85,0.9979367370050495
1,3,0.90,0.9977106140915142
1,3,0.95,0.99844895543337
1,4,0.05,0.881391761194381
1,4,0.10,0.8238308616546862
1,4,0.15,0.9958074729854388
1,4,0.20,0.9956182041320187
1,4,0.25,0.997212509754439
1,4,0.30,0.9957322743097435
1,4,0.35,0.9973493294243625
1,4,0.40,0.9967344998445369
