random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9642651322184348
0,0,0.10,0.9870028597398087
0,0,0.15,0.9950502812951778
0,0,0.20,0.993038070945322
0,0,0.25,0.9958302656335468
0,0,0.30,0.994444202208077
0,0,0.35,0.9975770786168249
0,0,0.40,0.9944212329642408
0,0,0.45,0.9972739242510822
0,0,0.50,0.9965738173972702
0,0,0.55,0.9970464060606963
0,0,0.60,0.9972494686897465
0,0,0.65,0.9960458480727064
0,0,0.70,0.9974778571328904
0,0,0.75,0.997261228421566
0,0,0.80,0.9978313229508843
0,0,0.85,0.9974973750466203
0,0,0.90,0.9987298866546526
0,0,0.95,0.9979724292063693
0,1,0.05,0.9293596518338787
0,1,0.10,0.9779708444589232
0,1,0.15,0.9953269011891067
0,1,0.20,0.9953335753180259
0,1,0.25,0.990914963829654
0,1,0.30,0.9942323248919631
0,1,0.35,0.9914629670149652
0,1,0.40,0.9946150745748392
0,1,0.45,0.995823605845183
0,1,0.50,0.9955652160645896
0,1,0.55,0.996773230691738
0,1,0.60,0.9973679554588889
0,1,0.65,0.9961975271641397
0,1,0.70,0.9973670408091446
0,1,0.75,0.9976287148395042
0,1,0.80,0.9977312937593484
0,1,0.85,0.9974626918808334
0,1,0.90,0.9988227826957119
0,1,0.95,0.9963157183253452
0,2,0.05,0.9628903129889731
0,2,0.10,0.9681236031643032
0,2,0.15,0.9953663851135256
0,2,0.20,0.9883170524766098
0,2,0.25,0.9864987516833226
0,2,0.30,0.9951099147278691
0,2,0.35,0.9956014459923542
0,2,0.40,0.9958717646017624
0,2,0.45,0.9961173908112033
0,2,0.50,0.9956138721967767
0,2,0.55,0.9971228741539501
0,2,0.60,0.9938038010150414
0,2,0.65,0.9979656408097136
0,2,0.70,0.9979035266534284
0,2,0.75,0.9975492155878981
0,2,0.80,0.9957491302634931
0,2,0.85,0.9980108905266587
0,2,0.90,0.9977541486933071
0,2,0.95,0.9985273228672171
0,3,0.05,0.8330462810315596
0,3,0.10,0.9174134555644857
0,3,0.15,0.9926823616919125
0,3,0.20,0.9923780937976294
0,3,0.25,0.9956857650153591
0,3,0.30,0.9933719272448774
0,3,0.35,0.9958737615609302
0,3,0.40,0.9965599306436579
0,3,0.45,0.9969280763118621
0,3,0.50,0.9967279537515878
0,3,0.55,0.9975252076861694
0,3,0.60,0.9968165850104334
0,3,0.65,0.9971323484084823
0,3,0.70,0.9960051623261296
0,3,0.75,0.9963207918540307
0,3,0.80,0.9974844042196902
0,3,0.85,0.9979793918262257
0,3,0.90,0.9964382343034488
0,3,0.95,0.994206733169533
0,4,0.05,0.9644449831204416
0,4,0.10,0.884147780338469
0,4,0.15,0.99267374088579
0,4,0.20,0.9914909059545209
0,4,0.25,0.9911136630067484
0,4,0.30,0.9956877093140252
0,4,0.35,0.9969325070246021
0,4,0.40,0.9961943462344724
0,4,0.45,0.9972264430838006
0,4,0.50,0.9954658992522972
0,4,0.55,0.9970501619581205
0,4,0.60,0.9979405963760433
0,4,0.65,0.9941478941341141
0,4,0.70,0.9976948456081939
0,4,0.75,0.9979132062647667
0,4,0.80,0.9974896112575047
0,4,0.85,0.9982934041415787
0,4,0.90,0.9963754306343149
0,4,0.95,0.9975486526091416
0,5,0.05,0.9742306118555164
0,5,0.10,0.9814828815474496
0,5,0.15,0.994880343083273
0,5,0.20,0.9949334028488148
0,5,0.25,0.994713571653579
0,5,0.30,0.996575685296575
0,5,0.35,0.9973037315328963
0,5,0.40,0.9978540614287783
0,5,0.45,0.9968186558256071
0,5,0.50,0.9971963459002493
0,5,0.55,0.9952817975650328
0,5,0.60,0.9973646561490986
0,5,0.65,0.9960892998913143
0,5,0.70,0.9950191950271127
0,5,0.75,0.9960319466697128
0,5,0.80,0.9977888900922914
0,5,0.85,0.9980678750037767
0,5,0.90,0.9976424281740021
0,5,0.95,0.9982439139936408
0,6,0.05,0.8665882462576511
0,6,0.10,0.9912250277978835
0,6,0.15,0.9890341340643769
0,6,0.20,0.9889194999013997
0,6,0.25,0.9948277069514283
0,6,0.30,0.9945205760858415
0,6,0.35,0.995322896011086
0,6,0.40,0.9960752418809463
0,6,0.45,0.9952669248312725
0,6,0.50,0.9975643958291296
0,6,0.55,0.9961663034230752
0,6,0.60,0.9960706125704488
0,6,0.65,0.9900036451712936
0,6,0.70,0.9964794082834421
0,6,0.75,0.9968971646695862
0,6,0.80,0.9975851322487364
0,6,0.85,0.9982044626549922
0,6,0.90,0.9973278841429033
0,6,0.95,0.9972969417510457
0,7,0.05,0.9510560779482673
0,7,0.10,0.9904363555984512
0,7,0.15,0.9807024887482468
0,7,0.20,0.9957631479488145
0,7,0.25,0.9967329582155493
0,7,0.30,0.996640767043862
0,7,0.35,0.9978901571578165
0,7,0.40,0.9969589032916711
0,7,0.45,0.9974738738282533
0,7,0.50,0.9960096365694812
