random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9601109482032115
0,0,0.10,0.9775598920051308
0,0,0.15,0.9889918845582756
0,0,0.20,0.9950684706841264
0,0,0.25,0.9887753212675101
0,0,0.30,0.9529423551528018
0,0,0.35,0.9629625464342427
0,0,0.40,0.9693945690215412
0,0,0.45,0.9706495274872686
0,0,0.50,0.9100310604429919
0,0,0.55,0.9723652627836041
0,0,0.60,0.9817519342526758
0,0,0.65,0.9455355767932654
0,0,0.70,0.9591698776928338
0,0,0.75,0.9652726435186383
0,0,0.80,0.943185183383783
0,0,0.85,0.9656791947179582
0,0,0.90,0.9550366564546314
0,0,0.95,0.9617367112323104
0,1,0.05,0.9766865157212555
0,1,0.10,0.9946058997359783
0,1,0.15,0.9672744651969114
0,1,0.20,0.9948460285705643
0,1,0.25,0.9934696878420344
0,1,0.30,0.9510995165169309
0,1,0.35,0.9874526130386104
0,1,0.40,0.9435291228898913
0,1,0.45,0.9694960529118639
0,1,0.50,0.9676606198618676
0,1,0.55,0.9571045495004572
0,1,0.60,0.9624903008478103
0,1,0.65,0.9941672126612874
0,1,0.70,0.9921788894137014
0,1,0.75,0.9696334132124883
0,1,0.80,0.9818614403758071
0,1,0.85,0.9860975589431689
0,1,0.90,0.9830856372506802
0,1,0.95,0.9859306515300591
0,2,0.05,0.9638512420755811
0,2,0.10,0.9910745694884161
0,2,0.15,0.9912524754186616
0,2,0.20,0.9937802165423517
0,2,0.25,0.9821233491972838
0,2,0.30,0.9458636374076832
0,2,0.35,0.9919358603464636
0,2,0.40,0.9843724613908652
0,2,0.45,0.9757598160195329
0,2,0.50,0.9825421965474769
0,2,0.55,0.9340854304324065
0,2,0.60,0.9824111249007355
0,2,0.65,0.9602764508669995
0,2,0.70,0.9851427774457524
0,2,0.75,0.9720979591773834
0,2,0.80,0.9718849097412612
0,2,0.85,0.9806251044335045
0,2,0.90,0.9759668120264671
0,2,0.95,0.9856124791349287
0,3,0.05,0.9502492526810375
0,3,0.10,0.9900156792623398
0,3,0.15,0.9958406676618683
0,3,0.20,0.991634752988006
0,3,0.25,0.9936945010274159
0,3,0.30,0.9400276293844304
0,3,0.35,0.9700329186140113
0,3,0.40,0.9879609866922834
0,3,0.45,0.9873701974598206
0,3,0.50,0.937074033847767
0,3,0.55,0.9810118317937515
0,3,0.60,0.9772629589883676
0,3,0.65,0.990464026794725
0,3,0.70,0.9694736862858657
0,3,0.75,0.9722284330774278
0,3,0.80,0.9902643449999091
0,3,0.85,0.9795712861771477
0,3,0.90,0.9737941552496401
0,3,0.95,0.9805743370591596
0,4,0.05,0.8873759652356327
0,4,0.10,0.9880724795436626
0,4,0.15,0.9528662017535136
0,4,0.20,0.9846563515573126
0,4,0.25,0.9752341990364907
0,4,0.30,0.9537664968710212
0,4,0.35,0.950050973946306
0,4,0.40,0.9611636616811062
0,4,0.45,0.9585265104591042
0,4,0.50,0.9832411859170223
0,4,0.55,0.9676044445144343
0,4,0.60,0.9925333324153217
0,4,0.65,0.986011982495772
0,4,0.70,0.9820086400247869
0,4,0.75,0.9783045393440061
0,4,0.80,0.9870591048739561
0,4,0.85,0.9796262181162808
0,4,0.90,0.9713592397211137
0,4,0.95,0.9823010695847338
0,5,0.05,0.9484196692004513
0,5,0.10,0.9891430502853413
0,5,0.15,0.9973617900064141
0,5,0.20,0.9945552681114873
0,5,0.25,0.9841827984267253
0,5,0.30,0.9473361099706739
0,5,0.35,0.9704645922661179
0,5,0.40,0.9620398846741075
0,5,0.45,0.9119042880312029
0,5,0.50,0.9445991539631357
0,5,0.55,0.9423113015320017
0,5,0.60,0.9414900850323417
0,5,0.65,0.9608623893085707
0,5,0.70,0.9632291581986048
0,5,0.75,0.9713707519806414
0,5,0.80,0.9881179796296392
0,5,0.85,0.9944224536926072
0,5,0.90,0.969265248312903
0,5,0.95,0.9440073217963225
0,6,0.05,0.965815550663749
0,6,0.10,0.9858877823227336
0,6,0.15,0.9848864311822817
0,6,0.20,0.9967598415518141
0,6,0.25,0.9853965083886321
0,6,0.30,0.977144343141814
0,6,0.35,0.9478969231181412
0,6,0.40,0.9496585889328121
0,6,0.45,0.9810763020055435
