random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8108341205290127
0,0,0.10,0.8342088923981195
0,0,0.15,0.8842833504007113
0,0,0.20,0.9618858108357785
0,0,0.25,0.9395927378116442
0,0,0.30,0.9821165840765502
0,0,0.35,0.9860038409198651
0,0,0.40,0.9791634607361748
0,0,0.45,0.9523198108389205
0,0,0.50,0.990745438626992
0,0,0.55,0.9895955178362895
0,0,0.60,0.9862042947581958
0,0,0.65,0.9913774029934458
0,0,0.70,0.9782875650541505
0,0,0.75,0.9831149304749931
0,0,0.80,0.979324966509012
0,0,0.85,0.972742488104816
0,0,0.90,0.9693504697029873
0,0,0.95,0.9800643376410254
0,1,0.05,0.9804727113610067
0,1,0.10,0.8886109051167037
0,1,0.15,0.8900495708820354
0,1,0.20,0.964427805569452
0,1,0.25,0.9639170011399206
0,1,0.30,0.9811201954023985
0,1,0.35,0.9620457618772374
0,1,0.40,0.9806956339757203
0,1,0.45,0.9874372813128711
0,1,0.50,0.9635076794277639
0,1,0.55,0.971756839298182
0,1,0.60,0.9773091304831327
0,1,0.65,0.9825631415807727
0,1,0.70,0.9760228966918678
0,1,0.75,0.9856813476303385
0,1,0.80,0.9781671097782129
0,1,0.85,0.9877928193635949
0,1,0.90,0.9823983918038939
0,1,0.95,0.956994404265185
0,2,0.05,0.9618912291004045
0,2,0.10,0.8699592743764323
0,2,0.15,0.8755312109084311
0,2,0.20,0.9136224839737407
0,2,0.25,0.9318006954946568
0,2,0.30,0.9754568608783356
0,2,0.35,0.9705095504848192
0,2,0.40,0.9730246365163474
0,2,0.45,0.9606413303540561
0,2,0.50,0.9722556264590189
0,2,0.55,0.9740536646102131
0,2,0.60,0.9924495796541548
0,2,0.65,0.9884257959914137
0,2,0.70,0.983550172111587
0,2,0.75,0.9879781981339043
0,2,0.80,0.978373074498218
0,2,0.85,0.9905359604863629
0,2,0.90,0.9836002660835569
0,2,0.95,0.97352590829927
0,3,0.05,0.9241896960321061
0,3,0.10,0.7933370757536319
0,3,0.15,0.9182690952594968
0,3,0.20,0.9741614097990503
0,3,0.25,0.9257894350141239
0,3,0.30,0.9790801640097094
0,3,0.35,0.9659189211602855
0,3,0.40,0.9815195330075024
0,3,0.45,0.9786372545698847
0,3,0.50,0.9778029888310108
0,3,0.55,0.9857686274878887
0,3,0.60,0.9764539340666075
0,3,0.65,0.9922936483644355
0,3,0.70,0.9879401231387172
0,3,0.75,0.9817215463441722
0,3,0.80,0.9951150528554986
0,3,0.85,0.9586415034705406
0,3,0.90,0.987640881644881
0,3,0.95,0.9773474937222615
0,4,0.05,-0.007486768902947638
0,4,0.10,0.6708232122215262
0,4,0.15,0.9851129585148818
0,4,0.20,0.9592584177601355
0,4,0.25,0.9462692224177739
0,4,0.30,0.9637535955264213
0,4,0.35,0.9749294229068134
0,4,0.40,0.9726783748676564
0,4,0.45,0.9752344402949227
0,4,0.50,0.9833297869922051
0,4,0.55,0.9921269658483585
0,4,0.60,0.9870816891040681
0,4,0.65,0.9929620599096949
0,4,0.70,0.9772458513118412
0,4,0.75,0.9886025698199941
0,4,0.80,0.9759043786947501
0,4,0.85,0.9784893663287444
0,4,0.90,0.9835738275667882
0,4,0.95,0.9760890372102242
0,5,0.05,0.9917455651120203
0,5,0.10,0.8915720989835498
0,5,0.15,0.9636051528402195
0,5,0.20,0.9683017432271859
0,5,0.25,0.9878817216516969
0,5,0.30,0.9648777562519032
0,5,0.35,0.9638784364100894
0,5,0.40,0.9681182923082204
0,5,0.45,0.9785499185335382
0,5,0.50,0.9879765040927623
0,5,0.55,0.9758631748813661
0,5,0.60,0.9846828982957574
0,5,0.65,0.971865216526606
0,5,0.70,0.9787497733518978
0,5,0.75,0.9850236511819254
0,5,0.80,0.989037027209504
0,5,0.85,0.972203252317794
0,5,0.90,0.9897084095155287
0,5,0.95,0.9810902640502646
0,6,0.05,0.8678471395717497
0,6,0.10,0.9065742322215088
0,6,0.15,0.916934614587845
0,6,0.20,0.9746174630776601
0,6,0.25,0.9755791921210311
0,6,0.30,0.9813745431797767
0,6,0.35,0.9470835184102501
0,6,0.40,0.9349064052973953
0,6,0.45,0.9659991350552062
0,6,0.50,0.9757934424859352
0,6,0.55,0.9870478608709095
0,6,0.60,0.9868581486890491
0,6,0.65,0.9859376200222241
0,6,0.70,0.9876274675381491
0,6,0.75,0.9801619414146099
0,6,0.80,0.9773637505366123
0,6,0.85,0.9828560396936362
0,6,0.90,0.9748733490003093
0,6,0.95,0.9840394868075482
0,7,0.05,0.9778908021169278
0,7,0.10,0.9438980734797021
0,7,0.15,0.9704501952212267
0,7,0.20,0.8917072196092479
0,7,0.25,0.9597773572623539
0,7,0.30,0.9481774581881206
0,7,0.35,0.9882048644533064
0,7,0.40,0.9735522178183227
0,7,0.45,0.9729845065226009
0,7,0.50,0.9549257252838864
0,7,0.55,0.9871475724460271
0,7,0.60,0.9833649171869958
0,7,0.65,0.9832285934990582
0,7,0.70,0.9838544091512886
0,7,0.75,0.9692087343164648
0,7,0.80,0.9786704620305248
0,7,0.85,0.9941604776509053
0,7,0.90,0.9818351101733425
0,7,0.95,0.9823193724281695
0,8,0.05,0.9710779274949407
0,8,0.10,0.7809461474475333
0,8,0.15,0.9389819098199813
0,8,0.20,0.9412452695456881
0,8,0.25,0.9550545037156039
0,8,0.30,0.9735516325426878
0,8,0.35,0.9278446127103049
0,8,0.40,0.9793781913646797
0,8,0.45,0.9911845039939934
0,8,0.50,0.9893434587977846
0,8,0.55,0.9712079839164797
0,8,0.60,0.9848379146717762
0,8,0.65,0.9924400981948374
0,8,0.70,0.989229701839088
0,8,0.75,0.9945275913541448
0,8,0.80,0.9717650234047329
0,8,0.85,0.9855136288615753
0,8,0.90,0.9907474483780244
0,8,0.95,0.9890602748699682
0,9,0.05,0.975142562775992
0,9,0.10,0.9918675475746044
0,9,0.15,0.9384803394984963
0,9,0.20,0.9410974891186779
0,9,0.25,0.9852849978727573
0,9,0.30,0.9527177037182776
0,9,0.35,0.9627268301218972
0,9,0.40,0.9806062421714792
0,9,0.45,0.9621291319215245
0,9,0.50,0.9903314116140567
0,9,0.55,0.9909492664840283
0,9,0.60,0.9899208449966224
0,9,0.65,0.9790728789290074
0,9,0.70,0.9876496203942752
0,9,0.75,0.9832147350913503
0,9,0.80,0.9842733652252637
0,9,0.85,0.9787327836047734
0,9,0.90,0.9872282210098573
0,9,0.95,0.9930719657832666
1,0,0.05,0.7420956042209361
1,0,0.10,0.9476802927748218
1,0,0.15,0.8342463819041217
1,0,0.20,0.8506579443149336
1,0,0.25,0.9135543370444025
1,0,0.30,0.9317533729482786
1,0,0.35,0.961026587916735
1,0,0.40,0.9668477112953442
1,0,0.45,0.9187398370304898
1,0,0.50,0.9887627760042437
1,0,0.55,0.9899902122106685
1,0,0.60,0.9841645620498519
1,0,0.65,0.9906189663713459
1,0,0.70,0.9555564772894778
1,0,0.75,0.9661197227727959
1,0,0.80,0.9821365113172515
1,0,0.85,0.988574837082962
1,0,0.90,0.9765133924371161
1,0,0.95,0.9545987048204672
1,1,0.05,0.44810251260827216
1,1,0.10,0.9204328613829911
1,1,0.15,0.6665459549704207
1,1,0.20,0.8840137673485465
1,1,0.25,0.973349245161013
1,1,0.30,0.8989127395200474
1,1,0.35,0.9423637206855467
1,1,0.40,0.9306241742462201
1,1,0.45,0.9445703824794595
1,1,0.50,0.9570634457592138
1,1,0.55,0.9814716303418103
1,1,0.60,0.9635371062791728
1,1,0.65,0.9719865392404301
1,1,0.70,0.9792195363022348
1,1,0.75,0.9785191585680598
1,1,0.80,0.9593475261979846
1,1,0.85,0.9717399136216278
1,1,0.90,0.9866340339479159
1,1,0.95,0.9731867139935585
1,2,0.05,0.6340610586832482
1,2,0.10,0.9654829152842778
1,2,0.15,0.8733444505097194
1,2,0.20,0.9348935033158806
1,2,0.25,0.8325155056211229
1,2,0.30,0.9633946146314554
1,2,0.35,0.9339169535638249
1,2,0.40,0.9404301334986765
1,2,0.45,0.9123056145139575
1,2,0.50,0.9578314095006322
1,2,0.55,0.9764647819620054
1,2,0.60,0.9817118577798353
1,2,0.65,0.98303824815422
1,2,0.70,0.9671073235219448
1,2,0.75,0.9450601523220439
1,2,0.80,0.9850144606324415
1,2,0.85,0.968236664070746
1,2,0.90,0.9515921979282538
1,2,0.95,0.9917138986983438
1,3,0.05,0.7696167614269868
1,3,0.10,0.37177665111715075
1,3,0.15,0.9735005161705526
1,3,0.20,0.9773426367648244
1,3,0.25,0.929707442861734
1,3,0.30,0.937677898157802
1,3,0.35,0.8985129605056335
1,3,0.40,0.9764418888463778
1,3,0.45,0.9686673885861586
1,3,0.50,0.9804666265728408
1,3,0.55,0.9875472189818989
1,3,0.60,0.9750077475699529
1,3,0.65,0.9738660637148202
1,3,0.70,0.9791909301187562
1,3,0.75,0.9712054207208365
1,3,0.80,0.9922763689121613
1,3,0.85,0.9741654207001241
1,3,0.90,0.9856220124203056
1,3,0.95,0.9854740020934414
1,4,0.05,0.3118153276283464
1,4,0.10,0.4342445435942933
1,4,0.15,0.9877400862892315
1,4,0.20,0.9510114388817899
1,4,0.25,0.9454036020123364
1,4,0.30,0.9509634489105804
1,4,0.35,0.9620001363245154
1,4,0.40,0.9707772359371875
1,4,0.45,0.9766829597613184
1,4,0.50,0.9795741516268887
1,4,0.55,0.9958831328909338
1,4,0.60,0.9889485149908229
1,4,0.65,0.9736200768896073
1,4,0.70,0.9813803654567426
1,4,0.75,0.9668963163059054
1,4,0.80,0.9766839850300676
1,4,0.85,0.9771034896849008
1,4,0.90,0.9769757980046256
1,4,0.95,0.9872955780548681
1,5,0.05,-0.04522136614184635
1,5,0.10,0.8157940135169741
1,5,0.15,0.6367879980263479
1,5,0.20,0.9044638784426854
1,5,0.25,0.9235328349739983
1,5,0.30,0.9298568511326917
1,5,0.35,0.9931048824822962
1,5,0.40,0.977613871258816
1,5,0.45,0.9790295611025818
1,5,0.50,0.9785069557486665
1,5,0.55,0.9854808249340217
1,5,0.60,0.9677861206397622
1,5,0.65,0.9646677534376777
1,5,0.70,0.9847057409113562
1,5,0.75,0.9622502586366918
1,5,0.80,0.9874727953213196
1,5,0.85,0.9788350031765989
1,5,0.90,0.9418182582112615
1,5,0.95,0.9632872543077136
1,6,0.05,0.4071596736243114
1,6,0.10,0.9421169758206409
1,6,0.15,0.8491928743602183
1,6,0.20,0.9617072695792607
1,6,0.25,0.8954576274579933
1,6,0.30,0.9646585323164157
1,6,0.35,0.9640337316791889
1,6,0.40,0.9327855856245536
1,6,0.45,0.9585521386415264
1,6,0.50,0.9733124395912015
1,6,0.55,0.9922914671523156
1,6,0.60,0.990572673159893
1,6,0.65,0.982397087583201
1,6,0.70,0.9814682571936513
1,6,0.75,0.9746019382685511
1,6,0.80,0.9842609267616331
1,6,0.85,0.9637002070696372
1,6,0.90,0.9729211055202109
1,6,0.95,0.9838901723991139
1,7,0.05,0.8717454486170677
1,7,0.10,0.9000177106272301
1,7,0.15,0.8815129039587973
1,7,0.20,0.9409049868479303
1,7,0.25,0.8540170608627597
1,7,0.30,0.9703020254387902
1,7,0.35,0.9916890527571549
1,7,0.40,0.9519244364072665
1,7,0.45,0.950502976189584
1,7,0.50,0.9838293842300206
1,7,0.55,0.9861254450435784
1,7,0.60,0.9743589738878238
1,7,0.65,0.974131090453452
1,7,0.70,0.9826732395841976
1,7,0.75,0.9744349412120015
1,7,0.80,0.9540129930176967
