random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.3183152126327441
0,0,0.10,0.7685531893478521
0,0,0.15,-0.1991795353177932
0,0,0.20,0.478260162213631
0,0,0.25,0.9058797483312511
0,0,0.30,0.9364201194148505
0,0,0.35,0.9662683039339438
0,0,0.40,0.8614707319384345
0,0,0.45,0.9835346039309593
0,0,0.50,0.9701458254281923
0,0,0.55,0.9809492590902681
0,0,0.60,0.9739335139485966
0,0,0.65,0.9802767856589537
0,0,0.70,0.9795722026829273
0,0,0.75,0.9733782919569831
0,0,0.80,0.984365906698179
0,0,0.85,0.9887568097907072
0,0,0.90,0.990702779264753
0,0,0.95,0.9872100127021617
0,1,0.05,-3.449098080704954
0,1,0.10,0.6529336535370291
0,1,0.15,0.6364349572596154
0,1,0.20,0.874886872550666
0,1,0.25,0.9049396841747109
0,1,0.30,0.9444270488107677
0,1,0.35,0.7847549392298269
0,1,0.40,0.9553444164997875
0,1,0.45,0.9630443788681546
0,1,0.50,0.9684045937013199
0,1,0.55,0.9791318195593214
0,1,0.60,0.9757927190831422
0,1,0.65,0.9872937624459497
0,1,0.70,0.977804789020679
0,1,0.75,0.969247245185052
0,1,0.80,0.9641761140764663
0,1,0.85,0.9831791446604876
0,1,0.90,0.9865647390736182
0,1,0.95,0.9914115300619318
0,2,0.05,-3.6772912257290455
0,2,0.10,0.1141044423185591
0,2,0.15,0.8288341474093078
0,2,0.20,0.8751683493737977
0,2,0.25,0.9297346801323434
0,2,0.30,0.694535004670839
0,2,0.35,0.9202699057099012
0,2,0.40,0.8805531286475498
0,2,0.45,0.9793844783780451
0,2,0.50,0.8859151459530908
0,2,0.55,0.988014208485993
0,2,0.60,0.9742289300885467
0,2,0.65,0.9919445891106501
0,2,0.70,0.970318868556272
0,2,0.75,0.986832839803255
0,2,0.80,0.9617827331852499
0,2,0.85,0.9699241414668535
0,2,0.90,0.9658742396407187
0,2,0.95,0.9903414186173394
0,3,0.05,0.39116007266428465
0,3,0.10,0.8134795058262991
0,3,0.15,-0.03181039526184071
0,3,0.20,0.3812809521186964
0,3,0.25,0.9286170428329734
0,3,0.30,0.6956713331210213
0,3,0.35,0.9416889243122866
0,3,0.40,0.9535727305167158
0,3,0.45,0.9543017339883655
0,3,0.50,0.9525228919475552
0,3,0.55,0.9850738694070228
0,3,0.60,0.9796386376739512
0,3,0.65,0.9551709147632077
0,3,0.70,0.9796567548268891
0,3,0.75,0.9668670527713085
0,3,0.80,0.9870322136767463
0,3,0.85,0.9560279818952052
0,3,0.90,0.9822580188006026
0,3,0.95,0.9800569163176693
0,4,0.05,0.22817867503160405
0,4,0.10,0.7109715440164432
0,4,0.15,0.40852081516267424
0,4,0.20,0.9406039495300808
0,4,0.25,0.8520972682757698
0,4,0.30,0.9438645067043795
0,4,0.35,0.9544381277485483
0,4,0.40,0.9783758316509835
0,4,0.45,0.9054949927214684
0,4,0.50,0.9693978933863828
0,4,0.55,0.9823373854314704
0,4,0.60,0.9805771824198884
0,4,0.65,0.9880091951337108
0,4,0.70,0.9740577845989289
0,4,0.75,0.9846480921175831
0,4,0.80,0.9687121571095482
0,4,0.85,0.9857762298274798
0,4,0.90,0.9735589770294096
