random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8622646794831867
0,0,0.10,0.9738864346229779
0,0,0.15,0.9929837923123896
0,0,0.20,0.9965393249586267
0,0,0.25,0.9970331290964289
0,0,0.30,0.9972622128926916
0,0,0.35,0.9975985695809318
0,0,0.40,0.9984761947674083
0,0,0.45,0.9975322510478726
0,0,0.50,0.998286679237442
0,0,0.55,0.9989971728359336
0,0,0.60,0.9980851952019595
0,0,0.65,0.9979017582865225
0,0,0.70,0.9983584194901238
0,0,0.75,0.9991235558891843
0,0,0.80,0.9990571045626642
0,0,0.85,0.9989648260107254
0,0,0.90,0.999248708298503
0,0,0.95,0.9988663109326626
0,1,0.05,0.9555635734770941
0,1,0.10,0.9687003525001078
0,1,0.15,0.9950928515188248
0,1,0.20,0.9953807055001705
0,1,0.25,0.9925417821191256
0,1,0.30,0.9977629438877653
0,1,0.35,0.9967135366661941
0,1,0.40,0.997223522938446
0,1,0.45,0.9976805902206097
0,1,0.50,0.9977306488558988
0,1,0.55,0.9982321718658148
0,1,0.60,0.9988289073094289
0,1,0.65,0.9985878011276602
0,1,0.70,0.9984054734766837
0,1,0.75,0.9988577401769434
0,1,0.80,0.9984608148084089
0,1,0.85,0.999012356315062
0,1,0.90,0.9985977543592707
0,1,0.95,0.9993101855246384
0,2,0.05,0.9946161376837495
0,2,0.10,0.9736348110734029
0,2,0.15,0.9882342614792797
0,2,0.20,0.9938443844746905
0,2,0.25,0.9969412433255356
0,2,0.30,0.991790029264653
0,2,0.35,0.9970463978310523
0,2,0.40,0.9972992678364929
0,2,0.45,0.9975287118433285
0,2,0.50,0.9981409695994112
0,2,0.55,0.998150522500457
0,2,0.60,0.99832733153052
0,2,0.65,0.9981201285085468
0,2,0.70,0.9981084840514788
0,2,0.75,0.9984907395736561
0,2,0.80,0.9987959434976934
0,2,0.85,0.9986743811575365
0,2,0.90,0.9981919924307393
0,2,0.95,0.998795779201021
0,3,0.05,0.9530964453623143
0,3,0.10,0.978243172516531
0,3,0.15,0.9894022087993856
