random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9357872208852223
0,0,0.10,0.9870093673345695
0,0,0.15,0.9938857089593505
0,0,0.20,0.9974427274635905
0,0,0.25,0.9986792012625725
0,0,0.30,0.998162116344937
0,0,0.35,0.9984716077180718
0,0,0.40,0.998523161045662
0,0,0.45,0.9982031865478495
0,0,0.50,0.9979664729262697
0,0,0.55,0.9987264493547682
0,0,0.60,0.9987873453286058
0,0,0.65,0.9992743033581153
0,0,0.70,0.9986758056363279
0,0,0.75,0.9987736723673462
0,0,0.80,0.9989131591551027
0,0,0.85,0.9988532346241554
0,0,0.90,0.9985006678242504
0,0,0.95,0.998759395160528
0,1,0.05,0.9649900440810952
0,1,0.10,0.986645981428013
0,1,0.15,0.9957123189284357
0,1,0.20,0.9959485337025759
0,1,0.25,0.9970196338232227
0,1,0.30,0.9987751338272621
0,1,0.35,0.9988930058359867
0,1,0.40,0.9984783964247271
0,1,0.45,0.9981788704661027
0,1,0.50,0.9986658750316045
0,1,0.55,0.9988505043050752
0,1,0.60,0.9988722079123964
0,1,0.65,0.998039984545735
0,1,0.70,0.9990678544052265
0,1,0.75,0.9992018227112447
0,1,0.80,0.9990680409500665
0,1,0.85,0.9988930062977518
0,1,0.90,0.9991206790829532
0,1,0.95,0.9989120104751625
0,2,0.05,0.8683719196247849
0,2,0.10,0.972229389368496
0,2,0.15,0.99353583506161
0,2,0.20,0.9951551236030808
0,2,0.25,0.9975339109322388
0,2,0.30,0.9961142672304205
0,2,0.35,0.998279275907729
0,2,0.40,0.9978196850394883
0,2,0.45,0.9990081398268508
0,2,0.50,0.9981202136635678
0,2,0.55,0.9977525261567805
0,2,0.60,0.9990400131985728
0,2,0.65,0.9984417062557656
0,2,0.70,0.9986976080684706
0,2,0.75,0.9984453662399465
0,2,0.80,0.9986562400806694
0,2,0.85,0.9989528034298462
0,2,0.90,0.9988313722336819
0,2,0.95,0.9989222855905707
0,3,0.05,0.944189554117956
0,3,0.10,0.9928617420875588
