random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9370436867271843
0,0,0.10,0.9432397824552486
0,0,0.15,0.987606992095919
0,0,0.20,0.9698983012148852
0,0,0.25,0.9911428223640071
0,0,0.30,0.9958249109143882
0,0,0.35,0.9916965358661836
0,0,0.40,0.994671905064609
0,0,0.45,0.9958878411779454
0,0,0.50,0.9975807879997063
0,0,0.55,0.9967740451475452
0,0,0.60,0.9979019468713741
0,0,0.65,0.9984936393343604
0,0,0.70,0.9974736276276732
0,0,0.75,0.9986830130650877
0,0,0.80,0.9987044239595994
0,0,0.85,0.9988979474192557
0,0,0.90,0.9988112821980121
0,0,0.95,0.9989448499763771
0,1,0.05,0.9131382172159931
0,1,0.10,0.9792016976692879
0,1,0.15,0.95248385644452
0,1,0.20,0.9885221704582535
0,1,0.25,0.9871952590986734
0,1,0.30,0.9861824359522321
0,1,0.35,0.9904578759377382
0,1,0.40,0.9866695323974579
0,1,0.45,0.9935796655758309
0,1,0.50,0.9968577807518542
0,1,0.55,0.9961372419959764
0,1,0.60,0.9981933286595136
0,1,0.65,0.9988027966526208
0,1,0.70,0.9974151124989129
0,1,0.75,0.9985157079285639
0,1,0.80,0.9991968093532704
0,1,0.85,0.998113094254378
0,1,0.90,0.9984756414631197
0,1,0.95,0.9982657523635051
0,2,0.05,0.9302274617729432
0,2,0.10,0.9712827014065885
0,2,0.15,0.9746558495373211
0,2,0.20,0.9844186825487192
0,2,0.25,0.9959673613654428
0,2,0.30,0.992989313046218
0,2,0.35,0.9939912109675194
0,2,0.40,0.9944512903556748
0,2,0.45,0.9950698780117124
0,2,0.50,0.9973101065503672
0,2,0.55,0.9976583824599886
0,2,0.60,0.9964351675626804
0,2,0.65,0.9950612824370131
0,2,0.70,0.9981525741623717
0,2,0.75,0.9978930362766025
0,2,0.80,0.9979446809447171
0,2,0.85,0.9986007455698577
0,2,0.90,0.999168261971511
0,2,0.95,0.9987769839147429
0,3,0.05,0.967670031428517
0,3,0.10,0.9722870251825555
0,3,0.15,0.9635810007194267
0,3,0.20,0.9859410918973025
0,3,0.25,0.9784688151716197
0,3,0.30,0.9881812830098119
0,3,0.35,0.994960484854296
0,3,0.40,0.9946757039429649
0,3,0.45,0.9950781900422649
0,3,0.50,0.9959453048407473
0,3,0.55,0.9976201010419297
0,3,0.60,0.9984392879256624
0,3,0.65,0.9984428447908932
0,3,0.70,0.9983701654359908
0,3,0.75,0.9984030194489298
0,3,0.80,0.9987511739527624
0,3,0.85,0.998978826568127
0,3,0.90,0.9985634482482095
