random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.5918745396542942
0,0,0.10,0.9448431973961691
0,0,0.15,0.928408875005252
0,0,0.20,0.9446570811970365
0,0,0.25,0.9460090909306738
0,0,0.30,0.9014726540328308
0,0,0.35,0.9137018626998841
0,0,0.40,0.9022488214816378
0,0,0.45,0.9150015784037334
0,0,0.50,0.909344566381322
0,0,0.55,0.8936660333008118
0,0,0.60,0.9210192221396789
0,0,0.65,0.9265969791156957
0,0,0.70,0.9172626491602143
0,0,0.75,0.931595021103484
0,0,0.80,0.9536908751368461
0,0,0.85,0.9111520437649677
0,0,0.90,0.9375806600538465
0,0,0.95,0.9367720298809133
0,1,0.05,0.697012704131833
0,1,0.10,0.7959755931465983
0,1,0.15,0.9100226661567968
0,1,0.20,0.9323166813576129
0,1,0.25,0.9154146839228432
0,1,0.30,0.9064963036554874
0,1,0.35,0.9476195019026554
0,1,0.40,0.9079452538534166
0,1,0.45,0.9367671858355209
0,1,0.50,0.9117138382592969
0,1,0.55,0.9205848210780805
0,1,0.60,0.8798252404898981
0,1,0.65,0.9511852488451262
0,1,0.70,0.959652056314155
0,1,0.75,0.957945644685722
0,1,0.80,0.9652788900653734
0,1,0.85,0.9486506756364014
0,1,0.90,0.9464550463864909
0,1,0.95,0.9407027957305041
0,2,0.05,0.42718682695079946
0,2,0.10,0.7905878985108198
0,2,0.15,0.8494497822132278
0,2,0.20,0.9607934541338523
0,2,0.25,0.911516302476022
0,2,0.30,0.8835126360894151
0,2,0.35,0.8935902442130261
0,2,0.40,0.922729167425502
0,2,0.45,0.9370188142758435
0,2,0.50,0.9493233273326416
0,2,0.55,0.9446327997993703
0,2,0.60,0.905625783633991
0,2,0.65,0.8835618677349939
0,2,0.70,0.9103299213338775
0,2,0.75,0.9023731429053619
0,2,0.80,0.9242220038400979
0,2,0.85,0.9246903381838383
0,2,0.90,0.9130763282970298
0,2,0.95,0.9420472907961593
0,3,0.05,-0.30069312598244524
0,3,0.10,0.9168225102968799
0,3,0.15,0.8916963581700191
0,3,0.20,0.9526362305249598
0,3,0.25,0.8888531003840239
0,3,0.30,0.9262776128517554
0,3,0.35,0.9253635654305878
0,3,0.40,0.9045675726654998
0,3,0.45,0.8998029395050076
0,3,0.50,0.9081839578776134
0,3,0.55,0.9376023846130004
0,3,0.60,0.9364474049202157
0,3,0.65,0.8951583405994961
0,3,0.70,0.9470661949343074
