random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.6906953040427491
0,0,0.10,0.8329877378018306
0,0,0.15,0.6860832018494278
0,0,0.20,0.9337781150350718
0,0,0.25,0.9130108333362932
0,0,0.30,0.9202759159310305
0,0,0.35,0.8841821735160038
0,0,0.40,0.933678899649526
0,0,0.45,0.9344014745191982
0,0,0.50,0.894039938815291
0,0,0.55,0.8946397776666934
0,0,0.60,0.9422905852905622
0,0,0.65,0.9352091195193973
0,0,0.70,0.9363305615968178
0,0,0.75,0.9356872262787558
0,0,0.80,0.9283764752522945
0,0,0.85,0.9626134108327129
0,0,0.90,0.9264832341689571
0,0,0.95,0.9249241915728929
0,1,0.05,0.27240916513950975
0,1,0.10,0.6861910353912646
0,1,0.15,0.8261349908596788
0,1,0.20,0.8903046747810262
0,1,0.25,0.9390494685122028
0,1,0.30,0.8781772368969014
0,1,0.35,0.9695687242921442
0,1,0.40,0.9557091299566051
0,1,0.45,0.9422122085616244
0,1,0.50,0.9064536051160624
0,1,0.55,0.8892223539390596
0,1,0.60,0.8899939962254433
0,1,0.65,0.9614889625646068
0,1,0.70,0.9432423038745218
0,1,0.75,0.9552861997795498
0,1,0.80,0.9643036927883664
0,1,0.85,0.9545337117582088
0,1,0.90,0.9462076651989647
0,1,0.95,0.9714551248473307
0,2,0.05,0.5063175712995429
0,2,0.10,0.8943152288544228
0,2,0.15,0.8053054123124324
0,2,0.20,0.8766427474615037
0,2,0.25,0.9586539700750288
0,2,0.30,0.9357432603908358
0,2,0.35,0.8905057468260291
0,2,0.40,0.947544531178415
0,2,0.45,0.9415539437044171
0,2,0.50,0.9404592780874127
0,2,0.55,0.9318608750101534
0,2,0.60,0.9228632676325554
0,2,0.65,0.9334269091178874
0,2,0.70,0.9376906617448484
0,2,0.75,0.9241855107343486
0,2,0.80,0.9418053764333232
0,2,0.85,0.9525413384587844
0,2,0.90,0.9330351159418779
0,2,0.95,0.9288488309421917
0,3,0.05,0.27013776849815274
0,3,0.10,0.9159039357472785
0,3,0.15,0.9370726843810872
0,3,0.20,0.9356423508178067
0,3,0.25,0.9451783058984292
0,3,0.30,0.8738893816004734
0,3,0.35,0.9517590233601106
0,3,0.40,0.9160544998379619
0,3,0.45,0.9272140255110211
0,3,0.50,0.9350710196407903
0,3,0.55,0.9370343862065013
0,3,0.60,0.9369877827827024
0,3,0.65,0.9346128487327501
0,3,0.70,0.9208323378885878
0,3,0.75,0.8736238052231928
0,3,0.80,0.8770295029083351
0,3,0.85,0.8709075629582863
0,3,0.90,0.8961768525229646
0,3,0.95,0.9103021264601404
0,4,0.05,-0.35219574566850453
0,4,0.10,0.8191147294586272
0,4,0.15,0.9370808908745488
0,4,0.20,0.9269653922553363
0,4,0.25,0.9140793109743017
0,4,0.30,0.9596882839675487
0,4,0.35,0.9515191862059013
0,4,0.40,0.8732704927749962
0,4,0.45,0.9181293610188699
0,4,0.50,0.8790397640202954
0,4,0.55,0.9156611963871027
0,4,0.60,0.9233291684264938
0,4,0.65,0.9247818738694871
0,4,0.70,0.9596209236892317
0,4,0.75,0.9198514093116609
0,4,0.80,0.9353144035147948
0,4,0.85,0.9365035107231423
0,4,0.90,0.9605863990905711
0,4,0.95,0.9317613342588232
0,5,0.05,0.592797022727457
0,5,0.10,0.7359709623144439
0,5,0.15,0.9108219656399085
0,5,0.20,0.9644325797881997
0,5,0.25,0.8909227281694796
0,5,0.30,0.8354282765874204
0,5,0.35,0.9389467610068896
0,5,0.40,0.9365123329642796
0,5,0.45,0.9241093318556914
0,5,0.50,0.9538204617272189
0,5,0.55,0.9210710977483297
0,5,0.60,0.9269317078088489
0,5,0.65,0.9359795393044184
0,5,0.70,0.9328631789722235
0,5,0.75,0.9478587291401931
0,5,0.80,0.9677472908277636
0,5,0.85,0.9448564943816659
0,5,0.90,0.9386707100068672
0,5,0.95,0.9612925699678332
0,6,0.05,0.9332013230091011
0,6,0.10,0.8014583277289098
0,6,0.15,0.855260259698077
0,6,0.20,0.9458660659811217
0,6,0.25,0.9138015189639079
0,6,0.30,0.9235428958256771
0,6,0.35,0.8907491584714022
0,6,0.40,0.9342293900700923
0,6,0.45,0.9668348718144693
0,6,0.50,0.892446521068359
0,6,0.55,0.945906624243471
0,6,0.60,0.9441513674266453
0,6,0.65,0.9271909880767293
0,6,0.70,0.9238160892756617
0,6,0.75,0.924498751487088
0,6,0.80,0.9299874378736244
0,6,0.85,0.9030186389078741
0,6,0.90,0.9398631231209443
0,6,0.95,0.9483586131616285
0,7,0.05,0.2542880370103139
0,7,0.10,0.7894928331424955
0,7,0.15,0.8565057935605453
0,7,0.20,0.9424976430111854
0,7,0.25,0.9221895769051371
0,7,0.30,0.9152452374271632
0,7,0.35,0.9180272556725007
0,7,0.40,0.9423117789669871
0,7,0.45,0.9136706190364733
0,7,0.50,0.9151381875223714
0,7,0.55,0.9257160304759074
0,7,0.60,0.9630429554139452
0,7,0.65,0.9434451257895293
0,7,0.70,0.9549103245212569
0,7,0.75,0.9472232471746048
0,7,0.80,0.956831326137336
0,7,0.85,0.9517981343082664
0,7,0.90,0.9401588083130196
0,7,0.95,0.9546945936114339
0,8,0.05,0.782165686713975
0,8,0.10,0.934085253245581
0,8,0.15,0.9020245476516859
0,8,0.20,0.944696477831953
0,8,0.25,0.9333369876584432
0,8,0.30,0.8352470642495049
0,8,0.35,0.9230767815614205
0,8,0.40,0.9408410867925274
0,8,0.45,0.9398492157936758
0,8,0.50,0.8955822036366246
0,8,0.55,0.8957286500130557
0,8,0.60,0.93184325094908
0,8,0.65,0.9349069954036395
0,8,0.70,0.9070348952445364
0,8,0.75,0.905955270117058
0,8,0.80,0.9250648374794336
0,8,0.85,0.9405572465685771
0,8,0.90,0.917491205245768
0,8,0.95,0.9384710884839903
0,9,0.05,0.6373323309934876
0,9,0.10,0.8742521069857971
0,9,0.15,0.9068410477820216
0,9,0.20,0.9672347397934505
0,9,0.25,0.9594268862266703
0,9,0.30,0.909923600763319
0,9,0.35,0.9559088507489027
0,9,0.40,0.9109374522302969
0,9,0.45,0.9120011733822933
0,9,0.50,0.9029080214000911
0,9,0.55,0.9231435934813432
0,9,0.60,0.9620289819837986
0,9,0.65,0.9252229324970246
0,9,0.70,0.8924286095755555
0,9,0.75,0.9687420717827494
0,9,0.80,0.9064858100556726
0,9,0.85,0.9540740896037241
0,9,0.90,0.9248833037225463
0,9,0.95,0.924621286319326
1,0,0.05,0.33583567436633666
1,0,0.10,0.5624793093487286
1,0,0.15,0.8742555960083419
1,0,0.20,0.9038004633793137
