random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9961717661175151
0,0,0.10,0.985314101217423
0,0,0.15,0.9988296253165727
0,0,0.20,0.9994773895717921
0,0,0.25,0.9999341442118579
0,0,0.30,0.9995119659136671
0,0,0.35,0.9999646142827757
0,0,0.40,0.9998949987970506
0,0,0.45,0.9994262758904062
0,0,0.50,0.9995607530790538
0,0,0.55,0.999972227131819
0,0,0.60,0.9999590893027335
0,0,0.65,0.9999622832976449
0,0,0.70,0.9999455736025944
0,0,0.75,0.9999695058246112
0,0,0.80,0.9999574589304523
0,0,0.85,0.9999760071421808
0,0,0.90,0.9999664282815771
0,0,0.95,0.9999610942978326
0,1,0.05,0.998341884441202
0,1,0.10,0.999691025120613
0,1,0.15,0.9992738715763876
0,1,0.20,0.999665479481917
0,1,0.25,0.9999326741299134
0,1,0.30,0.9994754476387459
0,1,0.35,0.9999735665083751
0,1,0.40,0.9996010041228812
0,1,0.45,0.9999783035004914
0,1,0.50,0.9999691186935886
0,1,0.55,0.9999603795745917
0,1,0.60,0.9999687272805033
0,1,0.65,0.9999660966636115
0,1,0.70,0.9999572238132309
0,1,0.75,0.9999738240809702
0,1,0.80,0.9999506321516282
0,1,0.85,0.9999645119779864
0,1,0.90,0.999973857793893
0,1,0.95,0.9999639520948925
0,2,0.05,0.9943387345401661
0,2,0.10,0.9966897464465831
0,2,0.15,0.9984201035644857
0,2,0.20,0.9998027871626067
0,2,0.25,0.9995714914472305
0,2,0.30,0.9997970510441363
0,2,0.35,0.9996881161486024
0,2,0.40,0.999962344067237
0,2,0.45,0.9999093202159482
0,2,0.50,0.9999614260767268
0,2,0.55,0.9999764797808709
0,2,0.60,0.9999669400652168
0,2,0.65,0.999952353087846
0,2,0.70,0.9999511848497719
0,2,0.75,0.9999459863218697
0,2,0.80,0.9999402002658019
0,2,0.85,0.9999680951276798
0,2,0.90,0.9999574554742332
0,2,0.95,0.9999662887924834
0,3,0.05,0.978329158285935
0,3,0.10,0.9986467941059504
0,3,0.15,0.9983019803644229
0,3,0.20,0.99966720218231
0,3,0.25,0.9999342155301375
0,3,0.30,0.9999312546888386
0,3,0.35,0.9998963377428468
0,3,0.40,0.9998144728758851
0,3,0.45,0.9999617260558368
0,3,0.50,0.9999716247817082
0,3,0.55,0.9999708445145937
0,3,0.60,0.9999526937162043
0,3,0.65,0.9999689416723127
0,3,0.70,0.9999480376471713
0,3,0.75,0.9999614976568938
0,3,0.80,0.999972295643487
0,3,0.85,0.9999683351876774
0,3,0.90,0.9999677262652996
0,3,0.95,0.9999626717207727
0,4,0.05,0.9770767916385458
0,4,0.10,0.9962690170865084
0,4,0.15,0.9994043820894053
0,4,0.20,0.9994642810026454
0,4,0.25,0.9999434440593632
0,4,0.30,0.9997608173592639
0,4,0.35,0.999906656959084
0,4,0.40,0.9997229000196447
0,4,0.45,0.9999617087765635
0,4,0.50,0.9999215350409043
0,4,0.55,0.9999584608178962
0,4,0.60,0.9999599547888244
0,4,0.65,0.9999489399707626
0,4,0.70,0.9999469044420466
0,4,0.75,0.9999660237241864
0,4,0.80,0.9999582960669405
0,4,0.85,0.9999602463823217
0,4,0.90,0.9999627664465457
0,4,0.95,0.999965303863171
0,5,0.05,0.9890468183076778
0,5,0.10,0.9982726060554937
0,5,0.15,0.999444350827296
0,5,0.20,0.9998711314813676
0,5,0.25,0.9996872132615279
0,5,0.30,0.9999719586259759
0,5,0.35,0.999914873600856
0,5,0.40,0.9999263606748667
0,5,0.45,0.9999391734082383
0,5,0.50,0.9999475492143478
0,5,0.55,0.9999461470852031
0,5,0.60,0.9999624847772276
0,5,0.65,0.9999695946814788
0,5,0.70,0.9999663720064491
0,5,0.75,0.9999647395253184
0,5,0.80,0.9999820742540015
0,5,0.85,0.9999560351394815
0,5,0.90,0.9999715708388299
0,5,0.95,0.99996708061573
0,6,0.05,0.9652057539761989
0,6,0.10,0.9906024817726141
0,6,0.15,0.9981710840138731
0,6,0.20,0.9987699715472772
0,6,0.25,0.9998523918068539
0,6,0.30,0.9999107291055266
0,6,0.35,0.9999104669028452
0,6,0.40,0.9998630180519834
0,6,0.45,0.9999714679103248
0,6,0.50,0.9999701838803865
0,6,0.55,0.9999566996725001
0,6,0.60,0.9999686117893797
0,6,0.65,0.9999682844407403
0,6,0.70,0.9999615587759776
0,6,0.75,0.9999726206915527
0,6,0.80,0.9999736246602365
0,6,0.85,0.9999641319826674
0,6,0.90,0.9999604787721545
0,6,0.95,0.999973496915577
0,7,0.05,0.9523085422386133
0,7,0.10,0.9906139332065548
0,7,0.15,0.9978396784114488
0,7,0.20,0.9995321465888612
0,7,0.25,0.9999591644392541
0,7,0.30,0.9996780819996812
0,7,0.35,0.9999051133519118
0,7,0.40,0.9999456170508895
0,7,0.45,0.9999645384571152
0,7,0.50,0.9996545093180578
0,7,0.55,0.9999488690788129
0,7,0.60,0.9999668460662849
0,7,0.65,0.9999779969778306
0,7,0.70,0.9999621790404555
0,7,0.75,0.9999538680221237
0,7,0.80,0.9999682165422277
0,7,0.85,0.9999633353528364
0,7,0.90,0.9999677260157921
0,7,0.95,0.9999523748627381
