random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.7266834327286393
0,0,0.10,0.8626580491962974
0,0,0.15,0.5755041481136667
0,0,0.20,0.9707207375487837
0,0,0.25,0.9626358595620605
0,0,0.30,0.8719665626727668
0,0,0.35,0.8711923267858651
0,0,0.40,0.9111201260446523
0,0,0.45,0.9592447143484676
0,0,0.50,0.9781022250974075
0,0,0.55,0.9571330014352388
0,0,0.60,0.9116421421162003
0,0,0.65,0.9892799035695159
0,0,0.70,0.9814050100935818
0,0,0.75,0.9835293741784743
0,0,0.80,0.9807137743886817
0,0,0.85,0.9848197425027156
0,0,0.90,0.9841626009975315
0,0,0.95,0.9937895385701345
0,1,0.05,0.41916795022133124
0,1,0.10,0.6990907888707267
0,1,0.15,0.7854045056954383
0,1,0.20,0.9164397890780211
0,1,0.25,0.895596612560105
0,1,0.30,0.9589103503696548
0,1,0.35,0.8777621826979064
0,1,0.40,0.9585894706989104
0,1,0.45,0.9201089919118766
0,1,0.50,0.9433414454003087
0,1,0.55,0.9622125113394333
0,1,0.60,0.9759960621556759
0,1,0.65,0.9911765283293019
0,1,0.70,0.9633880935888334
0,1,0.75,0.9763057490197639
0,1,0.80,0.9928070382909515
0,1,0.85,0.9966414802834358
0,1,0.90,0.9959965515163746
0,1,0.95,0.9933540412045195
0,2,0.05,0.6798245494651183
0,2,0.10,0.8687295210351758
0,2,0.15,0.7839981929833285
0,2,0.20,0.881981157784018
0,2,0.25,0.9619205069168003
0,2,0.30,0.9463560256851808
0,2,0.35,0.8553112055363733
0,2,0.40,0.9334301485791214
0,2,0.45,0.9616335624787453
0,2,0.50,0.9279314428022113
0,2,0.55,0.9473433263015546
0,2,0.60,0.9860693610470341
0,2,0.65,0.9747897489047004
0,2,0.70,0.9924645664857982
0,2,0.75,0.9954676363544884
0,2,0.80,0.9805705300038212
0,2,0.85,0.9952685417705538
0,2,0.90,0.9950601770594003
0,2,0.95,0.9849896833476757
0,3,0.05,0.6364624768423839
