random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.3893981695261919
0,0,0.10,0.5647008922322556
0,0,0.15,0.8569168264077298
0,0,0.20,0.8324797603060516
0,0,0.25,0.8948843873048575
0,0,0.30,0.9070965281203469
0,0,0.35,0.8726231789320195
0,0,0.40,0.9129468982479884
0,0,0.45,0.9469665414277977
0,0,0.50,0.956624133731182
0,0,0.55,0.9368701286107587
0,0,0.60,0.9635329605254515
0,0,0.65,0.9820397193268361
0,0,0.70,0.9762428722721893
0,0,0.75,0.9767253377363067
0,0,0.80,0.9678859497684883
0,0,0.85,0.9760317493996299
0,0,0.90,0.9788812265603851
0,0,0.95,0.977496473511869
0,1,0.05,-0.2766320885833047
0,1,0.10,0.40751201179506946
0,1,0.15,0.26344365236674383
0,1,0.20,0.8613490629277094
0,1,0.25,0.8295589971529305
0,1,0.30,0.8756516437364807
0,1,0.35,0.9041968155171559
0,1,0.40,0.9211228367150425
0,1,0.45,0.9564102888986356
0,1,0.50,0.914854475391778
0,1,0.55,0.9772903888824189
0,1,0.60,0.9551494541230767
0,1,0.65,0.9650366511518299
0,1,0.70,0.9849050316307232
0,1,0.75,0.9795939218593788
0,1,0.80,0.9796616777233353
0,1,0.85,0.9847932536345799
0,1,0.90,0.9783658456231106
0,1,0.95,0.981845500950525
0,2,0.05,-0.08245932249629062
0,2,0.10,0.8548986337211448
0,2,0.15,0.7875266701244734
0,2,0.20,0.9705203289776763
0,2,0.25,0.7400407686646595
0,2,0.30,0.9509127968191843
0,2,0.35,0.686117220581069
0,2,0.40,0.9543391909998579
0,2,0.45,0.9666020953537815
0,2,0.50,0.9660962699859854
0,2,0.55,0.9531475080758213
0,2,0.60,0.9586516577049252
0,2,0.65,0.9824536539425885
0,2,0.70,0.9875257749351398
0,2,0.75,0.9763743054302979
0,2,0.80,0.985259855984644
0,2,0.85,0.9809058504893741
0,2,0.90,0.9767133262267971
0,2,0.95,0.9585878182173757
0,3,0.05,0.6172989550890807
0,3,0.10,0.5474682288833101
0,3,0.15,0.7988825592663276
0,3,0.20,0.6381105300272194
0,3,0.25,0.7128411610985774
0,3,0.30,0.7709507863506452
0,3,0.35,0.8983015710066359
0,3,0.40,0.9669332269755095
0,3,0.45,0.9729112777440188
0,3,0.50,0.90249981752311
0,3,0.55,0.965529836155927
0,3,0.60,0.9643168378897494
0,3,0.65,0.9320107917523028
0,3,0.70,0.9841212244181669
0,3,0.75,0.9534511659826879
0,3,0.80,0.9746646153983209
0,3,0.85,0.9633024478155062
0,3,0.90,0.9684859629513591
0,3,0.95,0.9920508138022849
0,4,0.05,0.7885428760517498
0,4,0.10,0.8946559662702935
0,4,0.15,0.8485900037588952
0,4,0.20,0.9403756442442873
