random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8575608670884937
0,0,0.10,0.9084195399581733
0,0,0.15,0.9961799767795579
0,0,0.20,0.9584812061440608
0,0,0.25,0.970848972297458
0,0,0.30,0.9952300240959266
0,0,0.35,0.9965631546429575
0,0,0.40,0.9966264410500509
0,0,0.45,0.997112090565579
0,0,0.50,0.9984480002984789
0,0,0.55,0.9979095330400588
0,0,0.60,0.998320793731684
0,0,0.65,0.9975470531336068
0,0,0.70,0.9988623954884626
0,0,0.75,0.9981966069446968
0,0,0.80,0.998209944286598
0,0,0.85,0.9967402424458913
0,0,0.90,0.9982625767501363
0,0,0.95,0.9983504361136073
0,1,0.05,0.992483401020108
0,1,0.10,0.9431324858913076
0,1,0.15,0.966538580299262
0,1,0.20,0.9400641693965432
0,1,0.25,0.9911522432280703
0,1,0.30,0.9963208423665167
0,1,0.35,0.9971355606567246
0,1,0.40,0.997448762789344
0,1,0.45,0.9981819769823184
0,1,0.50,0.9965261465724676
0,1,0.55,0.9963036235361182
0,1,0.60,0.9984120626690464
0,1,0.65,0.9977217452914434
0,1,0.70,0.9983359230027815
0,1,0.75,0.9980425758387869
0,1,0.80,0.99779112753728
0,1,0.85,0.9974469791961906
0,1,0.90,0.9984532817786722
0,1,0.95,0.9984836181754746
0,2,0.05,0.9827801244811711
0,2,0.10,0.8459733347272028
0,2,0.15,0.9960299727805357
0,2,0.20,0.9780219716153135
0,2,0.25,0.9451497571618415
0,2,0.30,0.995005695316411
0,2,0.35,0.996097719037902
0,2,0.40,0.997105098019411
0,2,0.45,0.998380686807759
0,2,0.50,0.9978863028120493
0,2,0.55,0.9976105621367036
0,2,0.60,0.9967712805388744
0,2,0.65,0.997298471315921
0,2,0.70,0.9985521531309474
0,2,0.75,0.9975876465638847
0,2,0.80,0.997617393625044
0,2,0.85,0.9982755403035373
0,2,0.90,0.9982697966417644
0,2,0.95,0.9974360847959242
0,3,0.05,0.9683281428714963
0,3,0.10,0.9389453498233168
0,3,0.15,0.9451813316004009
0,3,0.20,0.9949478008653553
0,3,0.25,0.9961465527056593
0,3,0.30,0.9529915591672461
0,3,0.35,0.996478282628157
0,3,0.40,0.9962094036171565
0,3,0.45,0.9982945743402938
0,3,0.50,0.9975837351904481
0,3,0.55,0.9975427949858786
0,3,0.60,0.9979704993625139
0,3,0.65,0.9972532189637306
0,3,0.70,0.9984369016312328
0,3,0.75,0.9975273388328271
0,3,0.80,0.9981778049724803
0,3,0.85,0.9985850962742181
0,3,0.90,0.9984647989963158
0,3,0.95,0.9979994770851774
0,4,0.05,0.7137723897675623
0,4,0.10,0.9812083514978517
0,4,0.15,0.9880164480063056
0,4,0.20,0.9949336542413426
0,4,0.25,0.9975144001581638
0,4,0.30,0.9967432748330554
0,4,0.35,0.9983599073621098
0,4,0.40,0.996334097258918
0,4,0.45,0.9968132130309882
0,4,0.50,0.9967848625237848
0,4,0.55,0.9985364910331521
0,4,0.60,0.9982603308427431
0,4,0.65,0.9983899426482115
0,4,0.70,0.998138834858699
0,4,0.75,0.9974249251891198
0,4,0.80,0.9973973021639687
0,4,0.85,0.9978409458719617
0,4,0.90,0.9980784410058996
0,4,0.95,0.9983722721239009
0,5,0.05,0.6576821137460516
0,5,0.10,0.9105410382442337
0,5,0.15,0.9847912661067475
0,5,0.20,0.9692710213915726
0,5,0.25,0.9742517392976718
0,5,0.30,0.9949862529441598
0,5,0.35,0.9954143298049425
0,5,0.40,0.9961963968375461
0,5,0.45,0.9952599297463273
0,5,0.50,0.9930777104924692
0,5,0.55,0.9980098256513773
0,5,0.60,0.9982868812499915
0,5,0.65,0.9979194151314321
0,5,0.70,0.9983563957493395
0,5,0.75,0.9980562181535434
0,5,0.80,0.9965877468757098
0,5,0.85,0.9985824453162844
0,5,0.90,0.9983607322049022
0,5,0.95,0.997940506311244
0,6,0.05,0.9514204440188672
0,6,0.10,0.9575941025522653
0,6,0.15,0.9797015399138356
0,6,0.20,0.9953925847729246
0,6,0.25,0.9879323237557296
0,6,0.30,0.9955311002804105
0,6,0.35,0.9967394386316236
0,6,0.40,0.9979231500156727
0,6,0.45,0.9975957003540284
0,6,0.50,0.9979972413382436
0,6,0.55,0.9976276380567437
0,6,0.60,0.9979298914107102
0,6,0.65,0.9987976127466894
0,6,0.70,0.9983459355889464
0,6,0.75,0.9975890320858746
0,6,0.80,0.9982082680702369
0,6,0.85,0.9983738853289721
0,6,0.90,0.9980647489192711
0,6,0.95,0.9988244361309114
0,7,0.05,0.9793798565651276
0,7,0.10,0.9517480728947142
0,7,0.15,0.9959427623113281
0,7,0.20,0.9960460880139695
0,7,0.25,0.9712646560142592
0,7,0.30,0.9953736807441843
0,7,0.35,0.9968448771340587
0,7,0.40,0.9951506999123925
0,7,0.45,0.9971084262820534
0,7,0.50,0.9985097221448032
0,7,0.55,0.9982381427386289
0,7,0.60,0.9983371298037467
0,7,0.65,0.9970360800891035
0,7,0.70,0.9983044093808073
0,7,0.75,0.9980208587985934
0,7,0.80,0.9974679496772259
0,7,0.85,0.9984364472724034
0,7,0.90,0.9983840077135587
0,7,0.95,0.9982937932812995
0,8,0.05,0.9212299576428246
0,8,0.10,0.9895752670733503
0,8,0.15,0.9704376394448326
0,8,0.20,0.9491024040450218
0,8,0.25,0.957944018261958
0,8,0.30,0.9966584069309914
0,8,0.35,0.9956375741754961
0,8,0.40,0.9969544478729659
0,8,0.45,0.9984578640293547
0,8,0.50,0.9985188925733709
0,8,0.55,0.9980940181957798
0,8,0.60,0.998493385712083
0,8,0.65,0.9955938376672664
0,8,0.70,0.9983607238903539
0,8,0.75,0.9976661964933893
0,8,0.80,0.9981072151743815
0,8,0.85,0.9983434278398731
0,8,0.90,0.9979797650724663
0,8,0.95,0.9981987995984283
0,9,0.05,0.9547122684750577
0,9,0.10,0.9483252181149326
0,9,0.15,0.9590061424756304
0,9,0.20,0.9959163141320394
0,9,0.25,0.984662302559828
0,9,0.30,0.9936766965012125
0,9,0.35,0.9942451958976879
0,9,0.40,0.993760568812751
0,9,0.45,0.9985069679715631
0,9,0.50,0.9958692440932961
0,9,0.55,0.9979055894681285
0,9,0.60,0.9972914770143138
0,9,0.65,0.997875218074345
0,9,0.70,0.9981161308518092
0,9,0.75,0.9987083214721602
0,9,0.80,0.9980990616155009
0,9,0.85,0.9983999825262306
0,9,0.90,0.9986803275378919
0,9,0.95,0.9983294980644247
1,0,0.05,0.7768535903551566
1,0,0.10,0.9908426956436891
1,0,0.15,0.9804484601816346
1,0,0.20,0.9941517495893972
1,0,0.25,0.9948766603960592
1,0,0.30,0.9957774028464428
1,0,0.35,0.9953600122527009
1,0,0.40,0.9974042746845171
1,0,0.45,0.9966877028620701
1,0,0.50,0.9965141546800329
1,0,0.55,0.9985212606848314
1,0,0.60,0.9975734446881765
1,0,0.65,0.998383172464203
1,0,0.70,0.9985006941737494
1,0,0.75,0.9985577504363292
1,0,0.80,0.9982456288942815
1,0,0.85,0.9982251535595958
