random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.7818852683477377
0,0,0.10,0.8941861175557383
0,0,0.15,0.9429862029773701
0,0,0.20,0.9459893688185206
0,0,0.25,0.9886849680161638
0,0,0.30,0.986952605724489
0,0,0.35,0.9716334817475882
0,0,0.40,0.96509823736105
0,0,0.45,0.9861162687175201
0,0,0.50,0.9821687408284486
0,0,0.55,0.9666793098937527
0,0,0.60,0.9938931737300977
0,0,0.65,0.9726693294604695
0,0,0.70,0.966496111700297
0,0,0.75,0.9912952404635355
0,0,0.80,0.9948476573590928
0,0,0.85,0.9776853023967136
0,0,0.90,0.9953747225864562
0,0,0.95,0.9821463846025796
0,1,0.05,0.5417191899798773
0,1,0.10,0.861002351998834
0,1,0.15,0.8766946214317376
0,1,0.20,0.8422718196890175
0,1,0.25,0.9595180920932659
0,1,0.30,0.9897972175780696
0,1,0.35,0.9805281879955833
0,1,0.40,0.988986666302485
0,1,0.45,0.9801066746343072
0,1,0.50,0.99157164620332
0,1,0.55,0.9940964445922491
0,1,0.60,0.9837256211261594
0,1,0.65,0.9879285467971705
0,1,0.70,0.9791618845411822
0,1,0.75,0.9950198836911677
0,1,0.80,0.9933815517783975
0,1,0.85,0.9729166379152643
0,1,0.90,0.9761635709558414
0,1,0.95,0.9838465519163543
0,2,0.05,0.09928822056639319
0,2,0.10,0.8684632355446181
0,2,0.15,0.9692198060330922
0,2,0.20,0.9869965658629486
0,2,0.25,0.9516391388291161
0,2,0.30,0.9889397506818767
0,2,0.35,0.9378213162588406
0,2,0.40,0.9523936009831919
0,2,0.45,0.9723976638225789
0,2,0.50,0.9780313151826171
0,2,0.55,0.9795359025570818
0,2,0.60,0.9914262168544661
0,2,0.65,0.9837553706628261
0,2,0.70,0.9786526954137343
0,2,0.75,0.9688333500400602
0,2,0.80,0.9730457352643853
0,2,0.85,0.9911976353412668
0,2,0.90,0.9899410169053634
0,2,0.95,0.9637142715435304
0,3,0.05,0.26857288182577976
0,3,0.10,0.8968295880890857
0,3,0.15,0.8613679099722682
0,3,0.20,0.9230193313449813
0,3,0.25,0.9794738637546971
0,3,0.30,0.992018640764524
0,3,0.35,0.9394412208491401
0,3,0.40,0.9705241123457513
0,3,0.45,0.9766861111653582
0,3,0.50,0.9615994374031506
0,3,0.55,0.9601415966253498
0,3,0.60,0.9917619414844195
0,3,0.65,0.9534171687316466
0,3,0.70,0.9909590860825687
0,3,0.75,0.99263446143558
0,3,0.80,0.9832904539724969
0,3,0.85,0.9896955477952402
0,3,0.90,0.9724327891192024
0,3,0.95,0.9918062862347083
0,4,0.05,0.628608830823608
0,4,0.10,0.9443918703388796
0,4,0.15,0.9558813682906198
0,4,0.20,0.98058745423846
0,4,0.25,0.9702384564793959
0,4,0.30,0.9566915450863315
0,4,0.35,0.9737068132067255
0,4,0.40,0.9758938152389307
0,4,0.45,0.9844351804382588
0,4,0.50,0.9758919481536802
0,4,0.55,0.9806897392021695
0,4,0.60,0.9906007330643011
0,4,0.65,0.9819993070114252
0,4,0.70,0.9788231315760988
0,4,0.75,0.9709144532637881
0,4,0.80,0.9884821672975372
0,4,0.85,0.9877384809034642
0,4,0.90,0.9833712145989658
0,4,0.95,0.9783346494597461
0,5,0.05,0.325463324847286
0,5,0.10,0.8784856049235475
0,5,0.15,0.9097260050067365
0,5,0.20,0.9734212281162045
0,5,0.25,0.9811900426410773
0,5,0.30,0.9765446024065983
0,5,0.35,0.9646793228618711
0,5,0.40,0.9931101586251889
0,5,0.45,0.9678306985648799
0,5,0.50,0.9815650977435749
0,5,0.55,0.977961802494272
0,5,0.60,0.987488293604495
0,5,0.65,0.9946399587444947
0,5,0.70,0.960856514099337
0,5,0.75,0.9666628487950686
0,5,0.80,0.9951067779400378
0,5,0.85,0.9885417397956278
0,5,0.90,0.9881807950964155
0,5,0.95,0.9784362029788299
0,6,0.05,-1.1079637079007556
0,6,0.10,0.6831489125930899
0,6,0.15,0.8997437363347978
0,6,0.20,0.9509743534559377
0,6,0.25,0.9752292734229289
0,6,0.30,0.9790342267096692
0,6,0.35,0.9731388297185548
0,6,0.40,0.9883972534588447
0,6,0.45,0.8686668857440005
0,6,0.50,0.9770354740932867
0,6,0.55,0.9879507054826949
0,6,0.60,0.987438063621989
0,6,0.65,0.9922038027808883
0,6,0.70,0.9631573900815691
0,6,0.75,0.9662563588448607
0,6,0.80,0.9763643732604333
0,6,0.85,0.9750724727073008
0,6,0.90,0.9773394189524375
0,6,0.95,0.9691279432609163
0,7,0.05,-7.532691433552657
0,7,0.10,0.9687959249264021
0,7,0.15,0.9769305921382877
0,7,0.20,0.9871467317537785
0,7,0.25,0.9886078243820398
0,7,0.30,0.9816903999254905
0,7,0.35,0.9483188769837326
0,7,0.40,0.9806631741845823
0,7,0.45,0.9904221509231776
0,7,0.50,0.9790592535619734
0,7,0.55,0.9836691973377791
0,7,0.60,0.9910715535913325
0,7,0.65,0.9751375815019943
0,7,0.70,0.9930970421903371
0,7,0.75,0.9783678407956632
0,7,0.80,0.9904809301751966
0,7,0.85,0.9710209896644566
0,7,0.90,0.9852626948743306
0,7,0.95,0.9907352070969115
0,8,0.05,0.7903451936367858
0,8,0.10,0.8084014717669816
0,8,0.15,0.9033506038423682
0,8,0.20,0.9586898068547038
0,8,0.25,0.988457919580533
0,8,0.30,0.962788060292797
0,8,0.35,0.9794507862521566
0,8,0.40,0.9834392988218695
0,8,0.45,0.9710750918269281
0,8,0.50,0.9720863397593485
0,8,0.55,0.9645247394511686
0,8,0.60,0.9906783714750519
0,8,0.65,0.9847808234378552
0,8,0.70,0.9892579815692752
0,8,0.75,0.9750642885592222
0,8,0.80,0.9895675441885824
0,8,0.85,0.9807636947095181
0,8,0.90,0.9867080457920435
0,8,0.95,0.9898725600428415
0,9,0.05,0.8562426647176201
0,9,0.10,0.8591432436700913
0,9,0.15,0.956683711069828
0,9,0.20,0.9553425717373907
0,9,0.25,0.9927011046190017
0,9,0.30,0.970105150942256
0,9,0.35,0.9767515017065597
0,9,0.40,0.9556451368123414
0,9,0.45,0.9865347708815885
0,9,0.50,0.970542932463954
0,9,0.55,0.9927118370011261
0,9,0.60,0.9693574929683789
0,9,0.65,0.9706760556695642
0,9,0.70,0.958038097700882
0,9,0.75,0.9814194565273657
0,9,0.80,0.9925986761075005
0,9,0.85,0.9920707616048504
0,9,0.90,0.9816563866833744
0,9,0.95,0.9872894120902652
1,0,0.05,0.7573196963533274
1,0,0.10,-0.0025687608972047027
1,0,0.15,0.40261583946944013
1,0,0.20,0.901828618818745
1,0,0.25,0.8551323275282459
1,0,0.30,0.9254246191543978
1,0,0.35,0.9537136212353026
1,0,0.40,0.9532614871441752
1,0,0.45,0.958956640146055
1,0,0.50,0.9869634555312274
1,0,0.55,0.9710848686623886
1,0,0.60,0.9865748379110204
1,0,0.65,0.9931856356514684
1,0,0.70,0.9868585450076495
1,0,0.75,0.9922723396976191
1,0,0.80,0.9595350877423018
1,0,0.85,0.9912873391354582
1,0,0.90,0.9849562246794226
1,0,0.95,0.9687043007460981
1,1,0.05,0.8028942814372346
1,1,0.10,0.8620852796434569
1,1,0.15,0.9590481070050946
1,1,0.20,0.9561253492696179
1,1,0.25,0.9416345819626425
1,1,0.30,0.9345333727794553
1,1,0.35,0.9522766470657801
1,1,0.40,0.9807061593370371
1,1,0.45,0.9905229719857318
1,1,0.50,0.97426149754706
1,1,0.55,0.9828310059589837
1,1,0.60,0.9911459166053529
1,1,0.65,0.9661871077545274
1,1,0.70,0.9919672803258208
1,1,0.75,0.9714797859631382
1,1,0.80,0.9929884536646781
1,1,0.85,0.9808444021724747
1,1,0.90,0.9961707013834126
1,1,0.95,0.9645887271905865
1,2,0.05,0.848232523654409
1,2,0.10,0.6237527280387788
1,2,0.15,0.8191946884647894
1,2,0.20,0.8926436112076706
1,2,0.25,0.9198445894780574
1,2,0.30,0.9479165048504639
1,2,0.35,0.9811173418910346
1,2,0.40,0.9932318899786139
1,2,0.45,0.9529882999190218
1,2,0.50,0.9516454601431934
1,2,0.55,0.9839845383189405
1,2,0.60,0.962763989215765
1,2,0.65,0.9351599934574377
1,2,0.70,0.9847646475999341
1,2,0.75,0.9722205074748429
1,2,0.80,0.9693056260352582
1,2,0.85,0.975380026900282
1,2,0.90,0.9911780376424626
1,2,0.95,0.9851083848891328
1,3,0.05,0.666442055971064
1,3,0.10,0.49994823798953925
1,3,0.15,0.7949652612558631
1,3,0.20,0.8817767309837459
1,3,0.25,0.8927260125216481
1,3,0.30,0.9431606816308602
1,3,0.35,0.9762905991071554
1,3,0.40,0.9896638928584726
1,3,0.45,0.9841819352787453
1,3,0.50,0.9533039604673287
1,3,0.55,0.9659224364022427
1,3,0.60,0.9731595622398274
1,3,0.65,0.9440947760693809
1,3,0.70,0.9892137062511839
1,3,0.75,0.9696567345857715
1,3,0.80,0.9763517970801822
1,3,0.85,0.9880700691848089
1,3,0.90,0.985088491747565
1,3,0.95,0.9669812969015442
1,4,0.05,0.20178076677005663
1,4,0.10,0.7832522827086961
1,4,0.15,0.939123155986925
1,4,0.20,0.9734517468153813
1,4,0.25,0.9811120855411453
1,4,0.30,0.968004818790921
1,4,0.35,0.9186759180324344
1,4,0.40,0.9715083273054366
1,4,0.45,0.9810616008344327
1,4,0.50,0.9752669864494354
1,4,0.55,0.9380466254526156
1,4,0.60,0.9838067468884393
1,4,0.65,0.9734142478445473
1,4,0.70,0.9774206050948278
1,4,0.75,0.9896880401044246
1,4,0.80,0.9839285584302272
1,4,0.85,0.993284973149214
1,4,0.90,0.9927950133276188
1,4,0.95,0.9822032223039118
1,5,0.05,0.10003781627148634
