random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.8070778929968971
0,0,0.10,0.8905859579214417
0,0,0.15,0.8406933736210733
0,0,0.20,0.7128445326958792
0,0,0.25,0.8513191603653661
0,0,0.30,0.8420677515929545
0,0,0.35,0.882460093208106
0,0,0.40,0.9315548576709628
0,0,0.45,0.95451190312411
0,0,0.50,0.9375602607471584
0,0,0.55,0.9262599740956139
0,0,0.60,0.8987298627328923
0,0,0.65,0.9764911048728868
0,0,0.70,0.8797274366285368
0,0,0.75,0.9323517796771356
0,0,0.80,0.9674385350266761
0,0,0.85,0.9806607580286032
0,0,0.90,0.9830936390805052
0,0,0.95,0.9718652903150624
0,1,0.05,-0.8070778929968971
0,1,0.10,0.07197180345302834
0,1,0.15,0.5694615037113091
0,1,0.20,0.6426105968599369
0,1,0.25,0.8347474369708743
0,1,0.30,0.5597961943917957
0,1,0.35,0.9270918867857332
0,1,0.40,0.8829891989669896
0,1,0.45,0.925261745475995
0,1,0.50,0.798236002317892
0,1,0.55,0.9181521953234877
0,1,0.60,0.9691269377961265
0,1,0.65,0.8945944000858327
0,1,0.70,0.9741480037269657
0,1,0.75,0.9684622359399635
0,1,0.80,0.944653498447408
0,1,0.85,0.9446485587704134
0,1,0.90,0.9879316710993464
0,1,0.95,0.9774256759576582
0,2,0.05,0.21293112506430345
0,2,0.10,0.4589927017080855
0,2,0.15,0.4845551134705015
0,2,0.20,0.8070901603764915
0,2,0.25,0.890547574377927
0,2,0.30,0.8771501292986329
0,2,0.35,0.8191334384555724
0,2,0.40,0.9380523781093673
0,2,0.45,0.8117483527788117
0,2,0.50,0.9299665344978918
0,2,0.55,0.9369399329764897
0,2,0.60,0.9632626359406941
0,2,0.65,0.822385833679073
0,2,0.70,0.9131110041199755
0,2,0.75,0.8437446452810917
0,2,0.80,0.967592096803126
0,2,0.85,0.9600218161750752
0,2,0.90,0.9224365212220745
0,2,0.95,0.9678752091952209
0,3,0.05,-0.313386222047515
0,3,0.10,-5.390630655006784
0,3,0.15,0.8154417423789104
0,3,0.20,0.8757802003716496
0,3,0.25,0.6718693554856815
0,3,0.30,0.6899642073899204
0,3,0.35,0.7699709260968047
0,3,0.40,0.8225778592596154
0,3,0.45,0.8721834236945544
0,3,0.50,0.9195337573327174
0,3,0.55,0.9320456929631505
0,3,0.60,0.8903280468664633
0,3,0.65,0.9594413276285484
0,3,0.70,0.9247544097649593
0,3,0.75,0.9603821383228776
0,3,0.80,0.9447970749603826
0,3,0.85,0.9697565671725904
0,3,0.90,0.9656679969147077
0,3,0.95,0.9688135126639733
0,4,0.05,-0.313386222047515
0,4,0.10,0.6025667238321937
0,4,0.15,0.8304757266251122
0,4,0.20,0.3868900827842504
0,4,0.25,0.9619412070081371
0,4,0.30,0.8331061911258586
0,4,0.35,0.9166749075070239
0,4,0.40,0.8487236547401003
0,4,0.45,0.7291032079654653
0,4,0.50,0.8747852793734915
0,4,0.55,0.9083504896158129
0,4,0.60,0.9232799631144024
0,4,0.65,0.8761869886016147
0,4,0.70,0.956733572077402
0,4,0.75,0.9611097593320482
0,4,0.80,0.949828675329271
0,4,0.85,0.9691407051299639
0,4,0.90,0.9830046410001814
0,4,0.95,0.9823290186951203
0,5,0.05,-0.8070778929968971
0,5,0.10,-2.006182555888627
0,5,0.15,0.5718687870649407
0,5,0.20,0.7499656557712137
0,5,0.25,0.5263805808157966
0,5,0.30,0.7201747232049711
0,5,0.35,0.8394626449106963
0,5,0.40,0.9523275656974772
0,5,0.45,0.618883974683256
0,5,0.50,0.8643428202412413
0,5,0.55,0.8969778200929915
0,5,0.60,0.9401278889040543
0,5,0.65,0.9230056222273741
0,5,0.70,0.9501027226395976
0,5,0.75,0.9618637770785373
0,5,0.80,0.9698095017502704
0,5,0.85,0.9498205958905497
0,5,0.90,0.968154154558156
0,5,0.95,0.9707654263597888
0,6,0.05,-0.07142260774252418
0,6,0.10,0.9128291894158033
0,6,0.15,0.6843775803036836
0,6,0.20,0.4512850764339773
0,6,0.25,0.7365977226264723
0,6,0.30,0.8011041200647981
0,6,0.35,0.931534602909809
0,6,0.40,0.890231783751831
0,6,0.45,0.9288714749105971
0,6,0.50,0.8678736802908109
0,6,0.55,0.9720776217473913
0,6,0.60,0.9044593757432442
0,6,0.65,0.9667812210439778
0,6,0.70,0.9066622932645209
0,6,0.75,0.9367255807281463
0,6,0.80,0.9603860327828274
0,6,0.85,0.9801156404781979
0,6,0.90,0.9747607593594881
0,6,0.95,0.9857808152563419
0,7,0.05,-0.9055485315988003
0,7,0.10,0.8108012649550409
0,7,0.15,0.8495133845455498
0,7,0.20,0.8301406179997475
