random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.18329732718364256
0,0,0.10,0.3967345052311093
0,0,0.15,0.8345017009356457
0,0,0.20,0.20241430078912004
0,0,0.25,0.687660043057374
0,0,0.30,0.947387010963625
0,0,0.35,0.8821513996596355
0,0,0.40,0.9673462865335171
0,0,0.45,0.9424088844393061
0,0,0.50,0.9476245859518289
0,0,0.55,0.9527850203807243
0,0,0.60,0.9417984997598945
0,0,0.65,0.9673259117970595
0,0,0.70,0.9746604188608186
0,0,0.75,0.9902509445253823
0,0,0.80,0.9865216785286485
0,0,0.85,0.9780795045749504
0,0,0.90,0.9710528074250434
0,0,0.95,0.9818579584906898
0,1,0.05,0.1852877667206596
0,1,0.10,0.7077038536879163
0,1,0.15,0.8558489249479917
0,1,0.20,0.6803603352011472
0,1,0.25,0.7548966639916805
0,1,0.30,0.8516451471247813
0,1,0.35,0.9317673023785411
0,1,0.40,0.9350589019164839
0,1,0.45,0.9327082125057906
0,1,0.50,0.8986158479169951
0,1,0.55,0.9527653049047679
0,1,0.60,0.9771300133760366
0,1,0.65,0.9808653328766745
0,1,0.70,0.9806425471033683
0,1,0.75,0.9688200675603901
0,1,0.80,0.9690897096925732
0,1,0.85,0.9862902139693277
0,1,0.90,0.9722708921499811
0,1,0.95,0.8665988914909337
0,2,0.05,-1.2994849010134977
0,2,0.10,0.39299886365042547
0,2,0.15,0.8071087168814448
0,2,0.20,0.5673547291014225
0,2,0.25,0.902381597447259
0,2,0.30,0.8611130291276596
0,2,0.35,0.9481435751382391
0,2,0.40,0.9668470305494121
0,2,0.45,0.8632079421814298
0,2,0.50,0.9157638859691073
0,2,0.55,0.9219558855215526
0,2,0.60,0.9838646978488232
0,2,0.65,0.9839169870937278
0,2,0.70,0.9583389222379438
0,2,0.75,0.9694871947873592
0,2,0.80,0.9905084415930425
0,2,0.85,0.958550102454054
0,2,0.90,0.9852686653893777
0,2,0.95,0.9819097630584736
0,3,0.05,0.43812047974609136
0,3,0.10,0.9228521287692156
0,3,0.15,0.5588805804908925
0,3,0.20,0.8931351450957933
0,3,0.25,0.9111368729816175
0,3,0.30,0.8268856836344253
0,3,0.35,0.9503956594525157
0,3,0.40,0.9563433827437392
0,3,0.45,0.9723756635924109
0,3,0.50,0.9663316034598198
0,3,0.55,0.8751687351810733
0,3,0.60,0.9702818771712338
0,3,0.65,0.9882693553589034
0,3,0.70,0.9487413852438729
0,3,0.75,0.9846427768467115
0,3,0.80,0.985172452502486
0,3,0.85,0.9557170315536998
0,3,0.90,0.9834295075853831
0,3,0.95,0.9879040161777348
0,4,0.05,-1.4681841308038832
0,4,0.10,-1.0359243115480266
0,4,0.15,0.892435046137449
0,4,0.20,0.724895998941171
0,4,0.25,0.8348065016949073
0,4,0.30,0.8804911454742618
0,4,0.35,0.9271814602794717
0,4,0.40,0.9616033174742792
0,4,0.45,0.9131837932858675
0,4,0.50,0.9486729889729213
0,4,0.55,0.9641186309672424
0,4,0.60,0.9612965944935585
0,4,0.65,0.9907772289207204
0,4,0.70,0.9705723248285572
0,4,0.75,0.9719752991190618
