random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8278015847707829
0,0,0.10,0.9732383076791774
0,0,0.15,0.9485131672164913
0,0,0.20,0.9649049840363605
0,0,0.25,0.9690078844878461
0,0,0.30,0.9743489442822848
0,0,0.35,0.9931155287149299
0,0,0.40,0.9916977710666882
0,0,0.45,0.9959143054419652
0,0,0.50,0.9978043687285486
0,0,0.55,0.9966893397164153
0,0,0.60,0.9985096797783357
0,0,0.65,0.9959235258179875
0,0,0.70,0.9985925464732454
0,0,0.75,0.9988054243171299
0,0,0.80,0.9977922038459667
0,0,0.85,0.9984495239842063
0,0,0.90,0.9988188771499542
0,0,0.95,0.9993179327848303
0,1,0.05,0.7368703823004941
0,1,0.10,0.9374875897485385
0,1,0.15,0.8772040914267859
0,1,0.20,0.9779820432239685
0,1,0.25,0.9828670114325786
0,1,0.30,0.9906461189219686
0,1,0.35,0.9902595690209708
0,1,0.40,0.9950773438836393
0,1,0.45,0.9950373507823875
0,1,0.50,0.9933406201329549
0,1,0.55,0.9969501345975945
0,1,0.60,0.9976359492397915
0,1,0.65,0.9983086644454834
0,1,0.70,0.9982959035306124
0,1,0.75,0.9980040218656515
0,1,0.80,0.9984499445775451
0,1,0.85,0.9988122077341276
0,1,0.90,0.9984863787595364
0,1,0.95,0.9992483358785003
0,2,0.05,0.8708744998874791
0,2,0.10,0.9049654408605914
0,2,0.15,0.9597727087926411
0,2,0.20,0.9754616548497175
0,2,0.25,0.9872584256657445
0,2,0.30,0.9805098442669791
0,2,0.35,0.9952275201630043
0,2,0.40,0.9948390192792121
0,2,0.45,0.9925895401876811
0,2,0.50,0.9967473476862819
0,2,0.55,0.9962961994325283
0,2,0.60,0.9976000994052374
0,2,0.65,0.9971390398199277
0,2,0.70,0.9991381664567309
0,2,0.75,0.9981944185022664
0,2,0.80,0.9990259871236413
0,2,0.85,0.998769564308431
0,2,0.90,0.998961586518595
0,2,0.95,0.9983988533882261
0,3,0.05,0.7752960354073103
0,3,0.10,0.9518830155100305
0,3,0.15,0.9843731104965416
0,3,0.20,0.9823752606774899
0,3,0.25,0.9788854030530413
