random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.002760489443370373
0,0,0.10,0.808037257800603
0,0,0.15,0.9086217708456399
0,0,0.20,0.9047355593409567
0,0,0.25,0.9356477728663662
0,0,0.30,0.9384859254089016
0,0,0.35,0.8589756270138953
0,0,0.40,0.8764105910910565
0,0,0.45,0.9363798410364673
0,0,0.50,0.9276279741646074
0,0,0.55,0.9234367564511955
0,0,0.60,0.9071709733585516
0,0,0.65,0.9357395215532993
0,0,0.70,0.953814967369457
0,0,0.75,0.941949186968694
0,0,0.80,0.9393560779940261
0,0,0.85,0.9287520784419819
0,0,0.90,0.9394077173605995
0,0,0.95,0.9237368296688296
0,1,0.05,0.5287046946156096
0,1,0.10,0.7348844891086188
0,1,0.15,0.7627346720591134
0,1,0.20,0.907906501431177
0,1,0.25,0.9300935644858648
0,1,0.30,0.9079785812164433
0,1,0.35,0.9255488091597261
0,1,0.40,0.9448060718693752
0,1,0.45,0.9474436011305906
0,1,0.50,0.93796133009213
0,1,0.55,0.9667226516281672
0,1,0.60,0.945365789290257
0,1,0.65,0.9307240248230113
0,1,0.70,0.9332178387612552
0,1,0.75,0.9569506734033798
0,1,0.80,0.9441426827345639
0,1,0.85,0.9549292008907138
0,1,0.90,0.9252865857846175
0,1,0.95,0.9484597983515949
0,2,0.05,-1.0139795238232914
0,2,0.10,0.5712109254668427
0,2,0.15,0.680807849556673
0,2,0.20,0.888146998727302
0,2,0.25,0.9697524945429892
0,2,0.30,0.946920517675543
0,2,0.35,0.9425168736988453
0,2,0.40,0.9189425853489879
0,2,0.45,0.9496621722708809
0,2,0.50,0.916091431791951
0,2,0.55,0.888517612711351
0,2,0.60,0.8800060751305206
0,2,0.65,0.9138811426232022
0,2,0.70,0.9261378299962044
0,2,0.75,0.914988127893305
0,2,0.80,0.9481151268104604
0,2,0.85,0.9351156883144961
0,2,0.90,0.9498212010793027
0,2,0.95,0.9106686102100965
0,3,0.05,0.6530038428705434
0,3,0.10,0.9115212568439781
0,3,0.15,0.8909810288592362
0,3,0.20,0.9422813642088458
0,3,0.25,0.8526133047360378
0,3,0.30,0.9104905750773489
0,3,0.35,0.8754304699000505
0,3,0.40,0.925281087758384
0,3,0.45,0.9689808938207792
0,3,0.50,0.8822391870739609
0,3,0.55,0.948715617454194
0,3,0.60,0.9311881654190152
0,3,0.65,0.8884383680357824
0,3,0.70,0.9178200839659771
0,3,0.75,0.9508809551812708
0,3,0.80,0.8925767506075917
0,3,0.85,0.9523377253395303
0,3,0.90,0.9461181940372857
0,3,0.95,0.9540867067301857
0,4,0.05,0.39926554162720673
0,4,0.10,0.757156892207374
0,4,0.15,0.7908278008183935
0,4,0.20,0.8833176080951703
0,4,0.25,0.8978462674415931
0,4,0.30,0.9089220522187238
0,4,0.35,0.9632278689584932
0,4,0.40,0.9270706903864443
0,4,0.45,0.9126979421396311
0,4,0.50,0.9328624035937895
0,4,0.55,0.9467778628710461
0,4,0.60,0.8878579953502451
0,4,0.65,0.9330915178083601
0,4,0.70,0.9418661031969602
0,4,0.75,0.9450152027672238
0,4,0.80,0.9538762216936049
0,4,0.85,0.9459603022027461
0,4,0.90,0.9463485013382573
0,4,0.95,0.9320269452951105
0,5,0.05,0.36371842178099867
0,5,0.10,0.7386972110585581
0,5,0.15,0.5730316661895571
0,5,0.20,0.90138105876576
0,5,0.25,0.9609641411485093
0,5,0.30,0.896125577522239
0,5,0.35,0.9340434007398345
0,5,0.40,0.9061046515491324
0,5,0.45,0.8844369516018002
0,5,0.50,0.8742867977164416
0,5,0.55,0.929408484641431
0,5,0.60,0.8769466568746207
0,5,0.65,0.9077109729023028
0,5,0.70,0.931090764446517
0,5,0.75,0.9633065038063381
0,5,0.80,0.9238224179901277
0,5,0.85,0.9300068989737625
0,5,0.90,0.9422124473511356
0,5,0.95,0.9340927115855568
0,6,0.05,0.1670223446072776
0,6,0.10,0.7974274588690226
0,6,0.15,0.5919921762223734
0,6,0.20,0.9504977387468466
0,6,0.25,0.9273133365530021
0,6,0.30,0.8651833944171196
0,6,0.35,0.9647167397329202
0,6,0.40,0.9330772176639976
0,6,0.45,0.9227758425381452
0,6,0.50,0.8862281588529999
0,6,0.55,0.9327381969421212
0,6,0.60,0.9554483982153812
0,6,0.65,0.8935336679765608
0,6,0.70,0.9520707922097342
0,6,0.75,0.9511934842549854
0,6,0.80,0.952301318835974
0,6,0.85,0.9602311234633404
0,6,0.90,0.9508994749330983
0,6,0.95,0.9135152149343884
0,7,0.05,-0.3184611283153027
0,7,0.10,0.7157646983182602
0,7,0.15,0.732709890460445
0,7,0.20,0.8706823886510904
0,7,0.25,0.9039284436445086
0,7,0.30,0.9663346504385563
0,7,0.35,0.9186178409609724
0,7,0.40,0.9427359232012795
0,7,0.45,0.9409247269943752
0,7,0.50,0.8962657421500491
0,7,0.55,0.9447160564089133
0,7,0.60,0.907620409834364
0,7,0.65,0.9403836440433317
0,7,0.70,0.9497105365660076
0,7,0.75,0.9473102988604903
0,7,0.80,0.923694306323953
0,7,0.85,0.9344847903501032
0,7,0.90,0.9356152174021048
0,7,0.95,0.9322880076579713
0,8,0.05,0.5654239609540972
0,8,0.10,0.8469540153950921
0,8,0.15,0.7710603633130622
0,8,0.20,0.9196216894449014
0,8,0.25,0.8852247102670051
0,8,0.30,0.8994324939540342
0,8,0.35,0.8912475165500089
0,8,0.40,0.9650028283942619
0,8,0.45,0.8417140383362778
0,8,0.50,0.9219011951702796
0,8,0.55,0.9231604955110086
0,8,0.60,0.9342315789435077
0,8,0.65,0.9250434934898655
0,8,0.70,0.9457843165274951
0,8,0.75,0.9524022088324338
0,8,0.80,0.942685079679123
0,8,0.85,0.9248447801241851
0,8,0.90,0.9615427215722769
0,8,0.95,0.9437257530842087
0,9,0.05,0.5713498750033629
0,9,0.10,0.8214722641439307
0,9,0.15,0.7513862001348927
0,9,0.20,0.7517014493271009
0,9,0.25,0.8703076990546657
0,9,0.30,0.9414806985359364
0,9,0.35,0.9193041002524424
0,9,0.40,0.8648782621411277
0,9,0.45,0.9049390042524135
0,9,0.50,0.9254873330365352
0,9,0.55,0.9300056472522299
0,9,0.60,0.947870166111563
0,9,0.65,0.9366214077613442
0,9,0.70,0.9451368384165033
0,9,0.75,0.9396490771699764
0,9,0.80,0.9508445970680467
0,9,0.85,0.9682083120730212
0,9,0.90,0.9491445009944303
0,9,0.95,0.9583224008675593
1,0,0.05,0.2792289531866755
1,0,0.10,0.705317042167378
1,0,0.15,0.9340290800501236
1,0,0.20,0.9097650004813987
1,0,0.25,0.8483643563488732
1,0,0.30,0.9388120698971549
1,0,0.35,0.9461425476101117
1,0,0.40,0.9490806874109546
1,0,0.45,0.9336832850818421
1,0,0.50,0.9439995227797504
1,0,0.55,0.956824005284772
1,0,0.60,0.929880692235791
1,0,0.65,0.9341450978489779
1,0,0.70,0.9397753605578434
1,0,0.75,0.9301705291086871
1,0,0.80,0.9147319799387459
1,0,0.85,0.9222812342977469
1,0,0.90,0.9441206940997686
1,0,0.95,0.9627696609842689
1,1,0.05,0.4019418999390735
1,1,0.10,0.6575940755676989
1,1,0.15,0.9268341771378102
1,1,0.20,0.9389516150317876
1,1,0.25,0.7497323050181274
1,1,0.30,0.9357655460460214
1,1,0.35,0.8893941316303268
1,1,0.40,0.9370357112836597
1,1,0.45,0.9298872715066647
1,1,0.50,0.944307713146257
1,1,0.55,0.9317829972100784
1,1,0.60,0.9389483662306853
1,1,0.65,0.933761532083773
1,1,0.70,0.923595396078945
1,1,0.75,0.9591927876419665
1,1,0.80,0.9574050798845816
1,1,0.85,0.9636401163203897
1,1,0.90,0.9290479491343084
1,1,0.95,0.937037188057592
1,2,0.05,0.5945218648264267
1,2,0.10,0.8280317521836349
1,2,0.15,0.9403430354063979
1,2,0.20,0.9311164846648883
1,2,0.25,0.8298338209079565
1,2,0.30,0.868893315620173
1,2,0.35,0.8891632458665222
1,2,0.40,0.9439131903144153
1,2,0.45,0.9610703144320188
1,2,0.50,0.9423305050012368
1,2,0.55,0.9508087866762247
1,2,0.60,0.9293231769426126
1,2,0.65,0.9311404994909437
1,2,0.70,0.9352869914248405
1,2,0.75,0.9675054109656627
1,2,0.80,0.9440410288035864
1,2,0.85,0.9663713644572478
1,2,0.90,0.9347749049102841
1,2,0.95,0.9435079157918652
1,3,0.05,0.5966731139668686
1,3,0.10,0.689288323718812
1,3,0.15,0.7091336578459506
1,3,0.20,0.9394573803421931
1,3,0.25,0.9202537451907171
1,3,0.30,0.9303619781090482
1,3,0.35,0.9383475956947707
1,3,0.40,0.9132171365236315
1,3,0.45,0.9367287834330518
1,3,0.50,0.9060207700001984
1,3,0.55,0.9533468959595813
1,3,0.60,0.9711175537156365
1,3,0.65,0.9397364846020133
1,3,0.70,0.9525641432854659
1,3,0.75,0.9564897279491991
1,3,0.80,0.9225700965846433
1,3,0.85,0.9421167641210692
1,3,0.90,0.9336211727325396
1,3,0.95,0.9301104526592046
1,4,0.05,0.19926221525410015
1,4,0.10,0.5077178866335302
1,4,0.15,0.7725058321003742
1,4,0.20,0.8755989922591297
1,4,0.25,0.8966003974703494
1,4,0.30,0.8713713512160799
1,4,0.35,0.9155175590338597
1,4,0.40,0.8919090157496968
1,4,0.45,0.946562008002031
1,4,0.50,0.9445296187008491
1,4,0.55,0.9130936617392306
1,4,0.60,0.9225800771544158
1,4,0.65,0.9009197066267483
1,4,0.70,0.9426850772123513
1,4,0.75,0.9512941693616841
1,4,0.80,0.9308077322310878
1,4,0.85,0.9438726136904138
1,4,0.90,0.9522002602047719
1,4,0.95,0.9667342622744156
1,5,0.05,0.4367164124893165
1,5,0.10,0.7056777650643073
1,5,0.15,0.9500889948920118
1,5,0.20,0.9281500699906802
1,5,0.25,0.891187378601443
1,5,0.30,0.8702724940889817
1,5,0.35,0.9231223350004596
1,5,0.40,0.9247214414241238
1,5,0.45,0.9482890215681806
1,5,0.50,0.9379853749096001
1,5,0.55,0.9496623536449814
1,5,0.60,0.958606007869267
1,5,0.65,0.9176522602820917
1,5,0.70,0.9343271691110134
1,5,0.75,0.9342038092570054
1,5,0.80,0.9601454789770957
1,5,0.85,0.9132676132750334
1,5,0.90,0.9728709349152378
1,5,0.95,0.9405975074370063
1,6,0.05,0.46951581839770684
1,6,0.10,0.7149134846199234
1,6,0.15,0.952467660380916
1,6,0.20,0.6660305059012867
1,6,0.25,0.9403106937332663
1,6,0.30,0.9417054896461461
1,6,0.35,0.8911373892491384
1,6,0.40,0.9210541999347733
1,6,0.45,0.9049005082271369
1,6,0.50,0.9423828425972716
1,6,0.55,0.9430304269916892
1,6,0.60,0.9360735960081074
1,6,0.65,0.9264918970838895
1,6,0.70,0.9281646615406016
1,6,0.75,0.9407877683042817
1,6,0.80,0.9553483966936778
1,6,0.85,0.9523877615967434
1,6,0.90,0.9503988278559453
1,6,0.95,0.9415737219127586
1,7,0.05,0.29995988650765837
1,7,0.10,0.6251325510455026
1,7,0.15,0.9257546642566945
1,7,0.20,0.8283939148933935
1,7,0.25,0.9082772289153253
1,7,0.30,0.8748335245992618
1,7,0.35,0.8806072327358775
1,7,0.40,0.8969093341384958
1,7,0.45,0.9390134242657524
1,7,0.50,0.9333645191709042
1,7,0.55,0.9333217158516882
1,7,0.60,0.9430114550506229
1,7,0.65,0.9324555225079637
1,7,0.70,0.9290402413859944
1,7,0.75,0.9258250887124888
1,7,0.80,0.9582828643270711
1,7,0.85,0.9529889348221263
1,7,0.90,0.9483853332897317
1,7,0.95,0.9590271671502144
1,8,0.05,0.1950391594767923
1,8,0.10,0.7760869667795978
1,8,0.15,0.7953211427534219
1,8,0.20,0.7258027561386278
1,8,0.25,0.8758266711265804
1,8,0.30,0.878641409976453
1,8,0.35,0.9468050917585122
1,8,0.40,0.9318600515205421
1,8,0.45,0.9191565800661194
1,8,0.50,0.9481128413726736
1,8,0.55,0.9488868049944554
1,8,0.60,0.933884905746935
1,8,0.65,0.8983799481290858
1,8,0.70,0.9496663365450694
1,8,0.75,0.9498875666848605
1,8,0.80,0.9526562440056457
1,8,0.85,0.9594834888068707
1,8,0.90,0.955851358098138
1,8,0.95,0.9473184804995048
1,9,0.05,0.6590204576158392
1,9,0.10,0.1679623315884008
1,9,0.15,0.8064818843253113
1,9,0.20,0.9308480851817432
1,9,0.25,0.8729578426002236
1,9,0.30,0.8216857106356812
1,9,0.35,0.9554618467540678
1,9,0.40,0.9174094004320564
1,9,0.45,0.9350109644211172
1,9,0.50,0.9493542326126991
1,9,0.55,0.9509366883551881
1,9,0.60,0.9622371767915505
1,9,0.65,0.958088420099601
1,9,0.70,0.9423504593084843
1,9,0.75,0.9673923458106823
1,9,0.80,0.938799826268224
1,9,0.85,0.9634625631037129
1,9,0.90,0.9376591147126159
1,9,0.95,0.9487047289616108
2,0,0.05,0.8287921242382777
2,0,0.10,0.7963374429452745
2,0,0.15,0.8040022952202212
2,0,0.20,0.8850382389216797
2,0,0.25,0.8975802868568789
2,0,0.30,0.8967674596959945
2,0,0.35,0.9356681267173039
2,0,0.40,0.8719184795617181
2,0,0.45,0.9272821920970773
2,0,0.50,0.9205655427389066
2,0,0.55,0.9252420785716416
2,0,0.60,0.9312556895840252
2,0,0.65,0.9554036527425946
2,0,0.70,0.9110045683156626
2,0,0.75,0.9389719205261153
2,0,0.80,0.9004393329327056
2,0,0.85,0.9396229529026959
2,0,0.90,0.9547734726424149
2,0,0.95,0.9568490085578198
2,1,0.05,0.9217117156554981
2,1,0.10,0.634067998111816
2,1,0.15,0.6511931264726537
2,1,0.20,0.8724901809783282
2,1,0.25,0.8365477795080949
2,1,0.30,0.8388382538192553
2,1,0.35,0.9122479306052598
2,1,0.40,0.9309620139992087
2,1,0.45,0.9172234067002072
2,1,0.50,0.9319913945697809
2,1,0.55,0.9483205563370628
2,1,0.60,0.9307785643201198
2,1,0.65,0.912802638950396
2,1,0.70,0.9000321295147422
2,1,0.75,0.9446082172666411
2,1,0.80,0.9554996134988353
2,1,0.85,0.9213379199257513
2,1,0.90,0.954543140661075
2,1,0.95,0.9483241931574836
2,2,0.05,0.7018301739099277
2,2,0.10,0.5734526325885205
2,2,0.15,0.9193214461210594
2,2,0.20,0.9380283553513131
2,2,0.25,0.8799737778307724
2,2,0.30,0.9087813013072554
2,2,0.35,0.9168817345104212
2,2,0.40,0.9200139115490205
2,2,0.45,0.9417591393675095
2,2,0.50,0.929042445747822
2,2,0.55,0.934716415190334
2,2,0.60,0.863091716850922
2,2,0.65,0.9446284751567987
2,2,0.70,0.9554201816091962
2,2,0.75,0.9246725892772764
2,2,0.80,0.9480163995228565
2,2,0.85,0.9133898463687522
2,2,0.90,0.9456858984309597
2,2,0.95,0.9616876046291696
2,3,0.05,0.9009675719101442
2,3,0.10,0.8573531256987281
2,3,0.15,0.6021654301981523
2,3,0.20,0.9356953376418677
2,3,0.25,0.8951877289234877
2,3,0.30,0.873219627463155
2,3,0.35,0.8938158387794872
2,3,0.40,0.9274226235820582
2,3,0.45,0.9545165251726152
2,3,0.50,0.9366612566720965
2,3,0.55,0.9006567077155108
2,3,0.60,0.9368278986983809
2,3,0.65,0.9066311923494166
2,3,0.70,0.9469384398735167
2,3,0.75,0.9429070625546143
2,3,0.80,0.9312216449008677
2,3,0.85,0.9364268144538775
2,3,0.90,0.9361470361936934
2,3,0.95,0.9402999707595504
2,4,0.05,0.5350967124089676
2,4,0.10,0.8187851103189947
2,4,0.15,0.8471387749402727
2,4,0.20,0.8693706121382022
2,4,0.25,0.8292998311766112
2,4,0.30,0.8813623309962528
2,4,0.35,0.897454317401398
2,4,0.40,0.9213582347648765
2,4,0.45,0.9346700994815221
2,4,0.50,0.9178313733150256
2,4,0.55,0.9352738619240784
2,4,0.60,0.902572279976902
2,4,0.65,0.9269442937095711
2,4,0.70,0.9104040914286641
2,4,0.75,0.9287223377096182
2,4,0.80,0.9614617338203311
2,4,0.85,0.9214574051438966
2,4,0.90,0.9599482001355162
2,4,0.95,0.9268000705856412
2,5,0.05,0.7760560877825314
2,5,0.10,0.9475529868817508
2,5,0.15,0.8745990004729979
2,5,0.20,0.7823749182081349
2,5,0.25,0.8825222792486931
2,5,0.30,0.8866821063492378
2,5,0.35,0.9372030594742923
2,5,0.40,0.9571013798484022
2,5,0.45,0.9138596456701781
2,5,0.50,0.9377505462869782
2,5,0.55,0.897291322974141
2,5,0.60,0.9088744163721522
2,5,0.65,0.9112267561973362
2,5,0.70,0.9178143513671181
2,5,0.75,0.9514713100111275
2,5,0.80,0.9182536685162954
2,5,0.85,0.9608172878879949
2,5,0.90,0.9604497449378597
2,5,0.95,0.9459342038315911
2,6,0.05,0.38021707352928014
2,6,0.10,0.6218292053744447
2,6,0.15,0.8529865047137701
2,6,0.20,0.887571303097063
2,6,0.25,0.8697930020577654
2,6,0.30,0.8938022922055974
2,6,0.35,0.9020162223076226
2,6,0.40,0.9090165447047169
2,6,0.45,0.9179973354178642
2,6,0.50,0.9149137504092358
2,6,0.55,0.9510784628285673
2,6,0.60,0.9464730383681785
2,6,0.65,0.9259907785361381
2,6,0.70,0.9200862566824067
2,6,0.75,0.9302186944508818
2,6,0.80,0.922927911018797
2,6,0.85,0.9400421414731016
2,6,0.90,0.9631405871886831
2,6,0.95,0.9090929799692198
2,7,0.05,0.8712630623084733
2,7,0.10,0.8105791914111524
2,7,0.15,0.8618269196781031
2,7,0.20,0.8249178183214531
2,7,0.25,0.8642599102252816
2,7,0.30,0.8304116422602748
2,7,0.35,0.893092635731851
2,7,0.40,0.9277184878467438
2,7,0.45,0.9347070435170903
2,7,0.50,0.9495683889215982
2,7,0.55,0.9248251782780452
2,7,0.60,0.90562160055945
2,7,0.65,0.9323301800292755
2,7,0.70,0.8789655362571023
2,7,0.75,0.9568195859020906
2,7,0.80,0.9602342997175928
2,7,0.85,0.9488625825125927
2,7,0.90,0.9269327969496426
