random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9967564859278019
0,0,0.10,0.9900743536790251
0,0,0.15,0.9990240358562544
0,0,0.20,0.9994976360170266
0,0,0.25,0.9999352243496384
0,0,0.30,0.99987102245429
0,0,0.35,0.9999694871517923
0,0,0.40,0.9999639660746588
0,0,0.45,0.9999627827907146
0,0,0.50,0.9999835206745769
0,0,0.55,0.9999664117424698
0,0,0.60,0.9999685056450096
0,0,0.65,0.9999748673478724
0,0,0.70,0.999976421242166
0,0,0.75,0.9999735763615893
0,0,0.80,0.9999782392352355
0,0,0.85,0.9999841376797244
0,0,0.90,0.999978860794863
0,0,0.95,0.9999737338537144
0,1,0.05,0.994262856951208
0,1,0.10,0.9980993360262378
0,1,0.15,0.99965728109014
0,1,0.20,0.9986994727707011
0,1,0.25,0.9999182741383102
0,1,0.30,0.999473635917967
0,1,0.35,0.999981670799118
0,1,0.40,0.999964456874292
0,1,0.45,0.99997148661189
0,1,0.50,0.9999664152987642
0,1,0.55,0.9999689148266667
0,1,0.60,0.9999810784557073
0,1,0.65,0.9999708417216793
0,1,0.70,0.9999677104022664
0,1,0.75,0.9999597381655196
0,1,0.80,0.9999809923389281
0,1,0.85,0.9999710000833246
0,1,0.90,0.9999775871833081
0,1,0.95,0.9999757577908439
0,2,0.05,0.9980787525524066
0,2,0.10,0.9960014386804034
0,2,0.15,0.9989302847791105
0,2,0.20,0.9994316994709914
0,2,0.25,0.9995333542172128
0,2,0.30,0.9999047413831372
0,2,0.35,0.9998802459148253
0,2,0.40,0.9999469750979105
0,2,0.45,0.9999780936101494
0,2,0.50,0.9999792654364886
0,2,0.55,0.9999767259539175
0,2,0.60,0.9999712320157493
0,2,0.65,0.9999791096750921
0,2,0.70,0.9999781787453836
0,2,0.75,0.9999829121841332
0,2,0.80,0.9999785314579931
0,2,0.85,0.9999807157657437
0,2,0.90,0.9999777335662687
0,2,0.95,0.9999716608750034
0,3,0.05,0.9989235073652415
0,3,0.10,0.9994199071906167
0,3,0.15,0.999432831372314
0,3,0.20,0.9988824569124013
0,3,0.25,0.9999284854707984
0,3,0.30,0.9997475575452444
0,3,0.35,0.9999737206617401
0,3,0.40,0.9998798700171949
0,3,0.45,0.9999819543577155
0,3,0.50,0.9999638949628589
0,3,0.55,0.9999597805183426
0,3,0.60,0.9999731285056953
0,3,0.65,0.9999612914950547
0,3,0.70,0.9999736511358915
0,3,0.75,0.9999828410914425
0,3,0.80,0.9999764874481202
0,3,0.85,0.9999881634328479
0,3,0.90,0.9999696473723404
0,3,0.95,0.9999864418805208
0,4,0.05,0.994474669299537
0,4,0.10,0.996900295092373
0,4,0.15,0.9988125480064046
0,4,0.20,0.99936610921994
0,4,0.25,0.9999654628248172
0,4,0.30,0.9999704005443945
0,4,0.35,0.9998130370223799
0,4,0.40,0.9999647766301766
0,4,0.45,0.9999628367245537
0,4,0.50,0.9999540616238674
0,4,0.55,0.9999773238031487
0,4,0.60,0.9999835404084646
0,4,0.65,0.9999744486088297
0,4,0.70,0.9999768104174404
0,4,0.75,0.9999817169454565
0,4,0.80,0.9999762086415288
0,4,0.85,0.9999771810898999
0,4,0.90,0.9999751982208388
0,4,0.95,0.9999710747320983
0,5,0.05,0.9803016574868151
0,5,0.10,0.9906651454749568
0,5,0.15,0.9980789779961692
0,5,0.20,0.999491278015427
0,5,0.25,0.999805874965199
0,5,0.30,0.9999292423776643
0,5,0.35,0.9997239817262236
0,5,0.40,0.9999637191855242
0,5,0.45,0.9999209290017244
0,5,0.50,0.999970295327083
0,5,0.55,0.999979671841651
0,5,0.60,0.9999573337791562
0,5,0.65,0.9999614104651479
0,5,0.70,0.9999767110740135
0,5,0.75,0.999972394130953
0,5,0.80,0.9999818266293594
0,5,0.85,0.9999752729125768
0,5,0.90,0.999980858981282
0,5,0.95,0.9999789852539683
0,6,0.05,0.9979564574139813
0,6,0.10,0.9987637734881191
0,6,0.15,0.9962111161380783
0,6,0.20,0.9989336220342677
0,6,0.25,0.9999179018132927
0,6,0.30,0.9985514905797254
0,6,0.35,0.9998995583051616
0,6,0.40,0.9997269595032527
0,6,0.45,0.9999400489023393
0,6,0.50,0.9998374515671045
0,6,0.55,0.9999725874183555
0,6,0.60,0.9999545076204434
0,6,0.65,0.9999749633415056
0,6,0.70,0.9999806541398653
0,6,0.75,0.9999687647760733
0,6,0.80,0.9999816072270559
0,6,0.85,0.9999752197672096
0,6,0.90,0.9999796273271787
0,6,0.95,0.9999783725899046
0,7,0.05,0.9977470814762945
0,7,0.10,0.9960647587136053
0,7,0.15,0.9981521890406089
0,7,0.20,0.9988010368009953
0,7,0.25,0.9999474597246382
0,7,0.30,0.9998729095461192
0,7,0.35,0.9999211467048885
0,7,0.40,0.9999451510020524
0,7,0.45,0.9999770067667983
0,7,0.50,0.9999582412921646
0,7,0.55,0.9999764144842926
0,7,0.60,0.9999790335997785
0,7,0.65,0.9999575927015775
0,7,0.70,0.9999744473401921
0,7,0.75,0.9999823517766644
0,7,0.80,0.999974172930044
0,7,0.85,0.9999789945586668
0,7,0.90,0.9999773021896142
0,7,0.95,0.9999702551839894
0,8,0.05,0.9792981986473187
0,8,0.10,0.9893668075535007
0,8,0.15,0.9978808296403286
0,8,0.20,0.9965289078967905
0,8,0.25,0.9999359136230266
