random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9985694907575136
0,0,0.10,0.9975977368217892
0,0,0.15,0.9994561597518498
0,0,0.20,0.9986455460764064
0,0,0.25,0.9999406470430663
0,0,0.30,0.9999533080584021
0,0,0.35,0.9999721990343925
0,0,0.40,0.9999591106163888
0,0,0.45,0.9999577095395331
0,0,0.50,0.9999603936493946
0,0,0.55,0.9999809245413952
0,0,0.60,0.9999615579984776
0,0,0.65,0.999941116968631
0,0,0.70,0.9999813952513805
0,0,0.75,0.9998814312230185
0,0,0.80,0.9999752257386334
0,0,0.85,0.9999750108202466
0,0,0.90,0.9999786129120218
0,0,0.95,0.9999829686295804
0,1,0.05,0.9885691326011471
0,1,0.10,0.9981268352271896
0,1,0.15,0.9992715490584643
0,1,0.20,0.9978492489742785
0,1,0.25,0.9997502473492994
0,1,0.30,0.9999549446502524
0,1,0.35,0.9999479948851563
0,1,0.40,0.9999627457329096
0,1,0.45,0.999960831750068
0,1,0.50,0.9999702050121045
0,1,0.55,0.9999686717230738
0,1,0.60,0.9999735205159644
0,1,0.65,0.9999729218695728
0,1,0.70,0.9999799610599809
0,1,0.75,0.999986916297046
0,1,0.80,0.9999755687536849
0,1,0.85,0.9999711494686455
0,1,0.90,0.9999678825049095
0,1,0.95,0.9999770740972633
0,2,0.05,0.9804313949369171
0,2,0.10,0.9967138981009911
0,2,0.15,0.9988232490963848
0,2,0.20,0.9995853529158758
0,2,0.25,0.9988091638037554
0,2,0.30,0.9998566756293964
0,2,0.35,0.9999560741265908
0,2,0.40,0.9999669931007528
0,2,0.45,0.9997840053399465
0,2,0.50,0.9998981262496608
0,2,0.55,0.9999675514674264
0,2,0.60,0.9999569866719025
0,2,0.65,0.9999681893261977
0,2,0.70,0.9999776531954031
0,2,0.75,0.9999776596840895
0,2,0.80,0.9999738588967986
0,2,0.85,0.9999698035534562
0,2,0.90,0.999971036085184
0,2,0.95,0.999967293307461
0,3,0.05,0.9899592256045778
0,3,0.10,0.9986403441426193
0,3,0.15,0.9988921951011861
0,3,0.20,0.9996491919779131
0,3,0.25,0.9999639953000851
0,3,0.30,0.9994969162570024
0,3,0.35,0.9999755437962091
0,3,0.40,0.9998720580236756
0,3,0.45,0.9998479915975592
0,3,0.50,0.9999161043990257
0,3,0.55,0.9998664699661076
0,3,0.60,0.9999727286252811
0,3,0.65,0.999979447752511
0,3,0.70,0.9999544219011165
0,3,0.75,0.9999735272739851
0,3,0.80,0.9999799278536902
0,3,0.85,0.9999816865327504
0,3,0.90,0.9999599720561062
0,3,0.95,0.9999743774702702
0,4,0.05,0.9944111141101977
0,4,0.10,0.998769510707194
0,4,0.15,0.9975699880810098
0,4,0.20,0.999741216632455
