random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8951634006885217
0,0,0.10,0.9169270915461083
0,0,0.15,0.9525144503863543
0,0,0.20,0.9523677635069
0,0,0.25,0.9565303605496576
0,0,0.30,0.9769345886772892
0,0,0.35,0.9820298377559133
0,0,0.40,0.9805603822681471
0,0,0.45,0.9800405299997256
0,0,0.50,0.9851795929247328
0,0,0.55,0.9827730274045703
0,0,0.60,0.9871341847762982
0,0,0.65,0.9866736258563065
0,0,0.70,0.9851653581956766
0,0,0.75,0.987870300125306
0,0,0.80,0.9865422529909369
0,0,0.85,0.988358770349214
0,0,0.90,0.9901704885183572
0,0,0.95,0.9872442789352659
0,1,0.05,0.8631575338467303
0,1,0.10,0.9340493244801684
0,1,0.15,0.9592403258664277
0,1,0.20,0.9788505269988007
0,1,0.25,0.9663192236591681
0,1,0.30,0.9774416002480671
0,1,0.35,0.9701240855653107
0,1,0.40,0.9801344052632429
0,1,0.45,0.9790127603801779
0,1,0.50,0.980990368674705
0,1,0.55,0.9888257846709276
0,1,0.60,0.9842198941730353
0,1,0.65,0.9839285840386034
0,1,0.70,0.9829941596032354
0,1,0.75,0.9882922653424975
0,1,0.80,0.9869206153052779
0,1,0.85,0.9892360116444879
0,1,0.90,0.9889800032503183
0,1,0.95,0.9872969297131496
0,2,0.05,0.8856077460315366
0,2,0.10,0.9346056168684911
0,2,0.15,0.9709594690796471
0,2,0.20,0.9693283019611714
0,2,0.25,0.9764601141333169
0,2,0.30,0.9800794911338695
0,2,0.35,0.968628211877552
0,2,0.40,0.9764054723068011
0,2,0.45,0.9867904554256905
0,2,0.50,0.9815036766478455
0,2,0.55,0.9854727387159005
0,2,0.60,0.9815468939691895
0,2,0.65,0.9847658010444805
0,2,0.70,0.9849476584546663
0,2,0.75,0.9861379701666935
0,2,0.80,0.9900704601536156
0,2,0.85,0.9902025646281404
0,2,0.90,0.9892987904860938
0,2,0.95,0.9899958377382818
0,3,0.05,0.7967538434188244
0,3,0.10,0.913250641843305
0,3,0.15,0.9597437996230813
0,3,0.20,0.9710127676164785
0,3,0.25,0.9756844526315559
0,3,0.30,0.9750869536671006
0,3,0.35,0.9757924064831307
0,3,0.40,0.9833874495906564
0,3,0.45,0.9830130600795423
0,3,0.50,0.9855410689730265
0,3,0.55,0.9836430258905674
0,3,0.60,0.9844011351963717
0,3,0.65,0.9817805196483594
0,3,0.70,0.9881659175040548
0,3,0.75,0.9866840460603208
0,3,0.80,0.9838926722291788
0,3,0.85,0.9896450063890252
0,3,0.90,0.9883201341821811
0,3,0.95,0.9882697297593391
0,4,0.05,0.9168327184872448
0,4,0.10,0.9526777268065699
0,4,0.15,0.9596805574566337
0,4,0.20,0.9690262268001314
0,4,0.25,0.9539858312241611
0,4,0.30,0.9708093939868441
0,4,0.35,0.9777105239412055
0,4,0.40,0.9729858385130511
0,4,0.45,0.9840782291572836
0,4,0.50,0.9829593325794005
0,4,0.55,0.9811079073149107
0,4,0.60,0.9797275415220543
0,4,0.65,0.988236808310373
0,4,0.70,0.9857761826711717
0,4,0.75,0.9859569053094461
0,4,0.80,0.9899195112351049
0,4,0.85,0.9878257821068639
0,4,0.90,0.9903485220876748
0,4,0.95,0.9889986817676104
0,5,0.05,0.7235490248008036
0,5,0.10,0.942736435414426
0,5,0.15,0.9733173403526904
0,5,0.20,0.957357531415806
0,5,0.25,0.9543640411827292
0,5,0.30,0.9714194343841466
0,5,0.35,0.9821040436054005
0,5,0.40,0.9818263548284488
0,5,0.45,0.9822198836675481
0,5,0.50,0.9885312961016307
0,5,0.55,0.9854811259306144
0,5,0.60,0.9855165554356601
0,5,0.65,0.9838799081063969
0,5,0.70,0.9848759509555728
0,5,0.75,0.9863330090604
0,5,0.80,0.9889900614269024
0,5,0.85,0.98743236819084
0,5,0.90,0.9897292062314534
0,5,0.95,0.989547733491789
0,6,0.05,0.8265930686319327
0,6,0.10,0.957315939819238
0,6,0.15,0.9536250476625111
