random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.3746647218038669
0,0,0.10,0.6681957392715114
0,0,0.15,0.6602901968190391
0,0,0.20,0.7658594049293352
0,0,0.25,0.8783418342553307
0,0,0.30,0.9589561866048748
0,0,0.35,0.887972018007717
0,0,0.40,0.9465473079194
0,0,0.45,0.9611984223887814
0,0,0.50,0.9383402657207789
0,0,0.55,0.9280333397626013
0,0,0.60,0.9702404645653012
0,0,0.65,0.9466441448860483
0,0,0.70,0.9780405745170955
0,0,0.75,0.9762510861253435
0,0,0.80,0.9885975996261251
0,0,0.85,0.9767828603163173
0,0,0.90,0.9846807497760555
0,0,0.95,0.9961537102528036
0,1,0.05,0.8108051755743212
0,1,0.10,0.7467750160425511
0,1,0.15,0.6543567739612666
0,1,0.20,0.7233401220763915
0,1,0.25,0.9292829294584325
0,1,0.30,0.9620038557967582
0,1,0.35,0.5951196061888328
0,1,0.40,0.897922106371682
0,1,0.45,0.9465657720812809
0,1,0.50,0.9814612945708566
0,1,0.55,0.9607110888642391
0,1,0.60,0.9787767553694664
0,1,0.65,0.9514091054818676
0,1,0.70,0.9795180694386407
0,1,0.75,0.9888766777403168
0,1,0.80,0.9856459415354903
0,1,0.85,0.9910491199618545
0,1,0.90,0.9934403737637656
0,1,0.95,0.9875263603371588
0,2,0.05,0.3861134371412325
0,2,0.10,0.8999560821919258
0,2,0.15,0.4998589276434203
0,2,0.20,0.8506217375095938
0,2,0.25,0.8718451163100005
0,2,0.30,0.9445113502335352
0,2,0.35,0.9641009972187186
0,2,0.40,0.9585731189400596
0,2,0.45,0.9078655187506799
0,2,0.50,0.9406191131043049
0,2,0.55,0.9887285738776631
0,2,0.60,0.9672491792569238
0,2,0.65,0.9819075137222198
0,2,0.70,0.9726762224394053
0,2,0.75,0.9887007886132235
0,2,0.80,0.9843072236110868
0,2,0.85,0.9841672990487839
0,2,0.90,0.9952647065333702
0,2,0.95,0.995327391222106
0,3,0.05,0.8351668885003658
0,3,0.10,0.8025017300805888
0,3,0.15,0.9069819075394204
0,3,0.20,0.9420435813994942
0,3,0.25,0.9153594492091479
0,3,0.30,0.9603707534055757
0,3,0.35,0.9454994566839555
0,3,0.40,0.9574351880434482
0,3,0.45,0.937004462667898
0,3,0.50,0.9674717018321669
0,3,0.55,0.968514126671569
0,3,0.60,0.9612172252441833
0,3,0.65,0.9841005394762026
0,3,0.70,0.9798735761542438
0,3,0.75,0.9879340657730998
0,3,0.80,0.9899641547412942
0,3,0.85,0.9926596923699799
0,3,0.90,0.9865984775799473
0,3,0.95,0.9939369029943618
0,4,0.05,0.7255577451036751
0,4,0.10,0.5988959056166718
0,4,0.15,0.9487656780647218
0,4,0.20,0.8251156191106424
0,4,0.25,0.9397802067161856
0,4,0.30,0.9227910379699759
0,4,0.35,0.9125633874897239
0,4,0.40,0.9558748123083786
0,4,0.45,0.9067874819711454
0,4,0.50,0.9467586575379215
0,4,0.55,0.9549554765148195
0,4,0.60,0.9815843452757492
0,4,0.65,0.9799558738060502
0,4,0.70,0.9799791598307889
0,4,0.75,0.9944727320140575
0,4,0.80,0.9925059243024261
