random_seed,split_seed,sample_ratio,r2
0,0,0.05,-4.0320329452376695
0,0,0.10,0.9291613871786046
0,0,0.15,0.6815917664717375
0,0,0.20,0.7792203237144292
0,0,0.25,0.9427728886112652
0,0,0.30,0.9627100672326264
0,0,0.35,0.9582226951071818
0,0,0.40,0.9674260244590305
0,0,0.45,0.9357590194774905
0,0,0.50,0.9762623019616327
0,0,0.55,0.9626416136986152
0,0,0.60,0.9609293524776075
0,0,0.65,0.9272281832844882
0,0,0.70,0.957292051339389
0,0,0.75,0.9876733371527572
0,0,0.80,0.9637770434497345
0,0,0.85,0.9725019773637268
0,0,0.90,0.9728976103473097
0,0,0.95,0.9680563650125096
0,1,0.05,-0.017005594528406
0,1,0.10,0.8797269525407245
0,1,0.15,0.5400435380216573
0,1,0.20,0.8579457295233529
0,1,0.25,0.9138420109406108
0,1,0.30,0.8569734463483315
0,1,0.35,0.7870118840128878
0,1,0.40,0.9512452829973804
0,1,0.45,0.8602629140183686
0,1,0.50,0.974525044604208
0,1,0.55,0.9546855785540207
0,1,0.60,0.9682668293996122
0,1,0.65,0.972048973184971
0,1,0.70,0.9297983579213549
0,1,0.75,0.9775931598961592
0,1,0.80,0.9793492676506108
0,1,0.85,0.9855519213040893
0,1,0.90,0.9721843453314154
0,1,0.95,0.9829931117995421
0,2,0.05,0.03462899599177538
0,2,0.10,0.7170589442504198
0,2,0.15,0.8361903326487408
0,2,0.20,0.9211973663688392
0,2,0.25,0.923998515469094
0,2,0.30,0.8973106657753788
0,2,0.35,0.9575597440523436
0,2,0.40,0.9605266282285106
0,2,0.45,0.9412713974009357
0,2,0.50,0.8990122648566641
0,2,0.55,0.964629785549541
0,2,0.60,0.9512566458727001
0,2,0.65,0.9775706046488917
0,2,0.70,0.9707657752057727
0,2,0.75,0.9529658833345234
0,2,0.80,0.9712325916021409
0,2,0.85,0.9661576331461045
0,2,0.90,0.9719717853816414
0,2,0.95,0.9854132384727396
0,3,0.05,0.22671644657200263
0,3,0.10,0.4873203850677742
0,3,0.15,0.8061302922233785
0,3,0.20,0.9323783655329424
0,3,0.25,0.8144117456331115
0,3,0.30,0.9558343130906071
0,3,0.35,0.9351728657263145
0,3,0.40,0.9441826470013863
0,3,0.45,0.9757929182481597
0,3,0.50,0.9579674021504504
0,3,0.55,0.9671951301345156
0,3,0.60,0.9678793133035215
0,3,0.65,0.9739614266124926
0,3,0.70,0.9532456450461582
0,3,0.75,0.9851763966805734
0,3,0.80,0.9704501202401937
0,3,0.85,0.9785337778468526
0,3,0.90,0.9769655990408319
0,3,0.95,0.9867890176585502
0,4,0.05,0.8645766650983657
0,4,0.10,0.383786818522464
0,4,0.15,0.6556521132015849
0,4,0.20,0.8731563088064551
0,4,0.25,0.8727202870334916
0,4,0.30,0.8949331109154507
0,4,0.35,0.9348603280068685
0,4,0.40,0.9520252274494874
0,4,0.45,0.9629830154217822
0,4,0.50,0.970303444190687
0,4,0.55,0.9767645194250816
0,4,0.60,0.9650116595437521
0,4,0.65,0.9754896049054858
0,4,0.70,0.9497769680813293
0,4,0.75,0.9749054737881663
0,4,0.80,0.9710206193381006
0,4,0.85,0.9563756609906258
0,4,0.90,0.9747965280809945
0,4,0.95,0.9880336288180218
0,5,0.05,0.31631147320039654
0,5,0.10,0.7515897316143461
0,5,0.15,0.9198744711824318
0,5,0.20,0.7746947057597123
0,5,0.25,0.9507943919992595
0,5,0.30,0.7345181920575821
0,5,0.35,0.9105893508634537
0,5,0.40,0.9454421617165955
0,5,0.45,0.9512476794428761
0,5,0.50,0.9379619143387756
0,5,0.55,0.9158889000883071
0,5,0.60,0.9737845255147859
0,5,0.65,0.977385993217414
0,5,0.70,0.9771978445315554
0,5,0.75,0.9688534509557922
0,5,0.80,0.9638774226173513
0,5,0.85,0.9629379859218141
0,5,0.90,0.957722874846111
0,5,0.95,0.9727023644220558
0,6,0.05,0.5438393329110051
0,6,0.10,0.31700482290793186
0,6,0.15,0.6590672948412035
0,6,0.20,0.8783212596050325
0,6,0.25,0.737335884649638
0,6,0.30,0.9400236909776429
0,6,0.35,0.9739940554549512
0,6,0.40,0.9803459927945162
0,6,0.45,0.9530816723581126
0,6,0.50,0.9746047560050802
0,6,0.55,0.9556454793537847
0,6,0.60,0.9441505146147587
0,6,0.65,0.9776803574569799
0,6,0.70,0.9526689552828979
0,6,0.75,0.9709599606072371
0,6,0.80,0.9433464637288184
0,6,0.85,0.9787801187605031
0,6,0.90,0.9797049143089814
0,6,0.95,0.9820725487401901
0,7,0.05,0.25477542137158793
0,7,0.10,-0.019975099074006186
0,7,0.15,0.5008592045627341
0,7,0.20,0.7552904462107395
0,7,0.25,0.8893963936914339
0,7,0.30,0.9552443365784467
0,7,0.35,0.9595162178685459
0,7,0.40,0.9381708997854084
0,7,0.45,0.9668458651966311
0,7,0.50,0.9563584375635266
0,7,0.55,0.9530184914123213
0,7,0.60,0.9677248681966018
0,7,0.65,0.9664118189294004
0,7,0.70,0.9601304538299106
0,7,0.75,0.9796973814716015
