random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.7970099361584924
0,0,0.10,0.957902812653293
0,0,0.15,0.985185825394602
0,0,0.20,0.9945592784157046
0,0,0.25,0.9772775858344268
0,0,0.30,0.9960988203769272
0,0,0.35,0.9977100498289702
0,0,0.40,0.9956955297837624
0,0,0.45,0.9869587257640311
0,0,0.50,0.9955092143644215
0,0,0.55,0.9973586294110438
0,0,0.60,0.9973605632177422
0,0,0.65,0.998583090059642
0,0,0.70,0.9979525900805035
0,0,0.75,0.9989711111773555
0,0,0.80,0.9987232442532228
0,0,0.85,0.9986035524609003
0,0,0.90,0.9983690761551866
0,0,0.95,0.9986235143723469
0,1,0.05,0.9834976329829578
0,1,0.10,0.9775666823228246
0,1,0.15,0.9840537137096543
0,1,0.20,0.992034316125401
0,1,0.25,0.9881792587553131
0,1,0.30,0.987759652563252
0,1,0.35,0.9971531349684106
0,1,0.40,0.997465115988654
0,1,0.45,0.9979367552956362
0,1,0.50,0.9962972015336872
0,1,0.55,0.9985504893536462
0,1,0.60,0.9947004081913042
0,1,0.65,0.9972906635324255
0,1,0.70,0.9988590530858676
0,1,0.75,0.9977243167419889
0,1,0.80,0.9988392429383183
0,1,0.85,0.9992685524298915
0,1,0.90,0.9986338639205792
0,1,0.95,0.9988883758668121
0,2,0.05,0.8835486519587742
0,2,0.10,0.9938422567837856
0,2,0.15,0.9975916358269328
0,2,0.20,0.9878988899126216
0,2,0.25,0.9962566016404525
0,2,0.30,0.9974126094436648
0,2,0.35,0.9978795313385268
0,2,0.40,0.9950232025442489
0,2,0.45,0.9980864280546413
0,2,0.50,0.9980462652800957
0,2,0.55,0.9975145571355236
0,2,0.60,0.9984868587786312
0,2,0.65,0.9975993375314935
0,2,0.70,0.9984324515254783
0,2,0.75,0.9971098386608039
0,2,0.80,0.9980424608264935
0,2,0.85,0.9985786129172218
0,2,0.90,0.9989419173026445
0,2,0.95,0.9980674804453179
0,3,0.05,0.627721923895052
0,3,0.10,0.9551553399679299
0,3,0.15,0.9969859518781671
0,3,0.20,0.9862320630415395
0,3,0.25,0.9946586788102845
0,3,0.30,0.9964807060952423
0,3,0.35,0.9952278689837976
0,3,0.40,0.997534652412958
0,3,0.45,0.9959448425707149
0,3,0.50,0.9967546883860019
0,3,0.55,0.9990111018985218
0,3,0.60,0.9985318352396093
0,3,0.65,0.9962616479181003
0,3,0.70,0.999392042352898
0,3,0.75,0.9985928522984543
0,3,0.80,0.9977883574093492
0,3,0.85,0.9984866776976775
0,3,0.90,0.9983774059716676
0,3,0.95,0.9988036480380391
0,4,0.05,0.9784591939873083
0,4,0.10,0.9982570038513607
0,4,0.15,0.9770537163680245
0,4,0.20,0.9961949296464544
0,4,0.25,0.9959609924535676
0,4,0.30,0.9918745483189757
0,4,0.35,0.9967369922330955
0,4,0.40,0.9976656385720026
0,4,0.45,0.9960785453898953
0,4,0.50,0.9950771553183466
0,4,0.55,0.9981992102278968
0,4,0.60,0.9981540375312989
0,4,0.65,0.9980597812057431
0,4,0.70,0.9976940745416708
0,4,0.75,0.9983237997013479
0,4,0.80,0.9978476739746439
0,4,0.85,0.9985788359167566
0,4,0.90,0.9980304460636942
0,4,0.95,0.9979106712591821
0,5,0.05,0.948011493561792
0,5,0.10,0.9970626566143369
0,5,0.15,0.9798621560197848
0,5,0.20,0.9934113939321219
