random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9369383267529697
0,0,0.10,0.9928184789298523
0,0,0.15,0.9831939021116428
0,0,0.20,0.9929721248498926
0,0,0.25,0.9905859121725462
0,0,0.30,0.9971567370257464
0,0,0.35,0.9979551593108712
0,0,0.40,0.9923240166840691
0,0,0.45,0.9970385950268483
0,0,0.50,0.9983927974776253
0,0,0.55,0.9985376065860243
0,0,0.60,0.9982707184836368
0,0,0.65,0.9980560969286131
0,0,0.70,0.9982373282705734
0,0,0.75,0.9979555628795393
0,0,0.80,0.9990369162929171
0,0,0.85,0.9981602772203849
0,0,0.90,0.9981910913888516
0,0,0.95,0.9989783242114916
0,1,0.05,0.9346987778933373
0,1,0.10,0.9926886625438456
0,1,0.15,0.9807551783288952
0,1,0.20,0.9631902442706155
0,1,0.25,0.9942930879778891
0,1,0.30,0.9944263787817931
0,1,0.35,0.9973629692645051
0,1,0.40,0.9982895043656402
0,1,0.45,0.998131873253129
0,1,0.50,0.9975388482493482
0,1,0.55,0.9973216323434173
0,1,0.60,0.9980228820358908
0,1,0.65,0.9982786530084025
0,1,0.70,0.9975485627459572
0,1,0.75,0.9985791512891498
0,1,0.80,0.9983647631827898
0,1,0.85,0.9986516689049274
0,1,0.90,0.9977149461697477
0,1,0.95,0.9981899723288341
0,2,0.05,0.9624387021238635
0,2,0.10,0.8832011238304094
0,2,0.15,0.976105291414733
0,2,0.20,0.9967392400850791
0,2,0.25,0.9877240940725861
0,2,0.30,0.9961301753532271
0,2,0.35,0.9968299380816891
0,2,0.40,0.9979392746780171
0,2,0.45,0.9972504603661632
0,2,0.50,0.9971228523085824
0,2,0.55,0.997427445429716
0,2,0.60,0.9977356551030301
0,2,0.65,0.9987641231741342
0,2,0.70,0.997703111436616
0,2,0.75,0.9988025771171185
0,2,0.80,0.9980002476549463
0,2,0.85,0.9975208264700558
0,2,0.90,0.9989407231533711
0,2,0.95,0.9984972545995406
0,3,0.05,0.7472586996278607
0,3,0.10,0.9550343296451038
0,3,0.15,0.9717128757111951
0,3,0.20,0.9904767071414109
0,3,0.25,0.9980279941904068
0,3,0.30,0.9637725548940177
0,3,0.35,0.9951162800158114
0,3,0.40,0.9979913759958013
0,3,0.45,0.9962715863025859
0,3,0.50,0.9982402576054173
0,3,0.55,0.9968243796860995
0,3,0.60,0.9981902793824032
0,3,0.65,0.997357170538717
0,3,0.70,0.9982082950623715
0,3,0.75,0.9985787209676309
0,3,0.80,0.9979046932092365
0,3,0.85,0.9981272444444144
0,3,0.90,0.9990059045761401
0,3,0.95,0.998770683304635
0,4,0.05,0.9984258634283607
0,4,0.10,0.8686132744564118
0,4,0.15,0.9888853623449725
0,4,0.20,0.9708432266691492
0,4,0.25,0.9975634949147587
0,4,0.30,0.9955096927842733
0,4,0.35,0.9959422680078311
0,4,0.40,0.9969481533173167
0,4,0.45,0.9968578717194226
0,4,0.50,0.9974252201867354
0,4,0.55,0.9963267286631823
0,4,0.60,0.9985261321771725
0,4,0.65,0.9981080049415699
0,4,0.70,0.9980295397132464
0,4,0.75,0.9986900772790447
0,4,0.80,0.9983440544013559
0,4,0.85,0.9990414661763289
0,4,0.90,0.9985562292831374
0,4,0.95,0.9989759380533512
0,5,0.05,0.972101117011592
0,5,0.10,0.9831341654700102
0,5,0.15,0.9945310263201562
0,5,0.20,0.9938835848679659
0,5,0.25,0.9749488014850091
0,5,0.30,0.9954574127089824
0,5,0.35,0.9981233757069697
0,5,0.40,0.9980140556012699
0,5,0.45,0.998086972011435
0,5,0.50,0.9986454361288944
0,5,0.55,0.997431846759337
0,5,0.60,0.9982539496700554
0,5,0.65,0.9984191326721493
0,5,0.70,0.9982019181933935
0,5,0.75,0.9984232960676369
0,5,0.80,0.9986965239083779
0,5,0.85,0.9984992254607525
0,5,0.90,0.9981909704375117
0,5,0.95,0.9986440000941196
0,6,0.05,0.9595603760752387
0,6,0.10,0.9219854313417163
0,6,0.15,0.9891565738463726
0,6,0.20,0.9863001876541624
0,6,0.25,0.9730466858062378
0,6,0.30,0.9892170093457355
0,6,0.35,0.9933367802882093
0,6,0.40,0.9953044814394526
0,6,0.45,0.9985187986053672
0,6,0.50,0.9979679983739087
0,6,0.55,0.9981264541766819
0,6,0.60,0.9971977100136549
0,6,0.65,0.9981894756087971
0,6,0.70,0.9979601523645569
0,6,0.75,0.9983872969549962
0,6,0.80,0.9974577856550078
0,6,0.85,0.9989948624152605
0,6,0.90,0.9986784853912305
0,6,0.95,0.9985643553955966
0,7,0.05,0.986951277813714
0,7,0.10,0.9709291189343446
0,7,0.15,0.9786288819345116
0,7,0.20,0.9955451280373572
0,7,0.25,0.9948556869560544
0,7,0.30,0.9968869096823924
0,7,0.35,0.9897065854471677
0,7,0.40,0.9982404919620419
0,7,0.45,0.9968081844968905
0,7,0.50,0.9972476313342253
0,7,0.55,0.9978608378795757
0,7,0.60,0.9984146998278854
0,7,0.65,0.9983959461373445
0,7,0.70,0.9980811616260228
0,7,0.75,0.9983505350431593
0,7,0.80,0.9988359073616043
0,7,0.85,0.9979348651051326
0,7,0.90,0.998325714326838
0,7,0.95,0.9989894346223186
0,8,0.05,0.960267984182315
0,8,0.10,0.9533373447960164
0,8,0.15,0.990515402798066
0,8,0.20,0.9911458655538055
0,8,0.25,0.9777954140661925
0,8,0.30,0.9951187231160998
0,8,0.35,0.9920247371823179
0,8,0.40,0.9976985949398438
0,8,0.45,0.9964643364803084
0,8,0.50,0.9960757932510088
0,8,0.55,0.9980096719173409
0,8,0.60,0.997377735164443
0,8,0.65,0.9982995067137203
0,8,0.70,0.9982188343752022
0,8,0.75,0.9986561126299971
0,8,0.80,0.9985441312656879
0,8,0.85,0.9989097283394175
0,8,0.90,0.9986712111896274
0,8,0.95,0.998559478924561
0,9,0.05,0.9785718547533777
0,9,0.10,0.982606817534992
0,9,0.15,0.9770194863375022
0,9,0.20,0.9906217779326857
0,9,0.25,0.997411751294488
0,9,0.30,0.9933300042659278
0,9,0.35,0.9967492380603001
0,9,0.40,0.9972682431171865
0,9,0.45,0.9976113870015497
0,9,0.50,0.9967827248841772
0,9,0.55,0.9975433562372126
0,9,0.60,0.9971620662445871
0,9,0.65,0.9967013401131478
0,9,0.70,0.9974670496093293
0,9,0.75,0.9979516287590212
0,9,0.80,0.9984754346767085
0,9,0.85,0.9993174321779253
