random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.4036590491589147
0,0,0.10,0.7041142360123932
0,0,0.15,0.8639295452375948
0,0,0.20,0.9774005846400327
0,0,0.25,0.8391504429645988
0,0,0.30,0.9835782254599709
0,0,0.35,0.9821452951509138
0,0,0.40,0.9953676914403943
0,0,0.45,0.9912902912649206
0,0,0.50,0.994632278545558
0,0,0.55,0.9872837275207145
0,0,0.60,0.9965956634835437
0,0,0.65,0.9987287851456206
0,0,0.70,0.9951289716719338
0,0,0.75,0.9988083797030219
0,0,0.80,0.998397395618881
0,0,0.85,0.9972000179162215
0,0,0.90,0.9987042402710132
0,0,0.95,0.9966039249049636
0,1,0.05,0.5703815455486365
0,1,0.10,0.9243787398039667
0,1,0.15,0.7818895288130044
0,1,0.20,0.7639607908877151
0,1,0.25,0.9277493256739757
0,1,0.30,0.9647828277109198
0,1,0.35,0.9710112433651409
0,1,0.40,0.963166346352083
0,1,0.45,0.9756914708479768
0,1,0.50,0.9864630111810095
0,1,0.55,0.9925639796003844
0,1,0.60,0.9947466906040926
0,1,0.65,0.9937925056914022
0,1,0.70,0.9938404904682526
0,1,0.75,0.9983618901576853
0,1,0.80,0.9970508287992411
0,1,0.85,0.9975529549851978
0,1,0.90,0.9986501381874188
0,1,0.95,0.998141255708312
0,2,0.05,0.08633229290426592
0,2,0.10,0.862135958850371
0,2,0.15,0.7388941651244718
0,2,0.20,0.9446160297493499
0,2,0.25,0.9705234096910189
0,2,0.30,0.8774005049923488
0,2,0.35,0.9885061449734569
0,2,0.40,0.983247651691103
0,2,0.45,0.9832379520136003
0,2,0.50,0.9963488191776534
0,2,0.55,0.9891341967099657
0,2,0.60,0.9912813869628718
0,2,0.65,0.9969344117575338
0,2,0.70,0.9962465303353393
0,2,0.75,0.999089675463196
0,2,0.80,0.9987310234227995
0,2,0.85,0.9986969110948382
0,2,0.90,0.9975963852074352
0,2,0.95,0.9980354085583737
0,3,0.05,-1.0319435636064385
0,3,0.10,0.8100776323665204
0,3,0.15,0.6003106413143986
0,3,0.20,0.9023471076102095
