random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8331888740714164
0,0,0.10,0.9793911749262163
0,0,0.15,0.9728623968863951
0,0,0.20,0.9969331285109729
0,0,0.25,0.9895725509662705
0,0,0.30,0.9896169548759622
0,0,0.35,0.9981615564807892
0,0,0.40,0.9945996320182697
0,0,0.45,0.9979229412354544
0,0,0.50,0.9975495865930414
0,0,0.55,0.997521053210517
0,0,0.60,0.9973699937765964
0,0,0.65,0.9978180138364887
0,0,0.70,0.998338870063188
0,0,0.75,0.9983373402241108
0,0,0.80,0.998491187064901
0,0,0.85,0.9976270748997553
0,0,0.90,0.9984964571605113
0,0,0.95,0.99821443060766
0,1,0.05,0.975587943222467
0,1,0.10,0.9859358856893182
0,1,0.15,0.9932475271373374
0,1,0.20,0.9753098177066938
0,1,0.25,0.9926167359280754
0,1,0.30,0.9946326134177247
0,1,0.35,0.9987096764620881
0,1,0.40,0.9920264387653873
0,1,0.45,0.9944385268377554
0,1,0.50,0.9973256327743243
0,1,0.55,0.9964312262974986
0,1,0.60,0.9973051488814321
0,1,0.65,0.9975258393728579
0,1,0.70,0.997289783227538
0,1,0.75,0.9978902533885514
0,1,0.80,0.9979391108242357
0,1,0.85,0.9972522062933256
0,1,0.90,0.9987245470155104
0,1,0.95,0.9980054969618369
0,2,0.05,0.9790902602103986
0,2,0.10,0.9482925779134785
0,2,0.15,0.9896258018356411
0,2,0.20,0.9944845648190025
0,2,0.25,0.9907931402678124
0,2,0.30,0.9923289015456936
0,2,0.35,0.9947604324907466
0,2,0.40,0.9957336882536222
0,2,0.45,0.9958266230409634
0,2,0.50,0.9892181416293037
0,2,0.55,0.9970509993037533
0,2,0.60,0.9982945336151291
0,2,0.65,0.9973163973079779
0,2,0.70,0.9972318391575723
0,2,0.75,0.9971729688032201
0,2,0.80,0.9987074886534076
0,2,0.85,0.997895004822274
0,2,0.90,0.9979425962455172
0,2,0.95,0.9985593823557118
0,3,0.05,0.8312377274118695
0,3,0.10,0.9714823079990731
0,3,0.15,0.9888100283768915
0,3,0.20,0.9866482382085643
0,3,0.25,0.9918876494001383
0,3,0.30,0.9938440240078746
0,3,0.35,0.9981698976927842
0,3,0.40,0.9953744145415443
0,3,0.45,0.9958725931645851
0,3,0.50,0.9979143374356807
0,3,0.55,0.997541229663103
0,3,0.60,0.9981388026627309
0,3,0.65,0.9985351156536577
0,3,0.70,0.9970677284615621
0,3,0.75,0.9981162042341385
0,3,0.80,0.9978324414415355
0,3,0.85,0.9983005508854357
0,3,0.90,0.9977410579145864
0,3,0.95,0.9972900558292225
0,4,0.05,0.7716856571159529
0,4,0.10,0.9535309302011902
0,4,0.15,0.992651545542422
0,4,0.20,0.997256708074541
