random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9894978173595629
0,0,0.10,0.9936886796537676
0,0,0.15,0.9977010062462701
0,0,0.20,0.9975137200684583
0,0,0.25,0.9976727210463779
0,0,0.30,0.9974762887262811
0,0,0.35,0.9976295520760544
0,0,0.40,0.9980876982969729
0,0,0.45,0.9975663624974092
0,0,0.50,0.9971519196014146
0,0,0.55,0.9980337572609493
0,0,0.60,0.9981519255547501
0,0,0.65,0.9983796988662942
0,0,0.70,0.9981311074724859
0,0,0.75,0.9986933299716904
0,0,0.80,0.9986077902066216
0,0,0.85,0.9985823575302238
0,0,0.90,0.9985591781078033
0,0,0.95,0.9982657272600478
0,1,0.05,0.9894706087044137
0,1,0.10,0.9930897266579969
0,1,0.15,0.9980864663125468
0,1,0.20,0.9975865926245531
0,1,0.25,0.9978181206525072
0,1,0.30,0.9979334941991748
0,1,0.35,0.9979345287440319
0,1,0.40,0.9977047996616695
0,1,0.45,0.9977909205316735
0,1,0.50,0.9983197540683715
0,1,0.55,0.9979579821478259
0,1,0.60,0.9987442006575242
0,1,0.65,0.9980355767885026
0,1,0.70,0.997998511597404
0,1,0.75,0.9984206198203538
0,1,0.80,0.9985989025780145
0,1,0.85,0.9983758681031026
0,1,0.90,0.9988378870162254
0,1,0.95,0.9985514494823512
0,2,0.05,0.9921842427675519
0,2,0.10,0.9944450579692249
0,2,0.15,0.9970199480771494
0,2,0.20,0.9978862023468102
0,2,0.25,0.9975527159999016
0,2,0.30,0.9976783071469074
0,2,0.35,0.9970679705925892
0,2,0.40,0.9975993113598568
0,2,0.45,0.9981273463620418
0,2,0.50,0.9983797398024477
0,2,0.55,0.9986500224664792
0,2,0.60,0.9980660737462832
0,2,0.65,0.9982318542918073
0,2,0.70,0.9983371185039807
0,2,0.75,0.9983432788365193
0,2,0.80,0.9981439584416496
0,2,0.85,0.9980778098145722
0,2,0.90,0.9985801045022757
0,2,0.95,0.9985834202729721
0,3,0.05,0.9912083898054115
0,3,0.10,0.9940550875367857
0,3,0.15,0.9973224652740563
0,3,0.20,0.9969628243941365
0,3,0.25,0.9980592566998034
0,3,0.30,0.9974395938993197
0,3,0.35,0.9980096175438882
0,3,0.40,0.9976731880667662
0,3,0.45,0.9981484256635041
0,3,0.50,0.9979921336133706
0,3,0.55,0.99803952378996
0,3,0.60,0.9984868515855412
0,3,0.65,0.9984421515480413
0,3,0.70,0.9980460258686787
0,3,0.75,0.998505297398423
0,3,0.80,0.9985479699417341
0,3,0.85,0.9981178906227737
0,3,0.90,0.9988043049462237
0,3,0.95,0.9983259071037982
0,4,0.05,0.9855169841773495
0,4,0.10,0.9935515768692186
0,4,0.15,0.9969967665131858
0,4,0.20,0.9979954794869962
0,4,0.25,0.9977316116743726
0,4,0.30,0.9978523758517872
0,4,0.35,0.9979342299018242
0,4,0.40,0.9978559972939651
0,4,0.45,0.9982204016476467
0,4,0.50,0.9980466194331346
0,4,0.55,0.998601529893796
0,4,0.60,0.9983400825447073
0,4,0.65,0.9986578075194504
0,4,0.70,0.998481034501015
0,4,0.75,0.9984490267182801
0,4,0.80,0.9981626600854394
0,4,0.85,0.9982537064932395
0,4,0.90,0.9985257837030516
0,4,0.95,0.9986975294318469
0,5,0.05,0.9866944679038943
0,5,0.10,0.9974331578803717
0,5,0.15,0.9981969580097865
0,5,0.20,0.9986311448442207
0,5,0.25,0.9969180215414235
0,5,0.30,0.9978547471799686
0,5,0.35,0.9973456980921461
0,5,0.40,0.997775160346556
0,5,0.45,0.9979661514927961
0,5,0.50,0.9980821944228321
0,5,0.55,0.9982121859808845
0,5,0.60,0.9984668430708383
0,5,0.65,0.9985074969409209
0,5,0.70,0.9984284564074173
0,5,0.75,0.9982156039118407
0,5,0.80,0.9984248287185632
0,5,0.85,0.9983483482459102
0,5,0.90,0.9983852590272078
0,5,0.95,0.9983823068497584
0,6,0.05,0.9911348550601659
0,6,0.10,0.9951360808359703
0,6,0.15,0.9974069553766389
0,6,0.20,0.9975894058192935
0,6,0.25,0.9979472065421766
