random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9848754019669029
0,0,0.10,0.9957964307479527
0,0,0.15,0.9960546705161049
0,0,0.20,0.9973903885455352
0,0,0.25,0.9982298932537725
0,0,0.30,0.9975365785207347
0,0,0.35,0.9976342877167651
0,0,0.40,0.9978042960297316
0,0,0.45,0.9983326079344558
0,0,0.50,0.9983357178829547
0,0,0.55,0.9987370192792876
0,0,0.60,0.9988717309231396
0,0,0.65,0.9985724186936689
0,0,0.70,0.9986613823570273
0,0,0.75,0.9986726477686384
0,0,0.80,0.9986652025916546
0,0,0.85,0.9986603225881215
0,0,0.90,0.9987281632278284
0,0,0.95,0.9985592575058512
0,1,0.05,0.9944148378472997
0,1,0.10,0.9955734063468482
0,1,0.15,0.9966951462882454
0,1,0.20,0.9970818227101758
0,1,0.25,0.9982891372579663
0,1,0.30,0.9971873868680391
0,1,0.35,0.9976638397407369
0,1,0.40,0.9980278148993899
0,1,0.45,0.9983759543243014
0,1,0.50,0.9979952706421021
0,1,0.55,0.9987039722399005
0,1,0.60,0.9983696936711611
0,1,0.65,0.998518953867145
0,1,0.70,0.9983511848708904
0,1,0.75,0.998781580540787
0,1,0.80,0.9986122453829999
0,1,0.85,0.9986817135099603
0,1,0.90,0.9986958803973172
0,1,0.95,0.9985451906002822
0,2,0.05,0.9852380205080213
0,2,0.10,0.9938046104855308
0,2,0.15,0.9945155187998275
0,2,0.20,0.9962721002323935
0,2,0.25,0.9961843387018439
0,2,0.30,0.9973357968981212
0,2,0.35,0.9978675191831887
0,2,0.40,0.9976842760860604
0,2,0.45,0.998474859929037
0,2,0.50,0.9987629526714344
0,2,0.55,0.9985573355627473
0,2,0.60,0.9984661952417804
0,2,0.65,0.9984970835885847
0,2,0.70,0.9986530123998053
0,2,0.75,0.9984894460078764
0,2,0.80,0.9983868685211266
0,2,0.85,0.9988137171841485
0,2,0.90,0.9985347386920516
0,2,0.95,0.9983638414545996
0,3,0.05,0.9836512103778396
0,3,0.10,0.9949511807374757
0,3,0.15,0.9955135451330274
0,3,0.20,0.9962441120066048
0,3,0.25,0.9975516572089241
0,3,0.30,0.9980989708558322
0,3,0.35,0.9980813812921422
0,3,0.40,0.9979231172653626
0,3,0.45,0.9981662534204007
0,3,0.50,0.9984242696480451
0,3,0.55,0.9977688218814176
0,3,0.60,0.998566019042015
0,3,0.65,0.9983272448357877
0,3,0.70,0.9980628326247033
0,3,0.75,0.9981631302049271
0,3,0.80,0.9985969641415096
0,3,0.85,0.9986176802605093
0,3,0.90,0.998717479057006
0,3,0.95,0.9984775182234557
0,4,0.05,0.9789991410042015
0,4,0.10,0.9950483430407191
0,4,0.15,0.9958018621505227
0,4,0.20,0.9962413587626456
0,4,0.25,0.997334969267406
0,4,0.30,0.997925058365305
0,4,0.35,0.9975474612856405
0,4,0.40,0.9979028073401737
0,4,0.45,0.9982837283320721
0,4,0.50,0.9987541689860071
0,4,0.55,0.9982393346264715
0,4,0.60,0.9985755946936978
0,4,0.65,0.9980776490107176
0,4,0.70,0.9985220308505335
0,4,0.75,0.9979541664950493
0,4,0.80,0.9982027202484213
0,4,0.85,0.9980403083782134
0,4,0.90,0.9982986667054573
0,4,0.95,0.9986511754380859
0,5,0.05,0.9846824303896642
0,5,0.10,0.9938101419627231
0,5,0.15,0.9960399961564205
0,5,0.20,0.9980094141259581
0,5,0.25,0.9979430157938357
0,5,0.30,0.9978731232362404
0,5,0.35,0.9979821565337088
0,5,0.40,0.9976588254481719
0,5,0.45,0.9984106549726456
0,5,0.50,0.9979767740996486
0,5,0.55,0.998301733870685
0,5,0.60,0.9985701251854783
0,5,0.65,0.9985732999017642
0,5,0.70,0.9983592563634522
0,5,0.75,0.9982716637538291
0,5,0.80,0.9987281330781397
0,5,0.85,0.9985294454280885
0,5,0.90,0.9984315818731794
0,5,0.95,0.9983614114148152
0,6,0.05,0.9839727447815131
0,6,0.10,0.9954945102488709
0,6,0.15,0.9930840237040052
0,6,0.20,0.9972394109098288
0,6,0.25,0.9979951900960027
0,6,0.30,0.9982803438080016
0,6,0.35,0.9972112705617079
0,6,0.40,0.9984039495431957
0,6,0.45,0.9981468836761271
0,6,0.50,0.9983838276133196
0,6,0.55,0.9987522197807863
0,6,0.60,0.9988221226941121
0,6,0.65,0.9981831493028278
0,6,0.70,0.9981617487962369
0,6,0.75,0.9986053151116093
0,6,0.80,0.9983537016229803
0,6,0.85,0.998353917009749
0,6,0.90,0.9985151040999029
0,6,0.95,0.998673904909452
0,7,0.05,0.9874747350224737
0,7,0.10,0.9951878246250331
0,7,0.15,0.9955190302351852
0,7,0.20,0.9975186787588639
0,7,0.25,0.9963673583880862
0,7,0.30,0.9974387171833402
0,7,0.35,0.9983046597382875
0,7,0.40,0.9978396564569986
0,7,0.45,0.9984610732927617
0,7,0.50,0.998700232161695
0,7,0.55,0.9983686922422121
0,7,0.60,0.9985163137900285
0,7,0.65,0.9985439867501106
0,7,0.70,0.9984716484062077
0,7,0.75,0.9983761013489184
0,7,0.80,0.9984401907613542
0,7,0.85,0.998482371635102
0,7,0.90,0.998415181495763
0,7,0.95,0.9985167101230842
0,8,0.05,0.9897344855734943
0,8,0.10,0.9960410080766964
0,8,0.15,0.996652609499774
0,8,0.20,0.9972958277721004
0,8,0.25,0.9971535123589969
0,8,0.30,0.9975524084445634
0,8,0.35,0.997635837283986
0,8,0.40,0.9984652363303943
0,8,0.45,0.9981484294380695
0,8,0.50,0.9985336128608137
0,8,0.55,0.998423168916012
0,8,0.60,0.9985982032040163
0,8,0.65,0.9987131144421392
0,8,0.70,0.998558754584024
0,8,0.75,0.9986377018179439
0,8,0.80,0.998435793384211
0,8,0.85,0.9984232364647762
0,8,0.90,0.998572789256014
0,8,0.95,0.9984059199363001
0,9,0.05,0.9626746699352053
0,9,0.10,0.9918550223968219
0,9,0.15,0.9972760484437038
0,9,0.20,0.9973630371779042
0,9,0.25,0.9970536416418782
0,9,0.30,0.9977182727726476
0,9,0.35,0.9979074259383618
0,9,0.40,0.9983457731562889
0,9,0.45,0.9975411331438443
0,9,0.50,0.9983914469405609
0,9,0.55,0.9985581171255903
0,9,0.60,0.9984355858319414
0,9,0.65,0.9987282755875697
0,9,0.70,0.9984814358274526
0,9,0.75,0.998254140197275
0,9,0.80,0.9985647818175238
0,9,0.85,0.9982482205311838
0,9,0.90,0.998701222886331
0,9,0.95,0.9987097088613568
1,0,0.05,0.9849004828763026
1,0,0.10,0.9965124033127338
1,0,0.15,0.9966428877530292
1,0,0.20,0.9972416818061862
1,0,0.25,0.9972294764115571
1,0,0.30,0.9984747108295432
1,0,0.35,0.9980376782220024
1,0,0.40,0.997953012140956
1,0,0.45,0.9977551609842028
1,0,0.50,0.998220172857442
1,0,0.55,0.9979848120692002
1,0,0.60,0.9986073737577059
1,0,0.65,0.9984199229632105
1,0,0.70,0.9985613498474308
1,0,0.75,0.9979382264849006
1,0,0.80,0.9986785787607314
1,0,0.85,0.9985170171284384
1,0,0.90,0.9986633002229153
1,0,0.95,0.9985358922856665
1,1,0.05,0.9940305139964197
1,1,0.10,0.9955533499658001
1,1,0.15,0.9968691740277018
1,1,0.20,0.9970086617447633
1,1,0.25,0.9976800676345922
1,1,0.30,0.9981796661694659
1,1,0.35,0.9980718969905407
1,1,0.40,0.9977876786534106
1,1,0.45,0.997805099448182
1,1,0.50,0.9979608484982884
1,1,0.55,0.9979346877527
1,1,0.60,0.9983199759517902
1,1,0.65,0.9985478949412108
1,1,0.70,0.9981903467550703
1,1,0.75,0.9986192069283214
1,1,0.80,0.9982135918688286
1,1,0.85,0.9985540378702894
1,1,0.90,0.9984335860416854
1,1,0.95,0.9983280304371007
1,2,0.05,0.9960592101946558
1,2,0.10,0.9966979323292626
1,2,0.15,0.9976093364724818
1,2,0.20,0.9976365877188059
1,2,0.25,0.9981114076466053
1,2,0.30,0.9977464892930442
1,2,0.35,0.9973921506993811
1,2,0.40,0.9981050473221033
1,2,0.45,0.9977504838658778
1,2,0.50,0.9980921751922732
1,2,0.55,0.997881671193842
1,2,0.60,0.9983601281489464
1,2,0.65,0.9982503561982059
1,2,0.70,0.9982128708574636
1,2,0.75,0.9980383464690858
1,2,0.80,0.9981218006153879
1,2,0.85,0.9985529894160433
1,2,0.90,0.9983667246894732
1,2,0.95,0.9984132063322304
1,3,0.05,0.9899989052226614
1,3,0.10,0.9961224271872517
1,3,0.15,0.9972836087780369
1,3,0.20,0.9977461097001017
1,3,0.25,0.9977349976499901
1,3,0.30,0.9977165087363293
1,3,0.35,0.9982333278149758
1,3,0.40,0.9986553935061554
1,3,0.45,0.9985352206176269
1,3,0.50,0.9974020982654146
1,3,0.55,0.9983781447016955
1,3,0.60,0.9983490525005381
1,3,0.65,0.9985491895470487
1,3,0.70,0.9983456932427531
1,3,0.75,0.9983766563758735
1,3,0.80,0.9985799333581613
1,3,0.85,0.9984989853959236
1,3,0.90,0.9984779223545048
1,3,0.95,0.998543007182639
1,4,0.05,0.990800597547027
1,4,0.10,0.9955057900131499
1,4,0.15,0.9975496965835667
1,4,0.20,0.9979764838003669
1,4,0.25,0.9977672442768452
1,4,0.30,0.9980114506424735
1,4,0.35,0.9981019934208375
1,4,0.40,0.9975536382278278
1,4,0.45,0.9982213019265407
1,4,0.50,0.9973882734425428
1,4,0.55,0.9980659340218601
1,4,0.60,0.9980254951822863
1,4,0.65,0.9985092767606762
1,4,0.70,0.9981724206646787
1,4,0.75,0.998417605935613
1,4,0.80,0.9986141292819832
1,4,0.85,0.9981591174098488
1,4,0.90,0.9983026703489553
1,4,0.95,0.9984659862441095
1,5,0.05,0.9864827671186969
1,5,0.10,0.997567144704994
1,5,0.15,0.9968606378652448
1,5,0.20,0.996497414859432
1,5,0.25,0.998034536833243
1,5,0.30,0.9980930396550175
1,5,0.35,0.9974299867446897
1,5,0.40,0.9979674602413394
1,5,0.45,0.9986892521123769
1,5,0.50,0.9982308048131447
1,5,0.55,0.9981240601333834
1,5,0.60,0.9981535831898403
1,5,0.65,0.9985276394373891
1,5,0.70,0.9981399286219598
1,5,0.75,0.9982924339668477
1,5,0.80,0.998485661243696
1,5,0.85,0.9985204003165371
1,5,0.90,0.998262700863028
1,5,0.95,0.9987709396429492
1,6,0.05,0.9881938453178125
1,6,0.10,0.9960843942231614
1,6,0.15,0.9977724359116493
1,6,0.20,0.9962858114051426
1,6,0.25,0.996932828458263
1,6,0.30,0.9972371195170572
1,6,0.35,0.997900502716888
1,6,0.40,0.9979299878669938
1,6,0.45,0.9980305409316031
1,6,0.50,0.9974803806799303
1,6,0.55,0.9987333577946031
1,6,0.60,0.9977890924949507
1,6,0.65,0.9979160151553784
1,6,0.70,0.9982298516673925
1,6,0.75,0.9982959167749397
1,6,0.80,0.9985559027210648
1,6,0.85,0.998712995446952
1,6,0.90,0.998869819083078
1,6,0.95,0.9985479320649179
1,7,0.05,0.9904380408478503
1,7,0.10,0.9957643544061449
1,7,0.15,0.9973769690151791
1,7,0.20,0.9972034540669534
1,7,0.25,0.9947913668144055
1,7,0.30,0.9981979936710892
1,7,0.35,0.9978767095887088
1,7,0.40,0.9982908469718131
1,7,0.45,0.9978861467009493
1,7,0.50,0.9976551302098272
1,7,0.55,0.9982413818038656
1,7,0.60,0.9980415371491336
1,7,0.65,0.9978651485184512
1,7,0.70,0.9976234552603308
1,7,0.75,0.9982694953094676
1,7,0.80,0.9980502624465258
1,7,0.85,0.9981203382870395
1,7,0.90,0.9985914489165544
1,7,0.95,0.9983189444499037
1,8,0.05,0.9943515119373136
1,8,0.10,0.9954341191884977
1,8,0.15,0.9963246029841724
1,8,0.20,0.9975702104135239
1,8,0.25,0.9970431415163622
1,8,0.30,0.9972769701397041
1,8,0.35,0.9978508585042645
1,8,0.40,0.9983386543006105
1,8,0.45,0.9973567614350822
1,8,0.50,0.9985403530902575
1,8,0.55,0.9981198426874818
1,8,0.60,0.9983445436682474
1,8,0.65,0.9981864688700453
1,8,0.70,0.9985862798965423
1,8,0.75,0.9981753595603368
1,8,0.80,0.9986194368150759
1,8,0.85,0.9984942257106474
1,8,0.90,0.9985660759471349
1,8,0.95,0.9985825034429939
1,9,0.05,0.9928371155601999
1,9,0.10,0.9841888425861589
1,9,0.15,0.9971560242732651
1,9,0.20,0.9969878828039034
1,9,0.25,0.9966498959058036
1,9,0.30,0.9976024332884299
1,9,0.35,0.9974717532409262
1,9,0.40,0.9978124614020152
1,9,0.45,0.9982069163345645
1,9,0.50,0.9976648477255626
1,9,0.55,0.9977651387881924
1,9,0.60,0.998788860596764
1,9,0.65,0.9982398381668951
1,9,0.70,0.9984497515742387
1,9,0.75,0.998397891298418
1,9,0.80,0.9984160276832775
1,9,0.85,0.9982325955345874
1,9,0.90,0.9987021357931787
1,9,0.95,0.998748068749206
2,0,0.05,0.9821700338435693
2,0,0.10,0.9915828619522805
2,0,0.15,0.9963938042085213
2,0,0.20,0.9966372415798681
2,0,0.25,0.9978846709526653
2,0,0.30,0.9984947473837348
2,0,0.35,0.9981292342019841
2,0,0.40,0.9976275508507203
2,0,0.45,0.9981756755494443
2,0,0.50,0.9980826490070097
2,0,0.55,0.9981324251416662
2,0,0.60,0.9984552854363419
2,0,0.65,0.9984717393624686
2,0,0.70,0.9983405710104617
2,0,0.75,0.9986583346396243
2,0,0.80,0.9983939286082949
2,0,0.85,0.9986483219032111
2,0,0.90,0.9986654019372299
2,0,0.95,0.9983230508409886
2,1,0.05,0.9874168127473546
2,1,0.10,0.9936289024991227
2,1,0.15,0.9965390128203239
2,1,0.20,0.9975130698195922
2,1,0.25,0.9984215077268493
2,1,0.30,0.9977096096109078
2,1,0.35,0.9983130314193973
2,1,0.40,0.9978939899872991
2,1,0.45,0.9980331816128366
2,1,0.50,0.9980808658932805
2,1,0.55,0.9980882685327698
2,1,0.60,0.9983071076614054
2,1,0.65,0.9980279519888048
2,1,0.70,0.9985832022340746
2,1,0.75,0.9986884326533082
2,1,0.80,0.9984201583866018
2,1,0.85,0.9986382821670235
2,1,0.90,0.9983417357380466
2,1,0.95,0.998494737212701
2,2,0.05,0.9724619595363634
2,2,0.10,0.9938970266282414
2,2,0.15,0.9976347259902959
2,2,0.20,0.9969577305296468
2,2,0.25,0.9974287655889605
2,2,0.30,0.9981390685444418
2,2,0.35,0.9979783355003246
2,2,0.40,0.9970744842482596
2,2,0.45,0.9972359204411315
2,2,0.50,0.9984143405925565
2,2,0.55,0.9977353481200153
2,2,0.60,0.9982486152326776
2,2,0.65,0.9979918521789578
2,2,0.70,0.9983587404684859
2,2,0.75,0.9985135027217378
2,2,0.80,0.9984361064304396
2,2,0.85,0.9981501792056648
2,2,0.90,0.9981068737260547
2,2,0.95,0.9985278973649029
2,3,0.05,0.9955182862002201
2,3,0.10,0.9935921445741973
2,3,0.15,0.9970675110258137
2,3,0.20,0.9975899728206488
2,3,0.25,0.9981059428077378
2,3,0.30,0.997913394344152
2,3,0.35,0.9975366471339218
2,3,0.40,0.9973050785595975
2,3,0.45,0.9978547637808186
2,3,0.50,0.9978900843835681
2,3,0.55,0.9986082141312678
2,3,0.60,0.9983069286658519
2,3,0.65,0.9984421933722377
2,3,0.70,0.9982600099272572
2,3,0.75,0.9984138514164418
2,3,0.80,0.9983848774334726
2,3,0.85,0.9985293288830686
2,3,0.90,0.9987762650574814
2,3,0.95,0.9982905107084978
2,4,0.05,0.9866571496600075
2,4,0.10,0.994578324776954
2,4,0.15,0.9971975783083844
2,4,0.20,0.9973346217491272
2,4,0.25,0.9973386937254619
2,4,0.30,0.9976108557205228
2,4,0.35,0.9981558852711433
2,4,0.40,0.9981682006938783
2,4,0.45,0.9977189911159483
2,4,0.50,0.998318097692686
2,4,0.55,0.9983491094079155
2,4,0.60,0.9982274866722596
2,4,0.65,0.9982208577865028
2,4,0.70,0.9981907410373688
2,4,0.75,0.9984846172351918
2,4,0.80,0.9987183794800155
2,4,0.85,0.9981884794262809
2,4,0.90,0.9984580698105009
2,4,0.95,0.9987123431608695
2,5,0.05,0.9890083746657857
2,5,0.10,0.9945921742013526
2,5,0.15,0.997189430820975
2,5,0.20,0.9977761432676894
2,5,0.25,0.9978669944842545
2,5,0.30,0.9977619405675223
2,5,0.35,0.9975163541525943
2,5,0.40,0.9982644877330649
2,5,0.45,0.9979684849427389
2,5,0.50,0.9981536865649913
2,5,0.55,0.9980526595781538
2,5,0.60,0.9980546200775537
2,5,0.65,0.998285586706936
2,5,0.70,0.9986521402786437
2,5,0.75,0.9982890874738919
2,5,0.80,0.9983518370545359
2,5,0.85,0.9984398994162313
2,5,0.90,0.9984825775579301
2,5,0.95,0.9986080588824581
2,6,0.05,0.9916863540103708
2,6,0.10,0.9949359389910692
2,6,0.15,0.9947777243709024
2,6,0.20,0.9976191826259594
2,6,0.25,0.9980211986991041
2,6,0.30,0.9975887982019584
2,6,0.35,0.9981746981793905
2,6,0.40,0.9977741072896597
2,6,0.45,0.9982877503790712
2,6,0.50,0.9978103197975182
2,6,0.55,0.9982093000131351
2,6,0.60,0.9984631166869615
2,6,0.65,0.9985612093110202
2,6,0.70,0.9984677968962469
2,6,0.75,0.9978758081350401
2,6,0.80,0.9984685849860473
2,6,0.85,0.9987917065914007
2,6,0.90,0.998401390359014
2,6,0.95,0.9980353571720699
2,7,0.05,0.9866385923215938
2,7,0.10,0.9963512434985964
2,7,0.15,0.997590441688121
2,7,0.20,0.9964067230893734
2,7,0.25,0.9979554254466352
2,7,0.30,0.9978297402587263
2,7,0.35,0.9976107036707668
2,7,0.40,0.9981604854122575
2,7,0.45,0.9985040441079747
2,7,0.50,0.9984803181401177
2,7,0.55,0.9984960391657594
2,7,0.60,0.9986447604172922
2,7,0.65,0.9987052539618037
2,7,0.70,0.9984003780515173
2,7,0.75,0.9984347318824702
2,7,0.80,0.9985411708266678
2,7,0.85,0.9982885942493781
2,7,0.90,0.9983254208382251
2,7,0.95,0.9988017857530889
2,8,0.05,0.9908790567528538
2,8,0.10,0.992584990617801
2,8,0.15,0.9970991792238505
2,8,0.20,0.9971046047239825
2,8,0.25,0.9980940930732416
2,8,0.30,0.9978990545819397
2,8,0.35,0.9981084652660149
2,8,0.40,0.9983208073356916
2,8,0.45,0.997826529718381
2,8,0.50,0.9982436137249894
2,8,0.55,0.9975846187076656
2,8,0.60,0.9984164477169428
2,8,0.65,0.998085946888528
2,8,0.70,0.9979187250946898
2,8,0.75,0.9984465836147964
2,8,0.80,0.998533847158889
2,8,0.85,0.9985362189348818
2,8,0.90,0.9986125157256492
2,8,0.95,0.9987157243561753
2,9,0.05,0.9915251298855278
2,9,0.10,0.9961094562253071
2,9,0.15,0.9961185815370204
2,9,0.20,0.997395063472338
2,9,0.25,0.9977406829991082
2,9,0.30,0.9979605183953735
2,9,0.35,0.9982514957226315
2,9,0.40,0.9979774647363356
2,9,0.45,0.9973101834393857
2,9,0.50,0.9981418729428989
2,9,0.55,0.9982759529047769
2,9,0.60,0.9984292006167318
2,9,0.65,0.9986393209708707
2,9,0.70,0.9972192245939324
2,9,0.75,0.9982958555975628
2,9,0.80,0.9984055693274789
2,9,0.85,0.9987088905614359
2,9,0.90,0.9985363496258881
2,9,0.95,0.9986056797176519
3,0,0.05,0.9899364683506268
3,0,0.10,0.9968895516777978
3,0,0.15,0.996513712818241
3,0,0.20,0.9969539789690691
3,0,0.25,0.9973932957355042
3,0,0.30,0.9984270471098265
3,0,0.35,0.9977674396162817
3,0,0.40,0.9983459458179409
3,0,0.45,0.9982781350652081
3,0,0.50,0.9985806171240706
3,0,0.55,0.9982173821627678
3,0,0.60,0.9980239365948956
3,0,0.65,0.9979632181298193
3,0,0.70,0.9982051098562104
3,0,0.75,0.9983267355218458
3,0,0.80,0.998791797761863
3,0,0.85,0.9983525963648261
3,0,0.90,0.9985767707457874
3,0,0.95,0.9987353629717779
3,1,0.05,0.9919534675791583
3,1,0.10,0.9968624892383559
3,1,0.15,0.99781894236059
3,1,0.20,0.9971123473520971
3,1,0.25,0.9973640596151903
3,1,0.30,0.9983405632198543
3,1,0.35,0.9975864362836343
3,1,0.40,0.9976463169176414
3,1,0.45,0.9981572853308768
3,1,0.50,0.9982286539894412
3,1,0.55,0.9983885897124933
3,1,0.60,0.9983558403749809
3,1,0.65,0.9986340374530627
3,1,0.70,0.998731499123168
3,1,0.75,0.9982708221408453
3,1,0.80,0.9982878397620719
3,1,0.85,0.998568817784299
3,1,0.90,0.998508944872104
3,1,0.95,0.9984174751133474
3,2,0.05,0.9967425862375585
3,2,0.10,0.9966538318891833
3,2,0.15,0.9968136486065216
3,2,0.20,0.9981110764032761
3,2,0.25,0.9976087567497671
3,2,0.30,0.9977910793645965
3,2,0.35,0.9979985846945352
3,2,0.40,0.9982506374191622
3,2,0.45,0.9979729874208585
3,2,0.50,0.9979138991306404
3,2,0.55,0.9980014070533811
3,2,0.60,0.997845370434723
3,2,0.65,0.9982904365083556
3,2,0.70,0.998348913928795
3,2,0.75,0.9984406594659772
3,2,0.80,0.9981821153969718
3,2,0.85,0.9983576194004942
3,2,0.90,0.9985481165504052
3,2,0.95,0.9983379370856656
3,3,0.05,0.9939925797712345
3,3,0.10,0.991500037324001
3,3,0.15,0.9964018186831888
3,3,0.20,0.997261474737527
3,3,0.25,0.9984478316811877
3,3,0.30,0.9981889257556726
3,3,0.35,0.9981054620348423
3,3,0.40,0.9983661393135307
3,3,0.45,0.9980225097157486
3,3,0.50,0.9985141720773296
3,3,0.55,0.9983472129269877
3,3,0.60,0.9985540368222533
3,3,0.65,0.9985515925065153
3,3,0.70,0.9984686368060988
3,3,0.75,0.9982486441447026
3,3,0.80,0.9985574502578547
3,3,0.85,0.9984386666990415
3,3,0.90,0.998368293446729
3,3,0.95,0.9985477288250517
3,4,0.05,0.9905914682658226
3,4,0.10,0.9968673830136708
3,4,0.15,0.9971126598001446
3,4,0.20,0.9961999314408801
3,4,0.25,0.9974451505123174
3,4,0.30,0.9980833039768209
3,4,0.35,0.9975087970120843
3,4,0.40,0.9980301022006157
3,4,0.45,0.9976469582815131
3,4,0.50,0.9981636781738711
3,4,0.55,0.9982725808133616
3,4,0.60,0.9982203018687025
3,4,0.65,0.9983578418083154
3,4,0.70,0.9983726342088961
3,4,0.75,0.9985696111952009
3,4,0.80,0.9985709618330467
3,4,0.85,0.9985078713394971
3,4,0.90,0.9984907819749481
3,4,0.95,0.9985162610303818
3,5,0.05,0.9844042783926413
3,5,0.10,0.9972117898323539
3,5,0.15,0.9969118951738593
3,5,0.20,0.9973601821848751
3,5,0.25,0.9977895201018397
3,5,0.30,0.9981970488644216
3,5,0.35,0.9980061637365368
3,5,0.40,0.9979782796650878
3,5,0.45,0.9984842817832279
3,5,0.50,0.9982983984255138
3,5,0.55,0.9985251241146201
3,5,0.60,0.9979833921746417
3,5,0.65,0.9984912798274933
3,5,0.70,0.9985768611969902
3,5,0.75,0.9984271023423432
3,5,0.80,0.9982544030478566
3,5,0.85,0.9984484449141894
3,5,0.90,0.9986892015881479
3,5,0.95,0.9984272739010664
3,6,0.05,0.988082860644195
3,6,0.10,0.9966674301599358
3,6,0.15,0.9961078969362571
3,6,0.20,0.9969560324616914
3,6,0.25,0.9981626024602209
3,6,0.30,0.9983899839206487
3,6,0.35,0.997732242662029
3,6,0.40,0.9981848767991471
3,6,0.45,0.9981589445490526
3,6,0.50,0.9981478308077935
3,6,0.55,0.9981592238929881
3,6,0.60,0.9978631567643448
3,6,0.65,0.9984999139328771
3,6,0.70,0.9984420389873212
3,6,0.75,0.9985637443542709
3,6,0.80,0.9982197607795248
3,6,0.85,0.9981842097684217
3,6,0.90,0.9983910703800721
3,6,0.95,0.9985997141554313
3,7,0.05,0.9914194434428297
3,7,0.10,0.9942006787606854
3,7,0.15,0.9974051977467624
3,7,0.20,0.9976413132952554
3,7,0.25,0.9980914850274308
3,7,0.30,0.9982339827656476
3,7,0.35,0.998547629541412
3,7,0.40,0.9984168092164885
3,7,0.45,0.9982043280140973
3,7,0.50,0.9978165448591572
3,7,0.55,0.9983109077722501
3,7,0.60,0.9980044680139842
3,7,0.65,0.9980515172374461
3,7,0.70,0.9977290313392391
3,7,0.75,0.9984784170762788
3,7,0.80,0.998127700887317
3,7,0.85,0.9983521155733495
3,7,0.90,0.9982730899250858
3,7,0.95,0.9983076833482419
3,8,0.05,0.9955064016203408
3,8,0.10,0.996537224399922
3,8,0.15,0.9967650251673623
3,8,0.20,0.9974631569227974
3,8,0.25,0.9982816128962354
3,8,0.30,0.9979593834864589
3,8,0.35,0.9974915467789007
3,8,0.40,0.9978165227709349
3,8,0.45,0.9980416674631138
3,8,0.50,0.9985021895655037
3,8,0.55,0.9981032733162803
3,8,0.60,0.9982695384480309
3,8,0.65,0.9985480946247546
3,8,0.70,0.9985300513141797
3,8,0.75,0.9982334878690903
3,8,0.80,0.9983864600640252
3,8,0.85,0.9984966779783174
