random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9954701454367335
0,0,0.10,0.9973734890286858
0,0,0.15,0.9981787652730767
0,0,0.20,0.9979782132249101
0,0,0.25,0.9969992280667046
0,0,0.30,0.9966401190190783
0,0,0.35,0.997344799510318
0,0,0.40,0.9977782491168244
0,0,0.45,0.9978932409733295
0,0,0.50,0.9983779107733339
0,0,0.55,0.9979867791763314
0,0,0.60,0.9980338355321096
0,0,0.65,0.9984918413897694
0,0,0.70,0.9979071815740104
0,0,0.75,0.998765932130838
0,0,0.80,0.9984142275313244
0,0,0.85,0.9983692962884002
0,0,0.90,0.9983433195785256
0,0,0.95,0.9985579281264844
0,1,0.05,0.9872227571662565
0,1,0.10,0.9923793456356607
0,1,0.15,0.996976790015602
0,1,0.20,0.9978271142038754
0,1,0.25,0.9971181426762554
0,1,0.30,0.9979400490939679
0,1,0.35,0.9980570623398037
0,1,0.40,0.9982649570583618
0,1,0.45,0.9979016803454208
0,1,0.50,0.9979335266237567
0,1,0.55,0.9981759790487021
0,1,0.60,0.9980463139096919
0,1,0.65,0.9979798135292605
0,1,0.70,0.9982307430783052
0,1,0.75,0.9985072008050576
0,1,0.80,0.998120661723749
0,1,0.85,0.9987004330401479
0,1,0.90,0.998262983753125
0,1,0.95,0.9983090291802899
0,2,0.05,0.9958693892537765
0,2,0.10,0.9946951658219542
0,2,0.15,0.9966231335458747
0,2,0.20,0.9971211847139141
0,2,0.25,0.9977481058754895
0,2,0.30,0.9982673576803807
0,2,0.35,0.9978375182198899
0,2,0.40,0.997744619782856
0,2,0.45,0.9981840693001299
0,2,0.50,0.9975067506358599
0,2,0.55,0.9974185534590662
0,2,0.60,0.9985544635579287
0,2,0.65,0.9978369166042296
0,2,0.70,0.998622120029585
0,2,0.75,0.9985908968008945
0,2,0.80,0.9982191470671393
0,2,0.85,0.9986967087135425
0,2,0.90,0.9984474852883533
0,2,0.95,0.9985922528422995
0,3,0.05,0.9854867623539042
0,3,0.10,0.9978544413117901
0,3,0.15,0.997985194405219
0,3,0.20,0.9966812902067503
0,3,0.25,0.9975098201959381
0,3,0.30,0.9979282808714715
0,3,0.35,0.9979316326773962
0,3,0.40,0.9983436588014408
0,3,0.45,0.9979526186010679
0,3,0.50,0.998015693764636
0,3,0.55,0.9984889308586035
0,3,0.60,0.9983389084675713
0,3,0.65,0.9982124877261086
0,3,0.70,0.998235968987903
0,3,0.75,0.9977625280811655
0,3,0.80,0.9984796510362538
0,3,0.85,0.998474620268776
0,3,0.90,0.9981476267147398
0,3,0.95,0.9981962435463024
0,4,0.05,0.979368089561282
0,4,0.10,0.9961196825202678
0,4,0.15,0.9966709234325687
0,4,0.20,0.9977631270213666
0,4,0.25,0.9974962381960686
0,4,0.30,0.9971820228946341
0,4,0.35,0.9982891297890129
0,4,0.40,0.9983782793731697
0,4,0.45,0.9973543081564759
0,4,0.50,0.9982084110703132
0,4,0.55,0.9978622152396985
0,4,0.60,0.9984346903866663
0,4,0.65,0.9984381257684111
0,4,0.70,0.9986866976582229
0,4,0.75,0.998311737484926
0,4,0.80,0.9983916339127606
0,4,0.85,0.9984754873190919
0,4,0.90,0.9984897091886996
0,4,0.95,0.9981929672391882
0,5,0.05,0.9868838572872837
0,5,0.10,0.9945905093398344
0,5,0.15,0.996972233052466
0,5,0.20,0.9975397995825848
0,5,0.25,0.9973867086975196
0,5,0.30,0.9974348726112046
0,5,0.35,0.9973039723779055
0,5,0.40,0.9978313616032508
0,5,0.45,0.9979510664876345
0,5,0.50,0.9977990382353524
0,5,0.55,0.9975842291397539
0,5,0.60,0.9979621578874718
0,5,0.65,0.9981529251214587
0,5,0.70,0.9982458063853774
0,5,0.75,0.9981804961954174
0,5,0.80,0.9981197225439228
0,5,0.85,0.9983099238669332
0,5,0.90,0.998664546863075
0,5,0.95,0.9986690150116143
0,6,0.05,0.988935288957988
0,6,0.10,0.9965883437258514
0,6,0.15,0.9971415132187582
0,6,0.20,0.997837428355289
0,6,0.25,0.9964933370183827
0,6,0.30,0.9975637838874856
0,6,0.35,0.9976192481072391
0,6,0.40,0.9978703897106975
0,6,0.45,0.9974807830903623
0,6,0.50,0.9983218764533339
0,6,0.55,0.9976169724817198
0,6,0.60,0.9981450487558031
0,6,0.65,0.9978091011053976
0,6,0.70,0.9984557359192634
0,6,0.75,0.9985147386350315
0,6,0.80,0.9984920993022787
0,6,0.85,0.9985787609944413
0,6,0.90,0.9984323338822522
0,6,0.95,0.9984536594488378
0,7,0.05,0.9940393168604129
0,7,0.10,0.9967333545994485
0,7,0.15,0.9962159391196548
0,7,0.20,0.997045317657249
0,7,0.25,0.9977601410277507
0,7,0.30,0.9978655317277122
0,7,0.35,0.9983189114689802
0,7,0.40,0.998005428881771
0,7,0.45,0.9978866196778047
0,7,0.50,0.9982534016413019
0,7,0.55,0.997620276374646
0,7,0.60,0.9982485292080626
0,7,0.65,0.9976527782923549
0,7,0.70,0.9986047082091866
0,7,0.75,0.998203115102113
0,7,0.80,0.9983359522486711
0,7,0.85,0.9983685587290669
0,7,0.90,0.9984474287251425
0,7,0.95,0.9985915838997729
0,8,0.05,0.990878384064321
0,8,0.10,0.9964979815320831
0,8,0.15,0.9966342555560053
0,8,0.20,0.9965529123229742
0,8,0.25,0.9977514209541906
0,8,0.30,0.9976964362349329
0,8,0.35,0.9976533705296571
0,8,0.40,0.997050384268551
0,8,0.45,0.9980525427710576
0,8,0.50,0.9986692193531107
0,8,0.55,0.9981189188537963
0,8,0.60,0.9983366094573848
0,8,0.65,0.9983097632964446
0,8,0.70,0.9986847798717531
0,8,0.75,0.9982455260734602
0,8,0.80,0.9983615811017567
0,8,0.85,0.9985570519226046
0,8,0.90,0.9984778440684782
0,8,0.95,0.9983474004786286
0,9,0.05,0.9832581699239255
0,9,0.10,0.9946236455708766
0,9,0.15,0.9975496480290499
0,9,0.20,0.9972589039937596
0,9,0.25,0.9973281279322714
