random_seed,split_seed,sample_ratio,r2
0,0,0.05,-5.847946442755056
0,0,0.10,0.44922624830193636
0,0,0.15,-0.17205469452066624
0,0,0.20,0.8351553690931086
0,0,0.25,0.8260849420142776
0,0,0.30,0.9412831753856066
0,0,0.35,0.9647350429366066
0,0,0.40,0.9486027922042289
0,0,0.45,0.95140816587418
0,0,0.50,0.948228972363708
0,0,0.55,0.9735351141457594
0,0,0.60,0.9598466969583557
0,0,0.65,0.9166553342990083
0,0,0.70,0.9742752798099866
0,0,0.75,0.9604635726658369
0,0,0.80,0.977641088294536
0,0,0.85,0.9859681238614219
0,0,0.90,0.9847906343434825
0,0,0.95,0.9894346304025909
0,1,0.05,0.3720108472572411
0,1,0.10,0.7998647327709092
0,1,0.15,0.32643610577954174
0,1,0.20,0.8958784752880549
0,1,0.25,0.7027206925770867
0,1,0.30,0.927690623993601
0,1,0.35,0.9030438004924213
0,1,0.40,0.9613310983099272
0,1,0.45,0.9085391736489489
0,1,0.50,0.9325027362455552
0,1,0.55,0.9887306231131923
0,1,0.60,0.9575621077429931
0,1,0.65,0.9809036312618081
0,1,0.70,0.979317264512343
0,1,0.75,0.9860354777734772
0,1,0.80,0.9758386708737923
0,1,0.85,0.9896707346410695
0,1,0.90,0.9862734754566007
0,1,0.95,0.9920434198249092
0,2,0.05,-10.527181002129979
0,2,0.10,0.7179969178213403
0,2,0.15,0.8824397016414612
0,2,0.20,0.6258624714395611
0,2,0.25,0.6598662952964318
0,2,0.30,0.938578789951707
0,2,0.35,0.9830480282318658
0,2,0.40,0.8352026246673715
0,2,0.45,0.9685243777094471
0,2,0.50,0.9845963053347101
0,2,0.55,0.9738292259058262
0,2,0.60,0.9717300336049487
0,2,0.65,0.9687613565651805
0,2,0.70,0.9662905620569452
0,2,0.75,0.9713165224832531
0,2,0.80,0.9705270754644836
0,2,0.85,0.9833179958652447
0,2,0.90,0.9893678132497401
0,2,0.95,0.9862323363169152
0,3,0.05,0.7391063211546246
0,3,0.10,0.8975009205325668
0,3,0.15,-0.1992476059598367
0,3,0.20,0.7923942151011321
0,3,0.25,0.7574793463873983
0,3,0.30,0.8479531963613088
0,3,0.35,0.8977599912175426
0,3,0.40,0.8904329909066732
0,3,0.45,0.8769351309922842
0,3,0.50,0.9575571461476503
0,3,0.55,0.9535730760428335
0,3,0.60,0.934122343257229
0,3,0.65,0.8476122124703749
0,3,0.70,0.9577805570843065
0,3,0.75,0.9804905746701073
0,3,0.80,0.9775791117663677
0,3,0.85,0.9837354416381335
0,3,0.90,0.9903002077439453
0,3,0.95,0.9875705004479775
0,4,0.05,0.29485973754635597
0,4,0.10,0.8688481356621212
0,4,0.15,0.7668456826374342
0,4,0.20,0.8671162945040217
0,4,0.25,0.8750350132466076
0,4,0.30,0.8752412794024236
0,4,0.35,0.9604970639097145
0,4,0.40,0.9649140164989359
0,4,0.45,0.945781890600762
0,4,0.50,0.951688251218961
0,4,0.55,0.9765199437897014
0,4,0.60,0.9061900676563939
0,4,0.65,0.9560230808922643
0,4,0.70,0.9621260661001095
0,4,0.75,0.9773238432610385
0,4,0.80,0.9849484223893408
0,4,0.85,0.9865303988255715
0,4,0.90,0.9908302035136064
0,4,0.95,0.9899071866844807
0,5,0.05,0.5815710502683832
0,5,0.10,0.8776750636811335
0,5,0.15,0.6322175579135612
0,5,0.20,0.8339098584968374
0,5,0.25,0.9889657934523919
0,5,0.30,0.9082161190600718
0,5,0.35,0.9375501103055358
0,5,0.40,0.9396623830495883
0,5,0.45,0.9144130026916778
0,5,0.50,0.9745456217781535
0,5,0.55,0.9251357113793626
0,5,0.60,0.7963854035502014
0,5,0.65,0.9718701265822282
0,5,0.70,0.9636135950976547
0,5,0.75,0.9946490412716377
0,5,0.80,0.97925275650815
0,5,0.85,0.9848559361904635
0,5,0.90,0.9861529577731631
0,5,0.95,0.9856385994578373
0,6,0.05,-0.046025819933453116
0,6,0.10,0.3142573093173614
0,6,0.15,0.7749451961224397
0,6,0.20,0.8633639169287414
0,6,0.25,0.8806504954627178
0,6,0.30,0.9037344855921139
0,6,0.35,0.9764902882077537
0,6,0.40,0.9287184616472773
0,6,0.45,0.8865753031325245
0,6,0.50,0.976576887618539
0,6,0.55,0.9652198577725605
0,6,0.60,0.9791688711322817
0,6,0.65,0.9280875638289684
0,6,0.70,0.8565667650657705
0,6,0.75,0.9893104577261539
0,6,0.80,0.9788255811661577
0,6,0.85,0.9876131241034879
0,6,0.90,0.9707934287738206
0,6,0.95,0.9690935116266651
0,7,0.05,-0.44048696864576775
0,7,0.10,0.926810714204673
0,7,0.15,0.6242848346095432
0,7,0.20,0.916456660986489
0,7,0.25,0.8214407788934052
0,7,0.30,0.9231784352681855
0,7,0.35,0.8935968060120075
0,7,0.40,0.9057777470347856
0,7,0.45,0.9741551790218711
0,7,0.50,0.97516427697941
0,7,0.55,0.9815300730876979
0,7,0.60,0.9135023162882784
0,7,0.65,0.9847330154324401
0,7,0.70,0.9897577084481692
0,7,0.75,0.9928126522084676
0,7,0.80,0.98059326112866
0,7,0.85,0.9776765962442221
0,7,0.90,0.9853673841883293
0,7,0.95,0.9932323464091477
0,8,0.05,0.3979812512041653
0,8,0.10,0.7191579326660256
0,8,0.15,0.8006298950562294
0,8,0.20,0.7123632379266185
0,8,0.25,0.7692930623079941
0,8,0.30,0.9420921585500384
0,8,0.35,0.9409939722448012
0,8,0.40,0.9417552776878676
0,8,0.45,0.9046109250193067
0,8,0.50,0.9682404158406906
0,8,0.55,0.9597018876327673
0,8,0.60,0.8937437652414171
0,8,0.65,0.9273520726566314
0,8,0.70,0.9775657700003054
0,8,0.75,0.9854802834058277
0,8,0.80,0.9826433060610096
0,8,0.85,0.9772360223841271
0,8,0.90,0.9875924096836727
0,8,0.95,0.9904747347155769
0,9,0.05,0.6445004756518931
0,9,0.10,0.2147427247793282
0,9,0.15,0.7776030939035931
0,9,0.20,0.7681955289393536
0,9,0.25,0.8749792510470614
0,9,0.30,0.9189266338181703
0,9,0.35,0.8748244102268401
0,9,0.40,0.946826242095512
0,9,0.45,0.9273020760762318
0,9,0.50,0.9551512815901738
0,9,0.55,0.9733664677959106
0,9,0.60,0.970783949210245
0,9,0.65,0.9559488008205077
0,9,0.70,0.9879554949555562
0,9,0.75,0.9858943343023269
0,9,0.80,0.9880578330831621
0,9,0.85,0.9890477648332253
0,9,0.90,0.9885546997325401
0,9,0.95,0.9881305331896258
1,0,0.05,-7.678802876372593
1,0,0.10,0.3078967716877825
1,0,0.15,0.6247433472548162
1,0,0.20,0.8278593517297669
1,0,0.25,0.7514620588593468
1,0,0.30,0.759312086859547
1,0,0.35,0.7941702174381218
1,0,0.40,0.8048284172038738
1,0,0.45,0.8353943108297605
1,0,0.50,0.9379546770626411
1,0,0.55,0.9557747145210131
1,0,0.60,0.9337041733289124
1,0,0.65,0.9830094156176081
1,0,0.70,0.984579519520696
1,0,0.75,0.9754391388870342
1,0,0.80,0.9755551907804917
1,0,0.85,0.9905378861873688
1,0,0.90,0.990104950106836
1,0,0.95,0.9947673354761026
1,1,0.05,-4.734695023124856
1,1,0.10,0.6778300223300338
1,1,0.15,0.7018594125191326
1,1,0.20,0.15691013956800215
1,1,0.25,0.621072184983256
1,1,0.30,0.6178481900711612
1,1,0.35,0.9059226307992283
1,1,0.40,0.6053207972780965
1,1,0.45,0.9251772125695726
1,1,0.50,0.9402527148467973
1,1,0.55,0.9232456564907128
1,1,0.60,0.9769149814494928
1,1,0.65,0.96675809758795
1,1,0.70,0.9911360552920585
1,1,0.75,0.9767018246368414
1,1,0.80,0.8825418585133986
1,1,0.85,0.9820916769041134
1,1,0.90,0.985062318025814
