random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.714942832517838
0,0,0.10,0.9531760716578564
0,0,0.15,0.9785801462068434
0,0,0.20,0.9809047103219808
0,0,0.25,0.9865589310682085
0,0,0.30,0.995387203436484
0,0,0.35,0.9912798001770492
0,0,0.40,0.9969018789978517
0,0,0.45,0.9969746712716745
0,0,0.50,0.9970603265920218
0,0,0.55,0.9958624637404596
0,0,0.60,0.9974022259988059
0,0,0.65,0.9986643273634928
0,0,0.70,0.9983561788271927
0,0,0.75,0.9981874945153505
0,0,0.80,0.9986449573696073
0,0,0.85,0.9984311660835179
0,0,0.90,0.9987841657489538
0,0,0.95,0.9989889006021496
0,1,0.05,0.9266586373941993
0,1,0.10,0.9671220718273819
0,1,0.15,0.9541258880887885
0,1,0.20,0.9800383620276456
0,1,0.25,0.9670817666975046
0,1,0.30,0.9938971351472827
0,1,0.35,0.9938014616401328
0,1,0.40,0.9970598312391731
0,1,0.45,0.9945758836076654
0,1,0.50,0.9973372408957052
0,1,0.55,0.9976322233488759
0,1,0.60,0.9969986357074943
0,1,0.65,0.99627358684568
0,1,0.70,0.9981908043449077
0,1,0.75,0.9983925161177716
0,1,0.80,0.9987472467076196
0,1,0.85,0.9981525841678867
0,1,0.90,0.9992333588722777
0,1,0.95,0.9991281291029074
0,2,0.05,0.7612156917629104
0,2,0.10,0.9578546075496707
0,2,0.15,0.9738191977352045
0,2,0.20,0.9905308229064126
0,2,0.25,0.9723794119350387
0,2,0.30,0.9892816571207603
0,2,0.35,0.9933732839411075
0,2,0.40,0.9941530956677672
0,2,0.45,0.9961197482142067
0,2,0.50,0.998109105675281
0,2,0.55,0.9976959418505292
0,2,0.60,0.9984985541822228
0,2,0.65,0.9986862412386399
0,2,0.70,0.9976528581440811
0,2,0.75,0.9983794975582527
0,2,0.80,0.9987206770018046
0,2,0.85,0.9988491938770702
0,2,0.90,0.9986940362094058
0,2,0.95,0.9992030614310925
0,3,0.05,0.7825176912886895
0,3,0.10,0.8705254105873003
0,3,0.15,0.9856004608321758
0,3,0.20,0.9886976109383732
0,3,0.25,0.988302336391517
0,3,0.30,0.9929991914549583
0,3,0.35,0.9882066300992739
0,3,0.40,0.9960291100455303
0,3,0.45,0.9959007730743135
0,3,0.50,0.9965067157724739
0,3,0.55,0.9977807082633474
0,3,0.60,0.9968026483852509
0,3,0.65,0.9984462700800365
0,3,0.70,0.9985711403431062
0,3,0.75,0.9983036761209105
0,3,0.80,0.9984320060385994
0,3,0.85,0.9986157328549227
0,3,0.90,0.9989330165993641
0,3,0.95,0.9988691653365691
0,4,0.05,0.8392742772225292
0,4,0.10,0.9051849775678331
0,4,0.15,0.9876417375223732
0,4,0.20,0.9776559591659442
0,4,0.25,0.9875493401616678
0,4,0.30,0.9774431350536635
0,4,0.35,0.9931507531542909
0,4,0.40,0.9978339287162062
0,4,0.45,0.9984559559812769
0,4,0.50,0.9935788166550145
0,4,0.55,0.9980414093341993
0,4,0.60,0.9972010857454642
0,4,0.65,0.9970696886812608
0,4,0.70,0.9972303975029735
0,4,0.75,0.9986452767445235
0,4,0.80,0.9985794289408836
0,4,0.85,0.9987114732294484
0,4,0.90,0.9989821261592041
0,4,0.95,0.9987312107313976
0,5,0.05,0.46487432029329134
0,5,0.10,0.9082012860095816
0,5,0.15,0.9708221433007793
0,5,0.20,0.9874717521845896
0,5,0.25,0.974775833062077
0,5,0.30,0.9832903032637381
0,5,0.35,0.9930998243111445
0,5,0.40,0.9933452054303046
0,5,0.45,0.997285149824841
0,5,0.50,0.9970968579336017
0,5,0.55,0.9982622698277563
0,5,0.60,0.9973128039089176
0,5,0.65,0.9989210860960891
0,5,0.70,0.9983357703491786
0,5,0.75,0.9979050539000913
0,5,0.80,0.9991369322828547
0,5,0.85,0.9986595620095995
0,5,0.90,0.9990143961046873
0,5,0.95,0.9992147788666536
0,6,0.05,0.9329083471548113
0,6,0.10,0.9382379834057906
0,6,0.15,0.9731854985461511
0,6,0.20,0.9765801796700857
0,6,0.25,0.9866328664700761
0,6,0.30,0.9938079013304778
0,6,0.35,0.9932729496295972
0,6,0.40,0.9962180390011169
0,6,0.45,0.9952744453541265
0,6,0.50,0.9975383570409014
0,6,0.55,0.9976366633396615
0,6,0.60,0.9969698614821078
0,6,0.65,0.9980878745838555
0,6,0.70,0.998029862126578
0,6,0.75,0.9976537588256644
0,6,0.80,0.9978824021402614
0,6,0.85,0.9987660940963198
0,6,0.90,0.9986250681938627
