random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8303371355806048
0,0,0.10,0.9593835319408598
0,0,0.15,0.9754755379827874
0,0,0.20,0.991199045472769
0,0,0.25,0.9835124215193641
0,0,0.30,0.99083050694156
0,0,0.35,0.9867297214212869
0,0,0.40,0.9914700787207901
0,0,0.45,0.9926218657931808
0,0,0.50,0.9972468913080281
0,0,0.55,0.9967950973261307
0,0,0.60,0.996110497898551
0,0,0.65,0.997183730351372
0,0,0.70,0.9982188627383782
0,0,0.75,0.9983518211903333
0,0,0.80,0.9978311187936029
0,0,0.85,0.9987304472601517
0,0,0.90,0.9988182249101913
0,0,0.95,0.9988108231909186
0,1,0.05,0.9703762035959703
0,1,0.10,0.8804150774853945
0,1,0.15,0.980076848658221
0,1,0.20,0.9827945167395613
0,1,0.25,0.9789718743395942
0,1,0.30,0.9951496384459108
0,1,0.35,0.9912984245580198
0,1,0.40,0.9915321328181587
0,1,0.45,0.994737424416142
0,1,0.50,0.9969190172339197
0,1,0.55,0.9955216411904814
0,1,0.60,0.9981059666250692
0,1,0.65,0.9967507226659909
0,1,0.70,0.9985252607252176
0,1,0.75,0.9975672407228526
0,1,0.80,0.9985710422703553
0,1,0.85,0.9987235050294331
0,1,0.90,0.9991693370604064
0,1,0.95,0.9993090332456903
0,2,0.05,0.8389279967540926
0,2,0.10,0.953508392345049
0,2,0.15,0.952647592026349
0,2,0.20,0.9891571358455544
0,2,0.25,0.9914931164704253
0,2,0.30,0.9885618047244555
0,2,0.35,0.9879998667735757
0,2,0.40,0.997600449870955
0,2,0.45,0.9956298099687265
0,2,0.50,0.9979949787816946
0,2,0.55,0.9976430755883227
0,2,0.60,0.9957883244459558
0,2,0.65,0.9971019509700145
0,2,0.70,0.9982922154415409
0,2,0.75,0.9986681182444562
0,2,0.80,0.9984523453220636
0,2,0.85,0.9980176534182467
0,2,0.90,0.9990373268731096
0,2,0.95,0.9991617428393778
0,3,0.05,0.9542813338634871
0,3,0.10,0.9528092470077392
0,3,0.15,0.9629461367346192
0,3,0.20,0.9873238746692442
0,3,0.25,0.955214737252212
0,3,0.30,0.9884436443109698
0,3,0.35,0.9949395982889183
0,3,0.40,0.9962762958212307
0,3,0.45,0.9939404579395482
0,3,0.50,0.9962956178462543
0,3,0.55,0.9975274995869777
0,3,0.60,0.9980123582811984
0,3,0.65,0.9975126157881228
0,3,0.70,0.9985852406285508
0,3,0.75,0.9986425319333331
0,3,0.80,0.9987953012677745
0,3,0.85,0.9984362515158492
0,3,0.90,0.999082895188823
0,3,0.95,0.9986780182784867
0,4,0.05,0.9747618811993367
0,4,0.10,0.9593961844030097
0,4,0.15,0.9835923576804435
0,4,0.20,0.9779872582773083
0,4,0.25,0.9890227163564935
0,4,0.30,0.9940096522928813
0,4,0.35,0.9864977449350235
0,4,0.40,0.9936074220698456
0,4,0.45,0.9930535104105599
0,4,0.50,0.9958690619980698
0,4,0.55,0.9961401047969853
0,4,0.60,0.9979956842351374
0,4,0.65,0.9972171162636376
0,4,0.70,0.9988006261528126
0,4,0.75,0.9981283863297947
0,4,0.80,0.9983100905265345
0,4,0.85,0.9990412386055435
0,4,0.90,0.9992053745475926
0,4,0.95,0.9988464319358654
0,5,0.05,0.9349320616481935
0,5,0.10,0.9660117629751641
0,5,0.15,0.9504557259056882
0,5,0.20,0.9917453961049001
0,5,0.25,0.9481678945438708
0,5,0.30,0.991521052879737
0,5,0.35,0.9855590537817198
0,5,0.40,0.9899603780051732
0,5,0.45,0.9943357451272243
0,5,0.50,0.9958811990916427
0,5,0.55,0.9946917384581673
0,5,0.60,0.9981779249513851
0,5,0.65,0.9958559293540737
0,5,0.70,0.9985221820716899
0,5,0.75,0.9975498090328296
0,5,0.80,0.9985711994554549
0,5,0.85,0.997833457505498
0,5,0.90,0.9987054373160863
0,5,0.95,0.9988181704911084
0,6,0.05,0.8203437824163154
0,6,0.10,0.8933739688410512
0,6,0.15,0.9679755119123052
0,6,0.20,0.9731209959872876
0,6,0.25,0.9930233285630458
0,6,0.30,0.9957745197354759
0,6,0.35,0.9941260014017105
0,6,0.40,0.9950806683247579
0,6,0.45,0.9932783429700615
0,6,0.50,0.9960743130819248
0,6,0.55,0.996074555324347
0,6,0.60,0.998093569138937
0,6,0.65,0.997412017611834
0,6,0.70,0.9979805982741066
0,6,0.75,0.998385852031985
0,6,0.80,0.9983556944667697
0,6,0.85,0.9981773826807728
0,6,0.90,0.9987958732355773
0,6,0.95,0.9988598919492884
0,7,0.05,0.7592888969409688
0,7,0.10,0.9632218202491771
0,7,0.15,0.9739991995598295
0,7,0.20,0.99356901076118
0,7,0.25,0.9620881860415588
0,7,0.30,0.9923911745903905
0,7,0.35,0.9957794023241322
0,7,0.40,0.9959124602886696
0,7,0.45,0.9932817840077101
0,7,0.50,0.9980245002877721
0,7,0.55,0.9951432224749227
0,7,0.60,0.9965187170914901
0,7,0.65,0.9956249964931556
0,7,0.70,0.9974871696560782
0,7,0.75,0.9991668758135643
0,7,0.80,0.9986160466440207
0,7,0.85,0.9986161747980521
0,7,0.90,0.9988302730008349
0,7,0.95,0.9992678119823692
0,8,0.05,0.6614276485655204
0,8,0.10,0.8563989603460438
0,8,0.15,0.9847656431651636
0,8,0.20,0.9838725978951102
0,8,0.25,0.9700772518396948
0,8,0.30,0.9965408556069447
0,8,0.35,0.9940337482652302
0,8,0.40,0.9967815360745637
0,8,0.45,0.9948698477971021
0,8,0.50,0.994301310764549
0,8,0.55,0.9961098728607106
0,8,0.60,0.9966784936673438
0,8,0.65,0.9985288633175813
0,8,0.70,0.9987131784918111
0,8,0.75,0.9977667339126965
0,8,0.80,0.9984941329445424
0,8,0.85,0.9987310762302949
0,8,0.90,0.9986647435848344
0,8,0.95,0.9984975828403257
0,9,0.05,0.9062162926185461
0,9,0.10,0.9366128226295555
0,9,0.15,0.9810771024765328
0,9,0.20,0.9917076457639291
0,9,0.25,0.9814454074516489
0,9,0.30,0.9927093400079657
0,9,0.35,0.9929247010208647
0,9,0.40,0.9935144894422313
0,9,0.45,0.994822601077269
0,9,0.50,0.9961020651992377
0,9,0.55,0.9964106796356985
0,9,0.60,0.9987045964816834
0,9,0.65,0.9969723727181073
0,9,0.70,0.9984079237993424
0,9,0.75,0.9982008317944621
0,9,0.80,0.9987580878474465
0,9,0.85,0.9986430479930813
0,9,0.90,0.9989967021763025
0,9,0.95,0.9989267536162827
1,0,0.05,0.9074582046127202
1,0,0.10,0.954663333636828
1,0,0.15,0.9718882276780716
1,0,0.20,0.9903616498401806
1,0,0.25,0.988783216247514
1,0,0.30,0.9895101752424575
1,0,0.35,0.9972826642585326
1,0,0.40,0.9942405163605825
1,0,0.45,0.9971699012561017
1,0,0.50,0.9969012085263279
1,0,0.55,0.9977812154973623
1,0,0.60,0.9971910373686232
1,0,0.65,0.9971772176762314
1,0,0.70,0.9975800398566732
1,0,0.75,0.9988529029990764
1,0,0.80,0.9987315297845847
1,0,0.85,0.9987541237635582
1,0,0.90,0.99889948857402
1,0,0.95,0.9990512429967386
1,1,0.05,0.784261790347521
1,1,0.10,0.9825359376325332
1,1,0.15,0.9721916131471029
1,1,0.20,0.9903923234033792
1,1,0.25,0.9886053507382421
1,1,0.30,0.9760242453703513
1,1,0.35,0.993006569967745
1,1,0.40,0.9946092766527052
1,1,0.45,0.9919590205097092
1,1,0.50,0.9969666482218357
1,1,0.55,0.9979156725263753
1,1,0.60,0.9962716385787502
1,1,0.65,0.9978047865420158
1,1,0.70,0.9986779099595651
1,1,0.75,0.9987472033548396
1,1,0.80,0.9987357264896746
1,1,0.85,0.9987386226675021
1,1,0.90,0.9987640652874775
1,1,0.95,0.9990387749395983
1,2,0.05,0.843471768945216
1,2,0.10,0.9739207880337243
