random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.35777817716687554
0,0,0.10,0.9359432183288277
0,0,0.15,0.8561735980056445
0,0,0.20,0.9407984032642098
0,0,0.25,0.9286006604749223
0,0,0.30,0.836370882596853
0,0,0.35,0.9400821229366356
0,0,0.40,0.921996926296908
0,0,0.45,0.8692454908916276
0,0,0.50,0.9240173073041665
0,0,0.55,0.92774307879149
0,0,0.60,0.927059656846389
0,0,0.65,0.9315272495894161
0,0,0.70,0.9411272853152466
0,0,0.75,0.9247886600724262
0,0,0.80,0.956139847568925
0,0,0.85,0.9535411528872726
0,0,0.90,0.943103682692809
0,0,0.95,0.9356256031198725
0,1,0.05,0.7336269483692072
0,1,0.10,0.8615419041393366
0,1,0.15,0.7053068637333477
0,1,0.20,0.7676728601037905
0,1,0.25,0.8243941652115481
0,1,0.30,0.8906298581199381
0,1,0.35,0.8964292573867572
0,1,0.40,0.8991080607866628
0,1,0.45,0.9244411201279169
0,1,0.50,0.9104508137563871
0,1,0.55,0.9100109305961059
0,1,0.60,0.9441917015358798
0,1,0.65,0.9464803247474124
0,1,0.70,0.941442653439937
0,1,0.75,0.9271748697052112
0,1,0.80,0.9423120502663245
0,1,0.85,0.9499760769900981
0,1,0.90,0.9625479829242816
0,1,0.95,0.9513968424025839
0,2,0.05,-0.07283259215964999
0,2,0.10,0.6951676245390198
0,2,0.15,0.8978285222290555
0,2,0.20,0.8956700930049717
0,2,0.25,0.9139497904665879
0,2,0.30,0.8635514737021678
0,2,0.35,0.8440471671148416
0,2,0.40,0.9366260845246933
0,2,0.45,0.9384859613287949
0,2,0.50,0.9426489041796302
0,2,0.55,0.9530493840083083
0,2,0.60,0.9380469495249097
0,2,0.65,0.9139872280260436
0,2,0.70,0.9547193704572429
0,2,0.75,0.9669742395865687
0,2,0.80,0.9405260065293386
0,2,0.85,0.9527233863716337
0,2,0.90,0.9589559446083873
0,2,0.95,0.9623701617431003
0,3,0.05,0.38706087827728053
0,3,0.10,0.69512754727835
0,3,0.15,0.830857853332386
0,3,0.20,0.8226186085899367
0,3,0.25,0.8583465291926864
0,3,0.30,0.917381150119113
0,3,0.35,0.923079734315188
0,3,0.40,0.884855287669474
0,3,0.45,0.9425991751797452
0,3,0.50,0.9517881455149377
0,3,0.55,0.9559722109667795
0,3,0.60,0.9130374531692096
0,3,0.65,0.9479683023438471
0,3,0.70,0.9521689926131088
0,3,0.75,0.932162100333973
0,3,0.80,0.8944243977569024
0,3,0.85,0.9216145565348923
0,3,0.90,0.9376204103898597
0,3,0.95,0.910238639299182
0,4,0.05,0.4257003135271116
0,4,0.10,0.8630233275120075
0,4,0.15,-0.060117444890038785
0,4,0.20,0.8916653599324466
0,4,0.25,0.879627587265293
0,4,0.30,0.8837884953178881
0,4,0.35,0.8783063887821031
0,4,0.40,0.8992616016043394
0,4,0.45,0.9132219064580086
0,4,0.50,0.9210352615830565
0,4,0.55,0.9455653918408287
0,4,0.60,0.931600396032092
0,4,0.65,0.9314667437834535
0,4,0.70,0.9626768380358892
0,4,0.75,0.9494452449048845
0,4,0.80,0.9422306954996399
0,4,0.85,0.9575920264445215
0,4,0.90,0.9434999189562965
0,4,0.95,0.9301715104874402
0,5,0.05,0.6609185754006105
0,5,0.10,0.8046019765235664
0,5,0.15,0.7600335584968272
0,5,0.20,0.8625457235649883
0,5,0.25,0.8843347535484838
0,5,0.30,0.9093388841077361
0,5,0.35,0.8767966879342677
0,5,0.40,0.9570868206234875
0,5,0.45,0.9326301287965745
0,5,0.50,0.9417035138115328
0,5,0.55,0.9441846693127248
0,5,0.60,0.9586283440801425
0,5,0.65,0.9274559063051405
0,5,0.70,0.9555988495699129
0,5,0.75,0.9603454035675829
0,5,0.80,0.9405553041046636
0,5,0.85,0.9632719592411988
0,5,0.90,0.9639216193108538
0,5,0.95,0.9582247342105306
0,6,0.05,-0.12241508945979529
0,6,0.10,0.3864091693052394
0,6,0.15,0.6817265678442928
0,6,0.20,0.7114775050489822
0,6,0.25,0.8335566006321535
0,6,0.30,0.8353926015924729
0,6,0.35,0.9080078081124725
0,6,0.40,0.9224704580656397
0,6,0.45,0.9349449793802977
0,6,0.50,0.9306761039458983
0,6,0.55,0.9394363814401571
0,6,0.60,0.9127332863522951
0,6,0.65,0.9567720831098413
