random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.31508819396465704
0,0,0.10,0.8835941650271326
0,0,0.15,0.7620939084063657
0,0,0.20,0.8748316352058776
0,0,0.25,0.9339731214418333
0,0,0.30,0.9243535126901913
0,0,0.35,0.9411373721322226
0,0,0.40,0.9092212641768134
0,0,0.45,0.8659447997397686
0,0,0.50,0.9019376232874561
0,0,0.55,0.9414894077831034
0,0,0.60,0.929783966650111
0,0,0.65,0.9279026678617617
0,0,0.70,0.9085495037590319
0,0,0.75,0.960154079356684
0,0,0.80,0.9534752357946534
0,0,0.85,0.9496254744039471
0,0,0.90,0.9302061548786866
0,0,0.95,0.9247829488056367
0,1,0.05,-1.159298349577127
0,1,0.10,0.6253672469687283
0,1,0.15,0.9013235744797121
0,1,0.20,0.9731436102726808
0,1,0.25,0.9481929576809164
0,1,0.30,0.8572864457885864
0,1,0.35,0.9221742082059943
0,1,0.40,0.9413256649676257
0,1,0.45,0.9669899261332129
0,1,0.50,0.870738275335809
0,1,0.55,0.9371048152606698
0,1,0.60,0.9500108631255124
0,1,0.65,0.9260344367719884
0,1,0.70,0.9154484564445824
0,1,0.75,0.9405092040711794
0,1,0.80,0.9174710445851215
0,1,0.85,0.9609358316804291
0,1,0.90,0.9116647808812284
0,1,0.95,0.9543877782927419
0,2,0.05,0.4842072099699306
0,2,0.10,0.40800405564384457
0,2,0.15,0.7580856907291352
0,2,0.20,0.8353721300470214
0,2,0.25,0.9362021357299964
0,2,0.30,0.9145996463167465
0,2,0.35,0.8717537786038947
0,2,0.40,0.9672424619772951
0,2,0.45,0.8656099510700719
0,2,0.50,0.9432425639418484
0,2,0.55,0.945104523021819
0,2,0.60,0.9269583688866114
0,2,0.65,0.9261650812775551
0,2,0.70,0.9440685042914438
0,2,0.75,0.9551963911777132
0,2,0.80,0.9570210430328823
0,2,0.85,0.9499792419748938
0,2,0.90,0.9563129870446688
0,2,0.95,0.917101542296925
0,3,0.05,0.5814054360448788
0,3,0.10,0.8820197235669847
0,3,0.15,0.8576164142069859
0,3,0.20,0.8919611782292012
0,3,0.25,0.9450570089888732
0,3,0.30,0.9420607098416454
0,3,0.35,0.9651635562457598
