random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.558398036338805
0,0,0.10,0.7216389195584013
0,0,0.15,0.8516633032201189
0,0,0.20,0.81926575766858
0,0,0.25,0.849425740192009
0,0,0.30,0.9056249357993834
0,0,0.35,0.9361524055848208
0,0,0.40,0.9586009406796605
0,0,0.45,0.93538853431833
0,0,0.50,0.9208750378362324
0,0,0.55,0.9523476324105472
0,0,0.60,0.9569022882693146
0,0,0.65,0.9296000858910806
0,0,0.70,0.925248294310477
0,0,0.75,0.9360772919229945
0,0,0.80,0.930163658789558
0,0,0.85,0.9124742324170521
0,0,0.90,0.898574024705187
0,0,0.95,0.9368455998508867
0,1,0.05,0.47355684063254455
0,1,0.10,0.8469357061087471
0,1,0.15,0.8709961584148254
0,1,0.20,0.9504275883155694
0,1,0.25,0.8607506183334324
0,1,0.30,0.9021663949806444
0,1,0.35,0.9344054984405313
0,1,0.40,0.9090953973039582
0,1,0.45,0.9494269436290516
0,1,0.50,0.9467415545247572
0,1,0.55,0.9464867018470217
0,1,0.60,0.9566371538942856
0,1,0.65,0.938031506744835
0,1,0.70,0.9400226755157457
0,1,0.75,0.9202003240348525
0,1,0.80,0.9276777697584183
0,1,0.85,0.9596311484212703
0,1,0.90,0.9421603246247098
0,1,0.95,0.9306334984007762
0,2,0.05,0.2767812447821528
0,2,0.10,0.5455672248229656
0,2,0.15,0.9093104791969153
0,2,0.20,0.9057979038450837
0,2,0.25,0.9285021395156222
0,2,0.30,0.9153492721627587
0,2,0.35,0.9182451088373529
0,2,0.40,0.9205011057437085
0,2,0.45,0.949474850904033
0,2,0.50,0.8637777347035467
0,2,0.55,0.9187306437352678
0,2,0.60,0.8951762844918121
0,2,0.65,0.8796510728926871
0,2,0.70,0.9279761685963563
0,2,0.75,0.9254140031352536
0,2,0.80,0.9439836360698743
0,2,0.85,0.9430427979653657
0,2,0.90,0.9195798767879036
0,2,0.95,0.9420359538454817
0,3,0.05,0.6095951135770175
0,3,0.10,0.9442458651237784
0,3,0.15,0.766780895444997
0,3,0.20,0.8622053401961878
0,3,0.25,0.9144627024746514
0,3,0.30,0.8879233787228767
0,3,0.35,0.8661856375564012
0,3,0.40,0.9281774013399022
0,3,0.45,0.9354962190294043
0,3,0.50,0.8933050637629063
0,3,0.55,0.9487280840923524
0,3,0.60,0.9156214709298551
0,3,0.65,0.9566381860934381
0,3,0.70,0.8970390960264875
0,3,0.75,0.9475707089086
0,3,0.80,0.9405297083127563
0,3,0.85,0.9544686959513285
0,3,0.90,0.9223277230427785
0,3,0.95,0.9548857104358659
0,4,0.05,-0.8509583233413462
0,4,0.10,0.8593673694939908
0,4,0.15,0.8279842751540506
0,4,0.20,0.7895030805955001
0,4,0.25,0.8883111054288002
0,4,0.30,0.8844105634248076
0,4,0.35,0.9207675135133984
0,4,0.40,0.9315162662492772
0,4,0.45,0.9595185311880858
0,4,0.50,0.9428742005327929
0,4,0.55,0.9412681756967743
0,4,0.60,0.9537384642226941
0,4,0.65,0.9180688846918997
0,4,0.70,0.932443446723505
0,4,0.75,0.9690886388596796
0,4,0.80,0.9026566322724723
0,4,0.85,0.9228191007189585
0,4,0.90,0.966658894653384
0,4,0.95,0.945342548894431
0,5,0.05,0.5516330739315848
0,5,0.10,0.846318833183116
0,5,0.15,0.8315591292114599
0,5,0.20,0.812381316838727
0,5,0.25,0.8108350589872546
0,5,0.30,0.9218036490608781
0,5,0.35,0.9160855622507044
0,5,0.40,0.9347159710860842
0,5,0.45,0.953380851000254
0,5,0.50,0.9443966696477839
0,5,0.55,0.8996199293539862
0,5,0.60,0.9529482142372802
0,5,0.65,0.9528517619732304
0,5,0.70,0.924395235976696
0,5,0.75,0.95984941642709
0,5,0.80,0.8988021556202822
0,5,0.85,0.92709920225349
0,5,0.90,0.9550844254438995
0,5,0.95,0.9652656851617575
0,6,0.05,0.42625814045203503
0,6,0.10,0.6796932004457699
0,6,0.15,0.8801882891282788
0,6,0.20,0.8603140425384141
0,6,0.25,0.8872754941406192
0,6,0.30,0.8767845969323718
0,6,0.35,0.9626937181397668
0,6,0.40,0.9465166296174
0,6,0.45,0.955010968833488
0,6,0.50,0.8882922478997708
0,6,0.55,0.9463381776793669
0,6,0.60,0.9624161459244357
0,6,0.65,0.8898653021160755
0,6,0.70,0.9217413106229484
0,6,0.75,0.9439927500276447
0,6,0.80,0.9508421308084689
0,6,0.85,0.9440935046263548
0,6,0.90,0.954340497229919
0,6,0.95,0.9373235864102252
0,7,0.05,0.7206881212508242
0,7,0.10,0.8193322153450384
0,7,0.15,0.8929057948228624
0,7,0.20,0.8510108479153016
0,7,0.25,0.7074208631056695
0,7,0.30,0.9553774873319912
0,7,0.35,0.9114859463028577
0,7,0.40,0.9508642694465528
0,7,0.45,0.9216347563953808
0,7,0.50,0.9169158266576694
0,7,0.55,0.9223291812423904
0,7,0.60,0.9475159173174755
0,7,0.65,0.9300295609146221
0,7,0.70,0.9126714308710048
0,7,0.75,0.9246369405580429
0,7,0.80,0.952549230731343
0,7,0.85,0.9601297368805974
0,7,0.90,0.9280311929912395
0,7,0.95,0.930933173282553
0,8,0.05,0.7176095319114504
0,8,0.10,0.6654071291831904
0,8,0.15,0.7909664463251529
0,8,0.20,0.9320375885773566
0,8,0.25,0.8642430399822557
0,8,0.30,0.8766219654116783
0,8,0.35,0.8785925819616692
0,8,0.40,0.8822678727187385
0,8,0.45,0.9554526721981155
0,8,0.50,0.9340041078020231
0,8,0.55,0.9298034038520088
0,8,0.60,0.9460160551853051
0,8,0.65,0.9242549800222971
0,8,0.70,0.9597558207736263
0,8,0.75,0.9559560304001433
0,8,0.80,0.9080477245525812
0,8,0.85,0.9471218987659191
0,8,0.90,0.9642535006985555
0,8,0.95,0.9584361511997748
0,9,0.05,0.6362029112375545
0,9,0.10,0.6812301682804089
0,9,0.15,0.8763412395125935
0,9,0.20,0.9414867052159064
0,9,0.25,0.9472847124020626
0,9,0.30,0.8827332488765501
0,9,0.35,0.8621886093908984
0,9,0.40,0.9686435941642243
0,9,0.45,0.9298990089502037
0,9,0.50,0.9395602894183055
0,9,0.55,0.9155368140884464
0,9,0.60,0.9479480022208686
0,9,0.65,0.9620837440117961
0,9,0.70,0.9600746060796356
0,9,0.75,0.9145211061077247
0,9,0.80,0.9156441140539651
0,9,0.85,0.9295121640576504
0,9,0.90,0.9151073042642534
0,9,0.95,0.9369166892786901
1,0,0.05,0.8623288133913862
1,0,0.10,0.8984245657419543
1,0,0.15,0.8927336792333347
1,0,0.20,0.89491082878636
1,0,0.25,0.8180292134481669
1,0,0.30,0.9287993480965427
1,0,0.35,0.8845889244514973
1,0,0.40,0.9328678984456392
1,0,0.45,0.8800638298528983
1,0,0.50,0.9434041011593655
1,0,0.55,0.9508172892990778
1,0,0.60,0.9223857300796076
1,0,0.65,0.9317328208394265
1,0,0.70,0.9408882564258281
1,0,0.75,0.9494911024834599
1,0,0.80,0.9320245528354244
1,0,0.85,0.9452713759950454
1,0,0.90,0.9265351579467613
1,0,0.95,0.916241832576896
1,1,0.05,0.2569038833500854
1,1,0.10,0.7832656933452513
1,1,0.15,0.8577841503451461
1,1,0.20,0.8923313222863961
1,1,0.25,0.9433863278504468
1,1,0.30,0.8853898433827188
1,1,0.35,0.9338242477945323
1,1,0.40,0.8820501847515816
1,1,0.45,0.9337684718572217
1,1,0.50,0.9510790609105384
1,1,0.55,0.9226342400924253
1,1,0.60,0.9477922018194159
1,1,0.65,0.9547102369213474
1,1,0.70,0.9634540137079016
1,1,0.75,0.9543938933062461
1,1,0.80,0.9263666665295532
1,1,0.85,0.9406209633810975
1,1,0.90,0.9350739383046938
1,1,0.95,0.9595893865971172
1,2,0.05,0.08480964106442268
1,2,0.10,0.4227821971184714
1,2,0.15,0.8399412748528639
1,2,0.20,0.9491378320533057
1,2,0.25,0.9204232087623482
1,2,0.30,0.9400603735187838
1,2,0.35,0.918206853667739
1,2,0.40,0.9442226191679172
1,2,0.45,0.8741250733943018
1,2,0.50,0.9380885139561902
1,2,0.55,0.9436450848360509
1,2,0.60,0.9061423860685317
1,2,0.65,0.9465367899000264
1,2,0.70,0.9298006006933343
1,2,0.75,0.944153774216723
1,2,0.80,0.9550728484940244
1,2,0.85,0.9355067062776111
1,2,0.90,0.9522514376065936
1,2,0.95,0.9608892719856578
1,3,0.05,-0.3691208824602874
1,3,0.10,0.5130400874614922
1,3,0.15,0.8562944798504176
1,3,0.20,0.9498294150867803
1,3,0.25,0.9148053894410595
1,3,0.30,0.9294235673151824
1,3,0.35,0.9521187927452838
1,3,0.40,0.9543645794095207
1,3,0.45,0.9148454412875824
1,3,0.50,0.93881380324095
1,3,0.55,0.8847351941783059
1,3,0.60,0.8870172884007637
1,3,0.65,0.9508894357289688
1,3,0.70,0.9370512644788757
1,3,0.75,0.9395449323059311
1,3,0.80,0.9653926045752369
1,3,0.85,0.9359506728303022
1,3,0.90,0.9552410094879377
1,3,0.95,0.9308767022205531
1,4,0.05,0.7058531315374869
1,4,0.10,0.8515523808194874
1,4,0.15,0.8875297950391084
1,4,0.20,0.8885736805976934
1,4,0.25,0.9816310460141277
1,4,0.30,0.9461602538448184
1,4,0.35,0.9031588347420523
1,4,0.40,0.9292562018507976
1,4,0.45,0.8952290556954067
1,4,0.50,0.910138330061604
1,4,0.55,0.9277934986324297
1,4,0.60,0.862571873292081
1,4,0.65,0.9462807288468845
1,4,0.70,0.9543734591046455
1,4,0.75,0.9579443717019946
