ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.05,0.782,0.689,0.799,0.829,0.633,0.783,0.634,0.783,0.76,0.824,0.625,0.776,0.708,0.684,0.794,0.759,0.822,0.739,0.775,0.784,0.715,0.767,0.694,0.817,0.809,0.828,0.619,0.835,0.838,0.784,0.61,0.633,0.769,-1.632,0.804,0.711,0.72,0.582,0.127,0.338,0.574,0.818,0.844,0.73,0.749,0.54,0.703,0.807,0.749,0.639,0.782,0.854,0.823,0.8,0.76,0.82,0.754,0.655,0.713,0.769,0.347,0.85,0.816,0.794,0.564,0.484,0.838,0.55,0.824,0.835,0.441,0.731,0.728,0.691,0.689,0.793,0.792,0.727,0.564,-0.511,0.766,0.46,0.723,0.711,0.744,0.659,0.721,0.635,0.839,0.783,0.734,0.571,0.844,0.8,0.827,0.459,0.803,0.804,0.864,0.613
0.10,0.857,0.812,0.824,0.921,0.759,0.916,0.759,0.873,0.754,0.847,0.849,0.178,0.898,0.813,0.923,0.589,0.91,0.912,0.837,0.892,0.816,0.891,0.905,0.816,0.892,0.756,0.833,0.901,0.89,0.848,0.855,0.86,0.864,0.913,0.865,0.814,0.884,0.838,0.848,0.837,0.793,0.761,0.904,0.907,0.869,0.784,0.799,0.814,0.893,0.869,0.758,0.876,0.834,0.857,0.905,0.932,0.813,0.863,0.884,0.851,0.839,0.859,0.823,0.728,0.713,0.841,0.898,0.878,0.866,0.916,0.928,0.916,0.859,0.826,0.898,0.931,0.909,0.893,0.364,0.87,0.811,0.9,0.799,0.867,0.765,0.891,0.772,0.835,0.833,0.922,0.817,0.904,0.802,0.866,0.854,0.898,0.874,0.819,0.839,0.869
0.15,0.939,0.894,0.876,0.935,0.641,0.774,0.87,0.931,0.858,0.921,0.914,0.829,0.94,0.917,0.863,0.842,0.887,0.871,0.9,0.884,0.816,0.888,0.869,0.88,0.851,0.896,0.907,0.862,0.906,0.848,0.91,0.89,0.826,0.793,0.834,0.806,0.931,0.921,0.921,0.916,0.811,0.884,0.863,0.904,0.856,0.868,0.902,0.86,0.842,0.767,0.852,0.806,0.818,0.891,0.929,0.897,0.895,0.841,0.777,0.93,0.842,0.943,0.877,0.887,0.915,0.813,0.923,0.806,0.641,0.89,0.945,0.825,0.869,0.877,0.424,0.936,0.89,0.939,0.855,0.87,0.89,0.86,0.867,0.818,0.823,0.923,0.89,0.932,0.839,0.947,0.804,0.924,0.861,0.887,0.907,0.915,0.88,0.693,0.893,0.868
0.20,0.933,0.713,0.732,0.949,0.88,0.86,0.87,0.889,0.864,0.819,0.905,0.85,0.916,0.947,0.905,0.776,0.902,0.779,0.954,0.933,0.898,0.903,0.935,0.892,0.951,0.923,0.913,0.917,0.948,0.904,0.786,0.945,0.906,0.814,0.86,0.951,0.933,0.851,0.926,0.859,0.873,0.95,0.916,0.834,0.898,0.852,0.873,0.823,0.182,0.868,0.938,0.898,0.858,0.865,0.824,0.887,0.92,0.941,0.893,0.879,0.892,0.899,0.913,0.787,0.91,0.917,0.942,0.882,0.892,0.896,0.811,0.817,0.866,0.905,0.952,0.924,0.895,0.9,0.654,0.763,0.9,0.934,0.906,0.908,0.879,0.943,0.557,0.929,0.933,0.917,0.954,0.928,0.874,0.885,0.92,0.877,0.842,0.837,0.886,0.539
0.25,0.923,0.789,0.881,0.877,0.9,0.934,0.934,0.928,0.921,0.925,0.925,0.908,0.896,0.956,0.945,0.881,0.904,0.936,0.934,0.943,0.91,0.728,0.901,0.887,0.893,0.934,0.935,0.927,0.909,0.937,0.934,0.934,0.922,0.88,0.921,0.904,0.919,0.912,0.928,0.84,0.814,0.936,0.902,0.897,0.798,0.896,0.877,0.877,0.903,0.703,0.918,0.93,0.612,0.894,0.765,0.947,0.956,0.943,0.911,0.918,0.905,0.917,0.934,0.931,0.871,0.943,0.94,0.93,0.898,0.742,0.925,0.925,0.935,0.917,0.954,0.916,0.935,0.964,0.884,0.93,0.837,0.924,0.905,0.942,0.938,0.938,0.931,0.926,0.899,0.931,0.932,0.915,0.929,0.863,0.941,0.908,0.923,0.914,0.86,0.825
0.30,0.929,0.884,0.934,0.925,0.95,0.955,0.923,0.943,0.856,0.924,0.929,0.903,0.874,0.948,0.898,0.766,0.951,0.93,0.936,0.93,0.924,0.916,0.941,0.871,0.908,0.937,0.918,0.946,0.934,0.933,0.866,0.939,0.874,0.922,0.912,0.942,0.907,0.899,0.904,0.846,0.913,0.943,0.932,0.92,0.917,0.886,0.932,0.923,0.474,0.893,0.913,-0.026,0.893,0.947,0.882,0.923,0.949,0.96,0.926,0.933,0.876,0.966,0.95,0.897,0.912,0.905,0.932,0.88,0.874,0.944,0.923,0.945,0.941,0.95,0.911,0.864,0.944,0.957,-0.236,0.772,0.959,0.942,0.933,0.927,0.949,0.951,0.94,0.883,0.927,0.923,0.955,0.938,0.937,0.95,0.911,0.926,0.919,0.904,0.887,0.816
0.35,0.957,0.927,0.922,0.944,0.941,0.947,0.901,0.918,0.875,0.918,0.926,0.798,0.904,0.954,0.89,0.921,0.934,0.958,0.955,0.94,0.927,0.942,0.944,0.925,0.92,0.938,0.916,0.937,0.939,0.945,0.952,0.938,0.872,0.943,0.907,0.952,0.952,0.942,0.944,0.924,0.946,0.949,0.959,0.934,0.89,0.867,0.939,0.915,0.749,0.94,0.908,0.894,0.911,0.933,0.912,0.919,0.917,0.96,0.743,0.894,0.58,0.957,0.948,0.934,0.794,0.917,0.913,0.897,0.816,0.916,0.954,0.939,0.913,0.949,0.923,0.933,0.937,0.911,0.905,0.942,0.939,0.913,0.92,0.927,0.903,0.964,0.934,0.909,0.965,0.951,0.957,0.964,0.966,0.92,0.954,0.948,0.94,0.843,0.886,0.824
0.40,0.958,0.929,0.871,0.959,0.906,0.934,0.96,0.908,0.945,0.924,0.926,0.778,0.931,0.944,0.933,0.938,0.957,0.941,0.961,0.891,0.94,0.903,0.95,0.961,0.915,0.965,0.944,0.792,0.943,0.941,0.938,0.949,0.835,0.959,0.93,0.796,0.898,0.857,0.912,0.941,0.868,0.892,0.953,0.948,0.921,0.945,0.915,0.911,0.923,0.936,0.899,0.961,0.901,0.935,0.912,0.844,0.939,0.934,0.805,0.914,0.15,0.966,0.947,0.953,0.921,0.945,0.935,0.922,0.904,0.94,0.95,0.905,0.951,0.892,0.919,0.89,0.925,0.941,0.896,0.629,0.933,0.906,0.97,0.924,0.911,0.935,0.954,0.949,0.942,0.941,0.948,0.853,0.943,0.963,0.95,0.944,-0.12,0.92,0.946,0.869
0.45,0.964,0.943,0.928,0.948,0.956,0.945,0.911,0.947,0.866,0.966,0.946,0.829,0.887,0.943,0.796,0.928,0.963,0.934,0.927,0.945,0.947,0.941,0.949,0.948,0.955,0.949,0.966,0.854,0.934,0.945,0.935,0.958,0.945,0.948,0.958,0.941,0.966,0.97,0.941,0.897,0.893,0.879,0.949,0.972,0.975,0.911,0.91,0.965,0.952,0.905,0.905,0.97,0.932,0.922,0.966,0.942,0.942,0.958,0.805,0.956,0.9,0.947,0.968,0.944,0.949,0.926,0.909,0.936,0.932,0.898,0.939,0.918,0.955,0.933,0.962,0.9,0.955,0.972,0.96,0.864,0.81,0.901,0.938,0.972,0.948,0.949,0.952,0.944,0.957,0.963,0.973,0.912,0.963,0.952,0.944,0.961,0.947,0.95,0.866,0.495
0.50,0.972,0.943,0.921,0.953,0.961,0.953,0.914,0.946,0.763,0.919,0.965,0.954,0.951,0.955,0.959,0.917,0.966,0.956,0.94,0.957,0.968,0.965,0.96,0.949,0.955,0.935,0.952,0.932,0.944,0.946,0.962,0.876,0.83,0.963,0.955,0.909,0.955,0.966,0.946,0.929,0.91,0.931,0.948,0.964,0.965,0.95,0.852,0.955,0.913,0.942,0.807,0.945,0.846,0.937,0.964,0.943,0.95,0.966,0.909,0.935,0.906,0.969,0.961,0.915,0.88,0.921,0.922,0.959,0.869,0.953,0.908,0.931,0.958,0.898,0.932,0.872,0.95,0.969,0.897,0.952,0.896,0.899,0.962,0.932,0.964,0.931,0.962,0.939,0.957,0.973,0.946,0.968,0.976,0.947,0.968,0.969,0.976,0.937,0.932,0.861
